,Driving_Pct._320_All_Drives_RANK THIS WEEK,Driving_Pct._320_All_Drives_RANK LAST WEEK,Driving_Pct._320_All_Drives_PLAYER NAME,Driving_Pct._320_All_Drives_ROUNDS,Driving_Pct._320_All_Drives_%,Driving_Pct._320_All_Drives_TOTAL DRIVES FOR 320+,Driving_Pct._320_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct._320_All_Drives_RELATIVE TO PAR
0,1,1,Rory McIlroy,64,34.55,246,712,-0.211
1,2,2,Dustin Johnson,77,32.91,287,872,-0.279
2,3,3,Brooks Koepka,64,31.84,242,760,-0.198
3,4,4,Bubba Watson,90,31.3,298,952,-0.168
4,5,5,Jon Rahm,71,31.2,224,718,-0.183
5,6,6,Tom Lovelady,87,29.67,286,964,-0.241
6,7,7,Trey Mullinax,75,29.44,242,822,-0.194
7,8,8,Tony Finau,105,27.3,309,1132,-0.307
8,9,9,Luke List,98,26.93,293,1088,-0.177
9,10,10,Gary Woodland,96,26.18,256,978,-0.281
10,11,11,Justin Thomas,91,26.15,250,956,-0.316
11,12,12,Keith Mitchell,99,24.96,290,1162,-0.197
12,13,13,Grayson Murray,72,24.76,205,828,-0.137
13,14,14,Kevin Chappell,77,24.54,214,872,-0.210
14,15,15,Kevin Tway,110,24.4,307,1258,-0.274
15,16,16,Brendan Steele,74,23.29,177,760,-0.164
16,17,17,Peter Uihlein,83,22.75,207,910,-0.251
17,18,18,Xander Schauffele,96,21.44,217,1012,-0.198
18,19,19,J.B. Holmes,77,21.41,203,948,-0.172
19,20,20,Byeong Hun An,86,21.18,216,1020,-0.102
20,21,21,Jason Day,75,20.55,141,686,-0.227
21,22,22,Jason Kokrak,99,20.03,246,1228,-0.264
22,23,23,Tommy Fleetwood,73,19.97,151,756,-0.285
23,24,24,Jhonattan Vegas,92,19.89,179,900,-0.145
24,25,25,Harold Varner III,91,19.57,202,1032,-0.287
25,26,26,Bryson DeChambeau,93,19.09,209,1095,-0.249
26,27,27,Patrick Cantlay,87,18.05,170,942,-0.159
27,28,28,Justin Rose,70,18.02,133,738,-0.368
28,29,29,Ryan Palmer,69,17.34,145,836,-0.186
29,30,30,Hideki Matsuyama,75,17.33,139,802,-0.259
30,31,31,Hudson Swafford,73,17.12,125,730,-0.240
31,32,32,Nick Watney,94,16.67,186,1116,-0.237
32,33,33,Robert Garrigus,80,16.24,154,948,-0.305
33,34,34,Charl Schwartzel,65,16.1,94,584,-0.064
34,35,35,Patrick Rodgers,97,16.01,163,1018,-0.184
35,36,36,Brandon Harkins,101,15.99,190,1188,-0.289
36,37,37,Lanto Griffin,80,15.95,134,840,-0.201
37,38,38,Louis Oosthuizen,62,15.94,102,640,-0.206
38,39,39,Rickie Fowler,74,15.85,136,858,-0.250
39,40,40,Adam Schenk,86,15.54,143,920,-0.245
40,41,41,Branden Grace,67,15.52,95,612,-0.232
41,42,42,Jordan Spieth,81,15.33,142,926,-0.268
42,43,43,Matt Jones,70,15.2,100,658,-0.340
43,44,44,Paul Casey,74,14.96,102,682,-0.127
44,45,45,Phil Mickelson,90,14.9,146,980,-0.315
45,46,46,Adam Scott,78,14.59,122,836,-0.197
46,47,47,Francesco Molinari,73,14.41,115,798,-0.087
47,48,48,Tiger Woods,68,14.36,118,822,-0.229
48,49,49,Tyrrell Hatton,58,14.29,84,588,-0.262
49,50,50,Charley Hoffman,87,14.0,133,950,-0.135
50,51,51,Jason Dufner,71,13.97,102,730,+0.010
51,52,52,Harris English,84,13.89,132,950,-0.371
52,53,53,Ollie Schniederjans,91,13.78,148,1074,-0.250
53,T54,T54,Daniel Berger,81,13.65,119,872,-0.210
54,T54,T54,Marc Leishman,93,13.65,140,1026,-0.150
55,56,56,Patton Kizzire,92,13.23,145,1096,-0.214
56,57,57,Matt Atkins,56,13.21,74,560,-0.257
57,58,58,Corey Conners,97,13.07,144,1102,-0.208
58,59,59,Kiradech Aphibarnrat,51,12.82,61,476,-0.180
59,60,60,Bronson Burgoon,69,12.78,102,798,-0.284
60,61,61,Sam Saunders,80,12.74,119,934,-0.277
61,T62,T62,Charles Howell III,104,12.59,137,1088,-0.234
62,T62,T62,Sean O'Hair,67,12.59,100,794,-0.310
63,64,64,Seamus Power,86,12.58,116,922,-0.250
64,65,65,Aaron Wise,90,12.37,138,1116,-0.268
65,66,66,Jamie Lovemark,92,12.32,134,1088,-0.209
66,67,67,Pat Perez,82,12.26,88,718,-0.114
67,68,68,Cameron Smith,85,12.18,104,854,-0.192
68,69,69,J.T. Poston,73,12.16,97,798,-0.216
69,70,70,Jimmy Walker,81,12.07,111,920,-0.351
70,71,71,Abraham Ancer,98,12.0,139,1158,-0.230
71,72,72,Patrick Reed,94,11.85,104,878,-0.250
72,73,73,Shane Lowry,64,11.83,84,710,-0.321
73,74,74,Kyle Stanley,93,11.68,110,942,-0.264
74,T75,T75,Chesson Hadley,103,10.93,136,1244,-0.272
75,T75,T75,Alex Noren,67,10.93,75,686,-0.200
76,77,77,Beau Hossler,104,10.89,137,1258,-0.219
77,78,78,Martin Flores,92,10.76,108,1004,-0.111
78,79,79,Brian Harman,94,10.57,107,1012,-0.206
79,80,80,Xinjun Zhang,81,10.55,84,796,-0.214
80,81,81,Ethan Tracy,72,10.45,79,756,-0.241
81,82,82,Scott Stallings,96,10.13,113,1116,-0.257
82,83,83,Cameron Percy,56,10.1,58,574,-0.207
83,84,84,Stephan Jaeger,81,9.91,87,878,-0.345
84,85,85,Scott Piercy,84,9.77,93,952,-0.247
85,86,86,Billy Horschel,86,9.72,105,1080,-0.324
86,87,87,Talor Gooch,78,9.58,83,866,-0.229
87,88,88,Stewart Cink,87,9.53,89,934,-0.281
88,89,89,Shawn Stefani,76,9.52,80,840,-0.213
89,90,90,Cody Gribble,71,9.39,71,756,-0.239
90,91,91,James Hahn,85,9.32,90,966,-0.200
91,92,92,J.J. Spaun,85,9.26,92,994,-0.250
92,93,93,Rafa Cabrera Bello,75,9.23,62,672,-0.290
93,94,94,Russell Henley,77,9.19,75,816,-0.213
94,T95,T95,Keegan Bradley,98,9.14,102,1116,-0.235
95,T95,T95,Retief Goosen,60,9.14,51,558,-0.078
96,97,97,Hunter Mahan,67,8.96,64,714,-0.375
97,98,98,Lucas Glover,65,8.91,57,640,-0.105
98,99,99,Sam Ryder,82,8.71,85,976,-0.353
99,100,100,Martin Laird,73,8.69,74,852,-0.311
100,101,101,Anirban Lahiri,82,8.64,81,938,-0.235
101,102,102,Si Woo Kim,108,8.61,94,1092,-0.128
102,103,103,Rory Sabbatini,91,8.6,90,1046,-0.344
103,T104,T104,Zecheng Dou,53,8.57,43,502,-0.233
104,T104,T104,Satoshi Kodaira,51,8.57,48,560,-0.125
105,106,106,Brett Stegmaier,67,8.51,56,658,-0.143
106,107,107,Joel Dahmen,93,8.45,84,994,-0.250
107,108,108,Dominic Bozzelli,65,8.35,71,850,-0.197
108,109,109,Jonas Blixt,67,8.28,56,676,-0.107
109,110,110,Mackenzie Hughes,80,8.11,77,950,-0.156
110,111,111,Bud Cauley,55,8.04,46,572,-0.087
111,112,112,Chris Stroud,81,7.97,65,816,-0.169
112,113,113,Adam Hadwin,92,7.9,73,924,-0.096
113,114,114,Matt Every,79,7.88,67,850,-0.090
114,115,115,Blayne Barber,69,7.66,64,836,-0.266
115,116,116,Nicholas Lindheim,77,7.65,63,824,-0.222
116,T117,T117,Troy Merritt,89,7.45,76,1020,-0.092
117,T117,T117,Ian Poulter,73,7.45,52,698,-0.231
118,T117,T117,Steve Wheatcroft,60,7.45,48,644,-0.271
119,120,120,Emiliano Grillo,94,7.34,75,1022,-0.120
120,121,121,Kevin Kisner,89,7.33,67,914,-0.119
121,122,122,Cameron Tringale,67,7.28,52,714,-0.135
122,123,123,Aaron Baddeley,84,7.27,71,976,-0.254
123,124,124,Graeme McDowell,67,7.19,46,640,-0.304
124,125,125,Bill Haas,76,7.17,66,920,-0.242
125,126,126,Brice Garnett,99,7.08,80,1130,-0.275
126,127,127,Tyler Duncan,97,7.07,80,1132,-0.150
127,128,128,Michael Thompson,62,6.76,53,784,-0.113
128,129,129,Sung Kang,89,6.75,63,934,-0.143
129,130,130,Nate Lashley,51,6.73,33,490,-0.061
130,131,131,C.T. Pan,104,6.72,77,1146,-0.338
131,132,132,Denny McCarthy,71,6.71,46,686,-0.413
132,133,133,Tyrone Van Aswegen,101,6.56,76,1158,-0.237
133,134,134,Rod Pampling,62,6.55,41,626,E
134,135,135,Danny Lee,88,6.54,64,978,-0.203
135,T136,T136,Peter Malnati,87,6.49,68,1048,-0.265
136,T136,T136,Brandt Snedeker,84,6.49,67,1032,-0.358
137,138,138,Webb Simpson,95,6.46,73,1130,-0.247
138,139,139,Russell Knox,94,6.4,66,1032,-0.379
139,140,140,Austin Cook,107,6.06,78,1288,-0.231
140,141,141,Kevin Streelman,94,6.02,69,1146,-0.232
141,142,142,Andrew Landry,82,5.97,61,1022,-0.131
142,143,143,Andrew Putnam,97,5.95,64,1076,-0.156
143,144,144,Nick Taylor,94,5.8,60,1034,-0.067
144,145,145,Robert Streb,78,5.73,48,838,-0.313
145,146,146,Ben Silverman,90,5.65,60,1062,-0.300
146,147,147,William McGirt,84,5.64,59,1046,-0.424
147,148,148,Conrad Shindler,60,5.52,34,616,-0.412
148,149,149,Matt Kuchar,88,5.41,49,906,-0.102
149,150,150,Tom Hoge,101,5.34,62,1160,-0.226
150,151,151,Richy Werenski,98,5.32,55,1034,-0.236
151,152,152,Kevin Na,91,5.2,51,980,-0.294
152,T153,T153,D.A. Points,63,5.19,35,674,-0.257
153,T153,T153,Johnson Wagner,75,5.19,40,770,-0.425
154,155,155,Jonathan Randolph,71,5.13,43,838,-0.349
