,Distance_from_Center_of_Fairway_RANK THIS WEEK,Distance_from_Center_of_Fairway_RANK LAST WEEK,Distance_from_Center_of_Fairway_PLAYER NAME,Distance_from_Center_of_Fairway_EVENTS,Distance_from_Center_of_Fairway_AVG,Distance_from_Center_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Center_of_Fairway_TOTAL STROKES
0,1,1,Kiradech Aphibarnrat,14,"21' 7""",5736.0,266
1,T2,T2,Louis Oosthuizen,17,"22' 0""",8081.5,367
2,T2,T2,Henrik Stenson,16,"22' 0""",9237.917,420
3,4,4,Brice Garnett,30,"22' 1""",15298.083,694
4,5,5,Chez Reavie,28,"22' 6""",12704.083,564
5,6,6,Keegan Bradley,27,"22' 7""",16258.583,719
6,7,7,Tom Hoge,31,"22' 8""",16114.333,710
7,8,8,Ryan Moore,22,"22' 9""",14795.25,651
8,9,9,David Lingmerth,26,"22' 11""",14693.417,642
9,10,10,Ian Poulter,20,"23' 2""",9465.75,408
10,T11,T11,Ben Martin,20,"23' 3""",11144.167,479
11,T11,T11,Kevin Na,26,"23' 3""",14078.667,605
12,T13,T13,Jonathan Byrd,24,"23' 4""",8952.75,384
13,T13,T13,Jason Dufner,22,"23' 4""",9745.167,417
14,T13,T13,Emiliano Grillo,25,"23' 4""",15702.75,674
15,T13,T13,Stephan Jaeger,26,"23' 4""",11392.75,489
16,T13,T13,"Ted Potter, Jr.",28,"23' 4""",15886.75,680
17,T18,T18,Bud Cauley,17,"23' 5""",7652.75,327
18,T18,T18,Mackenzie Hughes,28,"23' 5""",12780.333,545
19,T20,T20,Aaron Baddeley,27,"23' 6""",10624.0,452
20,T20,T20,Scott Brown,32,"23' 6""",15617.917,665
21,T20,T20,Tommy Fleetwood,19,"23' 6""",10212.167,435
22,T20,T20,Bill Haas,25,"23' 6""",10898.583,463
23,T20,T20,Michael Kim,27,"23' 6""",9113.5,388
24,T20,T20,Shane Lowry,19,"23' 6""",9457.333,403
25,T20,T20,Charl Schwartzel,20,"23' 6""",6842.5830000000005,291
26,T20,T20,Richy Werenski,32,"23' 6""",14834.417,631
27,T28,T28,Danny Lee,30,"23' 7""",13770.5,584
28,T28,T28,Kevin Streelman,27,"23' 7""",17926.583,761
29,T28,T28,Gary Woodland,27,"23' 7""",13188.25,559
30,T31,T31,Alex Cejka,24,"23' 8""",12909.583,545
31,T31,T31,Brandt Snedeker,25,"23' 8""",14177.5,600
32,T33,T33,Corey Conners,28,"23' 9""",15886.0,670
33,T33,T33,Adam Hadwin,25,"23' 9""",13532.0,569
34,T33,T33,Patrick Reed,26,"23' 9""",10504.333,442
35,T33,T33,Webb Simpson,26,"23' 9""",15269.667,643
36,T37,T37,Byeong Hun An,24,"23' 10""",13182.167,553
37,T37,T37,Ben Crane,21,"23' 10""",9866.167,414
38,T37,T37,Lucas Glover,18,"23' 10""",8957.0,376
39,T37,T37,Chris Kirk,29,"23' 10""",20099.417,844
40,T37,T37,Scott Stallings,30,"23' 10""",14176.083,594
41,T42,T42,Ryan Blaum,28,"23' 11""",14913.583,624
42,T42,T42,Beau Hossler,28,"23' 11""",17864.75,746
43,T42,T42,Rod Pampling,20,"23' 11""",9220.167,385
44,T42,T42,Rory Sabbatini,27,"23' 11""",14767.25,617
45,T46,T46,Billy Horschel,27,"24' 0""",17059.75,712
46,T46,T46,Kevin Kisner,25,"24' 0""",13933.917,580
47,T48,T48,Charley Hoffman,25,"24' 1""",11861.083,492
48,T48,T48,Graeme McDowell,20,"24' 1""",8888.75,369
49,T48,T48,Brett Stegmaier,21,"24' 1""",9032.083,375
50,T51,T51,James Hahn,26,"24' 2""",14676.333,608
51,T51,T51,Scott Piercy,26,"24' 2""",13629.0,564
52,T51,T51,Tiger Woods,18,"24' 2""",11181.25,463
53,T54,T54,Kelly Kraft,31,"24' 3""",16031.083,661
54,T54,T54,Martin Laird,22,"24' 3""",12787.667,527
55,T54,T54,Martin Piller,28,"24' 3""",12976.667,535
56,T57,T57,Paul Casey,20,"24' 4""",8865.917,364
57,T57,T57,Francesco Molinari,20,"24' 4""",11247.917,462
58,T57,T57,Jonathan Randolph,25,"24' 4""",12301.167,506
59,T57,T57,Tyrone Van Aswegen,31,"24' 4""",15500.75,637
60,T61,T61,Abraham Ancer,30,"24' 5""",17370.083,712
61,T61,T61,Stewart Cink,25,"24' 5""",12865.917,527
62,T61,T61,Fabián Gómez,28,"24' 5""",14930.417,611
63,T61,T61,John Huh,29,"24' 5""",17434.5,713
64,T61,T61,Trey Mullinax,24,"24' 5""",10024.25,411
65,T66,T66,Rafa Cabrera Bello,20,"24' 6""",9863.0,403
66,T66,T66,Joel Dahmen,28,"24' 6""",15360.083,628
67,T66,T66,Alex Noren,18,"24' 6""",9115.917,372
68,T69,T69,Tyrrell Hatton,16,"24' 7""",7887.4169999999995,321
69,T69,T69,Russell Knox,27,"24' 7""",15734.667,639
70,T69,T69,Matt Kuchar,24,"24' 7""",13179.75,536
71,T69,T69,Andrew Landry,27,"24' 7""",15576.417,634
72,T69,T69,William McGirt,26,"24' 7""",15117.25,614
73,T69,T69,C.T. Pan,30,"24' 7""",18662.833,759
74,T69,T69,Ben Silverman,28,"24' 7""",16713.917,680
75,T69,T69,Ethan Tracy,23,"24' 7""",10687.083,434
76,T69,T69,Steve Wheatcroft,20,"24' 7""",10463.333,425
77,T78,T78,Zac Blair,20,"24' 8""",9507.0,386
78,T78,T78,Cody Gribble,25,"24' 8""",9776.417,397
79,T78,T78,Russell Henley,23,"24' 8""",12519.5,507
80,T78,T78,Whee Kim,30,"24' 8""",14849.917,602
81,T78,T78,Seamus Power,28,"24' 8""",12200.417,495
82,T78,T78,Kyle Stanley,26,"24' 8""",15743.417,639
83,T84,T84,Ryan Armour,32,"24' 9""",24194.417,978
84,T84,T84,Tyler Duncan,31,"24' 9""",17105.417,692
85,T84,T84,Jim Furyk,15,"24' 9""",9806.25,396
86,T84,T84,Brian Gay,30,"24' 9""",21145.75,853
87,T84,T84,David Hearn,21,"24' 9""",11298.25,457
88,T84,T84,Billy Hurley III,27,"24' 9""",11369.833,459
89,T84,T84,Si Woo Kim,31,"24' 9""",15379.833,622
90,T91,T91,Greg Chalmers,20,"24' 10""",8076.6669999999995,325
91,T91,T91,Hunter Mahan,21,"24' 10""",10943.833,441
92,T91,T91,Andrew Putnam,28,"24' 10""",15448.25,622
93,T91,T91,Sam Saunders,26,"24' 10""",13318.417,537
94,T91,T91,Nick Watney,26,"24' 10""",15353.333,619
95,T91,T91,Bubba Watson,24,"24' 10""",12437.25,501
96,T97,T97,Chad Campbell,28,"24' 11""",14219.583,570
97,T97,T97,Rickie Fowler,20,"24' 11""",12569.75,504
98,T97,T97,J.J. Henry,28,"24' 11""",14241.0,571
99,T97,T97,Patton Kizzire,29,"24' 11""",14585.417,586
100,T97,T97,Jamie Lovemark,26,"24' 11""",14421.25,579
101,T97,T97,Justin Rose,18,"24' 11""",10842.0,435
102,T103,T103,Austin Cook,29,"25' 0""",20984.333,839
103,T103,T103,Roberto Díaz,25,"25' 0""",11945.917,478
104,T103,T103,Satoshi Kodaira,18,"25' 0""",8542.5,342
105,T103,T103,Troy Merritt,27,"25' 0""",15558.083,623
106,T103,T103,Cameron Percy,16,"25' 0""",8722.0,349
107,T103,T103,Conrad Shindler,20,"25' 0""",9968.667,399
108,T103,T103,J.J. Spaun,27,"25' 0""",16062.75,642
109,T103,T103,Brian Stuard,32,"25' 0""",20852.833,835
110,T111,T111,Blayne Barber,22,"25' 1""",13345.0,532
111,T111,T111,Martin Flores,29,"25' 1""",13260.167,529
112,T111,T111,Anirban Lahiri,24,"25' 1""",13454.333,537
113,T111,T111,Tom Lovelady,28,"25' 1""",12386.75,494
114,T111,T111,Sam Ryder,26,"25' 1""",15666.5,625
115,T111,T111,Shawn Stefani,25,"25' 1""",11547.75,460
116,T117,T117,Harris English,31,"25' 2""",13680.25,543
117,T117,T117,Matt Every,30,"25' 2""",11036.583,439
118,T117,T117,Retief Goosen,20,"25' 2""",7390.5,294
119,T117,T117,Michael Thompson,19,"25' 2""",12672.5,504
120,T117,T117,Aaron Wise,29,"25' 2""",16973.583,675
121,T122,T122,Matt Atkins,21,"25' 3""",7632.9169999999995,302
122,T122,T122,Charles Howell III,28,"25' 3""",16019.75,635
123,T122,T122,Harold Varner III,27,"25' 3""",14054.917,557
124,T125,T125,Brandon Harkins,30,"25' 4""",15799.833,623
125,T125,T125,Jason Kokrak,29,"25' 4""",17464.833,689
126,T125,T125,Ryan Palmer,22,"25' 4""",11944.083,472
127,T125,T125,Ollie Schniederjans,27,"25' 4""",12779.75,505
128,T125,T125,Adam Scott,21,"25' 4""",12597.417,498
129,T130,T130,Chesson Hadley,30,"25' 5""",18226.333,716
130,T130,T130,Chris Stroud,27,"25' 5""",12063.25,475
131,T130,T130,Kyle Thompson,22,"25' 5""",7678.0,302
132,T133,T133,Jonas Blixt,23,"25' 6""",9794.0,384
133,T133,T133,Pat Perez,23,"25' 6""",10397.833,408
134,T133,T133,Nick Taylor,30,"25' 6""",15200.333,597
135,T133,T133,Cameron Tringale,26,"25' 6""",8862.333,348
136,T137,T137,Zach Johnson,25,"25' 7""",15360.917,600
137,T137,T137,Sean O'Hair,22,"25' 7""",11812.083,462
138,T137,T137,Vaughn Taylor,25,"25' 7""",16388.333,640
139,T137,T137,Kevin Tway,31,"25' 7""",15962.417,623
140,141,141,Phil Mickelson,24,"25' 8""",11614.583,453
141,T142,T142,Luke List,29,"25' 9""",14141.667,550
142,T142,T142,Peter Malnati,28,"25' 9""",14751.333,573
143,T142,T142,Jon Rahm,20,"25' 9""",10303.667,400
144,T142,T142,Adam Schenk,28,"25' 9""",12952.083,503
145,T142,T142,Robert Streb,29,"25' 9""",11033.833,428
146,T147,T147,Bronson Burgoon,24,"25' 10""",12785.667,495
147,T147,T147,Rob Oppenheim,26,"25' 10""",10630.333,412
148,T147,T147,Xinjun Zhang,28,"25' 10""",12879.25,499
149,T150,T150,Sung Kang,29,"25' 11""",13274.75,513
150,T150,T150,Keith Mitchell,29,"25' 11""",16571.083,640
151,T152,T152,Zecheng Dou,23,"26' 0""",7010.0830000000005,270
152,T152,T152,Talor Gooch,27,"26' 0""",12072.833,464
153,T154,T154,Ricky Barnes,22,"26' 1""",7514.0,288
154,T154,T154,J.T. Poston,22,"26' 1""",12119.333,465
155,T156,T156,Dominic Bozzelli,20,"26' 2""",12044.167,461
156,T156,T156,Nate Lashley,17,"26' 2""",7326.0830000000005,280
157,T156,T156,Denny McCarthy,22,"26' 2""",11111.667,425
158,T156,T156,Johnson Wagner,21,"26' 2""",12630.833,482
159,160,160,Justin Thomas,23,"26' 3""",12717.833,484
160,T161,T161,Jason Day,20,"26' 4""",9485.833,360
161,T161,T161,Brian Harman,25,"26' 4""",16078.333,610
162,T161,T161,Peter Uihlein,26,"26' 4""",11226.583,427
163,T164,T164,Patrick Cantlay,23,"26' 5""",14283.333,540
164,T164,T164,Robert Garrigus,27,"26' 5""",13452.333,509
165,T164,T164,Jhonattan Vegas,27,"26' 5""",12071.417,457
166,T167,T167,Tony Finau,28,"26' 6""",14928.917,564
167,T167,T167,J.B. Holmes,24,"26' 6""",13977.417,528
168,T167,T167,Marc Leishman,25,"26' 6""",14902.0,562
169,T167,T167,Xander Schauffele,27,"26' 6""",14272.917,538
170,171,171,Bryson DeChambeau,26,"26' 7""",17006.417,639
171,T172,T172,Jimmy Walker,23,"26' 8""",11860.917,445
172,T172,T172,Andrew Yun,22,"26' 8""",6195.3330000000005,232
173,174,174,Branden Grace,18,"26' 10""",8594.75,320
174,175,175,D.A. Points,25,"26' 11""",10621.083,394
175,T176,T176,Lanto Griffin,26,"27' 0""",11439.583,424
176,T176,T176,Matt Jones,23,"27' 0""",9670.417,358
177,T176,T176,Patrick Rodgers,30,"27' 0""",14939.833,554
178,T179,T179,Derek Fathauer,28,"27' 1""",13005.583,480
179,T179,T179,Jordan Spieth,23,"27' 1""",14426.5,533
180,T179,T179,Daniel Summerhays,19,"27' 1""",7416.0,274
181,T182,T182,Cameron Smith,24,"27' 2""",12071.417,444
182,T182,T182,Hudson Swafford,22,"27' 2""",12481.083,460
183,T184,T184,Dustin Johnson,20,"27' 3""",12531.5,460
184,T184,T184,Hideki Matsuyama,21,"27' 3""",11785.667,433
185,T184,T184,Grayson Murray,22,"27' 3""",11811.667,434
186,187,187,Rory McIlroy,18,"27' 4""",10022.667,367
187,T188,T188,Kevin Chappell,23,"27' 5""",12903.0,470
188,T188,T188,Nicholas Lindheim,26,"27' 5""",13101.0,478
189,190,190,Brooks Koepka,17,"27' 7""",10574.167,383
190,191,191,Brendan Steele,22,"27' 8""",11193.833,404
191,192,192,Daniel Berger,23,"28' 7""",14446.25,506
192,193,193,Wesley Bryan,23,"31' 1""",11840.75,381
