,Ball_Striking_RANK THIS WEEK,Ball_Striking_RANK LAST WEEK,Ball_Striking_PLAYER NAME,Ball_Striking_ROUNDS,Ball_Striking_VALUE,Ball_Striking_TOTAL DRV RANK,Ball_Striking_GIR RANK
0,1,1,Sam Ryder,82,12,10,2
1,2,2,Gary Woodland,96,14,3,11
2,3,3,Kyle Stanley,93,15,9,6
3,4,4,Billy Horschel,86,20,17,3
4,5,5,Francesco Molinari,73,21,5,16
5,6,6,Justin Rose,70,24,1,23
6,7,7,Adam Scott,78,25,17,8
7,8,8,Kevin Streelman,94,26,22,4
8,9,9,Corey Conners,97,33,16,17
9,10,10,Tommy Fleetwood,73,34,2,32
10,T11,T11,Rickie Fowler,74,37,8,29
11,T11,T11,Dustin Johnson,77,37,28,9
12,13,13,Henrik Stenson,60,38,37,1
13,14,14,Patrick Cantlay,87,39,32,7
14,15,15,Keegan Bradley,98,40,4,36
15,16,16,C.T. Pan,104,41,36,5
16,17,17,Bryson DeChambeau,93,42,17,25
17,T18,T18,Rafa Cabrera Bello,75,43,24,19
18,T18,T18,Hudson Swafford,73,43,5,38
19,20,20,J.J. Spaun,85,44,14,30
20,21,21,Scott Piercy,84,50,26,24
21,22,22,Emiliano Grillo,94,55,14,41
22,23,23,Aaron Wise,90,56,13,43
23,24,24,Bronson Burgoon,69,57,7,50
24,25,25,Brendan Steele,74,58,23,35
25,26,26,Tyler Duncan,97,59,34,25
26,27,27,Jon Rahm,71,61,41,20
27,28,28,Hideki Matsuyama,75,63,29,34
28,29,29,Michael Thompson,62,66,45,21
29,30,30,Joel Dahmen,93,67,25,42
30,T31,T31,Charles Howell III,104,71,38,33
31,T31,T31,Hunter Mahan,67,71,32,39
32,33,33,Keith Mitchell,99,72,41,31
33,34,34,Russell Henley,77,75,30,45
34,35,35,Jason Kokrak,99,76,62,14
35,36,36,Jordan Spieth,81,77,65,12
36,T37,T37,Paul Casey,74,82,10,72
37,T37,T37,J.J. Henry,81,82,72,10
38,T37,T37,Russell Knox,94,82,55,27
39,40,40,Blayne Barber,69,89,67,22
40,41,41,Justin Thomas,91,92,47,45
41,42,42,James Hahn,85,93,40,53
42,43,43,Byeong Hun An,86,94,31,63
43,44,44,Cameron Percy,56,102,74,28
44,45,45,Xinjun Zhang,81,105,17,88
45,46,46,Tony Finau,105,106,88,18
46,T47,T47,Shane Lowry,64,107,59,48
47,T47,T47,J.T. Poston,73,107,55,52
48,T47,T47,Bubba Watson,90,107,50,57
49,50,50,Lucas Glover,65,110,27,83
50,51,51,Ryan Moore,78,118,74,44
51,T52,T52,Kevin Chappell,77,120,21,99
52,T52,T52,Harold Varner III,91,120,47,73
53,54,54,Brooks Koepka,64,121,67,54
54,55,55,Louis Oosthuizen,62,124,12,112
55,56,56,Branden Grace,67,127,41,86
56,57,57,Chez Reavie,93,129,82,47
57,T58,T58,Daniel Berger,81,130,38,92
58,T58,T58,Brian Harman,94,130,53,77
59,60,60,Ian Poulter,73,134,44,90
60,T61,T61,Beau Hossler,104,139,74,65
61,T61,T61,Denny McCarthy,71,139,79,60
62,T63,T63,Brice Garnett,99,144,49,95
63,T63,T63,Adam Schenk,86,144,77,67
64,65,65,Tiger Woods,68,145,63,82
65,66,66,Patrick Rodgers,97,148,34,114
66,67,67,Luke List,98,149,98,51
67,68,68,Andrew Putnam,97,152,140,12
68,69,69,Austin Cook,107,153,53,100
69,70,70,Ryan Armour,109,154,98,56
70,71,71,Martin Laird,73,155,45,110
71,72,72,Nick Watney,94,157,93,64
72,73,73,Matt Jones,70,159,58,101
73,74,74,David Hearn,66,162,122,40
74,75,75,Chesson Hadley,103,165,90,75
75,76,76,Adam Hadwin,92,167,106,61
76,77,77,Xander Schauffele,96,170,51,119
77,T78,T78,Fabián Gómez,88,171,101,70
78,T78,T78,Brett Stegmaier,67,171,156,15
79,T80,T80,Abraham Ancer,98,172,71,101
80,T80,T80,Pat Perez,82,172,98,74
81,82,82,Rory McIlroy,64,176,70,106
82,T83,T83,Chris Kirk,108,177,122,55
83,T83,T83,Ryan Palmer,69,177,59,118
84,85,85,Jason Day,75,179,55,124
85,86,86,Richy Werenski,98,181,90,91
86,87,87,Tom Lovelady,87,182,95,87
87,T88,T88,Tyrrell Hatton,58,183,79,104
88,T88,T88,Steve Wheatcroft,60,183,86,97
89,90,90,Webb Simpson,95,185,119,66
90,T91,T91,Stewart Cink,87,189,140,49
91,T91,T91,Conrad Shindler,60,189,82,107
92,93,93,Nate Lashley,51,190,132,58
93,94,94,Brian Stuard,103,193,110,83
94,T95,T95,Patton Kizzire,92,195,158,37
95,T95,T95,Vaughn Taylor,83,195,106,89
96,97,97,Sam Saunders,80,196,63,133
97,98,98,Stephan Jaeger,81,200,115,85
98,T99,T99,Kevin Kisner,89,204,82,122
99,T99,T99,Marc Leishman,93,204,108,96
100,101,101,Lanto Griffin,80,205,124,81
101,T102,T102,Nicholas Lindheim,77,206,145,61
102,T102,T102,Rory Sabbatini,91,206,135,71
103,T104,T104,J.B. Holmes,77,207,81,126
104,T104,T104,Zach Johnson,94,207,127,80
105,T106,T106,Trey Mullinax,75,208,86,122
106,T106,T106,Alex Noren,67,208,72,136
107,T106,T106,Kevin Tway,110,208,115,93
108,109,109,Jhonattan Vegas,92,210,82,128
109,110,110,Shawn Stefani,76,211,132,79
110,111,111,Robert Garrigus,80,212,88,124
111,112,112,Jason Dufner,71,214,66,148
112,113,113,Charley Hoffman,87,217,119,98
113,114,114,Sean O'Hair,67,218,67,151
114,115,115,Nick Taylor,94,219,143,76
115,116,116,Peter Uihlein,83,220,152,68
116,T117,T117,Graeme McDowell,67,223,77,146
117,T117,T117,Troy Merritt,89,223,93,130
118,T117,T117,Johnson Wagner,75,223,154,69
119,120,120,Kiradech Aphibarnrat,51,229,51,178
120,121,121,Jonathan Byrd,70,231,172,59
121,122,122,Ben Silverman,90,235,101,134
122,123,123,Ethan Tracy,72,236,97,139
123,124,124,Brandon Harkins,101,238,125,113
124,125,125,Jamie Lovemark,92,244,101,143
125,126,126,Ryan Blaum,81,245,137,108
126,127,127,Scott Brown,102,246,132,114
127,128,128,Scott Stallings,96,247,130,117
128,T129,T129,Brian Gay,103,249,104,145
129,T129,T129,Satoshi Kodaira,51,249,59,190
130,T129,T129,Brandt Snedeker,84,249,117,132
131,132,132,Andrew Landry,82,251,135,116
132,133,133,Mackenzie Hughes,80,252,143,109
133,T134,T134,Martin Flores,92,253,148,105
134,T134,T134,Seamus Power,86,253,125,128
135,T136,T136,Harris English,84,254,90,164
136,T136,T136,Matt Kuchar,88,254,160,94
137,T136,T136,William McGirt,84,254,177,77
138,139,139,Ben Crane,65,256,119,137
139,140,140,Chad Campbell,87,257,137,120
140,141,141,John Huh,94,259,148,111
141,142,142,Bud Cauley,55,264,117,147
142,T143,T143,Alex Cejka,77,265,111,154
143,T143,T143,Kelly Kraft,94,265,113,152
144,T145,T145,Matt Atkins,56,270,108,162
145,T145,T145,Kevin Na,91,270,128,142
146,147,147,Grayson Murray,72,271,96,175
147,148,148,David Lingmerth,82,273,105,168
148,149,149,Zac Blair,64,276,173,103
149,150,150,Jim Furyk,50,278,112,166
150,151,151,Danny Lee,88,279,148,131
151,152,152,"Ted Potter, Jr.",87,281,113,168
152,153,153,Anirban Lahiri,82,288,147,141
153,154,154,Ben Martin,64,289,139,150
154,155,155,Talor Gooch,78,290,131,159
155,156,156,Tom Hoge,101,298,140,158
156,T157,T157,Bill Haas,76,299,159,140
157,T157,T157,Phil Mickelson,90,299,162,137
158,159,159,Cody Gribble,71,304,128,176
159,160,160,Tyrone Van Aswegen,101,308,181,127
160,161,161,Cameron Smith,85,312,145,167
161,162,162,Cameron Tringale,67,313,192,121
162,163,163,Robert Streb,78,317,182,135
163,164,164,Si Woo Kim,108,318,165,153
164,T165,T165,Roberto Díaz,72,319,163,156
165,T165,T165,Matt Every,79,319,175,144
166,167,167,Rod Pampling,62,322,148,174
167,168,168,Patrick Reed,94,327,167,160
168,169,169,Ollie Schniederjans,91,330,157,173
169,170,170,Jonas Blixt,67,331,152,179
170,171,171,Chris Stroud,81,333,161,172
171,172,172,Whee Kim,93,337,176,161
172,173,173,Rob Oppenheim,74,338,189,149
173,T174,T174,Sung Kang,89,339,174,165
174,T174,T174,Charl Schwartzel,65,339,155,184
175,176,176,Zecheng Dou,53,340,183,157
176,177,177,Aaron Baddeley,84,341,178,163
177,178,178,Ricky Barnes,65,343,188,155
178,179,179,Kyle Thompson,50,346,169,177
179,180,180,Jimmy Walker,81,347,167,180
180,T181,T181,Dominic Bozzelli,65,350,165,185
181,T181,T181,Peter Malnati,87,350,179,171
182,T181,T181,Jonathan Randolph,71,350,163,187
183,184,184,Retief Goosen,60,352,170,182
184,185,185,Billy Hurley III,70,353,183,170
185,186,186,Martin Piller,79,359,171,188
186,187,187,Andrew Yun,51,368,187,181
187,188,188,D.A. Points,63,370,179,191
188,189,189,Michael Kim,74,372,186,186
189,190,190,Wesley Bryan,69,376,193,183
190,191,191,Greg Chalmers,56,377,185,192
191,192,192,Derek Fathauer,84,379,190,189
192,193,193,Daniel Summerhays,51,384,191,193
