,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_TOTAL DISTANCE
0,1,1,Jon Rahm,71,70.16,173398.2,247138
1,2,2,Bubba Watson,90,70.08,229025.2,326809
2,3,3,Trey Mullinax,75,70.05,194246.8,277299
3,4,4,Dustin Johnson,77,69.82,209715.7,300387
4,5,5,Tom Lovelady,87,69.58,223724.3,321531
5,6,6,Rory McIlroy,64,69.5,173014.4,248924
6,7,7,Keith Mitchell,99,69.4,271905.4,391781
7,T8,T8,Brooks Koepka,64,69.37,186709.4,269140
8,T8,T8,Luke List,98,69.37,254573.1,366993
9,10,10,Grayson Murray,72,69.3,184859.2,266771
10,11,11,Kevin Chappell,77,69.27,204250.1,294860
11,12,12,Kevin Tway,110,68.89,289146.1,419697
12,13,13,Justin Thomas,91,68.67,230500.6,335661
13,14,14,Patrick Cantlay,87,68.59,221753.4,323306
14,15,15,Tony Finau,105,68.53,266466.9,388822
15,16,16,Brendan Steele,74,68.42,175477.5,256463
16,17,17,Brandon Harkins,101,68.15,270095.5,396326
17,18,18,Gary Woodland,96,68.1,232822.4,341865
18,19,19,Beau Hossler,104,68.02,282328.5,415071
19,20,20,Ryan Palmer,69,68.01,191776.3,281962
20,21,21,J.B. Holmes,77,67.96,215610.0,317257
21,22,22,Peter Uihlein,83,67.92,211742.6,311769
22,23,23,Matt Atkins,56,67.89,124560.1,183483
23,24,24,Byeong Hun An,86,67.78,236834.4,349433
24,25,25,Robert Garrigus,80,67.7,210790.5,311355
25,T26,T26,Jason Kokrak,99,67.69,276759.0,408878
26,T26,T26,Xander Schauffele,96,67.69,238864.5,352897
27,T28,T28,Jordan Spieth,81,67.67,214012.0,316236
28,T28,T28,Aaron Wise,90,67.67,255592.8,377682
29,30,30,Matt Jones,70,67.66,150298.8,222139
30,31,31,Bryson DeChambeau,93,67.57,251012.4,371500
31,32,32,Francesco Molinari,73,67.55,189293.0,280230
32,33,33,Hunter Mahan,67,67.52,154930.4,229473
33,34,34,Harold Varner III,91,67.44,236007.6,349977
34,35,35,Corey Conners,97,67.43,250122.9,370932
35,36,36,J.T. Poston,73,67.41,180649.8,267972
36,37,37,Tommy Fleetwood,73,67.34,178299.5,264781
37,T38,T38,Cameron Percy,56,67.31,130549.1,193964
38,T38,T38,Sam Saunders,80,67.31,212707.0,316022
39,40,40,Adam Schenk,86,67.28,206342.3,306697
40,41,41,Jason Day,75,67.25,159242.3,236791
41,42,42,Charley Hoffman,87,67.23,215085.5,319932
42,43,43,Hudson Swafford,73,67.2,163993.8,244039
43,44,44,Martin Flores,92,67.19,226702.4,337416
44,45,45,Jhonattan Vegas,92,67.14,205462.4,306023
45,46,46,Lanto Griffin,80,67.13,191013.4,284544
46,47,47,Nick Watney,94,67.09,249878.1,372442
47,48,48,Phil Mickelson,90,67.06,226346.1,337522
48,49,49,Brett Stegmaier,67,67.04,145690.8,217327
49,T50,T50,Abraham Ancer,98,67.01,259196.6,386801
50,T50,T50,Stephan Jaeger,81,67.01,195397.5,291587
51,T50,T50,Ethan Tracy,72,67.01,167369.1,249753
52,53,53,Patton Kizzire,92,67.0,250865.8,374410
53,T54,T54,Bronson Burgoon,69,66.98,180008.1,268764
54,T54,T54,Joel Dahmen,93,66.98,224439.2,335091
55,56,56,Zecheng Dou,53,66.94,111874.9,167131
56,57,57,Patrick Rodgers,97,66.88,229133.1,342600
57,58,58,Seamus Power,86,66.87,206617.0,308986
58,59,59,Matt Every,79,66.86,187672.5,280701
59,60,60,Sean O'Hair,67,66.81,173373.2,259519
60,61,61,Hideki Matsuyama,75,66.78,186075.1,278626
61,62,62,Patrick Reed,94,66.76,200567.7,300431
62,63,63,Jamie Lovemark,92,66.7,242042.9,362879
63,T64,T64,Jason Dufner,71,66.68,165197.1,247754
64,T64,T64,Cameron Smith,85,66.68,196312.1,294416
65,T66,T66,Branden Grace,67,66.66,138482.5,207753
66,T66,T66,Brian Harman,94,66.66,235732.3,353619
67,T66,T66,Shane Lowry,64,66.66,158859.6,238316
68,T69,T69,Chesson Hadley,103,66.62,274614.8,412215
69,T69,T69,Rory Sabbatini,91,66.62,233266.3,350160
70,71,71,Scott Stallings,96,66.6,250046.3,375450
71,72,72,Jonas Blixt,67,66.59,150174.9,225532
72,T73,T73,Nate Lashley,51,66.58,109282.0,164126
73,T73,T73,Justin Rose,70,66.58,166144.0,249544
74,75,75,J.J. Spaun,85,66.57,225218.9,338340
75,76,76,Marc Leishman,93,66.54,236395.9,355292
76,77,77,Peter Malnati,87,66.53,232684.4,349729
77,78,78,Charl Schwartzel,65,66.52,133459.9,200638
78,T79,T79,Tyrrell Hatton,58,66.49,137378.7,206630
79,T79,T79,Charles Howell III,104,66.49,247663.8,372499
80,81,81,Sam Ryder,82,66.47,215056.2,323556
