,Ball_Speed_RANK THIS WEEK,Ball_Speed_RANK LAST WEEK,Ball_Speed_PLAYER NAME,Ball_Speed_ROUNDS,Ball_Speed_AVG.,Ball_Speed_TOTAL BALL SPEED,Ball_Speed_TOTAL ATTEMPTS,Ball_Speed_FASTEST SPEED,Ball_Speed_SLOWEST SPEED
0,1,1,Trey Mullinax,75,182.22,9111.2,50,186.44,171.88
1,2,2,Tony Finau,105,181.81,11999.37,66,185.37,177.27
2,3,3,Keith Mitchell,99,181.68,12717.26,70,187.5,176.57
3,4,4,Rory McIlroy,64,181.57,7444.48,41,186.03,176.89
4,5,5,Peter Uihlein,83,181.46,9254.35,51,186.83,174.3
5,6,6,Bubba Watson,90,181.4,9614.14,53,185.26,176.88
6,7,7,Jhonattan Vegas,92,181.35,9248.87,51,186.0,177.34
7,8,8,Dustin Johnson,77,181.27,7975.85,44,185.56,176.55
8,9,9,Kevin Tway,110,181.25,13412.86,74,184.78,174.97
9,10,10,Luke List,98,181.24,12505.23,69,185.36,175.34
10,11,11,Adam Scott,78,180.85,9223.39,51,185.86,175.34
11,12,12,Brooks Koepka,64,180.65,7768.11,43,184.04,173.69
12,13,13,Gary Woodland,96,180.37,9740.15,54,186.55,174.28
13,14,14,Tom Lovelady,87,180.24,11535.47,64,184.58,174.79
14,15,15,Lanto Griffin,80,178.59,8750.71,49,182.1,172.19
15,16,16,Nick Watney,94,178.53,13389.79,75,183.06,173.36
16,17,17,Grayson Murray,72,178.34,9630.42,54,183.11,171.96
17,18,18,Tiger Woods,68,178.23,7485.85,42,182.32,170.88
18,19,19,J.B. Holmes,77,178.22,10514.9,59,183.34,172.04
19,20,20,Seamus Power,86,177.8,10667.76,60,183.81,170.81
20,21,21,Adam Schenk,86,177.58,11365.08,64,181.34,171.12
21,22,22,Ollie Schniederjans,91,177.43,10645.74,60,180.88,172.01
22,23,23,Jason Kokrak,99,177.41,14193.11,80,182.91,171.37
23,24,24,Jon Rahm,71,177.12,7084.78,40,182.39,171.77
24,25,25,Kevin Chappell,77,177.04,8851.92,50,180.07,170.99
25,26,26,Patrick Rodgers,97,177.01,10089.58,57,182.28,172.78
26,27,27,Jason Day,75,176.39,7055.69,40,181.14,170.95
27,28,28,Byeong Hun An,86,176.22,10220.61,58,179.75,171.58
28,29,29,Robert Garrigus,80,176.19,10219.18,58,180.59,169.56
29,30,30,Justin Thomas,91,176.17,9337.08,53,181.07,169.28
30,31,31,Matt Jones,70,176.11,7572.86,43,180.5,171.96
31,32,32,Paul Casey,74,175.97,6159.1,35,181.14,169.0
32,33,33,Harris English,84,175.75,11248.26,64,178.67,167.01
33,34,34,Charl Schwartzel,65,175.55,5617.71,32,179.35,168.95
34,35,35,Bryson DeChambeau,93,175.52,10355.87,59,183.89,167.13
35,36,36,Tommy Fleetwood,73,175.35,7540.0,43,178.47,172.59
36,37,37,Brandon Harkins,101,175.21,12264.54,70,179.21,170.52
37,38,38,Charles Howell III,104,174.85,12064.78,69,177.74,170.42
38,39,39,Brendan Steele,74,174.55,7854.54,45,179.93,170.31
39,40,40,Henrik Stenson,60,174.48,2966.09,17,179.58,166.71
40,41,41,Talor Gooch,78,174.46,8199.67,47,179.45,168.7
41,42,42,Xander Schauffele,96,174.34,10286.1,59,178.36,168.42
42,43,43,Phil Mickelson,90,174.07,8529.47,49,180.89,161.13
43,44,44,Jimmy Walker,81,173.97,8524.68,49,178.35,167.74
44,45,45,Hudson Swafford,73,173.93,7826.81,45,178.0,169.51
45,46,46,Ryan Palmer,69,173.8,9211.64,53,179.89,167.32
46,47,47,Rickie Fowler,74,173.7,7469.18,43,178.86,166.93
47,48,48,Branden Grace,67,173.69,5558.15,32,177.7,168.68
48,49,49,Patrick Reed,94,173.5,9022.19,52,178.66,166.76
49,50,50,Harold Varner III,91,173.46,11968.98,69,179.53,166.22
50,51,51,Hideki Matsuyama,75,173.41,7109.76,41,178.33,167.55
51,52,52,Scott Stallings,96,173.38,12483.52,72,179.12,163.2
52,53,53,Alex Noren,67,173.28,6411.25,37,177.59,168.8
53,54,54,Marc Leishman,93,173.1,9866.62,57,176.89,168.64
54,55,55,Patrick Cantlay,87,173.07,9691.82,56,178.66,168.89
55,56,56,Justin Rose,70,172.64,6733.09,39,179.44,166.94
56,57,57,Tyrrell Hatton,58,172.56,5004.34,29,176.48,167.52
57,58,58,Charley Hoffman,87,172.4,9481.89,55,176.74,165.22
58,59,59,Corey Conners,97,172.13,13253.83,77,176.28,162.36
59,60,60,Jamie Lovemark,92,172.07,11528.47,67,176.66,166.1
60,61,61,Lucas Glover,65,171.9,7048.07,41,176.22,165.57
61,62,62,Patton Kizzire,92,171.88,11859.43,69,176.66,167.55
62,63,63,Aaron Wise,90,171.85,10998.56,64,175.64,167.5
63,64,64,J.T. Poston,73,171.83,9622.46,56,176.45,166.75
64,T65,T65,Chesson Hadley,103,171.81,14260.3,83,175.45,165.45
65,T65,T65,Shane Lowry,64,171.81,7387.84,43,175.33,166.92
66,T67,T67,Sean O'Hair,67,171.76,9103.11,53,177.03,167.45
67,T67,T67,Ethan Tracy,72,171.76,7900.91,46,176.4,165.88
68,T69,T69,Stewart Cink,87,171.43,10971.65,64,176.19,162.52
69,T69,T69,Robert Streb,78,171.43,9600.05,56,175.51,163.17
70,71,71,Louis Oosthuizen,62,171.42,7028.33,41,175.59,166.14
71,72,72,Keegan Bradley,98,171.27,12331.11,72,174.45,166.67
72,73,73,Martin Laird,73,171.22,9074.64,53,174.58,167.89
73,74,74,Dominic Bozzelli,65,171.08,9067.29,53,175.83,165.63
74,75,75,Martin Flores,92,171.0,10943.77,64,177.36,165.57
75,76,76,Mackenzie Hughes,80,170.72,10926.15,64,174.15,165.23
76,77,77,Aaron Baddeley,84,170.68,10240.74,60,174.72,166.01
77,78,78,Sam Saunders,80,170.67,9728.19,57,175.55,164.79
78,79,79,Jordan Spieth,81,170.46,10056.91,59,175.59,164.44
79,80,80,Bronson Burgoon,69,170.27,8173.12,48,175.36,165.15
80,T81,T81,Matt Atkins,56,170.18,6296.67,37,174.52,164.47
81,T81,T81,Daniel Berger,81,170.18,9019.6,53,173.91,164.48
82,83,83,Billy Horschel,86,170.04,12242.83,72,179.17,164.37
83,84,84,Ricky Barnes,65,169.94,5607.88,33,174.61,165.63
84,85,85,Conrad Shindler,60,169.92,4927.59,29,174.05,163.2
85,86,86,Bill Haas,76,169.91,7986.0,47,173.54,164.13
86,87,87,Cameron Smith,85,169.89,7984.69,47,174.09,164.78
87,88,88,Sam Ryder,82,169.88,10193.02,60,175.38,161.98
88,89,89,Stephan Jaeger,81,169.4,9486.35,56,174.67,163.29
89,90,90,Shawn Stefani,76,169.38,8638.2,51,175.27,163.66
90,91,91,Denny McCarthy,71,169.32,6942.1,41,172.04,166.1
91,92,92,Xinjun Zhang,81,169.29,8295.14,49,176.56,159.04
92,93,93,Kevin Streelman,94,169.2,12689.76,75,172.48,159.19
93,94,94,Emiliano Grillo,94,169.17,11503.42,68,173.37,164.2
94,95,95,Jason Dufner,71,169.16,7442.84,44,173.98,163.24
95,96,96,Matt Every,79,169.1,8962.04,53,174.39,161.06
96,97,97,Nate Lashley,51,168.96,5575.64,33,172.6,163.91
97,98,98,Francesco Molinari,73,168.94,7602.17,45,174.4,163.06
98,99,99,Hunter Mahan,67,168.91,8445.38,50,172.25,163.65
99,100,100,Sung Kang,89,168.69,8940.76,53,173.55,164.52
100,101,101,Brice Garnett,99,168.59,11464.12,68,172.22,164.09
101,102,102,Nicholas Lindheim,77,168.57,8597.01,51,175.04,162.42
102,103,103,Scott Piercy,84,168.51,8425.3,50,173.44,161.14
103,104,104,Pat Perez,82,168.41,6904.84,41,172.73,159.82
104,105,105,Kiradech Aphibarnrat,51,168.4,4546.78,27,171.17,161.75
105,106,106,Bud Cauley,55,168.39,6398.82,38,171.89,163.48
106,107,107,Cody Gribble,71,168.33,7406.48,44,173.02,162.85
107,108,108,Adam Hadwin,92,168.2,8746.53,52,171.03,162.51
108,109,109,Kyle Stanley,93,168.09,9749.16,58,173.98,162.81
109,110,110,Tyrone Van Aswegen,101,167.96,11757.43,70,173.16,162.69
110,111,111,Joel Dahmen,93,167.94,11420.2,68,172.91,161.82
111,112,112,James Hahn,85,167.88,10408.72,62,173.0,159.56
112,113,113,Russell Henley,77,167.69,7210.54,43,171.58,162.18
113,114,114,Abraham Ancer,98,167.57,13405.23,80,174.44,160.94
114,115,115,J.J. Henry,81,167.53,8711.31,52,173.05,158.57
115,T116,T116,Rafa Cabrera Bello,75,167.46,6196.15,37,171.91,163.52
116,T116,T116,C.T. Pan,104,167.46,11555.04,69,172.38,163.4
117,118,118,Ian Poulter,73,167.36,7029.16,42,170.28,164.31
118,119,119,Anirban Lahiri,82,167.32,10541.26,63,173.43,161.29
119,T120,T120,Beau Hossler,104,167.31,13217.27,79,172.49,156.65
120,T120,T120,Andrew Putnam,97,167.31,11544.18,69,173.17,162.47
121,122,122,J.J. Spaun,85,167.24,9867.12,59,173.02,161.21
122,123,123,Michael Thompson,62,167.02,8852.25,53,171.01,161.22
123,124,124,Blayne Barber,69,166.91,8512.52,51,172.62,160.57
124,125,125,Troy Merritt,89,166.88,11180.64,67,170.92,159.57
125,126,126,Cameron Percy,56,166.61,6331.21,38,171.31,159.21
126,127,127,Retief Goosen,60,166.59,6163.73,37,169.99,160.89
127,128,128,Tyler Duncan,97,166.51,10823.28,65,171.77,161.76
128,129,129,Rob Oppenheim,74,166.5,8158.72,49,171.0,159.63
129,130,130,Ben Silverman,90,166.43,10984.32,66,174.41,160.23
130,131,131,Andrew Landry,82,166.35,10812.69,65,169.23,162.9
131,T132,T132,Jonathan Byrd,70,166.28,7149.96,43,170.0,161.16
132,T132,T132,Kevin Na,91,166.28,9976.74,60,172.67,158.07
133,134,134,Si Woo Kim,108,166.27,11306.58,68,169.83,160.99
134,135,135,Rory Sabbatini,91,166.25,11471.13,69,174.35,161.91
135,136,136,Austin Cook,107,166.22,13795.86,83,173.04,160.61
136,137,137,Chris Stroud,81,166.06,8469.18,51,173.09,159.47
137,138,138,Brett Stegmaier,67,166.03,7305.14,44,171.26,153.02
138,139,139,Tom Hoge,101,166.0,13113.73,79,170.6,160.02
139,140,140,Scott Brown,102,165.98,11452.42,69,170.46,159.12
140,141,141,Russell Knox,94,165.97,11120.32,67,169.52,161.95
141,142,142,Chris Kirk,108,165.84,14925.56,90,170.68,159.03
142,T143,T143,Zecheng Dou,53,165.76,5138.63,31,170.8,159.42
143,T143,T143,"Ted Potter, Jr.",87,165.76,11602.94,70,170.93,159.71
144,145,145,Danny Lee,88,165.68,10769.22,65,172.5,159.65
145,146,146,Ben Martin,64,165.61,9274.23,56,169.8,156.44
146,147,147,Derek Fathauer,84,165.6,9936.09,60,170.53,154.42
147,148,148,Brandt Snedeker,84,165.37,9756.54,59,171.38,160.44
148,149,149,Peter Malnati,87,165.3,11240.43,68,171.4,157.13
149,150,150,Andrew Yun,51,165.25,4957.55,30,169.18,160.5
150,151,151,Jonas Blixt,67,165.21,7599.84,46,172.28,157.24
151,152,152,Satoshi Kodaira,51,165.13,4458.42,27,169.19,159.88
152,153,153,William McGirt,84,165.07,11555.17,70,169.53,158.97
153,154,154,Fabián Gómez,88,165.03,10396.93,63,170.2,161.62
154,155,155,Webb Simpson,95,164.95,11546.24,70,169.28,158.26
155,156,156,Kevin Kisner,89,164.87,9397.6,57,170.15,159.36
156,157,157,Cameron Tringale,67,164.84,7582.7,46,172.26,157.44
157,158,158,Michael Kim,74,164.54,7898.16,48,169.8,154.74
158,159,159,Graeme McDowell,67,164.41,6740.91,41,169.66,157.99
159,160,160,Zach Johnson,94,164.14,10012.42,61,168.71,155.17
160,161,161,Richy Werenski,98,164.05,10663.32,65,168.54,159.61
161,162,162,Brian Harman,94,164.02,9349.29,57,167.14,160.94
162,163,163,Whee Kim,93,163.98,9346.85,57,167.84,156.89
163,164,164,David Lingmerth,82,163.9,10325.82,63,168.06,158.88
164,165,165,Martin Piller,79,163.87,9996.09,61,168.21,159.19
165,166,166,Rod Pampling,62,163.86,7045.85,43,168.0,155.86
166,167,167,Nick Taylor,94,163.72,11132.76,68,167.65,160.91
167,168,168,Chad Campbell,87,163.67,8183.53,50,170.42,157.86
168,169,169,Wesley Bryan,69,163.44,6374.06,39,167.24,159.41
169,170,170,Kelly Kraft,94,163.12,11254.98,69,168.08,158.67
170,171,171,Steve Wheatcroft,60,162.91,6679.28,41,168.18,159.93
171,172,172,John Huh,94,162.77,11882.27,73,167.08,154.81
172,173,173,Ryan Moore,78,162.68,9597.97,59,165.42,155.86
173,174,174,Jonathan Randolph,71,162.51,9750.78,60,166.87,155.14
174,175,175,Matt Kuchar,88,162.45,9097.4,56,166.69,157.81
175,176,176,Daniel Summerhays,51,162.06,5510.14,34,165.49,156.05
176,177,177,Ryan Blaum,81,161.74,10027.62,62,165.92,154.49
177,178,178,Billy Hurley III,70,161.67,8891.61,55,166.3,157.59
178,179,179,Johnson Wagner,75,161.36,7584.04,47,165.31,155.93
179,180,180,Roberto Díaz,72,161.27,8386.14,52,170.45,154.74
180,181,181,Ryan Armour,109,161.19,14346.09,89,166.1,157.12
181,182,182,Chez Reavie,93,160.99,7405.68,46,163.25,157.99
182,183,183,Greg Chalmers,56,160.9,6436.11,40,167.37,149.69
183,184,184,Ben Crane,65,160.75,7233.77,45,165.69,155.14
184,185,185,Alex Cejka,77,160.36,8820.01,55,163.06,156.36
185,186,186,D.A. Points,63,160.2,6728.4,42,165.8,152.6
186,187,187,Vaughn Taylor,83,160.07,10724.99,67,162.97,156.44
187,188,188,David Hearn,66,159.56,7180.31,45,163.16,154.57
188,189,189,Brian Stuard,103,158.74,12699.06,80,163.1,151.34
189,190,190,Zac Blair,64,158.44,6812.89,43,163.87,146.5
190,191,191,Kyle Thompson,50,158.42,5228.0,33,162.41,154.76
191,192,192,Jim Furyk,50,157.36,5192.85,33,161.32,153.12
192,193,193,Brian Gay,103,157.17,12573.31,80,160.26,153.51
