,Carry_Efficiency_RANK THIS WEEK,Carry_Efficiency_RANK LAST WEEK,Carry_Efficiency_PLAYER NAME,Carry_Efficiency_ROUNDS,Carry_Efficiency_AVG.,Carry_Efficiency_AVERAGE CARRY DIST. YARDS,Carry_Efficiency_AVERAGE CLUB HEAD SPEED,Carry_Efficiency_TOTAL ATTEMPTS,Carry_Efficiency_HIGHEST CARRY EFFICIENCY
0,1,1,Francesco Molinari,73,2.545,286.8,112.678,43,2.7430000000000003
1,2,2,Beau Hossler,104,2.541,283.0,111.365,74,2.7489999999999997
2,3,3,Cody Gribble,71,2.54,285.3,112.311,44,2.81
3,4,4,Phil Mickelson,90,2.536,295.2,116.37799999999999,48,2.7680000000000002
4,5,5,Jon Rahm,71,2.532,299.9,118.43700000000001,37,2.822
5,6,6,Brett Stegmaier,67,2.522,279.5,110.853,44,2.747
6,7,7,Jason Day,75,2.521,295.6,117.236,39,2.747
7,T8,T8,Bud Cauley,55,2.52,282.8,112.212,36,2.747
8,T8,T8,Rory McIlroy,64,2.52,305.6,121.277,38,2.783
9,10,10,Rickie Fowler,74,2.516,291.5,115.85,38,2.77
10,11,11,Sam Saunders,80,2.5140000000000002,285.0,113.376,53,2.719
11,T12,T12,Retief Goosen,60,2.512,281.6,112.10600000000001,34,2.715
12,T12,T12,Tom Lovelady,87,2.512,302.6,120.479,61,2.79
13,T12,T12,Justin Rose,70,2.512,293.5,116.836,36,2.75
14,15,15,Harold Varner III,91,2.509,292.9,116.719,61,2.6719999999999997
15,T16,T16,Denny McCarthy,71,2.506,283.7,113.20200000000001,40,2.73
16,T16,T16,Richy Werenski,98,2.506,273.6,109.166,63,2.745
17,18,18,Bronson Burgoon,69,2.501,283.3,113.281,46,2.682
18,19,19,Cameron Tringale,67,2.499,278.1,111.309,44,2.6860000000000004
19,20,20,Jonas Blixt,67,2.498,276.2,110.54700000000001,43,2.7119999999999997
20,21,21,Bryson DeChambeau,93,2.497,294.2,117.84200000000001,58,2.693
21,T22,T22,David Hearn,66,2.496,268.4,107.535,45,2.71
22,T22,T22,Sung Kang,89,2.496,280.9,112.54899999999999,46,2.722
23,T22,T22,Satoshi Kodaira,51,2.496,276.8,110.876,26,2.7060000000000004
24,T22,T22,Sean O'Hair,67,2.496,285.4,114.366,48,2.719
