,Launch_Angle_RANK THIS WEEK,Launch_Angle_RANK LAST WEEK,Launch_Angle_PLAYER NAME,Launch_Angle_ROUNDS,Launch_Angle_AVG.,Launch_Angle_TOTAL VERT. LAUNCH ANGLE,Launch_Angle_TOTAL ATTEMPTS,Launch_Angle_LOWEST LAUNCH ANGLE,Launch_Angle_STEEPEST LAUNCH ANGLE
0,1,1,Sam Saunders,80,14.71,838.62,57,10.45,18.49
1,2,2,James Hahn,85,13.96,865.83,62,9.25,17.49
2,3,3,Brian Gay,103,13.94,1115.02,80,11.32,16.68
3,4,4,Cody Gribble,71,13.67,601.64,44,10.45,17.11
4,5,5,David Hearn,66,13.47,606.08,45,10.33,16.1
5,6,6,Bud Cauley,55,13.42,509.84,38,9.27,18.49
6,7,7,Retief Goosen,60,13.4,495.67,37,6.96,18.47
7,8,8,Alex Cejka,77,13.32,732.53,55,8.83,17.75
8,9,9,Beau Hossler,104,13.3,1050.38,79,7.88,17.81
9,10,10,Danny Lee,88,13.28,863.05,65,8.51,17.35
10,11,11,Ryan Blaum,81,13.2,818.2,62,9.61,16.54
11,T12,T12,Brett Stegmaier,67,13.15,578.76,44,10.29,17.25
12,T12,T12,Vaughn Taylor,83,13.15,881.21,67,10.33,17.25
13,14,14,Matt Atkins,56,13.02,481.67,37,6.32,17.42
14,15,15,Satoshi Kodaira,51,12.95,349.73,27,10.57,16.0
15,16,16,Tom Lovelady,87,12.91,826.3,64,8.56,18.35
16,T17,T17,Francesco Molinari,73,12.72,572.23,45,8.76,16.03
17,T17,T17,Cameron Tringale,67,12.72,585.28,46,8.81,16.74
18,19,19,Kevin Chappell,77,12.7,635.03,50,8.89,17.38
19,T20,T20,Jonas Blixt,67,12.62,580.65,46,9.01,16.73
20,T20,T20,Michael Kim,74,12.62,605.82,48,9.43,16.84
21,22,22,Austin Cook,107,12.61,1046.59,83,8.64,16.53
22,23,23,Graeme McDowell,67,12.6,516.49,41,7.53,16.34
23,T24,T24,Chez Reavie,93,12.54,576.87,46,9.88,16.73
24,T24,T24,Harold Varner III,91,12.54,864.98,69,6.79,15.71
25,26,26,Phil Mickelson,90,12.53,613.94,49,7.14,15.39
26,27,27,John Huh,94,12.47,910.6,73,9.21,15.5
27,28,28,Sean O'Hair,67,12.44,659.06,53,7.43,16.78
28,29,29,Anirban Lahiri,82,12.41,782.07,63,9.35,17.16
29,T30,T30,Rickie Fowler,74,12.38,532.35,43,9.94,16.87
30,T30,T30,Martin Piller,79,12.38,754.89,61,8.56,15.91
31,32,32,Sung Kang,89,12.37,655.84,53,5.32,18.02
32,33,33,Brian Harman,94,12.31,701.64,57,8.36,16.28
33,34,34,Zach Johnson,94,12.3,750.45,61,9.84,15.32
34,35,35,Whee Kim,93,12.28,699.89,57,8.45,15.96
35,36,36,Jordan Spieth,81,12.26,723.59,59,9.09,15.51
36,37,37,Blayne Barber,69,12.25,624.89,51,9.27,15.91
37,38,38,Brice Garnett,99,12.24,832.56,68,8.69,16.29
38,39,39,Cameron Percy,56,12.21,463.81,38,7.62,14.92
39,T40,T40,Zac Blair,64,12.18,523.86,43,7.49,16.77
40,T40,T40,Kelly Kraft,94,12.18,840.32,69,7.3,16.2
41,42,42,Stephan Jaeger,81,12.16,681.01,56,4.57,16.45
42,43,43,Pat Perez,82,12.15,498.0,41,7.24,18.62
43,44,44,Jason Day,75,12.14,485.65,40,8.3,14.67
44,45,45,Jason Kokrak,99,12.12,969.25,80,6.92,16.94
45,T46,T46,Byeong Hun An,86,12.1,701.56,58,9.55,14.76
46,T46,T46,Tyrrell Hatton,58,12.1,350.95,29,8.88,14.9
47,T48,T48,D.A. Points,63,12.09,507.63,42,8.59,16.38
48,T48,T48,Justin Rose,70,12.09,471.49,39,6.92,15.61
49,50,50,Denny McCarthy,71,12.08,495.19,41,8.89,14.28
50,T51,T51,Bryson DeChambeau,93,12.06,711.75,59,5.69,16.52
51,T51,T51,Richy Werenski,98,12.06,783.6,65,7.82,15.77
52,53,53,Wesley Bryan,69,12.03,469.16,39,7.1,17.23
53,54,54,Joel Dahmen,93,12.02,817.5,68,5.62,15.35
54,55,55,Brian Stuard,103,11.99,959.18,80,5.68,15.95
55,56,56,Kyle Thompson,50,11.96,394.58,33,5.88,15.11
56,57,57,Scott Piercy,84,11.91,595.59,50,6.32,14.95
57,58,58,Rory McIlroy,64,11.9,488.04,41,7.16,15.77
58,59,59,Webb Simpson,95,11.89,832.08,70,8.12,15.29
59,T60,T60,Jonathan Byrd,70,11.87,510.4,43,8.55,15.12
60,T60,T60,Xander Schauffele,96,11.87,700.19,59,6.79,15.88
61,62,62,Troy Merritt,89,11.86,794.44,67,8.35,14.67
62,63,63,Cameron Smith,85,11.83,555.81,47,8.09,14.85
63,64,64,Michael Thompson,62,11.81,625.75,53,9.0,14.14
64,65,65,Chad Campbell,87,11.75,587.29,50,6.62,15.23
65,66,66,Tom Hoge,101,11.73,926.92,79,6.78,16.02
66,67,67,Bronson Burgoon,69,11.72,562.55,48,6.68,14.89
67,68,68,Johnson Wagner,75,11.68,548.88,47,5.63,16.12
68,69,69,Louis Oosthuizen,62,11.63,476.81,41,7.82,15.23
69,70,70,Jamie Lovemark,92,11.62,778.75,67,7.37,15.84
70,71,71,Nick Taylor,94,11.61,789.4,68,8.42,14.53
