,Left_Rough_Tendency_RANK THIS WEEK,Left_Rough_Tendency_RANK LAST WEEK,Left_Rough_Tendency_PLAYER NAME,Left_Rough_Tendency_ROUNDS,Left_Rough_Tendency_%,Left_Rough_Tendency_TOTAL LEFT ROUGH,Left_Rough_Tendency_POSSIBLE FWYS,Left_Rough_Tendency_RELATIVE TO PAR
0,1,1,Ryan Moore,78,7.39,68,920,+0.10
1,2,2,Martin Laird,73,8.04,68,846,+0.01
2,3,3,Kevin Streelman,94,8.57,98,1143,-0.09
3,4,4,Henrik Stenson,60,8.79,54,614,+0.06
4,5,5,Kyle Stanley,93,9.25,87,941,+0.07
5,6,6,Steve Wheatcroft,60,9.42,60,637,+0.05
6,7,7,Adam Hadwin,92,9.45,87,921,+0.20
7,8,8,Ryan Armour,109,9.46,127,1343,+0.09
8,9,9,Russell Knox,94,9.72,100,1029,+0.05
9,10,10,Ian Poulter,73,9.78,68,695,+0.04
10,11,11,Andrew Landry,82,9.93,101,1017,+0.12
11,12,12,Scott Piercy,84,9.95,94,945,+0.13
12,13,13,Chez Reavie,93,10.04,84,837,+0.07
13,14,14,Rickie Fowler,74,10.12,86,850,-0.01
14,T15,T15,Brian Gay,103,10.29,132,1283,+0.21
15,T15,T15,Russell Henley,77,10.29,84,816,+0.20
16,17,17,Sam Ryder,82,10.3,100,971,+0.16
17,18,18,Tyler Duncan,97,10.44,118,1130,+0.03
18,19,19,James Hahn,85,10.53,101,959,+0.14
19,20,20,Alex Noren,67,10.54,72,683,+0.11
20,21,21,Emiliano Grillo,94,10.63,108,1016,+0.08
21,22,22,C.T. Pan,104,10.71,122,1139,+0.16
22,23,23,Justin Rose,70,10.72,79,737,-0.01
23,24,24,Daniel Berger,81,10.73,93,867,+0.10
24,25,25,Xander Schauffele,96,10.79,108,1001,+0.06
25,26,26,Bronson Burgoon,69,10.83,86,794,+0.14
26,27,27,Francesco Molinari,73,10.87,86,791,+0.21
27,28,28,Ben Martin,64,10.89,86,790,+0.10
28,29,29,Lucas Glover,65,10.95,70,639,+0.17
29,T30,T30,Joel Dahmen,93,11.02,109,989,-0.08
30,T30,T30,Aaron Wise,90,11.02,122,1107,+0.17
31,32,32,Abraham Ancer,98,11.27,130,1154,E
32,33,33,Charley Hoffman,87,11.3,107,947,-0.04
33,34,34,Vaughn Taylor,83,11.36,111,977,+0.05
34,35,35,Branden Grace,67,11.37,69,607,+0.09
35,T36,T36,Tyrrell Hatton,58,11.41,67,587,+0.18
36,T36,T36,Michael Kim,74,11.41,84,736,+0.08
37,38,38,Satoshi Kodaira,51,11.45,64,559,+0.38
38,39,39,Brian Stuard,103,11.49,141,1227,+0.10
39,40,40,Corey Conners,97,11.57,127,1098,+0.07
40,41,41,Adam Scott,78,11.66,96,823,+0.07
41,T42,T42,Jim Furyk,50,11.72,75,640,+0.13
42,T42,T42,Rod Pampling,62,11.72,73,623,+0.07
