,Rough_Tendency_RANK THIS WEEK,Rough_Tendency_RANK LAST WEEK,Rough_Tendency_PLAYER NAME,Rough_Tendency_ROUNDS,Rough_Tendency_%,Rough_Tendency_TOTAL ROUGH,Rough_Tendency_POSSIBLE FWYS,Rough_Tendency_RELATIVE TO PAR
0,1,1,Henrik Stenson,60,16.61,102,614,0.88
1,2,2,Ryan Armour,109,19.36,260,1343,0.15
2,3,3,Chez Reavie,93,20.91,175,837,0.86
3,4,4,Ryan Moore,78,21.2,195,920,0.72
4,5,5,Kyle Stanley,93,21.36,201,941,1.24
5,T6,T6,Brian Gay,103,21.67,278,1283,1.83
6,T6,T6,Russell Knox,94,21.67,223,1029,1.08
7,8,8,Brian Stuard,103,21.84,268,1227,1.49
8,9,9,Emiliano Grillo,94,22.15,225,1016,0.93
9,10,10,Russell Henley,77,22.43,183,816,2.08
10,11,11,Steve Wheatcroft,60,22.61,144,637,1.25
11,12,12,C.T. Pan,104,22.74,259,1139,1.31
12,13,13,Kevin Streelman,94,23.01,263,1143,0.04
13,14,14,Michael Thompson,62,23.17,180,777,1.11
14,15,15,Vaughn Taylor,83,23.23,227,977,0.84
15,16,16,Keegan Bradley,98,23.33,259,1110,1.35
16,17,17,Adam Hadwin,92,23.34,215,921,1.12
17,18,18,Justin Rose,70,23.61,174,737,0.17
18,19,19,Hudson Swafford,73,23.62,171,724,-0.18
19,T20,T20,Austin Cook,107,23.65,303,1281,0.86
20,T20,T20,David Lingmerth,82,23.65,227,960,0.44
21,22,22,Brian Harman,94,23.71,239,1008,1.26
22,23,23,Billy Horschel,86,23.98,259,1080,-0.08
23,24,24,Kevin Kisner,89,24.09,219,909,1.28
24,25,25,J.J. Spaun,85,24.34,241,990,0.79
25,26,26,Jim Furyk,50,24.38,156,640,1.03
26,27,27,Francesco Molinari,73,24.4,193,791,1.71
27,28,28,Ben Martin,64,24.56,194,790,1.29
28,29,29,Sam Ryder,82,24.72,240,971,1.0
29,30,30,Ian Poulter,73,24.75,172,695,0.47
30,31,31,Rafa Cabrera Bello,75,24.78,166,670,1.51
31,32,32,Aaron Wise,90,24.93,276,1107,1.3
32,33,33,Joel Dahmen,93,24.97,247,989,-0.4
33,34,34,James Hahn,85,25.03,240,959,0.71
34,35,35,Jason Dufner,71,25.1,182,725,1.26
35,36,36,Tyler Duncan,97,25.22,285,1130,1.12
36,37,37,Denny McCarthy,71,25.26,172,681,0.93
37,38,38,Zach Johnson,94,25.28,252,997,1.03
38,39,39,Kelly Kraft,94,25.49,262,1028,1.15
39,40,40,Kiradech Aphibarnrat,51,25.53,121,474,1.74
40,41,41,Tommy Fleetwood,73,25.63,193,753,1.24
41,42,42,Lucas Glover,65,25.67,164,639,0.91
42,43,43,J.J. Henry,81,25.72,224,871,1.07
43,44,44,Xinjun Zhang,81,25.83,203,786,1.72
44,45,45,"Ted Potter, Jr.",87,25.84,276,1068,1.45
45,46,46,Rickie Fowler,74,25.88,220,850,0.73
46,47,47,Satoshi Kodaira,51,25.94,145,559,3.17
47,48,48,Richy Werenski,98,25.95,267,1029,1.84
48,49,49,Brandt Snedeker,84,26.05,267,1025,0.22
49,50,50,Paul Casey,74,26.07,177,679,0.28
50,51,51,Blayne Barber,69,26.23,218,831,0.46
51,52,52,Martin Laird,73,26.24,222,846,0.09
52,53,53,Adam Scott,78,26.25,216,823,0.42
53,54,54,Alex Cejka,77,26.29,219,833,1.32
54,55,55,Bronson Burgoon,69,26.32,209,794,1.24
55,56,56,Daniel Berger,81,26.41,229,867,0.83
56,57,57,Rod Pampling,62,26.48,165,623,1.45
57,58,58,Beau Hossler,104,26.52,331,1248,0.06
58,59,59,Kevin Na,91,26.54,259,976,2.16
59,60,60,Conrad Shindler,60,26.63,163,612,1.47
60,61,61,David Hearn,66,26.69,186,697,1.24
61,62,62,Troy Merritt,89,26.73,271,1014,0.18
62,63,63,Andrew Landry,82,26.84,273,1017,1.06
63,64,64,Ben Crane,65,26.86,173,644,1.1
64,65,65,Danny Lee,88,26.93,261,969,0.96
65,66,66,Greg Chalmers,56,26.98,153,567,1.11
66,T67,T67,Tom Hoge,101,27.02,311,1151,0.64
67,T67,T67,Chris Kirk,108,27.02,361,1336,0.3
68,69,69,Bryson DeChambeau,93,27.08,293,1082,0.31
69,70,70,Matt Kuchar,88,27.11,244,900,0.45
70,71,71,Johnson Wagner,75,27.15,208,766,0.43
71,72,72,Mackenzie Hughes,80,27.33,258,944,1.28
72,73,73,Nate Lashley,51,27.37,133,486,0.53
73,74,74,Fabián Gómez,88,27.38,270,986,0.81
74,75,75,John Huh,94,27.42,314,1145,1.05
75,76,76,Ben Silverman,90,27.44,290,1057,1.24
76,77,77,Xander Schauffele,96,27.47,275,1001,0.8
77,78,78,Jonathan Randolph,71,27.49,229,833,1.4
78,79,79,Rory Sabbatini,91,27.67,288,1041,-0.07
79,80,80,Louis Oosthuizen,62,27.9,178,638,1.07
80,81,81,Scott Piercy,84,27.94,264,945,0.91
81,82,82,Alex Noren,67,27.96,191,683,0.94
82,83,83,Graeme McDowell,67,27.99,178,636,0.62
83,84,84,Ryan Blaum,81,28.02,281,1003,1.42
84,85,85,Charles Howell III,104,28.11,305,1085,0.49
85,86,86,Gary Woodland,96,28.12,273,971,0.22
86,87,87,Corey Conners,97,28.14,309,1098,0.68
87,T88,T88,Whee Kim,93,28.15,284,1009,1.44
88,T88,T88,Shane Lowry,64,28.15,199,707,0.9
89,90,90,Jordan Spieth,81,28.23,258,914,0.23
90,91,91,Ryan Palmer,69,28.31,235,830,0.47
91,92,92,Brice Garnett,99,28.39,320,1127,1.47
92,93,93,Tyrrell Hatton,58,28.45,167,587,0.18
