,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_TOTAL DISTANCE
0,1,1,Rory McIlroy,64,57.05,44528.2,78052
1,2,2,Dustin Johnson,77,56.55,56880.4,100591
2,3,3,Tom Lovelady,87,56.32,66471.6,118031
3,4,4,Brooks Koepka,64,56.1,44312.0,78988
4,5,5,Keith Mitchell,99,56.09,76959.4,137213
5,6,6,Bubba Watson,90,56.07,60993.6,108779
6,7,7,Tony Finau,105,55.84,74879.9,134090
7,8,8,Gary Woodland,96,55.82,61008.8,109297
8,9,9,Luke List,98,55.7,74528.3,133792
9,10,10,Jon Rahm,71,55.53,45994.6,82832
10,11,11,Trey Mullinax,75,55.49,53534.5,96478
11,12,12,Jason Kokrak,99,55.44,84086.2,151672
12,T13,T13,Justin Thomas,91,55.21,57196.7,103590
13,T13,T13,Kevin Tway,110,55.21,85764.1,155354
14,15,15,Grayson Murray,72,55.18,62962.6,114096
15,16,16,Brendan Steele,74,55.11,51531.0,93510
16,17,17,Bryson DeChambeau,93,55.07,71591.6,130011
17,18,18,Robert Garrigus,80,55.02,67147.8,122033
18,19,19,Harold Varner III,91,54.98,67272.1,122367
19,20,20,Jason Day,75,54.92,43735.5,79629
20,21,21,J.B. Holmes,77,54.79,65505.0,119551
21,22,22,Byeong Hun An,86,54.74,65647.0,119928
22,23,23,Tommy Fleetwood,73,54.69,46151.8,84383
23,24,24,Kevin Chappell,77,54.58,58130.0,106502
24,25,25,Ryan Palmer,69,54.46,54568.9,100192
