,Hang_Time_RANK THIS WEEK,Hang_Time_RANK LAST WEEK,Hang_Time_PLAYER NAME,Hang_Time_ROUNDS,Hang_Time_AVG.,Hang_Time_TOTAL ACTUAL HANG TIME,Hang_Time_TOTAL ATTEMPTS,Hang_Time_LONGEST ACT. HANG TIME,Hang_Time_SHORTEST ACT. HANG TIME
0,1,1,Gary Woodland,96,7.0,375.7,54,8.2,4.9
1,T2,T2,Byeong Hun An,86,6.9,385.2,56,8.1,3.4
2,T2,T2,Keegan Bradley,98,6.9,488.8,71,8.5,1.7
3,T2,T2,Tyrrell Hatton,58,6.9,200.1,29,7.8,5.0
4,T2,T2,Stephan Jaeger,81,6.9,378.9,55,8.2,4.7
5,T2,T2,Luke List,98,6.9,461.7,67,7.8,3.1
6,T7,T7,Ryan Blaum,81,6.8,424.6,62,8.7,5.0
7,T7,T7,Tom Lovelady,87,6.8,421.7,62,8.5,3.0
8,T7,T7,Phil Mickelson,90,6.8,325.6,48,7.9,4.0
9,T7,T7,Trey Mullinax,75,6.8,331.3,49,8.7,3.5
10,T11,T11,Alex Cejka,77,6.7,369.8,55,7.5,2.7
11,T11,T11,Kevin Chappell,77,6.7,335.0,50,8.0,1.0
12,T11,T11,Joel Dahmen,93,6.7,456.8,68,7.9,2.8
13,T11,T11,Tommy Fleetwood,73,6.7,288.6,43,8.7,2.8
14,T11,T11,James Hahn,85,6.7,410.6,61,8.0,3.6
15,T11,T11,J.B. Holmes,77,6.7,381.7,57,8.2,2.2
16,T11,T11,Billy Horschel,86,6.7,465.5,70,8.1,4.0
17,T11,T11,Dustin Johnson,77,6.7,286.1,43,8.1,3.2
18,T11,T11,Jason Kokrak,99,6.7,527.7,79,7.7,3.8
19,T11,T11,Danny Lee,88,6.7,431.5,64,7.8,4.3
20,T11,T11,Alex Noren,67,6.7,240.3,36,7.9,2.9
21,T11,T11,Sean O'Hair,67,6.7,321.4,48,7.7,3.4
22,T11,T11,Jon Rahm,71,6.7,262.2,39,7.8,5.0
23,T11,T11,Xander Schauffele,96,6.7,395.6,59,8.1,4.4
