,Longest_Drives_RANK THIS WEEK,Longest_Drives_RANK LAST WEEK,Longest_Drives_PLAYER NAME,Longest_Drives_ROUNDS,Longest_Drives_DISTANCE,Longest_Drives_TOURNAMENT,Longest_Drives_ROUND,Longest_Drives_HOLE,Longest_Drives_COURSE
0,1,1,Michael Block,9,433,U.S. Open,1,3,618
1,T2,T2,Dustin Johnson,77,430,Sentry Tournament of Champions,4,12,656
2,T2,T2,Hudson Swafford,73,430,Sentry Tournament of Champions,3,7,656
3,4,4,Jhonattan Vegas,92,424,Sentry Tournament of Champions,3,7,656
4,T5,T5,Kevin Kisner,89,423,Sentry Tournament of Champions,2,7,656
5,T5,T5,Grayson Murray,72,423,Sentry Tournament of Champions,2,7,656
6,7,7,Xander Schauffele,96,422,Sentry Tournament of Champions,3,12,656
7,8,8,Rory McIlroy,64,420,World Golf Championships-Bridgestone Invitational,4,16,36
8,T9,T2,Dustin Johnson,77,419,Sentry Tournament of Champions,3,7,656
9,T9,9,Byeong Hun An,86,419,Shriners Hospitals for Children Open,3,2,538
10,T11,T10,Jon Rahm,71,418,World Golf Championships-Mexico Championship,3,10,240
11,T11,T10,Sam Burns,37,418,U.S. Open,1,18,618
12,13,12,Brendan Steele,74,417,Sentry Tournament of Champions,2,7,656
13,T14,12,Brendan Steele,74,416,World Golf Championships-Mexico Championship,2,4,240
14,T14,13,Cameron Smith,85,416,Sentry Tournament of Champions,2,7,656
15,T16,14,Kevin Chappell,77,415,Sentry Tournament of Champions,2,7,656
16,T16,7,Xander Schauffele,96,415,World Golf Championships-Mexico Championship,3,12,240
17,T18,15,Tony Finau,105,414,World Golf Championships-Bridgestone Invitational,4,16,36
18,T18,T2,Dustin Johnson,77,414,Sentry Tournament of Champions,2,12,656
19,T20,T16,Russell Henley,77,412,Sentry Tournament of Champions,2,7,656
20,T20,T16,Patrick Cantlay,87,412,Sentry Tournament of Champions,1,7,656
21,T22,T18,Kevin Tway,110,411,Safeway Open,4,18,552
22,T22,T18,Justin Thomas,91,411,Sentry Tournament of Champions,4,12,656
23,T22,T18,Dean Burmester,8,411,U.S. Open,1,18,618
24,T22,T18,Brooks Koepka,64,411,World Golf Championships-Bridgestone Invitational,4,16,36
25,T22,T18,Bryson DeChambeau,93,411,Sentry Tournament of Champions,4,12,656
26,T27,T2,Hudson Swafford,73,410,Sentry Tournament of Champions,4,7,656
