,Driving_Pct.__240_All_Drives_RANK THIS WEEK,Driving_Pct.__240_All_Drives_RANK LAST WEEK,Driving_Pct.__240_All_Drives_PLAYER NAME,Driving_Pct.__240_All_Drives_ROUNDS,Driving_Pct.__240_All_Drives_%,Driving_Pct.__240_All_Drives_TOTAL DRIVES FOR <= 240,Driving_Pct.__240_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct.__240_All_Drives_RELATIVE TO PAR
0,1,1,Wesley Bryan,69,12.95,93,718,+0.043
1,2,2,Whee Kim,93,9.72,99,1018,E
2,3,3,Jim Furyk,50,9.53,61,640,+0.148
3,4,4,Pat Perez,82,9.47,68,718,+0.103
4,5,5,D.A. Points,63,8.61,58,674,+0.345
5,6,6,Jimmy Walker,81,8.26,76,920,+0.184
6,7,7,Adam Scott,78,8.25,69,836,+0.116
7,8,8,Louis Oosthuizen,62,8.13,52,640,+0.058
8,9,9,Nicholas Lindheim,77,8.01,66,824,+0.091
9,10,10,Cameron Tringale,67,7.98,57,714,+0.281
10,11,11,Bill Haas,76,7.93,73,920,+0.123
11,12,12,Ryan Armour,109,7.89,106,1344,+0.009
12,13,13,Derek Fathauer,84,7.68,73,950,+0.151
13,14,14,William McGirt,84,7.55,79,1046,+0.203
14,15,15,Daniel Summerhays,51,7.52,40,532,+0.475
15,16,16,Harris English,84,7.37,70,950,+0.143
16,17,17,Ricky Barnes,65,7.3,46,630,+0.326
17,18,18,Robert Streb,78,7.28,61,838,+0.197
18,19,19,Mackenzie Hughes,80,7.26,69,950,+0.058
19,20,20,Brian Stuard,103,7.24,89,1230,+0.090
20,21,21,Tyrone Van Aswegen,101,6.99,81,1158,+0.111
21,22,22,Scott Brown,102,6.9,78,1130,+0.167
22,23,23,Daniel Berger,81,6.88,60,872,-0.050
23,24,24,John Huh,94,6.81,78,1146,+0.103
24,25,25,Billy Hurley III,70,6.78,54,796,+0.296
25,26,26,Rickie Fowler,74,6.76,58,858,-0.172
26,27,27,Rob Oppenheim,74,6.75,51,756,+0.196
27,28,28,Russell Henley,77,6.74,55,816,+0.036
28,29,29,Conrad Shindler,60,6.66,41,616,+0.122
29,30,30,C.T. Pan,104,6.63,76,1146,+0.118
30,31,31,Sung Kang,89,6.53,61,934,+0.213
31,32,32,Jamie Lovemark,92,6.43,70,1088,+0.143
32,33,33,Ben Martin,64,6.42,51,794,+0.176
33,T34,T34,Lucas Glover,65,6.41,41,640,+0.073
34,T34,T34,Graeme McDowell,67,6.41,41,640,+0.146
35,36,36,Tiger Woods,68,6.33,52,822,+0.058
36,T37,T37,Ian Poulter,73,6.3,44,698,+0.159
37,T37,T37,Adam Schenk,86,6.3,58,920,+0.224
38,T37,T37,Hudson Swafford,73,6.3,46,730,+0.239
39,40,40,Michael Thompson,62,6.25,49,784,+0.102
40,T41,T41,Michael Kim,74,6.23,47,754,+0.085
41,T41,T41,Rod Pampling,62,6.23,39,626,+0.128
42,43,43,Martin Laird,73,6.22,53,852,+0.151
43,T44,T44,Ben Crane,65,6.21,40,644,+0.150
44,T44,T44,Branden Grace,67,6.21,38,612,+0.184
