,Percentage_of_Yardage_covered_by_Tee_Shots_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL DISTANCE
0,1,1,Bubba Watson,90,66.58,290018.8,435588
1,2,2,Rory McIlroy,64,66.53,217542.6,326976
2,T3,T3,Dustin Johnson,77,66.49,266596.1,400978
3,T3,T3,Jon Rahm,71,66.49,219392.8,329970
4,5,5,Brooks Koepka,64,66.36,231021.4,348128
5,6,6,Trey Mullinax,75,66.29,247781.3,373777
6,7,7,Tom Lovelady,87,66.02,290195.9,439562
7,8,8,Keith Mitchell,99,65.95,348864.8,528994
8,9,9,Luke List,98,65.72,329101.4,500785
9,10,10,Justin Thomas,91,65.5,287697.3,439251
10,11,11,Kevin Chappell,77,65.37,262380.1,401362
11,12,12,Tony Finau,105,65.28,341346.8,522912
12,13,13,Kevin Tway,110,65.2,374910.2,575051
13,14,14,Gary Woodland,96,65.13,293831.2,451162
14,15,15,Grayson Murray,72,65.07,247821.8,380867
15,16,16,Patrick Cantlay,87,64.97,280370.9,431562
16,17,17,Brendan Steele,74,64.86,227008.5,349973
17,18,18,Xander Schauffele,96,64.49,299799.9,464874
18,19,19,Ryan Palmer,69,64.46,246345.2,382154
19,20,20,Byeong Hun An,86,64.45,302481.4,469361
20,21,21,Brandon Harkins,101,64.41,349366.0,542383
21,22,22,Peter Uihlein,83,64.39,270422.3,419977
22,23,23,Jason Kokrak,99,64.37,360845.2,560550
23,24,24,J.B. Holmes,77,64.36,281115.0,436808
24,25,25,Bryson DeChambeau,93,64.33,322604.0,501511
25,26,26,Tommy Fleetwood,73,64.28,224451.3,349164
26,27,27,Harold Varner III,91,64.21,303279.7,472344
27,28,28,Matt Jones,70,64.17,192188.0,299518
28,29,29,Jason Day,75,64.15,202977.8,316420
29,30,30,Robert Garrigus,80,64.13,277938.3,433388
30,31,31,Francesco Molinari,73,64.12,236514.5,368877
31,32,32,Jordan Spieth,81,64.04,271362.1,423746
32,33,33,Matt Atkins,56,63.96,163067.2,254956
33,34,34,Sam Saunders,80,63.88,271377.4,424830
34,T35,T35,Beau Hossler,104,63.84,367064.1,574948
35,T35,T35,Aaron Wise,90,63.84,326958.1,512174
36,37,37,Jhonattan Vegas,92,63.81,264659.4,414782
37,T38,T38,Corey Conners,97,63.8,319869.7,501343
38,T38,T38,Hudson Swafford,73,63.8,212273.8,332721
39,40,40,Lanto Griffin,80,63.78,244266.9,382986
40,41,41,Adam Schenk,86,63.77,267896.4,420102
41,42,42,Cameron Percy,56,63.71,166065.8,260676
42,43,43,J.T. Poston,73,63.67,231677.6,363864
43,44,44,Phil Mickelson,90,63.63,288278.6,453077
44,45,45,Nick Watney,94,63.61,325684.0,512040
45,T46,T46,Patton Kizzire,92,63.6,317723.1,499535
46,T46,T46,Hideki Matsuyama,75,63.6,235823.3,370806
47,T48,T48,Bronson Burgoon,69,63.51,230907.6,363553
48,T48,T48,Martin Flores,92,63.51,290740.6,457783
49,T48,T48,Patrick Rodgers,97,63.51,295826.1,465762
50,51,51,Charley Hoffman,87,63.47,277669.8,437478
51,52,52,Seamus Power,86,63.42,266571.2,420336
52,53,53,Paul Casey,74,63.39,199150.0,314152
53,54,54,Tyrrell Hatton,58,63.28,171906.8,271650
54,T55,T55,Cameron Smith,85,63.27,248870.6,393367
55,T55,T55,Brett Stegmaier,67,63.27,188593.3,298085
56,T57,T57,Stephan Jaeger,81,63.26,252981.3,399893
