,Fairway_Bunker_Tendency_RANK THIS WEEK,Fairway_Bunker_Tendency_RANK LAST WEEK,Fairway_Bunker_Tendency_PLAYER NAME,Fairway_Bunker_Tendency_ROUNDS,Fairway_Bunker_Tendency_%,Fairway_Bunker_Tendency_TOTAL FAIRWAY BUNKERS,Fairway_Bunker_Tendency_POSSIBLE FWYS,Fairway_Bunker_Tendency_RELATIVE TO PAR
0,1,1,Zac Blair,64,3.1,20,643,-0.050
1,T2,T2,Ryan Moore,78,3.5,32,920,+0.188
2,T2,T2,Pat Perez,82,3.5,25,714,+0.160
3,4,4,Kiradech Aphibarnrat,51,3.8,18,474,E
4,5,5,Jim Furyk,50,3.9,25,640,+0.280
5,T6,T6,Ben Crane,65,4.0,26,644,+0.385
6,T6,T6,Scott Piercy,84,4.0,38,945,+0.421
7,T8,T8,Ricky Barnes,65,4.1,25,614,+0.160
8,T8,T8,Bryson DeChambeau,93,4.1,44,1082,E
9,T8,T8,Dustin Johnson,77,4.1,35,862,+0.143
10,T11,T11,Brooks Koepka,64,4.2,32,755,+0.031
11,T11,T11,Louis Oosthuizen,62,4.2,27,638,+0.444
12,T11,T11,Gary Woodland,96,4.2,41,971,+0.049
13,T14,T14,Ben Silverman,90,4.3,45,1057,+0.333
14,T14,T14,Brett Stegmaier,67,4.3,28,652,E
15,T16,T16,Ryan Armour,109,4.4,59,1343,+0.169
16,T16,T16,Brian Stuard,103,4.4,54,1227,+0.333
17,T18,T18,Daniel Berger,81,4.5,39,867,+0.410
18,T18,T18,Rafa Cabrera Bello,75,4.5,30,670,+0.267
19,T18,T18,Patrick Cantlay,87,4.5,42,938,+0.333
20,T18,T18,Hideki Matsuyama,75,4.5,36,793,+0.139
21,T22,T22,Alex Cejka,77,4.6,38,833,+0.132
22,T22,T22,Kyle Stanley,93,4.6,43,941,+0.256
23,T24,T24,Blayne Barber,69,4.7,39,831,+0.179
24,T24,T24,Rickie Fowler,74,4.7,40,850,-0.125
25,T24,T24,Graeme McDowell,67,4.7,30,636,+0.200
26,27,27,Satoshi Kodaira,51,4.8,27,559,+0.519
27,T28,T28,Tommy Fleetwood,73,4.9,37,753,+0.189
28,T28,T28,Brian Gay,103,4.9,63,1283,+0.032
29,T28,T28,David Hearn,66,4.9,34,697,+0.265
30,T28,T28,Marc Leishman,93,4.9,50,1014,+0.160
31,T28,T28,Sam Ryder,82,4.9,48,971,+0.125
32,T28,T28,Webb Simpson,95,4.9,55,1127,+0.145
33,T34,T34,Ryan Blaum,81,5.0,50,1003,+0.220
34,T34,T34,Lanto Griffin,80,5.0,41,826,+0.220
35,T34,T34,Trey Mullinax,75,5.0,40,804,+0.375
36,T34,T34,Kevin Streelman,94,5.0,57,1143,+0.175
37,T34,T34,Daniel Summerhays,51,5.0,26,524,+0.308
38,T39,T39,Jonas Blixt,67,5.1,34,672,+0.235
39,T39,T39,Tyrrell Hatton,58,5.1,30,587,+0.233
40,T39,T39,"Ted Potter, Jr.",87,5.1,55,1068,+0.236
41,T39,T39,Chez Reavie,93,5.1,43,837,+0.279
42,T39,T39,Conrad Shindler,60,5.1,31,612,+0.355
43,T44,T44,Talor Gooch,78,5.2,44,851,+0.068
44,T44,T44,Billy Horschel,86,5.2,56,1080,+0.286
45,T44,T44,Andrew Landry,82,5.2,53,1017,+0.245
46,T44,T44,David Lingmerth,82,5.2,50,960,+0.420
47,T44,T44,Tom Lovelady,87,5.2,49,947,+0.265
48,T44,T44,C.T. Pan,104,5.2,59,1139,+0.017
49,T44,T44,Brendan Steele,74,5.2,39,753,+0.282
50,T44,T44,Harold Varner III,91,5.2,53,1022,+0.283
51,T52,T52,Byeong Hun An,86,5.3,53,1008,+0.113
52,T52,T52,Keegan Bradley,98,5.3,59,1110,+0.271
53,T52,T52,Branden Grace,67,5.3,32,607,+0.313
54,T52,T52,Kevin Kisner,89,5.3,48,909,+0.292
55,T52,T52,Martin Laird,73,5.3,45,846,+0.422
56,T52,T52,Tiger Woods,68,5.3,43,811,+0.163
57,T58,T58,Tyler Duncan,97,5.4,61,1130,+0.393
58,T58,T58,John Huh,94,5.4,62,1145,+0.274
59,T58,T58,Billy Hurley III,70,5.4,43,789,+0.349
60,T58,T58,Whee Kim,93,5.4,54,1009,+0.111
61,T58,T58,Kelly Kraft,94,5.4,56,1028,+0.196
62,T58,T58,Matt Kuchar,88,5.4,49,900,+0.102
63,T58,T58,Francesco Molinari,73,5.4,43,791,+0.163
64,T58,T58,Cameron Percy,56,5.4,31,574,+0.290
65,T58,T58,Patrick Rodgers,97,5.4,54,1008,+0.130
66,T67,T67,Corey Conners,97,5.5,60,1098,+0.183
67,T67,T67,Brice Garnett,99,5.5,62,1127,+0.274
68,T67,T67,D.A. Points,63,5.5,37,668,+0.270
69,T70,T70,Abraham Ancer,98,5.6,65,1154,+0.292
70,T70,T70,Matt Atkins,56,5.6,31,552,+0.290
71,T70,T70,Austin Cook,107,5.6,72,1281,+0.153
72,T70,T70,Hunter Mahan,67,5.6,40,710,+0.250
73,T70,T70,Alex Noren,67,5.6,38,683,+0.211
74,T70,T70,Seamus Power,86,5.6,51,912,-0.039
75,T70,T70,Justin Rose,70,5.6,41,737,+0.098
76,T70,T70,Adam Scott,78,5.6,46,823,+0.109
77,T70,T70,J.J. Spaun,85,5.6,55,990,+0.255
78,T70,T70,Johnson Wagner,75,5.6,43,766,+0.209
79,T70,T70,Jimmy Walker,81,5.6,50,893,+0.220
80,T81,T81,Bronson Burgoon,69,5.7,45,794,+0.267
81,T81,T81,Kevin Chappell,77,5.7,49,864,+0.306
82,T81,T81,Fabián Gómez,88,5.7,56,986,+0.196
83,T81,T81,Emiliano Grillo,94,5.7,58,1016,+0.276
84,T81,T81,Chesson Hadley,103,5.7,70,1232,+0.229
85,T81,T81,Rory McIlroy,64,5.7,40,707,+0.225
86,T81,T81,Ethan Tracy,72,5.7,43,750,+0.349
87,T88,T88,Jason Dufner,71,5.8,42,725,+0.095
88,T88,T88,Retief Goosen,60,5.8,32,550,+0.156
89,T88,T88,Russell Henley,77,5.8,47,816,+0.149
90,T88,T88,Charles Howell III,104,5.8,63,1085,+0.079
91,T88,T88,Jason Kokrak,99,5.8,71,1216,+0.310
92,T88,T88,Jordan Spieth,81,5.8,53,914,E
93,T94,T94,Roberto Díaz,72,5.9,46,781,+0.304
94,T94,T94,Cameron Smith,85,5.9,50,842,+0.180
95,T94,T94,Henrik Stenson,60,5.9,36,614,+0.083
96,T97,T97,Wesley Bryan,69,6.0,43,711,+0.140
97,T97,T97,Paul Casey,74,6.0,41,679,+0.244
98,T97,T97,Si Woo Kim,108,6.0,65,1083,+0.092
99,T97,T97,Chris Kirk,108,6.0,80,1336,+0.200
100,T97,T97,Denny McCarthy,71,6.0,41,681,+0.293
101,T97,T97,Andrew Putnam,97,6.0,64,1069,+0.047
102,T103,T103,Scott Brown,102,6.1,68,1121,+0.353
103,T103,T103,J.J. Henry,81,6.1,53,871,+0.453
104,T103,T103,Sung Kang,89,6.1,56,916,+0.375
105,T103,T103,Danny Lee,88,6.1,59,969,-0.051
106,T103,T103,Nicholas Lindheim,77,6.1,50,821,+0.280
107,T103,T103,Shawn Stefani,76,6.1,51,830,+0.196
108,T103,T103,Xinjun Zhang,81,6.1,48,786,+0.333
109,T110,T110,Joel Dahmen,93,6.2,61,989,+0.115
110,T110,T110,Brian Harman,94,6.2,62,1008,+0.258
111,T110,T110,J.B. Holmes,77,6.2,58,936,+0.103
112,T110,T110,Zach Johnson,94,6.2,62,997,E
113,T110,T110,William McGirt,84,6.2,64,1037,+0.219
114,T110,T110,Jon Rahm,71,6.2,44,706,+0.091
115,T110,T110,Patrick Reed,94,6.2,54,872,+0.111
116,T110,T110,Hudson Swafford,73,6.2,45,724,+0.089
117,T110,T110,Richy Werenski,98,6.2,64,1029,+0.188
118,T119,T119,Tom Hoge,101,6.3,73,1151,+0.014
119,T119,T119,Beau Hossler,104,6.3,79,1248,+0.228
120,T119,T119,Rod Pampling,62,6.3,39,623,+0.436
121,T119,T119,Ian Poulter,73,6.3,44,695,E
122,T119,T119,Adam Schenk,86,6.3,57,910,+0.053
123,T119,T119,Vaughn Taylor,83,6.3,62,977,+0.323
124,T125,T125,Dominic Bozzelli,65,6.4,54,842,+0.111
125,T125,T125,Luke List,98,6.4,69,1076,+0.188
126,T125,T125,Kevin Na,91,6.4,62,976,-0.048
127,T125,T125,Rob Oppenheim,74,6.4,48,745,+0.188
128,T125,T125,Chris Stroud,81,6.4,52,808,+0.269
129,T125,T125,Nick Taylor,94,6.4,66,1025,+0.273
130,T125,T125,Steve Wheatcroft,60,6.4,41,637,+0.341
131,T132,T132,Chad Campbell,87,6.5,60,929,+0.333
132,T132,T132,James Hahn,85,6.5,62,959,+0.113
133,T132,T132,Patton Kizzire,92,6.5,70,1084,+0.157
134,T135,T135,Zecheng Dou,53,6.6,33,497,+0.091
135,T135,T135,Cody Gribble,71,6.6,49,748,+0.163
136,T135,T135,Adam Hadwin,92,6.6,61,921,+0.197
137,T135,T135,Matt Jones,70,6.6,43,651,+0.140
138,T135,T135,Troy Merritt,89,6.6,67,1014,+0.194
139,T135,T135,J.T. Poston,73,6.6,52,793,+0.135
140,T135,T135,Scott Stallings,96,6.6,73,1101,+0.233
141,T135,T135,Jhonattan Vegas,92,6.6,59,888,+0.085
142,T143,T143,Stewart Cink,87,6.7,62,930,+0.242
143,T143,T143,Harris English,84,6.7,63,938,+0.222
144,T143,T143,Anirban Lahiri,82,6.7,62,932,+0.032
145,T143,T143,Sean O'Hair,67,6.7,53,789,+0.226
146,T143,T143,Jonathan Randolph,71,6.7,56,833,+0.429
147,T143,T143,Sam Saunders,80,6.7,62,923,+0.226
148,T143,T143,Bubba Watson,90,6.7,63,940,+0.238
149,T150,T150,Shane Lowry,64,6.8,48,707,+0.354
150,T150,T150,Keith Mitchell,99,6.8,79,1155,+0.228
151,T150,T150,Kevin Tway,110,6.8,85,1244,+0.141
152,T153,T153,Tony Finau,105,6.9,77,1122,+0.091
153,T153,T153,Justin Thomas,91,6.9,65,944,+0.123
154,T153,T153,Michael Thompson,62,6.9,54,777,+0.204
155,T156,T156,Aaron Baddeley,84,7.0,68,968,+0.074
156,T156,T156,Robert Garrigus,80,7.0,66,939,+0.197
157,T156,T156,Jamie Lovemark,92,7.0,75,1076,+0.173
158,T156,T156,Peter Uihlein,83,7.0,63,895,+0.095
159,T156,T156,Aaron Wise,90,7.0,78,1107,+0.192
160,T161,T161,Greg Chalmers,56,7.1,40,567,+0.325
161,T161,T161,Brandon Harkins,101,7.1,84,1180,+0.262
162,T161,T161,Charley Hoffman,87,7.1,67,947,+0.194
163,T161,T161,Stephan Jaeger,81,7.1,62,871,+0.097
164,T161,T161,Ryan Palmer,69,7.1,59,830,+0.254
165,T161,T161,Charl Schwartzel,65,7.1,41,575,+0.244
166,T161,T161,Brandt Snedeker,84,7.1,73,1025,+0.219
167,T161,T161,Nick Watney,94,7.1,78,1105,+0.205
168,T169,T169,Bill Haas,76,7.2,66,912,+0.167
169,T169,T169,Grayson Murray,72,7.2,59,816,+0.305
170,171,171,Tyrone Van Aswegen,101,7.3,84,1147,+0.286
171,T172,T172,Matt Every,79,7.4,62,839,+0.274
172,T172,T172,Russell Knox,94,7.4,76,1029,+0.171
173,T172,T172,Phil Mickelson,90,7.4,72,969,+0.194
174,T172,T172,Martin Piller,79,7.4,69,929,+0.116
175,T172,T172,Xander Schauffele,96,7.4,74,1001,+0.176
176,T172,T172,Kyle Thompson,50,7.4,37,503,+0.351
177,T178,T178,Jonathan Byrd,70,7.5,50,665,+0.220
178,T178,T178,Cameron Tringale,67,7.5,52,693,+0.231
179,180,180,Bud Cauley,55,7.6,43,568,+0.279
180,T181,T181,Lucas Glover,65,7.7,49,639,+0.163
181,T181,T181,Ollie Schniederjans,91,7.7,82,1064,-0.146
182,183,183,Derek Fathauer,84,7.8,73,936,+0.342
183,184,184,Michael Kim,74,7.9,58,736,+0.155
184,185,185,Peter Malnati,87,8.1,84,1042,+0.155
185,T186,T186,Jason Day,75,8.2,56,681,+0.161
186,T186,T186,Rory Sabbatini,91,8.2,85,1041,+0.188
187,T188,T188,Mackenzie Hughes,80,8.5,80,944,+0.188
188,T188,T188,Ben Martin,64,8.5,67,790,+0.209
189,T188,T188,Robert Streb,78,8.5,71,831,+0.239
190,T188,T188,Andrew Yun,51,8.5,40,469,+0.225
191,192,192,Nate Lashley,51,8.6,42,486,+0.143
192,193,193,Martin Flores,92,9.5,94,992,+0.181
