,Right_Rough_Tendency_RTP_Score_RANK THIS WEEK,Right_Rough_Tendency_RTP_Score_RANK LAST WEEK,Right_Rough_Tendency_RTP_Score_PLAYER NAME,Right_Rough_Tendency_RTP_Score_ROUNDS,Right_Rough_Tendency_RTP_Score_RTP SCORE
0,1,1,Tyrrell Hatton,58,-.090
1,2,2,Lanto Griffin,80,-.061
2,3,3,Ryan Armour,109,-.060
3,4,4,Luke List,98,-.037
4,T5,T5,Stephan Jaeger,81,-.028
5,T5,T5,Jason Kokrak,99,-.028
6,T7,T7,Chad Campbell,87,-.016
7,T7,T7,Ryan Palmer,69,-.016
8,9,9,Ricky Barnes,65,-.015
9,10,10,Phil Mickelson,90,-.014
10,11,11,Keith Mitchell,99,-.013
11,12,12,Beau Hossler,104,-.012
12,13,13,D.A. Points,63,-.010
13,14,14,Joel Dahmen,93,-.007
14,T15,T15,Jonas Blixt,67,E
15,T15,T15,Bud Cauley,55,E
16,T15,T15,Harris English,84,E
17,T15,T15,Chris Kirk,108,E
18,T15,T15,David Lingmerth,82,E
19,20,20,Jamie Lovemark,92,+.005
20,21,21,Martin Laird,73,+.006
21,22,22,Jonathan Byrd,70,+.010
22,23,23,Ben Crane,65,+.011
23,T24,T24,Nate Lashley,51,+.014
24,T24,T24,Troy Merritt,89,+.014
25,T24,T24,Gary Woodland,96,+.014
26,T27,T27,Tony Finau,105,+.015
27,T27,T27,J.B. Holmes,77,+.015
28,T27,T27,Cameron Smith,85,+.015
29,T27,T27,Jordan Spieth,81,+.015
30,31,31,Adam Scott,78,+.017
31,32,32,Kevin Tway,110,+.018
32,33,33,Brendan Steele,74,+.020
33,34,34,Dustin Johnson,77,+.021
34,35,35,James Hahn,85,+.022
35,36,36,Blayne Barber,69,+.023
36,T37,T37,Bill Haas,76,+.029
37,T37,T37,Peter Malnati,87,+.029
38,39,39,Patrick Rodgers,97,+.030
39,T40,T40,Stewart Cink,87,+.031
40,T40,T40,Rory Sabbatini,91,+.031
41,42,42,Lucas Glover,65,+.032
42,43,43,Dominic Bozzelli,65,+.035
43,44,44,Marc Leishman,93,+.036
44,T45,T45,Robert Garrigus,80,+.038
45,T45,T45,Justin Thomas,91,+.038
46,T45,T45,Michael Thompson,62,+.038
47,T48,T48,William McGirt,84,+.042
48,T48,T48,Justin Rose,70,+.042
49,50,50,Tom Lovelady,87,+.043
50,51,51,Webb Simpson,95,+.044
51,T52,T52,Bryson DeChambeau,93,+.045
52,T52,T52,Johnson Wagner,75,+.045
53,54,54,Patrick Reed,94,+.047
54,55,55,Ian Poulter,73,+.048
55,T56,T56,Aaron Baddeley,84,+.050
56,T56,T56,Charles Howell III,104,+.050
57,58,58,Hunter Mahan,67,+.053
58,59,59,Billy Horschel,86,+.054
59,T60,T60,Adam Hadwin,92,+.055
60,T60,T60,Tom Hoge,101,+.055
61,T60,T60,Ryan Moore,78,+.055
62,63,63,Hideki Matsuyama,75,+.056
63,T64,T64,Charley Hoffman,87,+.057
64,T64,T64,Sam Ryder,82,+.057
65,T66,T66,Nicholas Lindheim,77,+.058
66,T66,T66,Hudson Swafford,73,+.058
67,T68,T68,Matt Every,79,+.061
68,T68,T68,Kevin Streelman,94,+.061
69,70,70,Kelly Kraft,94,+.062
70,T71,T71,Billy Hurley III,70,+.063
71,T71,T71,Si Woo Kim,108,+.063
72,73,73,J.J. Spaun,85,+.064
73,T74,T74,Martin Flores,92,+.065
74,T74,T74,Nick Watney,94,+.065
75,T76,T76,Corey Conners,97,+.066
76,T76,T76,Cameron Tringale,67,+.066
77,78,78,Andrew Putnam,97,+.067
78,T79,T79,Fabián Gómez,88,+.068
79,T79,T79,Sam Saunders,80,+.068
80,T81,T81,Grayson Murray,72,+.071
81,T81,T81,Louis Oosthuizen,62,+.071
82,T81,T81,Scott Piercy,84,+.071
83,T84,T84,Danny Lee,88,+.072
84,T84,T84,Brett Stegmaier,67,+.072
85,T84,T84,Kyle Thompson,50,+.072
86,T87,T87,Daniel Berger,81,+.074
87,T87,T87,Jim Furyk,50,+.074
88,T87,T87,Brandt Snedeker,84,+.074
89,90,90,Jimmy Walker,81,+.076
90,T91,T91,Keegan Bradley,98,+.077
91,T91,T91,Patrick Cantlay,87,+.077
92,93,93,Scott Stallings,96,+.078
93,T94,T94,Shawn Stefani,76,+.079
94,T94,T94,Chris Stroud,81,+.079
95,96,96,Jason Day,75,+.080
96,97,97,Talor Gooch,78,+.081
97,98,98,Chesson Hadley,103,+.082
98,99,99,Retief Goosen,60,+.083
99,100,100,Alex Noren,67,+.084
100,101,101,J.J. Henry,81,+.085
101,102,102,Bubba Watson,90,+.087
102,103,103,Seamus Power,86,+.088
103,T104,T104,Sung Kang,89,+.089
104,T104,T104,Rory McIlroy,64,+.089
105,106,106,Xander Schauffele,96,+.090
106,107,107,Brandon Harkins,101,+.093
107,108,108,Ben Silverman,90,+.095
108,109,109,David Hearn,66,+.096
109,T110,T110,Kevin Kisner,89,+.097
110,T110,T110,Aaron Wise,90,+.097
111,T112,T112,Michael Kim,74,+.099
112,T112,T112,Andrew Landry,82,+.099
113,T112,T112,Cameron Percy,56,+.099
114,T112,T112,Chez Reavie,93,+.099
115,116,116,Tiger Woods,68,+.100
116,T117,T117,Matt Atkins,56,+.101
117,T117,T117,Paul Casey,74,+.101
118,T117,T117,Jon Rahm,71,+.101
119,T120,T120,Kiradech Aphibarnrat,51,+.102
120,T120,T120,C.T. Pan,104,+.102
121,122,122,Emiliano Grillo,94,+.103
122,123,123,Anirban Lahiri,82,+.107
123,124,124,Brooks Koepka,64,+.108
124,T125,T125,Abraham Ancer,98,+.109
125,T125,T125,Shane Lowry,64,+.109
126,127,127,Zac Blair,64,+.110
127,128,128,Vaughn Taylor,83,+.112
128,129,129,Martin Piller,79,+.113
129,T130,T130,Byeong Hun An,86,+.114
130,T130,T130,Bronson Burgoon,69,+.114
131,T132,T132,Denny McCarthy,71,+.115
132,T132,T132,Ethan Tracy,72,+.115
133,T134,T134,Rafa Cabrera Bello,75,+.116
134,T134,T134,Patton Kizzire,92,+.116
135,136,136,Sean O'Hair,67,+.118
136,137,137,Derek Fathauer,84,+.120
137,138,138,Adam Schenk,86,+.123
138,T139,T139,Tommy Fleetwood,73,+.125
139,T139,T139,Zach Johnson,94,+.125
140,T139,T139,Henrik Stenson,60,+.125
141,T142,T142,Graeme McDowell,67,+.126
142,T142,T142,Tyrone Van Aswegen,101,+.126
143,144,144,Rickie Fowler,74,+.127
144,145,145,Jhonattan Vegas,92,+.128
145,T146,T146,John Huh,94,+.130
146,T146,T146,Ollie Schniederjans,91,+.130
147,148,148,Kevin Chappell,77,+.131
148,149,149,Brian Harman,94,+.136
149,T150,T150,Ryan Blaum,81,+.140
150,T150,T150,Francesco Molinari,73,+.140
151,T150,T150,Peter Uihlein,83,+.140
152,153,153,Brice Garnett,99,+.144
153,154,154,Ben Martin,64,+.148
154,155,155,Harold Varner III,91,+.153
155,T156,T156,Whee Kim,93,+.154
156,T156,T156,Russell Knox,94,+.154
157,T156,T156,Nick Taylor,94,+.154
158,159,159,Scott Brown,102,+.155
159,160,160,Conrad Shindler,60,+.157
160,T161,T161,Brian Gay,103,+.158
161,T161,T161,Trey Mullinax,75,+.158
162,163,163,J.T. Poston,73,+.160
163,164,164,Austin Cook,107,+.163
164,165,165,Matt Kuchar,88,+.165
165,T166,T166,Pat Perez,82,+.167
166,T166,T166,Kyle Stanley,93,+.167
167,168,168,Robert Streb,78,+.168
168,169,169,Rob Oppenheim,74,+.170
169,T170,T170,Tyler Duncan,97,+.174
170,T170,T170,Mackenzie Hughes,80,+.174
171,T172,T172,Greg Chalmers,56,+.175
172,T172,T172,Matt Jones,70,+.175
173,T174,T174,Wesley Bryan,69,+.179
174,T174,T174,Steve Wheatcroft,60,+.179
175,176,176,Daniel Summerhays,51,+.186
176,177,177,Roberto Díaz,72,+.190
177,178,178,Kevin Na,91,+.191
178,179,179,Jonathan Randolph,71,+.198
179,180,180,Cody Gribble,71,+.199
180,181,181,Xinjun Zhang,81,+.200
181,182,182,Branden Grace,67,+.202
182,183,183,Charl Schwartzel,65,+.204
183,184,184,Brian Stuard,103,+.205
184,185,185,Rod Pampling,62,+.207
185,186,186,Russell Henley,77,+.212
186,187,187,Zecheng Dou,53,+.215
187,T188,T188,Alex Cejka,77,+.223
188,T188,T188,Richy Werenski,98,+.223
189,190,190,"Ted Potter, Jr.",87,+.231
190,191,191,Jason Dufner,71,+.253
191,192,192,Andrew Yun,51,+.256
192,193,193,Satoshi Kodaira,51,+.272
