,Driving_Distance_RANK THIS WEEK,Driving_Distance_RANK LAST WEEK,Driving_Distance_PLAYER NAME,Driving_Distance_ROUNDS,Driving_Distance_AVG.,Driving_Distance_TOTAL DISTANCE,Driving_Distance_TOTAL DRIVES
0,1,1,Rory McIlroy,64,319.7,39000,122
1,2,2,Trey Mullinax,75,318.3,43929,138
2,3,3,Tom Lovelady,87,315.9,51168,162
3,4,4,Tony Finau,105,315.1,56721,180
4,5,5,Luke List,98,314.6,54746,174
5,6,6,Dustin Johnson,77,314.0,43953,140
6,7,7,Gary Woodland,96,313.5,52042,166
7,8,8,Brooks Koepka,64,313.4,36350,116
8,9,9,Bubba Watson,90,313.1,49470,158
9,10,10,Keith Mitchell,99,312.6,60646,194
10,11,11,Justin Thomas,91,311.8,46153,148
11,12,12,Brendan Steele,74,310.3,39103,126
12,13,13,Kevin Tway,110,310.1,59535,192
13,14,14,Jason Day,75,310.0,37195,120
14,15,15,Jason Kokrak,99,309.5,61277,198
15,16,16,Jon Rahm,71,308.9,38298,124
16,17,17,Kevin Chappell,77,308.6,45670,148
17,18,18,Harold Varner III,91,308.2,49935,162
18,T19,T19,Byeong Hun An,86,307.9,49257,160
19,T19,T19,Robert Garrigus,80,307.9,46803,152
20,21,21,Nick Watney,94,307.5,55353,180
21,22,22,Grayson Murray,72,307.3,39331,128
22,23,23,Tommy Fleetwood,73,306.9,38059,124
23,24,24,J.B. Holmes,77,306.1,43466,142
24,25,25,Bryson DeChambeau,93,305.7,56854,186
25,26,26,Adam Schenk,86,305.5,48881,160
26,27,27,Ryan Palmer,69,305.2,38459,126
27,28,28,Xander Schauffele,96,304.9,49388,162
28,29,29,Adam Scott,78,304.6,42649,140
29,30,30,Matt Jones,70,304.5,37757,124
30,31,31,Paul Casey,74,304.3,35909,118
31,T32,T32,Jhonattan Vegas,92,303.6,46756,154
32,T32,T32,Tiger Woods,68,303.6,41286,136
33,T34,T34,Patrick Rodgers,97,303.5,51601,170
34,T34,T34,Justin Rose,70,303.5,37630,124
35,36,36,Corey Conners,97,303.3,56421,186
36,37,37,Jamie Lovemark,92,303.2,48514,160
37,T38,T38,Patrick Cantlay,87,303.1,46078,152
38,T38,T38,Brandon Harkins,101,303.1,57591,190
39,40,40,Aaron Wise,90,302.9,53314,176
40,T41,T41,Bronson Burgoon,69,302.8,41785,138
41,T41,T41,Sam Saunders,80,302.8,44817,148
42,T41,T41,Hudson Swafford,73,302.8,33307,110
43,44,44,Sean O'Hair,67,302.7,38139,126
44,45,45,Seamus Power,86,302.6,47212,156
45,46,46,Lanto Griffin,80,302.5,44773,148
46,47,47,Harris English,84,302.4,47182,156
47,48,48,Peter Uihlein,83,302.2,42313,140
48,49,49,Hideki Matsuyama,75,302.0,38657,128
49,T50,T50,Matt Atkins,56,301.4,31346,104
50,T50,T50,Ollie Schniederjans,91,301.4,47622,158
51,T52,T52,Cody Gribble,71,301.0,34319,114
52,T52,T52,Francesco Molinari,73,301.0,39730,132
53,54,54,Charles Howell III,104,300.9,52953,176
54,T55,T55,Shane Lowry,64,300.7,33674,112
55,T55,T55,J.T. Poston,73,300.7,42698,142
56,57,57,Phil Mickelson,90,300.3,49848,166
57,T58,T58,Martin Flores,92,300.0,49195,164
58,T58,T58,Chesson Hadley,103,300.0,59397,198
59,T58,T58,Beau Hossler,104,300.0,62394,208
60,T61,T61,Rickie Fowler,74,299.8,44363,148
61,T61,T61,Louis Oosthuizen,62,299.8,32383,108
62,T61,T61,Jordan Spieth,81,299.8,45563,152
63,64,64,Scott Stallings,96,299.7,51556,172
64,T65,T65,Keegan Bradley,98,299.6,50932,170
65,T65,T65,Shawn Stefani,76,299.6,44338,148
66,T67,T67,Charley Hoffman,87,299.5,47912,160
67,T67,T67,Charl Schwartzel,65,299.5,27557,92
68,T69,T69,Stephan Jaeger,81,299.2,44877,150
69,T69,T69,Alex Noren,67,299.2,33506,112
70,T71,T71,Martin Laird,73,299.0,38865,130
71,T71,T71,Ethan Tracy,72,299.0,40662,136
72,T71,T71,Jimmy Walker,81,299.0,46051,154
