,Spin_Rate_RANK THIS WEEK,Spin_Rate_RANK LAST WEEK,Spin_Rate_PLAYER NAME,Spin_Rate_ROUNDS,Spin_Rate_AVG.,Spin_Rate_TOTAL SPIN SPEED,Spin_Rate_TOTAL ATTEMPTS,Spin_Rate_HIGHEST SPIN RATE,Spin_Rate_LOWEST SPIN RATE
0,1,1,Conrad Shindler,60,3359.4,94063,28,9377,2274
1,2,2,"Ted Potter, Jr.",87,3152.8,182861,58,6542,1487
2,3,3,Alex Noren,67,3143.2,103724,33,6312,2105
3,4,4,Pat Perez,82,3127.4,103204,33,7784,2228
4,5,5,Kevin Tway,110,3026.3,181579,60,6437,2159
5,6,6,Jhonattan Vegas,92,3013.8,138634,46,6041,1485
6,7,7,Patrick Reed,94,3008.6,126360,42,5094,2314
7,8,8,Adam Schenk,86,3006.1,171350,57,3795,1913
8,9,9,Matt Jones,70,3004.9,114187,38,4212,2264
9,10,10,Seamus Power,86,2992.9,131688,44,8054,1683
10,11,11,Luke List,98,2963.1,133340,45,5117,2154
11,12,12,Sam Ryder,82,2962.8,148139,50,5877,1548
12,13,13,Peter Uihlein,83,2961.6,133272,45,3826,1878
13,14,14,Bubba Watson,90,2955.6,106402,36,5924,1773
14,15,15,Adam Hadwin,92,2952.0,141698,48,6446,2175
15,16,16,Corey Conners,97,2948.3,197539,67,9557,1425
16,17,17,David Lingmerth,82,2928.3,152273,52,6646,1899
17,18,18,David Hearn,66,2906.2,122060,42,7869,1987
18,19,19,Adam Scott,78,2903.8,113249,39,5255,2140
19,20,20,Alex Cejka,77,2899.2,136262,47,7586,2107
20,21,21,Charley Hoffman,87,2888.6,118433,41,5682,1929
21,22,22,Talor Gooch,78,2886.6,115463,40,5794,1840
22,23,23,Kyle Stanley,93,2882.3,149882,52,6573,1801
23,24,24,Kevin Na,91,2879.4,146847,51,5810,1542
24,25,25,Kevin Kisner,89,2869.2,143461,50,4202,2113
25,26,26,Ian Poulter,73,2866.6,94599,33,5667,2053
26,27,27,Henrik Stenson,60,2865.8,37255,13,3527,1400
27,28,28,Robert Streb,78,2864.9,140378,49,4048,2000
28,29,29,Russell Knox,94,2864.2,154666,54,5861,1782
29,30,30,Rickie Fowler,74,2852.4,82720,29,4939,1820
30,31,31,J.J. Henry,81,2850.3,136812,48,5632,1497
31,32,32,Charl Schwartzel,65,2849.8,71246,25,5006,2064
32,T33,T33,Ben Martin,64,2828.8,155585,55,5574,2197
33,T33,T33,Troy Merritt,89,2828.8,166899,59,7521,1615
34,35,35,Ryan Blaum,81,2819.0,157864,56,6017,2120
35,36,36,Stephan Jaeger,81,2817.5,138056,49,8556,1840
36,37,37,Rob Oppenheim,74,2809.1,126408,45,6644,1651
37,38,38,Brandon Harkins,101,2801.2,173675,62,5588,1778
38,39,39,Marc Leishman,93,2799.8,139988,50,5930,2033
39,40,40,Zac Blair,64,2798.2,109128,39,4819,1862
40,41,41,Andrew Putnam,97,2790.5,161847,58,6625,1461
41,42,42,Ben Silverman,90,2784.8,158731,57,9640,1592
42,43,43,Roberto Díaz,72,2780.2,122328,44,6877,1441
43,44,44,Keith Mitchell,99,2779.6,175115,63,6329,1703
44,45,45,Chris Stroud,81,2773.5,135900,49,6046,1879
45,46,46,Zecheng Dou,53,2772.3,83170,30,4465,2002
46,47,47,Hunter Mahan,67,2762.6,121555,44,5693,1865
47,48,48,Ollie Schniederjans,91,2758.6,157239,57,4488,1751
48,49,49,Mackenzie Hughes,80,2757.6,157184,57,5250,1418
49,50,50,Ethan Tracy,72,2756.4,107501,39,3658,1470
50,51,51,Charles Howell III,104,2748.6,153922,56,8332,1887
51,52,52,Xinjun Zhang,81,2747.4,115390,42,4220,1660
52,53,53,Russell Henley,77,2744.4,112520,41,5050,1547
53,54,54,William McGirt,84,2740.0,167140,61,5368,1926
54,55,55,Richy Werenski,98,2734.2,147648,54,5641,1947
55,56,56,Patrick Rodgers,97,2731.1,128361,47,4044,1745
56,57,57,Ryan Armour,109,2728.7,212841,78,5452,1764
57,58,58,Andrew Yun,51,2727.1,73632,27,5204,1859
58,59,59,Billy Hurley III,70,2725.4,138997,51,5880,1789
59,60,60,Francesco Molinari,73,2725.0,98100,36,6065,1576
60,61,61,Dominic Bozzelli,65,2724.3,133490,49,3742,1655
61,62,62,Louis Oosthuizen,62,2721.3,84360,31,4017,1995
62,63,63,Rod Pampling,62,2719.1,100607,37,4875,1963
63,64,64,Michael Thompson,62,2718.6,138651,51,5411,1863
64,65,65,Emiliano Grillo,94,2715.5,184655,68,5367,1531
65,66,66,Tony Finau,105,2707.9,143521,53,4297,1438
66,67,67,Nick Watney,94,2707.7,167876,62,5364,1762
67,68,68,Kelly Kraft,94,2705.7,165046,61,7032,1811
68,69,69,Joel Dahmen,93,2704.3,156852,58,4665,2006
69,70,70,Dustin Johnson,77,2703.6,94627,35,8766,1716
70,71,71,Phil Mickelson,90,2702.9,113522,42,6637,1914
71,72,72,Si Woo Kim,108,2700.3,178219,66,7723,1714
72,73,73,Bill Haas,76,2699.0,105260,39,3568,2032
73,74,74,Tom Hoge,101,2698.4,188885,70,5206,1745
74,75,75,Trey Mullinax,75,2697.7,113303,42,6075,1930
75,76,76,C.T. Pan,104,2697.3,148350,55,4315,1496
76,77,77,Bryson DeChambeau,93,2696.5,115949,43,6349,1631
77,78,78,Stewart Cink,87,2695.3,159021,59,5200,1788
78,79,79,Danny Lee,88,2685.9,142352,53,5990,1444
79,80,80,Aaron Baddeley,84,2683.0,142197,53,3761,2157
