,Approach__275_yards_RTP_RANK THIS WEEK,Approach__275_yards_RTP_RANK LAST WEEK,Approach__275_yards_RTP_PLAYER NAME,Approach__275_yards_RTP_ROUNDS,Approach__275_yards_RTP_AVG RTP
0,1,1,Peter Lonard,85,-.900
1,2,2,Justin Bolli,65,-.846
2,3,3,Adam Scott,72,-.833
3,4,4,Glen Hnatiuk,59,-.769
4,5,5,Jason Bohn,91,-.750
5,6,6,Phil Mickelson,81,-.727
6,7,7,Woody Austin,100,-.714
7,8,8,Sean O'Hair,103,-.684
8,T9,T9,Rich Beem,66,-.667
9,T9,T9,Mark O'Meara,66,-.667
10,T9,T9,Joe Ogilvie,103,-.667
11,T9,T9,Ian Poulter,62,-.667
12,T9,T9,Jeff Sluman,94,-.667
13,14,14,Rod Pampling,89,-.652
14,15,15,James Driscoll,73,-.647
15,16,16,Frank Lickliter II,100,-.640
16,T17,T17,Michael Allen,90,-.636
17,T17,T17,Robert Gamez,91,-.636
18,19,19,Charles Warren,89,-.632
19,20,20,Thomas Levet,54,-.625
20,21,21,Andrew Magee,82,-.615
21,T22,T22,Chad Campbell,95,-.600
22,T22,T22,Bernhard Langer,67,-.600
23,T22,T22,Corey Pavin,77,-.600
24,T22,T22,Carl Pettersson,109,-.600
25,T22,T22,Steve Stricker,62,-.600
26,T22,T22,D.J. Trahan,81,-.600
27,T22,T22,Tiger Woods,76,-.600
28,29,29,Kent Jones,99,-.591
29,30,30,Carlos Franco,78,-.588
30,T31,T31,Brian Gay,101,-.583
31,T31,T31,Greg Owen,84,-.583
32,33,33,Tim Clark,92,-.579
33,34,34,Vaughn Taylor,99,-.577
34,T35,T35,Bradley Hughes,52,-.571
35,T35,T35,José María Olazábal,55,-.571
36,37,37,Jim Furyk,94,-.563
37,38,38,J.L. Lewis,98,-.560
38,39,39,Jonathan Byrd,103,-.556
39,T40,T40,John Daly,78,-.545
40,T40,T40,John Senden,101,-.545
41,42,42,Hunter Haas,83,-.543
42,43,43,Steve Allan,102,-.542
43,T44,T44,Stephen Ames,82,-.538
44,T44,T44,Shigeki Maruyama,99,-.538
45,T46,T46,Chris DiMarco,83,-.533
46,T46,T46,Dennis Paulson,63,-.533
47,T46,T46,Kevin Stadler,96,-.533
48,49,49,Stuart Appleby,84,-.529
49,T50,T50,Omar Uresti,84,-.526
50,T50,T50,Bo Van Pelt,112,-.526
51,52,52,Daniel Chopra,108,-.524
52,53,53,Scott McCarron,78,-.522
53,T54,T54,Todd Fischer,99,-.520
54,T54,T54,Kevin Sutherland,89,-.520
55,56,56,J.J. Henry,102,-.516
56,57,57,Billy Mayfair,114,-.514
57,T58,T58,D.J. Brigman,76,-.500
58,T58,T58,Mark Brooks,72,-.500
59,T58,T58,Jim Carter,62,-.500
60,T58,T58,K.J. Choi,78,-.500
61,T58,T58,Stewart Cink,98,-.500
62,T58,T58,John Cook,72,-.500
63,T58,T58,Luke Donald,67,-.500
64,T58,T58,Steve Elkington,67,-.500
65,T58,T58,Sergio Garcia,73,-.500
66,T58,T58,Mathias Grönberg,60,-.500
67,T58,T58,Todd Hamilton,94,-.500
68,T58,T58,Padraig Harrington,50,-.500
69,T58,T58,Zach Johnson,96,-.500
70,T58,T58,Franklin Langham,91,-.500
71,T58,T58,Kirk Triplett,55,-.500
72,T58,T58,Scott Verplank,87,-.500
73,T58,T58,Mike Weir,71,-.500
74,T58,T58,Brett Wetterich,76,-.500
75,T58,T58,Charlie Wi,67,-.500
76,T58,T58,Jay Williamson,53,-.500
77,T58,T58,Dean Wilson,86,-.500
78,79,79,Brett Quigley,96,-.483
79,80,80,Cameron Beckman,96,-.480
80,T81,T81,Brandt Jobe,96,-.478
81,T81,T81,Tag Ridings,93,-.478
82,83,83,Billy Andrade,83,-.476
83,84,84,Shaun Micheel,81,-.474
84,T85,T85,Mark Calcavecchia,92,-.471
85,T85,T85,Will MacKenzie,75,-.471
86,T85,T85,Tim Petrovic,97,-.471
87,T88,T88,David Hearn,68,-.462
88,T88,T88,Richard Johnson,50,-.462
89,T88,T88,Rory Sabbatini,81,-.462
90,91,91,Hidemichi Tanaka,106,-.459
91,92,92,Kevin Na,88,-.455
92,T93,T93,Brian Davis,75,-.444
93,T93,T93,Tjaart van der Walt,56,-.444
94,T93,T93,Duffy Waldorf,86,-.444
95,96,96,Steve Lowery,100,-.441
96,T97,T97,Matt Kuchar,60,-.438
97,T97,T97,Stephen Leaney,89,-.438
98,T99,T99,Arjun Atwal,65,-.435
99,T99,T99,Bob Estes,92,-.435
100,T101,T101,Robert Allenby,95,-.429
101,T101,T101,Matt Davidson,53,-.429
102,T101,T101,Steve Flesch,90,-.429
103,T101,T101,Brent Geiberger,61,-.429
104,T101,T101,Jay Haas,54,-.429
105,T101,T101,Jeff Hart,63,-.429
106,T101,T101,Dudley Hart,84,-.429
107,T101,T101,Mark Hensby,70,-.429
108,T101,T101,Charles Howell III,95,-.429
109,T101,T101,Davis Love III,80,-.429
110,T101,T101,Phillip Price,77,-.429
111,T101,T101,Justin Rose,99,-.429
112,T113,T113,Paul Azinger,66,-.421
113,T113,T113,Danny Briggs,70,-.421
114,T113,T113,Matt Gogel,78,-.421
115,116,116,Vijay Singh,111,-.414
116,117,117,Hideto Tanihara,50,-.412
117,T118,T118,Ted Purdy,122,-.409
118,T118,T118,John Rollins,97,-.409
119,T120,T120,Tommy Armour III,103,-.400
120,T120,T120,Brian Bateman,98,-.400
121,T120,T120,Geoff Ogilvy,97,-.400
122,T120,T120,Pat Perez,89,-.400
123,T120,T120,Rob Rashell,65,-.400
124,T120,T120,Nick Watney,91,-.400
125,T126,T126,Glen Day,80,-.391
126,T126,T126,Chris Smith,93,-.391
127,128,128,Aaron Baddeley,84,-.389
128,129,129,Brenden Pappas,51,-.385
129,T130,T130,Scott Hend,75,-.375
130,T130,T130,Justin Leonard,78,-.375
131,132,132,Joey Snyder III,102,-.368
132,133,133,Paul Gow,78,-.367
133,T134,T134,John Elliott,58,-.364
134,T134,T134,Hunter Mahan,103,-.364
135,T134,T134,Heath Slocum,103,-.364
136,137,137,Roland Thatcher,75,-.357
137,138,138,Jeff Brehaut,71,-.355
138,T139,T139,Brendan Jones,81,-.353
139,T139,T139,Jerry Kelly,101,-.353
140,141,141,Lucas Glover,88,-.346
141,T142,T142,José Coceres,56,-.333
142,T142,T142,Scott Gutschewski,86,-.333
143,T142,T142,Freddie Jacobson,72,-.333
144,T142,T142,Hank Kuehne,84,-.333
145,T142,T142,Neal Lancaster,95,-.333
146,147,147,Briny Baird,98,-.318
147,148,148,John Huston,90,-.316
148,T149,T149,Robert Damron,89,-.313
149,T149,T149,Fred Funk,102,-.313
150,T149,T149,Lee Janzen,75,-.313
151,152,152,Tom Pernice Jr.,111,-.310
152,T153,T153,Paul Claxton,79,-.300
153,T153,T153,Marco Dawson,82,-.300
154,T153,T153,J.P. Hayes,63,-.300
155,T153,T153,Tim Herron,100,-.300
156,T153,T153,Ryan Palmer,101,-.300
157,T158,T158,Harrison Frazar,105,-.294
158,T158,T158,Bob Tway,87,-.294
159,T160,T160,Doug Barron,70,-.292
160,T160,T160,Mario Tiziani,67,-.292
161,T162,T162,Chris Anderson,66,-.286
162,T162,T162,Fred Couples,72,-.286
163,T162,T162,Ben Curtis,65,-.286
164,T162,T162,Arron Oberholser,65,-.286
165,T166,T166,Joe Durant,81,-.278
166,T166,T166,Rocco Mediate,73,-.278
167,T168,T168,Brad Faxon,75,-.273
168,T168,T168,Lee Westwood,50,-.273
169,170,170,Alex Cejka,84,-.263
170,T171,T171,Jason Allred,75,-.250
171,T171,T171,Gavin Coles,70,-.250
172,T171,T171,Tom Gillis,77,-.250
173,T171,T171,Retief Goosen,71,-.250
174,T171,T171,Tom Lehman,69,-.250
175,T176,T176,Jesper Parnevik,84,-.238
176,T176,T176,Patrick Sheehan,114,-.238
177,T178,T178,Steve Jones,56,-.231
178,T178,T178,Larry Mize,54,-.231
179,T178,T178,Joey Sindelar,104,-.231
180,181,181,Craig Perks,67,-.222
181,182,182,Dan Forsman,52,-.211
182,T183,T183,Tom Byrum,83,-.200
183,T183,T183,Bill Glasson,54,-.200
184,T183,T183,Len Mattiace,86,-.200
185,186,186,Michael Long,72,-.190
186,T187,T187,Craig Barlow,81,-.176
187,T187,T187,Olin Browne,99,-.176
188,T187,T187,Ryuji Imada,78,-.176
189,190,190,Jeff Maggert,79,-.167
190,191,191,Mark Wilson,74,-.154
191,192,192,D.A. Points,94,-.143
192,193,193,Bart Bryant,91,-.133
193,T194,T194,Bob Heintz,67,-.100
194,T194,T194,Kenny Perry,82,-.100
195,196,196,David Toms,87,-.083
196,197,197,Darron Stiles,78,-.077
197,198,198,Skip Kendall,80,-.059
198,T199,T199,Ben Crane,78,E
199,T199,T199,Jonathan Kaye,77,E
200,T199,T199,Chris Riley,67,E
201,202,202,Loren Roberts,54,+.500
