,Approach_150-175_yards_RTP_Score_RANK THIS WEEK,Approach_150-175_yards_RTP_Score_RANK LAST WEEK,Approach_150-175_yards_RTP_Score_PLAYER NAME,Approach_150-175_yards_RTP_Score_ROUNDS,Approach_150-175_yards_RTP_Score_AVG RTP
0,1,1,Kenny Perry,82,-.151
1,2,2,Corey Pavin,77,-.148
2,3,3,Kirk Triplett,55,-.140
3,T4,T4,Jim Furyk,94,-.135
4,T4,T4,Shigeki Maruyama,99,-.135
5,6,6,Jeff Sluman,94,-.132
6,7,7,Jerry Kelly,101,-.127
7,8,8,Bob Tway,87,-.122
8,9,9,Fred Couples,72,-.121
9,10,10,Craig Barlow,81,-.115
10,T11,T11,Brad Faxon,75,-.110
11,T11,T11,Padraig Harrington,50,-.110
12,T11,T11,Bo Van Pelt,112,-.110
13,14,14,Bob Heintz,67,-.108
14,15,15,Dudley Hart,84,-.104
15,16,16,Scott Verplank,87,-.101
16,T17,T17,Arjun Atwal,65,-.100
17,T17,T17,Stewart Cink,98,-.100
18,19,19,Robert Gamez,91,-.099
19,20,20,Tiger Woods,76,-.098
20,21,21,John Senden,101,-.097
21,22,22,Retief Goosen,71,-.095
22,23,23,Olin Browne,99,-.092
23,24,24,Bart Bryant,91,-.091
24,25,25,Tom Pernice Jr.,111,-.090
25,26,26,Richard Johnson,50,-.087
26,27,27,José María Olazábal,55,-.085
27,T28,T28,Luke Donald,67,-.083
28,T28,T28,Brent Geiberger,61,-.083
29,T30,T30,Michael Allen,90,-.081
30,T30,T30,Vijay Singh,111,-.081
31,32,32,Sergio Garcia,73,-.078
32,33,33,Carlos Franco,78,-.074
33,34,34,Marco Dawson,82,-.073
34,T35,T35,Adam Scott,72,-.068
35,T35,T35,Brett Wetterich,76,-.068
36,37,37,Todd Hamilton,94,-.067
37,T38,T38,J.L. Lewis,98,-.066
38,T38,T38,Joey Snyder III,102,-.066
39,T40,T40,Tim Herron,100,-.065
40,T40,T40,Rocco Mediate,73,-.065
41,T40,T40,Jesper Parnevik,84,-.065
42,T40,T40,Joey Sindelar,104,-.065
43,T44,T44,Jeff Maggert,79,-.062
44,T44,T44,Loren Roberts,54,-.062
45,T44,T44,D.J. Trahan,81,-.062
46,T47,T47,Phil Mickelson,81,-.059
47,T47,T47,Kevin Na,88,-.059
48,T49,T49,K.J. Choi,78,-.058
49,T49,T49,Lee Janzen,75,-.058
50,T51,T51,Arron Oberholser,65,-.054
51,T51,T51,David Toms,87,-.054
52,53,53,Roland Thatcher,75,-.053
53,T54,T54,José Coceres,56,-.052
54,T54,T54,Davis Love III,80,-.052
55,T54,T54,Tim Petrovic,97,-.052
56,T57,T57,Stephen Ames,82,-.051
57,T57,T57,Heath Slocum,103,-.051
