,Average_Approach_Distance_-_Birdie_or_Better_RANK THIS WEEK,Average_Approach_Distance_-_Birdie_or_Better_RANK LAST WEEK,Average_Approach_Distance_-_Birdie_or_Better_PLAYER NAME,Average_Approach_Distance_-_Birdie_or_Better_ROUNDS,Average_Approach_Distance_-_Birdie_or_Better_AVG (YARDS),Average_Approach_Distance_-_Birdie_or_Better_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Birdie_or_Better_NUMBER OF APPROACH SHOTS
0,1,1,Mark O'Meara,66,150.8,798226.0,147
1,2,2,Larry Mize,54,153.1,832391.0,151
2,3,3,Mark Wilson,74,156.4,1261577.0,224
3,T4,T4,Fred Funk,102,156.7,1415553.0,251
4,T4,T4,Len Mattiace,86,156.7,1275121.0,226
5,6,6,Jeff Hart,63,156.8,965488.0,171
6,7,7,Gavin Coles,70,157.5,1202341.0,212
7,8,8,J.P. Hayes,63,157.6,1146109.0,202
8,T9,T9,Mark Brooks,72,158.2,1002584.0,176
9,T9,T9,Olin Browne,99,158.2,1731618.0,304
10,11,11,Kirk Triplett,55,158.4,866568.0,152
11,12,12,Loren Roberts,54,158.5,901313.0,158
12,13,13,Bill Glasson,54,158.8,782990.0,137
13,14,14,Steve Stricker,62,159.1,1345901.0,235
14,15,15,Luke Donald,67,159.6,815904.0,142
15,16,16,Dan Forsman,52,159.8,1012713.0,176
16,17,17,Chris Anderson,66,159.9,1082230.0,188
17,T18,T18,Tom Byrum,83,160.2,1424265.0,247
18,T18,T18,Brian Gay,101,160.2,1724918.0,299
19,20,20,John Cook,72,161.5,1139264.0,196
20,21,21,Doug Barron,70,162.0,1353259.0,232
21,22,22,Jonathan Kaye,77,162.2,1494579.0,256
22,23,23,Brad Faxon,75,162.7,1270752.0,217
23,24,24,Justin Leonard,78,162.8,1119752.0,191
24,T25,T25,Chris DiMarco,83,163.1,1221223.0,208
25,T25,T25,Will MacKenzie,75,163.1,1432502.0,244
26,27,27,Fred Couples,72,163.4,999747.0,170
27,28,28,Darron Stiles,78,163.5,1524739.0,259
28,29,29,Franklin Langham,91,163.6,1342796.0,228
29,T30,T30,Stewart Cink,98,163.7,1538091.0,261
30,T30,T30,Bob Heintz,67,163.7,1426468.0,242
31,32,32,Glen Day,80,163.8,1479997.0,251
32,33,33,Stephen Leaney,89,164.0,1517067.0,257
33,34,34,Skip Kendall,80,164.1,1240847.0,210
34,35,35,Glen Hnatiuk,59,164.5,988736.0,167
35,36,36,Ben Curtis,65,164.9,819213.0,138
36,37,37,Jay Haas,54,165.2,785144.0,132
37,38,38,Jim Carter,62,165.3,803264.0,135
38,39,39,Peter Lonard,85,165.4,1298203.0,218
39,T40,T40,Tim Herron,100,165.6,1854559.0,311
40,T40,T40,Phillip Price,77,165.6,1358988.0,228
41,T40,T40,Mario Tiziani,67,165.6,1192106.0,200
42,T43,T43,Stuart Appleby,84,165.7,1371841.0,230
43,T43,T43,Jeff Maggert,79,165.7,1323985.0,222
44,T43,T43,Bob Tway,87,165.7,1461880.0,245
45,T46,T46,Todd Hamilton,94,165.9,1559164.0,261
46,T46,T46,Freddie Jacobson,72,165.9,1146544.0,192
47,T46,T46,Chris Riley,67,165.9,687030.0,115
48,49,49,Rob Rashell,65,166.0,986138.0,165
49,50,50,Geoff Ogilvy,97,166.1,1715721.0,287
50,51,51,Bob Estes,92,166.2,1687722.0,282
51,T52,T52,Richard Johnson,50,166.3,1083750.0,181
52,T52,T52,Rocco Mediate,73,166.3,1371091.0,229
53,T54,T54,Bart Bryant,91,166.4,1743059.0,291
54,T54,T54,Brent Geiberger,61,166.4,988429.0,165
55,T54,T54,Corey Pavin,77,166.4,1305764.0,218
56,57,57,Omar Uresti,84,166.8,1608928.0,268
57,58,58,Todd Fischer,99,167.0,1797920.0,299
58,59,59,Heath Slocum,103,167.1,1955230.0,325
59,60,60,Lee Janzen,75,167.2,1233667.0,205
60,61,61,Matt Gogel,78,167.4,1271941.0,211
61,62,62,Charlie Wi,67,167.5,1259977.0,209
62,T63,T63,Shigeki Maruyama,99,167.6,1942869.0,322
63,T63,T63,Kenny Perry,82,167.6,1502059.0,249
64,65,65,Pat Perez,89,167.9,1517266.0,251
65,T66,T66,Alex Cejka,84,168.1,1349796.0,223
66,T66,T66,José Coceres,56,168.1,1095271.0,181
67,68,68,Andrew Magee,82,168.5,1394846.0,230
68,69,69,Marco Dawson,82,168.6,1791039.0,295
69,70,70,Jeff Sluman,94,168.7,1712141.0,282
70,71,71,Zach Johnson,96,168.8,1963168.0,323
71,72,72,Jim Furyk,94,168.9,1720995.0,283
72,73,73,Adam Scott,72,169.0,1210443.0,199
73,74,74,Joe Ogilvie,103,169.2,1778719.0,292
74,T75,T75,Robert Gamez,91,169.5,1812425.0,297
75,T75,T75,Ryuji Imada,78,169.5,1391630.0,228
76,T75,T75,Arron Oberholser,65,169.5,1122452.0,184
77,T78,T78,Paul Azinger,66,169.6,1257500.0,206
78,T78,T78,Bernhard Langer,67,169.6,934292.0,153
79,T80,T80,Rich Beem,66,169.7,1013905.0,166
80,T80,T80,José María Olazábal,55,169.7,946702.0,155
81,82,82,Paul Claxton,79,169.8,1308357.0,214
82,T83,T83,Tommy Armour III,103,169.9,1859207.0,304
83,T83,T83,Danny Briggs,70,169.9,1149887.0,188
84,T85,T85,John Huston,90,170.0,1798763.0,294
85,T85,T85,Neal Lancaster,95,170.0,1922230.0,314
86,T87,T87,Jeff Brehaut,71,170.1,1463595.0,239
87,T87,T87,Scott Verplank,87,170.1,1586170.0,259
88,T89,T89,Kevin Na,88,170.2,1672961.0,273
89,T89,T89,Vaughn Taylor,99,170.2,2120542.0,346
90,91,91,David Hearn,68,170.4,1325140.0,216
91,T92,T92,Tom Lehman,69,170.6,1025715.0,167
92,T92,T92,Patrick Sheehan,114,170.6,2192091.0,357
93,94,94,K.J. Choi,78,170.7,1223200.0,199
94,95,95,Rory Sabbatini,81,170.8,1402285.0,228
