,Fairway_Approach_RTP_Score_RANK THIS WEEK,Fairway_Approach_RTP_Score_RANK LAST WEEK,Fairway_Approach_RTP_Score_PLAYER NAME,Fairway_Approach_RTP_Score_ROUNDS,Fairway_Approach_RTP_Score_AVG RTP
0,1,1,Tiger Woods,76,-0.184
1,2,2,Jim Furyk,94,-0.161
2,3,3,Vijay Singh,111,-0.152
3,T4,T4,Richard Johnson,50,-0.128
4,T4,T4,Kenny Perry,82,-0.128
5,6,6,David Toms,87,-0.126
6,7,7,Shigeki Maruyama,99,-0.12
7,8,8,Tim Herron,100,-0.11900000000000001
8,9,9,Adam Scott,72,-0.11800000000000001
9,10,10,Sergio Garcia,73,-0.11699999999999999
10,11,11,Stewart Cink,98,-0.11599999999999999
11,12,12,Ben Crane,78,-0.115
12,13,13,Luke Donald,67,-0.114
13,14,14,José María Olazábal,55,-0.111
14,15,15,Scott Verplank,87,-0.10800000000000001
15,16,16,Bart Bryant,91,-0.107
16,17,17,Bob Tway,87,-0.106
17,18,18,Brenden Pappas,51,-0.10400000000000001
18,19,19,Retief Goosen,71,-0.10300000000000001
19,T20,T20,Padraig Harrington,50,-0.102
20,T20,T20,Steve Stricker,62,-0.102
21,22,22,Jeff Brehaut,71,-0.10099999999999999
22,T23,T23,Davis Love III,80,-0.1
23,T23,T23,Phil Mickelson,81,-0.1
24,T23,T23,Brett Quigley,96,-0.1
25,T26,T26,Mathias Grönberg,60,-0.098
26,T26,T26,Zach Johnson,96,-0.098
27,T28,T28,Jason Bohn,91,-0.09699999999999999
28,T28,T28,Harrison Frazar,105,-0.09699999999999999
29,T28,T28,Dudley Hart,84,-0.09699999999999999
30,T28,T28,Vaughn Taylor,99,-0.09699999999999999
31,T32,T32,Carlos Franco,78,-0.096
32,T32,T32,Lucas Glover,88,-0.096
33,T32,T32,Jonathan Kaye,77,-0.096
34,T32,T32,Rod Pampling,89,-0.096
35,T32,T32,Tag Ridings,93,-0.096
36,T32,T32,Bo Van Pelt,112,-0.096
37,38,38,Chad Campbell,95,-0.095
38,T39,T39,Robert Allenby,95,-0.094
39,T39,T39,Robert Gamez,91,-0.094
40,T39,T39,Bob Heintz,67,-0.094
41,T42,T42,Arjun Atwal,65,-0.09300000000000001
42,T42,T42,Chris DiMarco,83,-0.09300000000000001
43,44,44,K.J. Choi,78,-0.092
44,T45,T45,Charles Howell III,95,-0.091
45,T45,T45,Corey Pavin,77,-0.091
