,Greens_in_Regulation_Percentage_RANK THIS WEEK,Greens_in_Regulation_Percentage_RANK LAST WEEK,Greens_in_Regulation_Percentage_PLAYER NAME,Greens_in_Regulation_Percentage_ROUNDS,Greens_in_Regulation_Percentage_%,Greens_in_Regulation_Percentage_GREENS HIT,Greens_in_Regulation_Percentage_# HOLES,Greens_in_Regulation_Percentage_RELATIVE/PAR
0,1,1,Sergio Garcia,73,71.81,879,1224,-0.24
1,2,2,Joe Durant,81,70.92,1034,1458,-0.22
2,3,3,Kenny Perry,82,70.76,1019,1440,-0.25
3,4,4,Vijay Singh,111,70.54,1384,1962,-0.29
4,5,5,Jeff Brehaut,71,69.98,844,1206,-0.26
5,6,6,Tiger Woods,76,69.89,931,1332,-0.35
6,7,7,Jim Furyk,94,69.77,1168,1674,-0.28
7,8,8,J.J. Henry,102,69.67,1254,1800,-0.24
8,9,9,Roland Thatcher,75,69.56,914,1314,-0.22
9,10,10,Billy Mayfair,114,69.49,1376,1980,-0.26
10,11,11,Robert Allenby,95,69.48,1113,1602,-0.26
11,12,12,Briny Baird,98,69.27,1197,1728,-0.26
12,13,13,Chris Smith,93,69.24,1159,1674,-0.25
13,14,14,Dan Forsman,52,69.22,623,900,-0.26
14,15,15,Olin Browne,99,69.12,1182,1710,-0.25
15,16,16,Charles Warren,89,69.03,1081,1566,-0.26
16,17,17,Bart Bryant,91,68.93,1129,1638,-0.28
17,18,18,Bo Van Pelt,112,68.9,1389,2016,-0.27
18,19,19,Joey Sindelar,104,68.59,1284,1872,-0.26
19,20,20,Chad Campbell,95,68.54,1135,1656,-0.25
20,21,21,Joey Snyder III,102,68.48,1208,1764,-0.25
21,22,22,Luke Donald,67,68.43,739,1080,-0.24
22,23,23,Heath Slocum,103,68.35,1218,1782,-0.25
23,24,24,Brett Wetterich,76,68.32,910,1332,-0.27
24,25,25,Fred Couples,72,68.3,836,1224,-0.26
25,26,26,Tommy Armour III,103,68.18,1264,1854,-0.23
26,27,27,David Hearn,68,68.14,834,1224,-0.23
27,28,28,Richard Johnson,50,68.11,613,900,-0.27
28,29,29,Justin Rose,99,68.07,1164,1710,-0.25
29,30,30,John Senden,101,68.01,1212,1782,-0.27
30,31,31,D.J. Trahan,81,67.89,941,1386,-0.26
31,32,32,Glen Hnatiuk,59,67.88,672,990,-0.22
32,33,33,Scott Gutschewski,86,67.62,998,1476,-0.29
33,34,34,Tom Lehman,69,67.58,815,1206,-0.23
34,35,35,Lucas Glover,88,67.51,1045,1548,-0.27
35,36,36,Bob Tway,87,67.47,1008,1494,-0.26
36,37,37,Marco Dawson,82,67.41,995,1476,-0.27
37,38,38,Retief Goosen,71,67.4,740,1098,-0.29
38,39,39,David Toms,87,67.39,934,1386,-0.3
39,40,40,Adam Scott,72,67.24,823,1224,-0.26
40,41,41,Sean O'Hair,103,67.23,1198,1782,-0.25
41,42,42,Steve Elkington,67,67.16,810,1206,-0.23
42,43,43,Greg Owen,84,67.15,967,1440,-0.25
43,44,44,Kevin Sutherland,89,67.11,1051,1566,-0.25
44,45,45,Jeff Sluman,94,67.02,1134,1692,-0.25
45,46,46,Doug Barron,70,66.9,843,1260,-0.26
46,47,47,Phil Mickelson,81,66.89,891,1332,-0.32
47,T48,T48,Stuart Appleby,84,66.88,963,1440,-0.25
48,T48,T48,Hidemichi Tanaka,106,66.88,1228,1836,-0.25
49,50,50,Arron Oberholser,65,66.84,758,1134,-0.25
50,51,51,Davis Love III,80,66.81,902,1350,-0.27
51,52,52,Hunter Mahan,103,66.72,1213,1818,-0.27
52,T53,T53,Craig Barlow,81,66.67,924,1386,-0.27
53,T53,T53,Zach Johnson,96,66.67,1140,1710,-0.27
54,T53,T53,Brendan Jones,81,66.67,948,1422,-0.24
55,T53,T53,Jonathan Kaye,77,66.67,888,1332,-0.26
56,T53,T53,Geoff Ogilvy,97,66.67,1116,1674,-0.29
57,58,58,Harrison Frazar,105,66.56,1210,1818,-0.31
58,59,59,Omar Uresti,84,66.53,1006,1512,-0.24
59,60,60,Darron Stiles,78,66.52,910,1368,-0.26
60,T61,T61,Dudley Hart,84,66.47,1005,1512,-0.27
61,T61,T61,Stephen Leaney,89,66.47,1029,1548,-0.24
62,T61,T61,Scott Verplank,87,66.47,1029,1548,-0.3
63,64,64,Duffy Waldorf,86,66.4,980,1476,-0.26
64,65,65,Carlos Franco,78,66.3,907,1368,-0.24
65,66,66,Tjaart van der Walt,56,66.27,668,1008,-0.23
66,67,67,Mario Tiziani,67,66.24,775,1170,-0.25
67,T68,T68,Fred Funk,102,66.17,1203,1818,-0.21
68,T68,T68,Nick Watney,91,66.17,1060,1602,-0.28
69,70,70,Jerry Kelly,101,66.16,1179,1782,-0.24
70,71,71,Charles Howell III,95,66.11,1071,1620,-0.26
71,72,72,J.L. Lewis,98,66.1,1166,1764,-0.25
72,73,73,Carl Pettersson,109,66.08,1249,1890,-0.27
73,74,74,Jason Bohn,91,66.06,1082,1638,-0.28
74,75,75,Mark Wilson,74,65.87,830,1260,-0.26
75,76,76,Mark Calcavecchia,92,65.86,1067,1620,-0.27
76,77,77,Stewart Cink,98,65.74,1065,1620,-0.28
77,78,78,John Rollins,97,65.73,1124,1710,-0.27
78,79,79,Brian Davis,75,65.7,887,1350,-0.25
79,80,80,Vaughn Taylor,99,65.66,1170,1782,-0.28
80,81,81,Dean Wilson,86,65.63,1016,1548,-0.28
81,82,82,Rod Pampling,89,65.61,992,1512,-0.26
82,83,83,Frank Lickliter II,100,65.57,1133,1728,-0.27
83,84,84,Jeff Maggert,79,65.54,873,1332,-0.25
84,85,85,Brandt Jobe,96,65.52,1085,1656,-0.27
85,86,86,Kent Jones,99,65.46,1143,1746,-0.27
86,87,87,Rocco Mediate,73,65.45,860,1314,-0.24
87,88,88,Shigeki Maruyama,99,65.42,1154,1764,-0.27
88,T89,T89,José María Olazábal,55,65.41,624,954,-0.28
89,T89,T89,Ryan Palmer,101,65.41,1142,1746,-0.3
90,T89,T89,Loren Roberts,54,65.41,624,954,-0.25
91,92,92,Neal Lancaster,95,65.38,1118,1710,-0.27
92,93,93,Will MacKenzie,75,65.37,859,1314,-0.25
93,94,94,Justin Leonard,78,65.33,882,1350,-0.27
94,95,95,Alex Cejka,84,65.29,952,1458,-0.22
95,96,96,Tim Herron,100,65.26,1163,1782,-0.29
96,97,97,Tag Ridings,93,65.08,1066,1638,-0.32
97,T98,T98,Phillip Price,77,65.07,855,1314,-0.28
98,T98,T98,Ted Purdy,122,65.07,1429,2196,-0.25
99,100,100,Shaun Micheel,81,65.05,925,1422,-0.24
100,101,101,Bernhard Langer,67,65.01,784,1206,-0.24
101,102,102,Tim Petrovic,97,64.99,1088,1674,-0.25
