,Going_for_the_Green_RANK THIS WEEK,Going_for_the_Green_RANK LAST WEEK,Going_for_the_Green_PLAYER NAME,Going_for_the_Green_ROUNDS,Going_for_the_Green_%,Going_for_the_Green_ATTEMPTS,Going_for_the_Green_NON-ATTEMPTS,Going_for_the_Green_RTP-GOING FOR THE GREEN,Going_for_the_Green_RTP-NOT GOING FOR THE GRN
0,1,1,Tiger Woods,76,73.02,157,58,-105,-1
1,2,2,Scott Hend,75,72.27,185,71,-92,+20
2,3,3,Brett Wetterich,76,71.43,180,72,-81,+4
3,4,4,Vijay Singh,111,71.39,242,97,-150,-3
4,5,5,Lucas Glover,88,70.23,210,89,-116,+3
5,6,6,Mathias Grönberg,60,69.44,150,66,-84,+6
6,7,7,Phil Mickelson,81,66.49,125,63,-76,-4
7,8,8,Scott Gutschewski,86,66.3,181,92,-108,+12
8,9,9,Kevin Stadler,96,65.15,215,115,-127,+11
9,10,10,John Daly,78,64.52,140,77,-81,+5
10,11,11,Lee Westwood,50,64.22,70,39,-36,+5
11,12,12,Sergio Garcia,73,64.1,125,70,-79,-5
12,13,13,D.J. Trahan,81,63.94,172,97,-109,+1
13,14,14,Hank Kuehne,84,63.82,187,106,-83,+11
14,15,15,Harrison Frazar,105,62.71,227,135,-132,E
15,16,16,Mark Hensby,70,62.5,115,69,-65,+5
16,17,17,Jonathan Byrd,103,62.22,219,133,-121,-3
17,18,18,Daniel Chopra,108,61.69,219,136,-114,-1
18,19,19,John Elliott,58,61.46,118,74,-53,+11
19,20,20,James Driscoll,73,61.29,152,96,-96,-2
20,21,21,Nick Watney,91,61.11,198,126,-123,E
21,22,22,Charles Warren,89,61.08,193,123,-104,-2
22,23,23,Tag Ridings,93,60.7,207,134,-118,+1
23,24,24,Brandt Jobe,96,60.68,179,116,-109,+16
24,25,25,Brenden Pappas,51,60.64,114,74,-83,+14
25,26,26,Retief Goosen,71,59.88,97,65,-67,-3
26,27,27,Ryan Palmer,101,59.87,188,126,-97,-1
27,28,28,John Rollins,97,59.82,195,131,-122,-4
28,29,29,Kenny Perry,82,59.72,126,85,-69,-1
29,30,30,Davis Love III,80,59.59,115,78,-79,+4
30,31,31,Jesper Parnevik,84,59.52,150,102,-70,+5
31,32,32,Steve Lowery,100,59.38,209,143,-111,+7
32,33,33,Chris Smith,93,59.0,200,139,-99,+10
33,34,34,Robert Allenby,95,58.6,167,118,-86,-16
34,35,35,Arjun Atwal,65,58.44,135,96,-79,-9
35,36,36,Hunter Mahan,103,58.19,206,148,-107,-17
36,37,37,Rod Pampling,89,58.11,154,111,-86,+5
37,38,38,J.J. Henry,102,58.04,195,141,-101,-9
38,39,39,Greg Owen,84,57.8,163,119,-93,+3
39,40,40,Mark Calcavecchia,92,57.61,159,117,-90,-9
40,41,41,Michael Long,72,57.14,140,105,-78,+2
41,42,42,Billy Mayfair,114,56.88,219,166,-122,-21
42,43,43,Steve Allan,102,56.62,201,154,-98,+7
43,T44,T44,Frank Lickliter II,100,56.52,195,150,-109,-20
44,T44,T44,Justin Rose,99,56.52,195,150,-105,E
45,46,46,John Huston,90,56.44,171,132,-84,-17
46,47,47,Carlos Franco,78,56.38,159,123,-86,-9
47,48,48,Charles Howell III,95,56.27,157,122,-108,-10
48,49,49,Sean O'Hair,103,56.25,180,140,-94,E
49,50,50,Roland Thatcher,75,56.23,149,116,-68,+7
50,51,51,Pat Perez,89,56.04,153,120,-61,+7
51,52,52,Ted Purdy,122,55.8,207,164,-114,-4
52,53,53,Hunter Haas,83,55.79,159,126,-85,-7
53,54,54,Bo Van Pelt,112,55.77,203,161,-121,-15
54,55,55,John Senden,101,54.65,194,161,-100,-8
55,56,56,Dennis Paulson,63,54.63,124,103,-71,+4
56,57,57,Aaron Baddeley,84,54.61,160,133,-89,+3
