,Approaches_75-100_yards-Rgh_RTP_RANK THIS WEEK,Approaches_75-100_yards-Rgh_RTP_RANK LAST WEEK,Approaches_75-100_yards-Rgh_RTP_PLAYER NAME,Approaches_75-100_yards-Rgh_RTP_ROUNDS,Approaches_75-100_yards-Rgh_RTP_AVG RTP
0,1,1,Phillip Price,77,-.444
1,2,2,Bernhard Langer,67,-.364
2,3,3,Steve Stricker,62,-.360
3,4,4,Fred Couples,72,-.357
4,5,5,Will MacKenzie,75,-.350
5,6,6,Larry Mize,54,-.286
6,7,7,Davis Love III,80,-.250
7,8,8,Tim Clark,92,-.240
8,T9,T9,Paul Claxton,79,-.222
9,T9,T9,Bill Glasson,54,-.222
10,T9,T9,Jeff Maggert,79,-.222
11,12,12,Hunter Haas,83,-.217
12,13,13,Arjun Atwal,65,-.200
13,14,14,Kirk Triplett,55,-.182
14,15,15,Jesper Parnevik,84,-.167
15,16,16,José Coceres,56,-.154
16,17,17,D.A. Points,94,-.150
17,18,18,Sergio Garcia,73,-.143
18,19,19,J.L. Lewis,98,-.130
19,T20,T20,Jay Haas,54,-.125
20,T20,T20,Richard Johnson,50,-.125
21,T20,T20,Neal Lancaster,95,-.125
22,23,23,Tiger Woods,76,-.120
23,T24,T24,Craig Barlow,81,-.111
24,T24,T24,Andrew Magee,82,-.111
25,T24,T24,Scott McCarron,78,-.111
26,T27,T27,Stuart Appleby,84,-.100
27,T27,T27,Skip Kendall,80,-.100
28,T27,T27,Rory Sabbatini,81,-.100
29,T27,T27,Kevin Sutherland,89,-.100
30,31,31,Cameron Beckman,96,-.080
31,T32,T32,Kent Jones,99,-.071
32,T32,T32,Brenden Pappas,51,-.071
33,34,34,Geoff Ogilvy,97,-.069
34,T35,T35,John Daly,78,-.063
35,T35,T35,Carlos Franco,78,-.063
36,T35,T35,Retief Goosen,71,-.063
37,T35,T35,Steve Lowery,100,-.063
38,39,39,Charles Howell III,95,-.053
39,T40,T40,Jeff Hart,63,-.050
40,T40,T40,Carl Pettersson,109,-.050
41,T42,T42,Olin Browne,99,-.045
42,T42,T42,Mark Calcavecchia,92,-.045
43,T42,T42,Kevin Na,88,-.045
44,T45,T45,Joe Ogilvie,103,-.040
45,T45,T45,Heath Slocum,103,-.040
46,47,47,Nick Watney,91,-.037
47,48,48,Bo Van Pelt,112,-.036
48,49,49,Todd Hamilton,94,-.033
49,50,50,Vijay Singh,111,-.027
50,T51,T51,Chris Anderson,66,E
51,T51,T51,Tommy Armour III,103,E
52,T51,T51,Chad Campbell,95,E
53,T51,T51,Daniel Chopra,108,E
54,T51,T51,Robert Damron,89,E
55,T51,T51,Luke Donald,67,E
56,T51,T51,Bob Estes,92,E
57,T51,T51,Steve Flesch,90,E
58,T51,T51,Fred Funk,102,E
59,T51,T51,Brian Gay,101,E
60,T51,T51,Matt Gogel,78,E
61,T51,T51,Mathias Grönberg,60,E
62,T51,T51,Dudley Hart,84,E
63,T51,T51,Steve Jones,56,E
64,T51,T51,Brendan Jones,81,E
65,T51,T51,Stephen Leaney,89,E
66,T51,T51,Shaun Micheel,81,E
67,T51,T51,Phil Mickelson,81,E
68,T51,T51,Mark O'Meara,66,E
69,T51,T51,Arron Oberholser,65,E
70,T51,T51,José María Olazábal,55,E
71,T51,T51,Greg Owen,84,E
72,T51,T51,Kenny Perry,82,E
73,T51,T51,Tag Ridings,93,E
74,T51,T51,Loren Roberts,54,E
75,T51,T51,Justin Rose,99,E
76,T51,T51,Adam Scott,72,E
77,T51,T51,Jeff Sluman,94,E
78,T51,T51,Joey Snyder III,102,E
79,T51,T51,Kevin Stadler,96,E
80,T51,T51,Hideto Tanihara,50,E
81,T51,T51,Tjaart van der Walt,56,E
82,T51,T51,Brett Wetterich,76,E
83,T51,T51,Mark Wilson,74,E
84,85,85,Gavin Coles,70,+.038
85,86,86,Woody Austin,100,+.043
86,87,87,Aaron Baddeley,84,+.045
87,88,88,D.J. Trahan,81,+.048
88,T89,T89,Jason Bohn,91,+.050
89,T89,T89,Peter Lonard,85,+.050
90,T89,T89,Billy Mayfair,114,+.050
91,92,92,Corey Pavin,77,+.053
92,T93,T93,Brian Davis,75,+.056
93,T93,T93,David Toms,87,+.056
94,95,95,Shigeki Maruyama,99,+.061
95,T96,T96,Doug Barron,70,+.063
96,T96,T96,Robert Gamez,91,+.063
97,98,98,Jason Allred,75,+.065
98,T99,T99,Ryuji Imada,78,+.067
99,T99,T99,Zach Johnson,96,+.067
100,T101,T101,Brett Quigley,96,+.069
101,T101,T101,Darron Stiles,78,+.069
102,T103,T103,Glen Hnatiuk,59,+.077
103,T103,T103,Duffy Waldorf,86,+.077
104,T105,T105,Stewart Cink,98,+.080
105,T105,T105,Todd Fischer,99,+.080
106,T105,T105,Harrison Frazar,105,+.080
107,T108,T108,Frank Lickliter II,100,+.091
108,T108,T108,John Senden,101,+.091
109,110,110,Len Mattiace,86,+.095
110,111,111,Marco Dawson,82,+.097
111,T112,T112,Dan Forsman,52,+.100
112,T112,T112,Padraig Harrington,50,+.100
113,T112,T112,Hidemichi Tanaka,106,+.100
114,T115,T115,Paul Gow,78,+.105
115,T115,T115,Omar Uresti,84,+.105
116,117,117,Sean O'Hair,103,+.107
117,T118,T118,Matt Davidson,53,+.111
118,T118,T118,Ian Poulter,62,+.111
119,T118,T118,Jay Williamson,53,+.111
120,121,121,Tim Herron,100,+.118
121,T122,T122,Ted Purdy,122,+.120
122,T122,T122,Chris Smith,93,+.120
123,124,124,Scott Gutschewski,86,+.125
124,125,125,Rocco Mediate,73,+.133
125,126,126,Ben Crane,78,+.138
126,127,127,Scott Hend,75,+.139
127,T128,T128,Jim Carter,62,+.143
128,T128,T128,Brad Faxon,75,+.143
129,T128,T128,Tom Lehman,69,+.143
130,131,131,Freddie Jacobson,72,+.150
131,T132,T132,Alex Cejka,84,+.154
132,T132,T132,Mario Tiziani,67,+.154
133,134,134,Pat Perez,89,+.156
134,135,135,Steve Allan,102,+.158
135,136,136,Jonathan Byrd,103,+.161
136,T137,T137,Billy Andrade,83,+.167
137,T137,T137,Rich Beem,66,+.167
138,T137,T137,John Elliott,58,+.167
139,T137,T137,John Huston,90,+.167
140,T137,T137,Lee Janzen,75,+.167
141,T137,T137,Jonathan Kaye,77,+.167
142,T137,T137,Matt Kuchar,60,+.167
143,T137,T137,Justin Leonard,78,+.167
144,T145,T145,Jeff Brehaut,71,+.182
145,T145,T145,D.J. Brigman,76,+.182
146,T145,T145,James Driscoll,73,+.182
147,T145,T145,Franklin Langham,91,+.182
148,149,149,Glen Day,80,+.188
149,T150,T150,Briny Baird,98,+.200
150,T150,T150,Thomas Levet,54,+.200
151,152,152,Tim Petrovic,97,+.207
152,153,153,Lucas Glover,88,+.211
153,T154,T154,Tom Byrum,83,+.214
154,T154,T154,Steve Elkington,67,+.214
155,T154,T154,Hank Kuehne,84,+.214
156,T154,T154,Bob Tway,87,+.214
157,T158,T158,Danny Briggs,70,+.222
158,T158,T158,K.J. Choi,78,+.222
159,T158,T158,Lee Westwood,50,+.222
160,T161,T161,Brian Bateman,98,+.231
161,T161,T161,Patrick Sheehan,114,+.231
162,T163,T163,Rod Pampling,89,+.235
163,T163,T163,John Rollins,97,+.235
164,165,165,Tom Pernice Jr.,111,+.242
165,T166,T166,Mark Hensby,70,+.250
166,T166,T166,Brandt Jobe,96,+.250
167,T166,T166,Scott Verplank,87,+.250
168,169,169,Michael Long,72,+.263
169,170,170,Joey Sindelar,104,+.267
170,171,171,Roland Thatcher,75,+.269
171,T172,T172,J.J. Henry,102,+.273
172,T172,T172,Mike Weir,71,+.273
173,T174,T174,Michael Allen,90,+.278
174,T174,T174,Jerry Kelly,101,+.278
175,T176,T176,Chris DiMarco,83,+.286
176,T176,T176,Ryan Palmer,101,+.286
177,178,178,Vaughn Taylor,99,+.292
178,179,179,Robert Allenby,95,+.308
179,180,180,Jim Furyk,94,+.313
180,181,181,J.P. Hayes,63,+.318
181,T182,T182,Ben Curtis,65,+.333
182,T182,T182,Brent Geiberger,61,+.333
183,T182,T182,Tom Gillis,77,+.333
184,T182,T182,Charles Warren,89,+.333
185,T182,T182,Charlie Wi,67,+.333
186,187,187,Justin Bolli,65,+.346
187,188,188,John Cook,72,+.353
188,189,189,Dean Wilson,86,+.357
189,190,190,Stephen Ames,82,+.364
190,191,191,Dennis Paulson,63,+.368
191,192,192,David Hearn,68,+.389
192,193,193,Mark Brooks,72,+.412
193,194,194,Hunter Mahan,103,+.414
194,195,195,Joe Durant,81,+.417
195,196,196,Bob Heintz,67,+.421
196,T197,T197,Paul Azinger,66,+.429
197,T197,T197,Craig Perks,67,+.429
198,T199,T199,Bart Bryant,91,+.500
199,T199,T199,Bradley Hughes,52,+.500
200,T199,T199,Chris Riley,67,+.500
201,202,202,Rob Rashell,65,+.526
