,Approach__125_yards_RTP_Score_RANK THIS WEEK,Approach__125_yards_RTP_Score_RANK LAST WEEK,Approach__125_yards_RTP_Score_PLAYER NAME,Approach__125_yards_RTP_Score_ROUNDS,Approach__125_yards_RTP_Score_AVG RTP
0,1,1,Tiger Woods,76,-.285
1,2,2,Richard Johnson,50,-.266
2,T3,T3,Doug Barron,70,-.231
3,T3,T3,Steve Stricker,62,-.231
4,5,5,Jonathan Kaye,77,-.212
5,6,6,Charles Howell III,95,-.207
6,7,7,John Huston,90,-.204
7,8,8,Vaughn Taylor,99,-.198
8,T9,T9,Bart Bryant,91,-.197
9,T9,T9,Chris DiMarco,83,-.197
10,11,11,Padraig Harrington,50,-.196
11,T12,T12,Jim Furyk,94,-.195
12,T12,T12,Zach Johnson,96,-.195
13,14,14,Stephen Leaney,89,-.191
14,15,15,Jeff Brehaut,71,-.189
15,16,16,John Rollins,97,-.188
16,17,17,Stuart Appleby,84,-.187
17,18,18,Adam Scott,72,-.186
18,19,19,Tim Herron,100,-.185
19,20,20,Brett Quigley,96,-.182
20,21,21,Brian Davis,75,-.181
21,22,22,J.P. Hayes,63,-.180
22,T23,T23,Hank Kuehne,84,-.179
23,T23,T23,Joe Ogilvie,103,-.179
24,25,25,Phil Mickelson,81,-.173
25,26,26,Stewart Cink,98,-.172
26,27,27,Bob Heintz,67,-.171
27,28,28,Mark O'Meara,66,-.170
28,29,29,Olin Browne,99,-.169
29,30,30,Darron Stiles,78,-.167
30,31,31,Chris Anderson,66,-.166
31,T32,T32,Justin Bolli,65,-.165
32,T32,T32,Jeff Maggert,79,-.165
33,34,34,Luke Donald,67,-.162
34,T35,T35,Tom Lehman,69,-.159
35,T35,T35,Vijay Singh,111,-.159
36,T35,T35,Scott Verplank,87,-.159
37,T38,T38,Steve Elkington,67,-.158
38,T38,T38,Corey Pavin,77,-.158
39,40,40,Neal Lancaster,95,-.157
40,41,41,Mark Wilson,74,-.155
41,42,42,Robert Gamez,91,-.154
42,T43,T43,Robert Allenby,95,-.153
43,T43,T43,John Cook,72,-.153
44,T43,T43,Joey Sindelar,104,-.153
45,46,46,Bob Estes,92,-.152
46,47,47,Mark Calcavecchia,92,-.151
47,48,48,Rod Pampling,89,-.150
48,T49,T49,Woody Austin,100,-.149
49,T49,T49,David Hearn,68,-.149
50,51,51,Jay Haas,54,-.148
51,T52,T52,Paul Claxton,79,-.147
52,T52,T52,Geoff Ogilvy,97,-.147
53,T52,T52,Omar Uresti,84,-.147
54,55,55,Davis Love III,80,-.146
55,T56,T56,Dan Forsman,52,-.144
56,T56,T56,Will MacKenzie,75,-.144
57,T56,T56,Tjaart van der Walt,56,-.144
58,59,59,Carl Pettersson,109,-.143
59,60,60,Glen Hnatiuk,59,-.140
60,61,61,Brad Faxon,75,-.139
61,T62,T62,Peter Lonard,85,-.136
62,T62,T62,Shigeki Maruyama,99,-.136
63,T64,T64,Gavin Coles,70,-.135
64,T64,T64,Justin Leonard,78,-.135
65,66,66,Fred Funk,102,-.132
66,67,67,John Senden,101,-.131
67,68,68,Arjun Atwal,65,-.130
68,T69,T69,Jason Bohn,91,-.129
69,T69,T69,Andrew Magee,82,-.129
70,T69,T69,Rocco Mediate,73,-.129
71,72,72,Ryuji Imada,78,-.128
72,T73,T73,Alex Cejka,84,-.126
73,T73,T73,Rob Rashell,65,-.126
74,75,75,Jeff Sluman,94,-.125
75,76,76,Briny Baird,98,-.124
76,77,77,Larry Mize,54,-.123
77,T78,T78,Billy Andrade,83,-.122
78,T78,T78,José María Olazábal,55,-.122
79,T78,T78,David Toms,87,-.122
80,T81,T81,Harrison Frazar,105,-.121
81,T81,T81,Heath Slocum,103,-.121
82,83,83,D.A. Points,94,-.120
83,T84,T84,Fred Couples,72,-.119
84,T84,T84,Bob Tway,87,-.119
85,86,86,Ben Crane,78,-.116
86,T87,T87,Hunter Haas,83,-.115
87,T87,T87,Frank Lickliter II,100,-.115
88,T87,T87,Mike Weir,71,-.115
89,T90,T90,Chad Campbell,95,-.114
90,T90,T90,Tom Gillis,77,-.114
91,T92,T92,Bernhard Langer,67,-.112
92,T92,T92,Roland Thatcher,75,-.112
93,T94,T94,Sergio Garcia,73,-.111
94,T94,T94,Billy Mayfair,114,-.111
