,Average_Distance_to_Hole_After_Tee_Shot_RANK THIS WEEK,Average_Distance_to_Hole_After_Tee_Shot_RANK LAST WEEK,Average_Distance_to_Hole_After_Tee_Shot_PLAYER NAME,Average_Distance_to_Hole_After_Tee_Shot_ROUNDS,Average_Distance_to_Hole_After_Tee_Shot_AVG,Average_Distance_to_Hole_After_Tee_Shot_TOTAL DIST AFTER TEE SHOT,Average_Distance_to_Hole_After_Tee_Shot_TOTAL TEE SHOTS
0,1,1,Scott Hend,75,155.1,4869599.0,872
1,2,2,Brett Wetterich,76,157.5,5223335.0,921
2,3,3,Tiger Woods,76,158.0,4340447.0,763
3,4,4,John Daly,78,158.5,4337181.0,760
4,5,5,Sergio Garcia,73,161.1,4232524.0,730
5,6,6,Vijay Singh,111,161.5,7042486.0,1211
6,7,7,Scott Gutschewski,86,162.6,5748742.0,982
7,8,8,Kenny Perry,82,162.8,4875768.0,832
8,9,9,Brenden Pappas,51,163.0,3867202.0,659
9,10,10,Hank Kuehne,84,163.1,5859764.0,998
10,11,11,Mathias Grönberg,60,163.6,4559320.0,774
11,12,12,Lee Westwood,50,164.8,2723122.0,459
12,13,13,John Elliott,58,164.9,4143897.0,698
13,14,14,Brendan Jones,81,165.1,5895882.0,992
14,15,15,Lucas Glover,88,165.8,6435418.0,1078
15,16,16,Harrison Frazar,105,165.9,7640940.0,1279
16,17,17,Phil Mickelson,81,166.0,4100720.0,686
17,T18,T18,Stuart Appleby,84,166.1,5227139.0,874
18,T18,T18,Rod Pampling,89,166.1,5739526.0,960
19,20,20,Kevin Stadler,96,166.6,6727915.0,1122
20,21,21,Chris Smith,93,166.7,6972861.0,1162
21,T22,T22,Davis Love III,80,166.9,4650118.0,774
22,T22,T22,Tag Ridings,93,166.9,6831297.0,1137
23,24,24,Charles Warren,89,167.0,6660648.0,1108
24,25,25,Ryan Palmer,101,167.1,6636454.0,1103
25,26,26,Jonathan Byrd,103,167.7,7719972.0,1279
26,27,27,Will MacKenzie,75,167.9,5608211.0,928
27,T28,T28,John Rollins,97,168.0,6869430.0,1136
28,T28,T28,D.J. Trahan,81,168.0,5874206.0,971
29,30,30,Jason Allred,75,168.5,5173913.0,853
30,31,31,Adam Scott,72,168.6,4387923.0,723
31,32,32,Rory Sabbatini,81,168.7,5011010.0,825
32,33,33,Mark Hensby,70,168.8,4143399.0,682
33,34,34,Retief Goosen,71,168.9,3617238.0,595
34,35,35,Nick Watney,91,169.0,6621309.0,1088
35,36,36,Hunter Mahan,103,169.2,7803113.0,1281
36,37,37,Steve Allan,102,169.3,7333547.0,1203
37,38,38,David Hearn,68,169.4,5146243.0,844
38,T39,T39,Daniel Chopra,108,169.5,7749861.0,1270
39,T39,T39,Brandt Jobe,96,169.5,6865102.0,1125
40,41,41,Sean O'Hair,103,169.8,7194565.0,1177
41,42,42,Fred Couples,72,169.9,3662979.0,599
42,43,43,Michael Long,72,170.0,5367788.0,877
43,T44,T44,Zach Johnson,96,170.3,7064501.0,1152
44,T44,T44,Ted Purdy,122,170.3,8484634.0,1384
45,46,46,John Huston,90,170.6,6683790.0,1088
46,T47,T47,Marco Dawson,82,170.7,6611962.0,1076
47,T47,T47,Dennis Paulson,63,170.7,4724790.0,769
48,49,49,Jonathan Kaye,77,170.9,5500899.0,894
49,50,50,Robert Allenby,95,171.2,6157625.0,999
50,51,51,Pat Perez,89,171.5,6224114.0,1008
51,T52,T52,Arjun Atwal,65,171.7,5199186.0,841
52,T52,T52,J.J. Henry,102,171.7,7369029.0,1192
53,T52,T52,Geoff Ogilvy,97,171.7,6335315.0,1025
54,T52,T52,Roland Thatcher,75,171.7,5742558.0,929
55,T56,T56,Ben Crane,78,171.9,5519634.0,892
56,T56,T56,Dan Forsman,52,171.9,3936441.0,636
57,T56,T56,Justin Rose,99,171.9,7507740.0,1213
58,59,59,Neal Lancaster,95,172.1,7299648.0,1178
59,60,60,Bo Van Pelt,112,172.2,7891661.0,1273
60,T61,T61,Bob Heintz,67,172.5,5266799.0,848
61,T61,T61,John Senden,101,172.5,7748211.0,1248
62,63,63,Charles Howell III,95,172.7,6205045.0,998
63,64,64,Woody Austin,100,172.8,7774240.0,1250
64,T65,T65,Jason Bohn,91,172.9,6932648.0,1114
65,T65,T65,James Driscoll,73,172.9,5323238.0,855
66,T65,T65,Frank Lickliter II,100,172.9,7299651.0,1173
67,68,68,Craig Barlow,81,173.1,5396276.0,866
68,69,69,Joey Snyder III,102,173.2,7906080.0,1268
69,T70,T70,Mark Calcavecchia,92,173.3,6550251.0,1050
70,T70,T70,Steve Lowery,100,173.3,7373141.0,1182
71,72,72,Tim Herron,100,173.5,6627005.0,1061
72,T73,T73,Carlos Franco,78,173.6,5782499.0,925
73,T73,T73,Andrew Magee,82,173.6,6005593.0,961
