,Approaches_from_250-275_yards_RANK THIS WEEK,Approaches_from_250-275_yards_RANK LAST WEEK,Approaches_from_250-275_yards_PLAYER NAME,Approaches_from_250-275_yards_ROUNDS,Approaches_from_250-275_yards_AVG,Approaches_from_250-275_yards_TOTAL DISTANCE (FEET),Approaches_from_250-275_yards_# OF ATTEMPTS,Approaches_from_250-275_yards_RELATIVE TO PAR
0,1,1,Kevin Stadler,96,"47' 6""",1996.5,42,-21
1,2,2,Brenden Pappas,51,"52' 0""",779.5,15,-12
2,3,3,Ted Purdy,122,"54' 4""",1901.75,35,-18
3,4,4,José María Olazábal,55,"54' 6""",653.75,12,-8
4,5,5,Ben Crane,78,"54' 10""",1096.75,20,-17
5,6,6,Justin Rose,99,"56' 7""",1981.0,35,-16
6,7,7,Tiger Woods,76,"57' 0""",1140.083,20,-10
7,8,8,Harrison Frazar,105,"57' 1""",2568.417,45,-24
8,9,9,Dennis Paulson,63,"57' 7""",1728.5829999999999,30,-20
9,T10,T10,Robert Allenby,95,"57' 8""",1441.1670000000001,25,-10
10,T10,T10,Joey Snyder III,102,"57' 8""",2536.833,44,-15
11,T12,T12,Hunter Mahan,103,"58' 0""",2956.083,51,-26
12,T12,T12,Tom Pernice Jr.,111,"58' 0""",2204.917,38,-19
13,14,14,Shigeki Maruyama,99,"58' 2""",1745.0829999999999,30,-17
14,T15,T15,Sergio Garcia,73,"58' 5""",875.6669999999999,15,-9
15,T15,T15,John Rollins,97,"58' 5""",2045.5,35,-18
16,17,17,Jeff Brehaut,71,"58' 7""",2227.417,38,-18
17,T18,T18,James Driscoll,73,"58' 11""",2121.25,36,-24
18,T18,T18,Rod Pampling,89,"58' 11""",1531.5829999999999,26,-11
19,20,20,Aaron Baddeley,84,"59' 1""",1654.0,28,-7
20,21,21,Fred Couples,72,"59' 2""",887.25,15,-6
21,22,22,Lucas Glover,88,"59' 6""",2262.25,38,-30
22,23,23,Nick Watney,91,"59' 8""",2686.333,45,-30
23,24,24,Adam Scott,72,"60' 0""",1019.4169999999999,17,-8
24,25,25,Scott McCarron,78,"60' 1""",1682.5,28,-13
25,26,26,Alex Cejka,84,"60' 3""",2350.583,39,-16
26,27,27,Bradley Hughes,52,"60' 4""",1387.0,23,-12
27,T28,T28,Craig Barlow,81,"60' 5""",2053.833,34,-18
28,T28,T28,Jim Furyk,94,"60' 5""",1390.0829999999999,23,-12
29,30,30,Mathias Grönberg,60,"60' 6""",1997.3329999999999,33,-24
30,31,31,Hunter Haas,83,"60' 7""",2059.917,34,-14
31,32,32,Todd Fischer,99,"60' 8""",2243.833,37,-24
32,T33,T33,Tim Petrovic,97,"60' 9""",2186.667,36,-19
33,T33,T33,Kevin Sutherland,89,"60' 9""",1700.25,28,-18
34,35,35,John Huston,90,"60' 10""",2129.417,35,-19
35,36,36,Mark O'Meara,66,"61' 0""",671.25,11,-4
36,37,37,Steve Lowery,100,"61' 3""",2573.333,42,-18
37,38,38,Arjun Atwal,65,"61' 5""",1841.75,30,-18
38,39,39,Brian Davis,75,"61' 6""",2275.5,37,-24
39,40,40,John Daly,78,"61' 8""",1603.9170000000001,26,-11
40,41,41,Tjaart van der Walt,56,"61' 9""",1728.1670000000001,28,-6
41,42,42,Tim Clark,92,"61' 10""",1917.0829999999999,31,-19
42,43,43,Ben Curtis,65,"62' 1""",1117.833,18,-6
43,44,44,Brandt Jobe,96,"62' 2""",1988.4170000000001,32,-18
44,T45,T45,Brendan Jones,81,"62' 3""",1120.917,18,-10
45,T45,T45,Neal Lancaster,95,"62' 3""",1929.6670000000001,31,-15
46,T47,T47,Billy Mayfair,114,"62' 4""",3302.75,53,-36
47,T47,T47,D.J. Trahan,81,"62' 4""",1869.3329999999999,30,-16
48,49,49,Duffy Waldorf,86,"62' 8""",1754.0,28,-12
49,T50,T50,Billy Andrade,83,"62' 10""",1695.8329999999999,27,-14
50,T50,T50,Vaughn Taylor,99,"62' 10""",2827.333,45,-23
51,52,52,Scott Gutschewski,86,"62' 11""",2202.333,35,-18
52,T53,T53,Scott Hend,75,"63' 2""",1389.1670000000001,22,-9
53,T53,T53,Craig Perks,67,"63' 2""",1893.75,30,-13
54,T53,T53,Omar Uresti,84,"63' 2""",1831.9170000000001,29,-15
55,56,56,Dan Forsman,52,"63' 3""",821.9169999999999,13,-8
56,57,57,Chris Smith,93,"63' 5""",2346.417,37,-7
57,58,58,Carlos Franco,78,"63' 10""",1978.4170000000001,31,-14
58,59,59,Vijay Singh,111,"63' 11""",2620.417,41,-26
59,60,60,Dean Wilson,86,"64' 0""",1919.0,30,-18
60,T61,T61,Michael Long,72,"64' 2""",2054.25,32,-23
61,T61,T61,Rory Sabbatini,81,"64' 2""",1668.1670000000001,26,-9
62,63,63,Geoff Ogilvy,97,"64' 4""",1479.5,23,-8
63,64,64,D.A. Points,94,"64' 6""",2965.917,46,-18
64,65,65,John Elliott,58,"64' 7""",1614.5829999999999,25,-13
65,66,66,Ryuji Imada,78,"64' 11""",1688.4170000000001,26,-13
66,T67,T67,Stuart Appleby,84,"65' 0""",1755.0829999999999,27,-10
67,T67,T67,Ryan Palmer,101,"65' 0""",2535.0,39,-18
68,T69,T69,Shaun Micheel,81,"65' 1""",2083.917,32,-9
69,T69,T69,Joe Ogilvie,103,"65' 1""",2602.083,40,-26
70,T69,T69,Greg Owen,84,"65' 1""",2342.75,36,-18
71,72,72,Brian Bateman,98,"65' 2""",2345.917,36,-18
72,73,73,Phillip Price,77,"65' 4""",1830.1670000000001,28,-22
73,T74,T74,Tim Herron,100,"65' 7""",2228.833,34,-17
74,T74,T74,Matt Kuchar,60,"65' 7""",1574.8329999999999,24,-14
75,76,76,Paul Gow,78,"65' 9""",2234.75,34,-18
76,77,77,Will MacKenzie,75,"65' 10""",1777.25,27,-10
77,78,78,Justin Leonard,78,"65' 11""",1384.3329999999999,21,-12
78,79,79,Steve Flesch,90,"66' 3""",2185.0,33,-19
79,80,80,José Coceres,56,"66' 4""",1392.9170000000001,21,-13
80,T81,T81,Olin Browne,99,"66' 5""",1262.083,19,-11
81,T81,T81,Pat Perez,89,"66' 5""",2389.5,36,-13
