,Approaches__200_yards-Rgh_RTP_RANK THIS WEEK,Approaches__200_yards-Rgh_RTP_RANK LAST WEEK,Approaches__200_yards-Rgh_RTP_PLAYER NAME,Approaches__200_yards-Rgh_RTP_ROUNDS,Approaches__200_yards-Rgh_RTP_AVG RTP
0,1,1,Scott Gutschewski,86,-.535
1,2,2,Geoff Ogilvy,97,-.467
2,3,3,Brenden Pappas,51,-.455
3,4,4,Adam Scott,72,-.450
4,5,5,Daniel Chopra,108,-.424
5,6,6,Mathias Grönberg,60,-.412
6,7,7,Harrison Frazar,105,-.389
7,8,8,Woody Austin,100,-.359
8,9,9,John Rollins,97,-.351
9,10,10,Joe Durant,81,-.345
10,11,11,Stuart Appleby,84,-.333
11,12,12,Charles Warren,89,-.321
12,13,13,Matt Davidson,53,-.318
13,14,14,Charles Howell III,95,-.293
14,15,15,Retief Goosen,71,-.286
15,16,16,James Driscoll,73,-.282
16,17,17,Scott McCarron,78,-.281
17,T18,T18,Greg Owen,84,-.278
18,T18,T18,John Senden,101,-.278
19,20,20,Arjun Atwal,65,-.276
20,21,21,Joey Snyder III,102,-.270
21,22,22,Tag Ridings,93,-.268
22,23,23,Hank Kuehne,84,-.264
23,24,24,Briny Baird,98,-.261
24,25,25,Ted Purdy,122,-.256
25,T26,T26,J.J. Henry,102,-.250
26,T26,T26,Arron Oberholser,65,-.250
27,T26,T26,Mario Tiziani,67,-.250
28,29,29,Brendan Jones,81,-.241
29,30,30,Craig Barlow,81,-.235
30,T31,T31,Jason Bohn,91,-.231
31,T31,T31,Mark Calcavecchia,92,-.231
32,33,33,Tiger Woods,76,-.222
33,34,34,Davis Love III,80,-.219
34,35,35,Darron Stiles,78,-.217
35,36,36,Steve Lowery,100,-.216
36,37,37,Jason Allred,75,-.213
37,38,38,Mark Hensby,70,-.211
38,39,39,Justin Rose,99,-.208
39,40,40,Cameron Beckman,96,-.206
40,41,41,Phil Mickelson,81,-.204
41,T42,T42,David Hearn,68,-.200
42,T42,T42,David Toms,87,-.200
43,44,44,John Huston,90,-.194
44,T45,T45,Vijay Singh,111,-.190
45,T45,T45,D.J. Trahan,81,-.190
46,47,47,Scott Hend,75,-.185
47,T48,T48,Justin Bolli,65,-.182
48,T48,T48,Dan Forsman,52,-.182
49,T48,T48,Padraig Harrington,50,-.182
50,51,51,Dudley Hart,84,-.179
51,52,52,Bob Heintz,67,-.174
52,T53,T53,Jonathan Byrd,103,-.170
53,T53,T53,Tom Pernice Jr.,111,-.170
54,55,55,Scott Verplank,87,-.167
55,56,56,Aaron Baddeley,84,-.164
56,T57,T57,Steve Allan,102,-.163
57,T57,T57,Robert Allenby,95,-.163
58,59,59,Bob Tway,87,-.161
59,60,60,Tim Herron,100,-.160
60,61,61,Kevin Na,88,-.156
61,T62,T62,Ben Crane,78,-.154
62,T62,T62,Dennis Paulson,63,-.154
63,64,64,Brett Wetterich,76,-.150
64,T65,T65,Sergio Garcia,73,-.148
65,T65,T65,Hidemichi Tanaka,106,-.148
66,67,67,D.J. Brigman,76,-.147
67,68,68,Brandt Jobe,96,-.137
68,69,69,Alex Cejka,84,-.136
69,T70,T70,Fred Couples,72,-.130
70,T70,T70,Nick Watney,91,-.130
71,72,72,Chris Smith,93,-.125
72,73,73,José María Olazábal,55,-.121
73,T74,T74,Shaun Micheel,81,-.111
74,T74,T74,Dean Wilson,86,-.111
75,76,76,Tjaart van der Walt,56,-.105
76,T77,T77,Lucas Glover,88,-.103
77,T77,T77,Glen Hnatiuk,59,-.103
78,T77,T77,Justin Leonard,78,-.103
79,T77,T77,Phillip Price,77,-.103
80,T81,T81,Marco Dawson,82,-.100
81,T81,T81,Len Mattiace,86,-.100
82,83,83,Kevin Sutherland,89,-.098
83,T84,T84,Brent Geiberger,61,-.095
84,T84,T84,Peter Lonard,85,-.095
85,T84,T84,Carl Pettersson,109,-.095
86,T84,T84,Bo Van Pelt,112,-.095
87,88,88,Michael Allen,90,-.094
88,T89,T89,Brett Quigley,96,-.091
89,T89,T89,Jay Williamson,53,-.091
90,91,91,Jerry Kelly,101,-.088
91,T92,T92,Paul Claxton,79,-.083
92,T92,T92,Glen Day,80,-.083
93,94,94,Brian Gay,101,-.081
94,95,95,Lee Janzen,75,-.080
95,96,96,Billy Mayfair,114,-.077
96,97,97,Kevin Stadler,96,-.075
97,98,98,Ryuji Imada,78,-.071
98,99,99,Hunter Mahan,103,-.068
99,100,100,Brian Bateman,98,-.067
100,101,101,Ryan Palmer,101,-.065
101,T102,T102,Jeff Brehaut,71,-.063
102,T102,T102,Rod Pampling,89,-.063
103,T104,T104,Chad Campbell,95,-.059
104,T104,T104,Mike Weir,71,-.059
105,106,106,Richard Johnson,50,-.053
106,107,107,Billy Andrade,83,-.049
107,108,108,J.P. Hayes,63,-.048
108,T109,T109,John Elliott,58,-.043
109,T109,T109,Hunter Haas,83,-.043
110,111,111,Jonathan Kaye,77,-.038
111,112,112,D.A. Points,94,-.037
112,113,113,Matt Gogel,78,-.036
113,114,114,Danny Briggs,70,-.033
114,T115,T115,Michael Long,72,-.032
115,T115,T115,Andrew Magee,82,-.032
116,117,117,Steve Flesch,90,-.031
117,118,118,Brad Faxon,75,-.028
118,119,119,Heath Slocum,103,-.027
119,120,120,Joey Sindelar,104,-.025
120,121,121,Carlos Franco,78,-.024
121,T122,T122,Stephen Ames,82,E
122,T122,T122,Doug Barron,70,E
123,T122,T122,Olin Browne,99,E
124,T122,T122,Stewart Cink,98,E
125,T122,T122,Gavin Coles,70,E
126,T122,T122,John Daly,78,E
127,T122,T122,Robert Gamez,91,E
128,T122,T122,Freddie Jacobson,72,E
129,T122,T122,Skip Kendall,80,E
130,T122,T122,Matt Kuchar,60,E
131,T122,T122,Neal Lancaster,95,E
132,T122,T122,Bernhard Langer,67,E
133,T122,T122,Jesper Parnevik,84,E
134,T122,T122,Kenny Perry,82,E
135,T122,T122,Charlie Wi,67,E
136,137,137,Shigeki Maruyama,99,+.020
137,138,138,Tim Petrovic,97,+.022
138,139,139,Todd Fischer,99,+.026
139,140,140,Sean O'Hair,103,+.027
140,141,141,Joe Ogilvie,103,+.029
141,142,142,Rory Sabbatini,81,+.033
142,143,143,Craig Perks,67,+.034
143,T144,T144,Tom Gillis,77,+.036
144,T144,T144,Rocco Mediate,73,+.036
145,146,146,Thomas Levet,54,+.037
146,147,147,Bob Estes,92,+.038
147,T148,T148,Patrick Sheehan,114,+.040
148,T148,T148,Omar Uresti,84,+.040
149,150,150,Kirk Triplett,55,+.042
150,T151,T151,Bradley Hughes,52,+.043
151,T151,T151,Ian Poulter,62,+.043
152,153,153,Brian Davis,75,+.045
153,T154,T154,Luke Donald,67,+.056
154,T154,T154,Kent Jones,99,+.056
155,156,156,Paul Azinger,66,+.071
156,157,157,Fred Funk,102,+.080
157,158,158,Bart Bryant,91,+.083
158,159,159,Tim Clark,92,+.088
159,160,160,Mark Brooks,72,+.091
160,161,161,Jeff Sluman,94,+.093
161,162,162,Steve Elkington,67,+.095
162,163,163,Chris DiMarco,83,+.103
163,164,164,Jeff Maggert,79,+.105
164,165,165,Roland Thatcher,75,+.107
165,166,166,Rich Beem,66,+.111
166,167,167,Chris Anderson,66,+.120
167,168,168,Franklin Langham,91,+.125
168,169,169,Tommy Armour III,103,+.129
169,170,170,Larry Mize,54,+.136
170,171,171,Jim Furyk,94,+.152
171,T172,T172,John Cook,72,+.158
172,T172,T172,Mark Wilson,74,+.158
173,T174,T174,José Coceres,56,+.167
174,T174,T174,Frank Lickliter II,100,+.167
175,176,176,Rob Rashell,65,+.175
176,177,177,Zach Johnson,96,+.182
177,178,178,Mark O'Meara,66,+.185
178,179,179,Pat Perez,89,+.188
