,Average_Approach_Distance_-_Par_RANK THIS WEEK,Average_Approach_Distance_-_Par_RANK LAST WEEK,Average_Approach_Distance_-_Par_PLAYER NAME,Average_Approach_Distance_-_Par_ROUNDS,Average_Approach_Distance_-_Par_AVG (YARDS),Average_Approach_Distance_-_Par_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Par_NUMBER OF APPROACH SHOTS
0,1,1,Brendan Jones,81,154.1,4592616.0,828
1,2,2,J.P. Hayes,63,154.9,3262642.0,585
2,3,3,Bill Glasson,54,155.9,2885473.0,514
3,4,4,Bob Heintz,67,156.2,3779804.0,672
4,T5,T5,Marco Dawson,82,156.7,5008008.0,888
5,T5,T5,Joe Ogilvie,103,156.7,4844566.0,859
6,T7,T7,Craig Barlow,81,157.0,3968620.0,702
7,T7,T7,Jeff Hart,63,157.0,3768921.0,667
8,T9,T9,David Hearn,68,157.2,3903996.0,690
9,T9,T9,Phillip Price,77,157.2,4194254.0,741
10,T9,T9,Darron Stiles,78,157.2,4482832.0,792
11,12,12,Todd Hamilton,94,157.3,4693389.0,829
12,13,13,Rory Sabbatini,81,157.5,3753173.0,662
13,14,14,Justin Bolli,65,157.7,3723234.0,656
14,15,15,Michael Allen,90,157.8,4929978.0,868
15,16,16,David Toms,87,157.9,3928082.0,691
16,17,17,Glen Day,80,158.0,4710433.0,828
17,18,18,Zach Johnson,96,158.1,5345261.0,939
18,19,19,Jonathan Kaye,77,158.2,3993511.0,701
19,T20,T20,Ben Curtis,65,158.3,3293861.0,578
20,T20,T20,Will MacKenzie,75,158.3,4251463.0,746
21,T20,T20,Kirk Triplett,55,158.3,2900379.0,509
22,T20,T20,Mike Weir,71,158.3,3003241.0,527
23,T20,T20,Jay Williamson,53,158.3,3077332.0,540
24,T25,T25,Retief Goosen,71,158.4,2766372.0,485
25,T25,T25,Brenden Pappas,51,158.4,2885258.0,506
26,27,27,Tommy Armour III,103,158.5,6111684.0,1071
27,T28,T28,Fred Couples,72,158.6,2678486.0,469
28,T28,T28,Len Mattiace,86,158.6,4841246.0,848
29,T28,T28,Geoff Ogilvy,97,158.6,4760352.0,834
30,31,31,Mark Brooks,72,158.7,4163679.0,729
31,32,32,Matt Kuchar,60,158.8,3738578.0,654
32,T33,T33,Stuart Appleby,84,158.9,4176392.0,730
33,T33,T33,Jim Carter,62,158.9,3706725.0,648
34,35,35,Loren Roberts,54,159.0,3285330.0,574
35,T36,T36,Brian Gay,101,159.1,6227024.0,1087
36,T36,T36,Rod Pampling,89,159.1,4358792.0,761
37,T38,T38,Briny Baird,98,159.2,5788012.0,1010
38,T38,T38,Matt Davidson,53,159.2,3179964.0,555
39,T38,T38,Davis Love III,80,159.2,3617003.0,631
40,41,41,Kent Jones,99,159.3,5574506.0,972
41,T42,T42,Glen Hnatiuk,59,159.4,3333517.0,581
42,T42,T42,J.L. Lewis,98,159.4,5317974.0,927
43,T42,T42,Adam Scott,72,159.4,3408705.0,594
44,T45,T45,Olin Browne,99,159.5,5604891.0,976
45,T45,T45,Heath Slocum,103,159.5,6073406.0,1058
46,T47,T47,Chris Anderson,66,159.6,3706385.0,645
47,T47,T47,Tim Clark,92,159.6,4107751.0,715
48,T47,T47,Skip Kendall,80,159.6,4649052.0,809
49,T47,T47,Shigeki Maruyama,99,159.6,5660462.0,985
50,51,51,Paul Azinger,66,159.7,3656480.0,636
51,52,52,John Daly,78,159.8,3348530.0,582
52,53,53,K.J. Choi,78,159.9,3504761.0,609
53,54,54,Bob Tway,87,160.0,4453041.0,773
54,T55,T55,Robert Gamez,91,160.1,5118975.0,888
55,T55,T55,Tim Petrovic,97,160.1,5210184.0,904
56,T57,T57,Phil Mickelson,81,160.2,3096794.0,537
57,T57,T57,Sean O'Hair,103,160.2,5529176.0,959
58,T57,T57,Dennis Paulson,63,160.2,3547660.0,615
