,Approaches_from__100_yards_RANK THIS WEEK,Approaches_from__100_yards_RANK LAST WEEK,Approaches_from__100_yards_PLAYER NAME,Approaches_from__100_yards_ROUNDS,Approaches_from__100_yards_AVG,Approaches_from__100_yards_TOTAL DISTANCE (FEET),Approaches_from__100_yards_# OF ATTEMPTS,Approaches_from__100_yards_RELATIVE TO PAR
0,1,1,Jim Furyk,94,"29' 7""",27683.583,936,-0.16
1,2,2,Adam Scott,72,"29' 10""",17836.333,598,-0.10
2,3,3,Kenny Perry,82,"30' 1""",21635.417,719,-0.13
3,4,4,Robert Allenby,95,"30' 9""",27607.667,898,-0.09
4,T5,T5,Olin Browne,99,"30' 10""",33543.667,1087,-0.08
5,T5,T5,Fred Couples,72,"30' 10""",14885.0,483,-0.08
6,7,7,Loren Roberts,54,"30' 11""",18657.5,604,-0.07
7,8,8,Tommy Armour III,103,"31' 0""",35312.5,1140,-0.07
8,9,9,Robert Gamez,91,"31' 1""",31098.833,1001,-0.10
9,T10,T10,Luke Donald,67,"31' 3""",15588.833,499,-0.11
10,T10,T10,Shigeki Maruyama,99,"31' 3""",31198.0,998,-0.12
11,T10,T10,Tiger Woods,76,"31' 3""",18136.167,581,-0.17
12,T13,T13,Chad Campbell,95,"31' 4""",28856.0,920,-0.10
13,T13,T13,Sergio Garcia,73,"31' 4""",17998.167,574,-0.11
14,T15,T15,Alex Cejka,84,"31' 8""",27381.167,864,-0.03
15,T15,T15,Jeff Maggert,79,"31' 8""",24796.917,784,-0.05
16,17,17,Ben Crane,78,"31' 9""",24114.833,759,-0.12
17,T18,T18,Retief Goosen,71,"31' 11""",15914.417,499,-0.12
18,T18,T18,Justin Leonard,78,"31' 11""",21963.0,688,-0.07
19,T18,T18,Jeff Sluman,94,"31' 11""",34416.333,1078,-0.05
20,T21,T21,Craig Barlow,81,"32' 0""",24704.917,773,-0.06
21,T21,T21,Bill Glasson,54,"32' 0""",16590.25,519,-0.03
22,T21,T21,David Toms,87,"32' 0""",24753.833,774,-0.13
23,T24,T24,Brendan Jones,81,"32' 1""",25306.083,789,-0.05
24,T24,T24,Jerry Kelly,101,"32' 1""",30656.667,955,-0.09
25,T26,T26,Dudley Hart,84,"32' 2""",29114.75,906,-0.10
26,T26,T26,J.P. Hayes,63,"32' 2""",20204.917,628,-0.06
27,T26,T26,John Huston,90,"32' 2""",30798.583,958,-0.06
28,T26,T26,Peter Lonard,85,"32' 2""",26419.583,822,-0.04
29,T30,T30,Stewart Cink,98,"32' 3""",27677.167,858,-0.11
30,T30,T30,Chris DiMarco,83,"32' 3""",21775.833,676,-0.08
31,T30,T30,José María Olazábal,55,"32' 3""",15589.75,483,-0.11
32,T30,T30,Corey Pavin,77,"32' 3""",25237.833,782,-0.09
33,T30,T30,Justin Rose,99,"32' 3""",34487.0,1068,-0.08
34,T30,T30,Kirk Triplett,55,"32' 3""",17384.75,539,-0.04
35,T30,T30,Bo Van Pelt,112,"32' 3""",36187.583,1121,-0.10
36,T37,T37,Bob Estes,92,"32' 4""",32629.667,1010,-0.08
37,T37,T37,Carlos Franco,78,"32' 4""",25620.25,793,-0.10
38,T39,T39,Jason Bohn,91,"32' 5""",32062.333,990,-0.10
39,T39,T39,Mathias Grönberg,60,"32' 5""",21391.417,660,-0.10
40,T39,T39,Rocco Mediate,73,"32' 5""",25231.5,779,-0.07
41,T42,T42,Stephen Ames,82,"32' 6""",24055.25,740,-0.10
42,T42,T42,Joey Sindelar,104,"32' 6""",39461.25,1214,-0.07
43,T44,T44,Mark Calcavecchia,92,"32' 7""",30989.75,951,-0.06
44,T44,T44,Brandt Jobe,96,"32' 7""",30821.583,947,-0.10
45,T46,T46,Tom Byrum,83,"32' 8""",32173.333,984,-0.02
46,T46,T46,Fred Funk,102,"32' 8""",35729.5,1095,-0.03
47,T46,T46,Franklin Langham,91,"32' 8""",28599.417,876,-0.04
48,T46,T46,Heath Slocum,103,"32' 8""",36884.083,1128,-0.05
49,50,50,Woody Austin,100,"32' 9""",34579.5,1055,-0.08
50,T51,T51,Geoff Ogilvy,97,"32' 10""",28014.833,854,-0.07
51,T51,T51,Patrick Sheehan,114,"32' 10""",38619.083,1176,-0.07
52,T51,T51,D.J. Trahan,81,"32' 10""",27807.25,846,-0.08
53,T51,T51,Scott Verplank,87,"32' 10""",28636.417,873,-0.10
54,T55,T55,Billy Andrade,83,"32' 11""",29709.083,902,-0.08
55,T55,T55,Padraig Harrington,50,"32' 11""",14424.167,438,-0.10
56,T55,T55,Jonathan Kaye,77,"32' 11""",25230.5,767,-0.09
57,T55,T55,Sean O'Hair,103,"32' 11""",33965.167,1031,-0.08
58,T55,T55,Darron Stiles,78,"32' 11""",27377.25,832,-0.06
59,T55,T55,Omar Uresti,84,"32' 11""",30967.917,940,-0.04
60,T61,T61,Davis Love III,80,"33' 0""",21099.833,640,-0.12
61,T61,T61,Arron Oberholser,65,"33' 0""",20860.0,632,-0.06
62,T61,T61,Rod Pampling,89,"33' 0""",25903.583,785,-0.09
63,T61,T61,Brenden Pappas,51,"33' 0""",17748.917,538,-0.11
64,T61,T61,Phillip Price,77,"33' 0""",25456.667,771,-0.05
65,T61,T61,Bob Tway,87,"33' 0""",26506.917,803,-0.11
66,T67,T67,K.J. Choi,78,"33' 1""",22211.917,671,-0.10
67,T67,T67,Marco Dawson,82,"33' 1""",30824.833,932,-0.08
68,T69,T69,Joe Durant,81,"33' 2""",29483.0,890,-0.04
69,T69,T69,D.A. Points,94,"33' 2""",33922.167,1023,-0.05
70,T71,T71,Carl Pettersson,109,"33' 3""",37864.583,1140,-0.08
71,T71,T71,Rory Sabbatini,81,"33' 3""",22219.333,668,-0.07
72,T73,T73,Michael Allen,90,"33' 4""",28753.333,862,-0.07
73,T73,T73,Scott Gutschewski,86,"33' 4""",27421.917,823,-0.07
74,T73,T73,Vaughn Taylor,99,"33' 4""",35490.667,1064,-0.08
75,T73,T73,Duffy Waldorf,86,"33' 4""",30695.917,920,-0.07
76,T77,T77,Briny Baird,98,"33' 5""",38423.5,1150,-0.05
77,T77,T77,Tim Clark,92,"33' 5""",25684.667,769,-0.09
78,T77,T77,J.J. Henry,102,"33' 5""",35407.0,1060,-0.07
79,T77,T77,Richard Johnson,50,"33' 5""",19853.167,594,-0.11
80,T77,T77,Steve Lowery,100,"33' 5""",35755.667,1070,-0.08
81,T77,T77,Ryan Palmer,101,"33' 5""",31178.167,934,-0.07
82,T77,T77,Brett Wetterich,76,"33' 5""",24434.5,731,-0.06
83,T84,T84,Stuart Appleby,84,"33' 6""",24660.833,736,-0.07
84,T84,T84,Harrison Frazar,105,"33' 6""",37284.417,1113,-0.10
85,T84,T84,Hunter Mahan,103,"33' 6""",36538.417,1090,-0.04
86,T84,T84,Tim Petrovic,97,"33' 6""",30788.25,918,-0.08
87,T84,T84,Joey Snyder III,102,"33' 6""",39860.5,1191,-0.05
88,T84,T84,Steve Stricker,62,"33' 6""",21269.75,635,-0.08
89,T90,T90,Bradley Hughes,52,"33' 7""",21032.5,627,-0.03
90,T90,T90,Tom Lehman,69,"33' 7""",20233.333,603,-0.07
91,T90,T90,Kevin Stadler,96,"33' 7""",32129.583,956,-0.06
92,T93,T93,Jeff Brehaut,71,"33' 8""",27896.417,829,-0.08
93,T93,T93,Ben Curtis,65,"33' 8""",20658.667,614,+0.01
94,T93,T93,Billy Mayfair,114,"33' 8""",44593.583,1325,-0.09
95,T93,T93,Charles Warren,89,"33' 8""",32769.583,974,-0.03
96,T93,T93,Lee Westwood,50,"33' 8""",13255.917,394,-0.02
97,T98,T98,Cameron Beckman,96,"33' 9""",35608.417,1056,-0.05
98,T98,T98,Rich Beem,66,"33' 9""",18699.167,554,-0.05
99,T100,T100,Steve Allan,102,"33' 10""",35235.75,1042,-0.04
100,T100,T100,Arjun Atwal,65,"33' 10""",25359.25,750,-0.08
101,T100,T100,Jeff Hart,63,"33' 10""",25726.0,760,+0.04
102,T100,T100,Ted Purdy,122,"33' 10""",41283.5,1221,-0.03
103,T100,T100,Nick Watney,91,"33' 10""",31853.333,941,-0.06
104,T105,T105,Bart Bryant,91,"33' 11""",34593.167,1021,-0.10
105,T105,T105,Bob Heintz,67,"33' 11""",23949.75,706,-0.09
106,T105,T105,Frank Lickliter II,100,"33' 11""",34484.333,1017,-0.07
107,T105,T105,Ian Poulter,62,"33' 11""",14612.333,431,-0.04
108,T109,T109,Doug Barron,70,"34' 0""",26530.083,780,-0.06
109,T109,T109,Gavin Coles,70,"34' 0""",27126.917,797,-0.02
110,T111,T111,Brian Gay,101,"34' 1""",38816.0,1140,-0.03
111,T111,T111,Tim Herron,100,"34' 1""",32120.75,942,-0.12
112,T111,T111,Mark Wilson,74,"34' 1""",26804.75,787,-0.06
113,T114,T114,Jim Carter,62,"34' 2""",23625.583,692,+0.02
114,T114,T114,Dan Forsman,52,"34' 2""",18764.75,549,-0.04
115,T114,T114,David Hearn,68,"34' 2""",26287.833,770,-0.06
116,T114,T114,Freddie Jacobson,72,"34' 2""",21678.5,635,-0.05
117,T114,T114,Zach Johnson,96,"34' 2""",34854.167,1019,-0.10
118,T114,T114,Brett Quigley,96,"34' 2""",32962.5,965,-0.10
119,T114,T114,Vijay Singh,111,"34' 2""",33164.583,970,-0.15
120,121,121,Hidemichi Tanaka,106,"34' 3""",41802.417,1220,-0.07
121,T122,T122,Brian Bateman,98,"34' 4""",35885.25,1045,-0.05
122,T122,T122,Jay Haas,54,"34' 4""",17013.25,496,-0.04
123,T122,T122,Glen Hnatiuk,59,"34' 4""",20727.0,604,-0.03
124,T122,T122,J.L. Lewis,98,"34' 4""",34447.75,1003,-0.09
125,T126,T126,Aaron Baddeley,84,"34' 5""",28430.917,826,-0.09
126,T126,T126,Brad Faxon,75,"34' 5""",23349.917,679,-0.10
127,T126,T126,Lucas Glover,88,"34' 5""",32119.25,933,-0.10
128,T126,T126,Neal Lancaster,95,"34' 5""",33977.25,987,-0.05
129,T126,T126,Stephen Leaney,89,"34' 5""",32847.833,954,-0.03
130,T126,T126,Thomas Levet,54,"34' 5""",15233.75,443,+0.02
131,T126,T126,Tag Ridings,93,"34' 5""",32008.167,930,-0.10
132,T126,T126,Chris Smith,93,"34' 5""",35221.0,1023,-0.05
