,Approaches_Right_Rough_RTP_Score_RANK THIS WEEK,Approaches_Right_Rough_RTP_Score_RANK LAST WEEK,Approaches_Right_Rough_RTP_Score_PLAYER NAME,Approaches_Right_Rough_RTP_Score_ROUNDS,Approaches_Right_Rough_RTP_Score_AVG RTP
0,T1,T1,Phil Mickelson,81,-.033
1,T1,T1,Tiger Woods,76,-.033
2,3,3,Justin Rose,99,-.026
3,4,4,Geoff Ogilvy,97,-.019
4,5,5,Dan Forsman,52,-.014
5,T6,T6,Joey Snyder III,102,E
6,T6,T6,Mario Tiziani,67,E
7,8,8,Phillip Price,77,+.009
8,9,9,Vijay Singh,111,+.011
9,10,10,Hidemichi Tanaka,106,+.017
10,11,11,Daniel Chopra,108,+.020
11,12,12,Stuart Appleby,84,+.023
12,13,13,Ryuji Imada,78,+.025
13,14,14,Joe Durant,81,+.026
14,T15,T15,Fred Couples,72,+.029
15,T15,T15,Charles Howell III,95,+.029
16,17,17,Sergio Garcia,73,+.030
17,18,18,Mathias Grönberg,60,+.037
18,19,19,Arjun Atwal,65,+.040
19,20,20,Brett Wetterich,76,+.041
20,21,21,Tag Ridings,93,+.044
21,22,22,José María Olazábal,55,+.045
22,23,23,D.J. Trahan,81,+.047
23,T24,T24,Peter Lonard,85,+.050
24,T24,T24,Bo Van Pelt,112,+.050
25,26,26,Briny Baird,98,+.051
26,27,27,Carlos Franco,78,+.056
27,28,28,Doug Barron,70,+.060
28,29,29,Billy Mayfair,114,+.061
29,30,30,Ben Crane,78,+.063
30,31,31,Tim Herron,100,+.069
31,32,32,Jeff Brehaut,71,+.070
32,33,33,D.A. Points,94,+.075
33,T34,T34,Brenden Pappas,51,+.076
34,T34,T34,Adam Scott,72,+.076
35,36,36,Kirk Triplett,55,+.077
36,T37,T37,Luke Donald,67,+.079
37,T37,T37,Zach Johnson,96,+.079
38,T39,T39,Kenny Perry,82,+.080
39,T39,T39,Kevin Sutherland,89,+.080
40,T41,T41,Ted Purdy,122,+.081
41,T41,T41,Bob Tway,87,+.081
42,43,43,Steve Allan,102,+.085
43,T44,T44,Brad Faxon,75,+.088
44,T44,T44,Kevin Na,88,+.088
45,46,46,Scott Gutschewski,86,+.090
46,47,47,Jay Haas,54,+.091
47,T48,T48,Tim Clark,92,+.092
48,T48,T48,Hunter Haas,83,+.092
49,T50,T50,Michael Allen,90,+.093
50,T50,T50,Franklin Langham,91,+.093
51,T52,T52,Davis Love III,80,+.096
52,T52,T52,Chris Riley,67,+.096
53,T54,T54,Olin Browne,99,+.097
54,T54,T54,Richard Johnson,50,+.097
55,T54,T54,Mark Wilson,74,+.097
56,57,57,Marco Dawson,82,+.098
57,T58,T58,Brian Gay,101,+.100
58,T58,T58,Padraig Harrington,50,+.100
59,T58,T58,Jesper Parnevik,84,+.100
60,T61,T61,Gavin Coles,70,+.103
61,T61,T61,Chris DiMarco,83,+.103
62,T63,T63,Jason Bohn,91,+.104
63,T63,T63,Dean Wilson,86,+.104
64,65,65,Freddie Jacobson,72,+.105
65,66,66,Carl Pettersson,109,+.106
66,T67,T67,Shigeki Maruyama,99,+.107
67,T67,T67,Dennis Paulson,63,+.107
68,69,69,David Toms,87,+.108
69,T70,T70,Chad Campbell,95,+.110
70,T70,T70,Michael Long,72,+.110
71,T72,T72,Jeff Hart,63,+.113
72,T72,T72,Neal Lancaster,95,+.113
73,74,74,Bob Estes,92,+.116
74,T75,T75,D.J. Brigman,76,+.117
75,T75,T75,Brian Davis,75,+.117
76,T77,T77,Glen Day,80,+.118
77,T77,T77,Steve Lowery,100,+.118
78,T79,T79,Scott McCarron,78,+.119
79,T79,T79,Jeff Sluman,94,+.119
80,T81,T81,Hunter Mahan,103,+.121
81,T81,T81,Ryan Palmer,101,+.121
82,T83,T83,Mark Calcavecchia,92,+.123
83,T83,T83,Tom Gillis,77,+.123
84,T85,T85,Jason Allred,75,+.124
85,T85,T85,Chris Anderson,66,+.124
86,T87,T87,Jonathan Byrd,103,+.125
87,T87,T87,Heath Slocum,103,+.125
88,T89,T89,Bernhard Langer,67,+.127
89,T89,T89,Stephen Leaney,89,+.127
90,T91,T91,Danny Briggs,70,+.130
91,T91,T91,J.J. Henry,102,+.130
92,T91,T91,Chris Smith,93,+.130
93,94,94,Vaughn Taylor,99,+.131
94,T95,T95,Paul Azinger,66,+.132
95,T95,T95,Rocco Mediate,73,+.132
96,T95,T95,Sean O'Hair,103,+.132
97,T98,T98,Len Mattiace,86,+.133
98,T98,T98,Arron Oberholser,65,+.133
99,T100,T100,Kent Jones,99,+.134
100,T100,T100,Frank Lickliter II,100,+.134
101,T100,T100,Darron Stiles,78,+.134
102,103,103,Rob Rashell,65,+.137
103,104,104,Rich Beem,66,+.139
104,105,105,Woody Austin,100,+.140
105,106,106,Todd Fischer,99,+.145
106,107,107,Tim Petrovic,97,+.148
107,T108,T108,Lucas Glover,88,+.150
108,T108,T108,Dudley Hart,84,+.150
109,T108,T108,Joey Sindelar,104,+.150
110,T111,T111,Stephen Ames,82,+.152
111,T111,T111,Fred Funk,102,+.152
112,113,113,Retief Goosen,71,+.154
113,T114,T114,Tommy Armour III,103,+.155
114,T114,T114,David Hearn,68,+.155
115,116,116,Paul Claxton,79,+.157
116,117,117,John Senden,101,+.158
117,T118,T118,Matt Gogel,78,+.159
118,T118,T118,Will MacKenzie,75,+.159
119,T118,T118,Jeff Maggert,79,+.159
120,T118,T118,Roland Thatcher,75,+.159
121,T122,T122,K.J. Choi,78,+.160
122,T122,T122,Tjaart van der Walt,56,+.160
123,T124,T124,José Coceres,56,+.163
124,T124,T124,Mark O'Meara,66,+.163
125,T124,T124,Rory Sabbatini,81,+.163
126,T127,T127,Aaron Baddeley,84,+.164
127,T127,T127,Joe Ogilvie,103,+.164
128,T129,T129,Jonathan Kaye,77,+.165
129,T129,T129,Omar Uresti,84,+.165
130,T131,T131,Jerry Kelly,101,+.167
131,T131,T131,Rod Pampling,89,+.167
132,T131,T131,John Rollins,97,+.167
133,134,134,Scott Verplank,87,+.168
134,T135,T135,Greg Owen,84,+.169
135,T135,T135,Steve Stricker,62,+.169
136,T135,T135,Charlie Wi,67,+.169
137,138,138,Charles Warren,89,+.171
138,139,139,Stewart Cink,98,+.172
139,T140,T140,Bill Glasson,54,+.176
140,T140,T140,Glen Hnatiuk,59,+.176
141,T140,T140,Shaun Micheel,81,+.176
142,T140,T140,Tom Pernice Jr.,111,+.176
143,T140,T140,Brett Quigley,96,+.176
144,145,145,J.L. Lewis,98,+.177
145,T146,T146,Harrison Frazar,105,+.178
146,T146,T146,Jay Williamson,53,+.178
147,148,148,Pat Perez,89,+.179
148,149,149,Steve Flesch,90,+.181
149,T150,T150,Craig Barlow,81,+.185
150,T150,T150,John Cook,72,+.185
151,152,152,Scott Hend,75,+.186
152,153,153,Mark Hensby,70,+.191
153,T154,T154,Matt Kuchar,60,+.194
154,T154,T154,Andrew Magee,82,+.194
155,T156,T156,Bart Bryant,91,+.195
156,T156,T156,Brandt Jobe,96,+.195
157,T158,T158,Cameron Beckman,96,+.197
158,T158,T158,Tom Byrum,83,+.197
159,160,160,Ian Poulter,62,+.198
160,T161,T161,Robert Allenby,95,+.200
161,T161,T161,Corey Pavin,77,+.200
162,163,163,Patrick Sheehan,114,+.202
163,164,164,Loren Roberts,54,+.207
164,165,165,Todd Hamilton,94,+.208
165,166,166,Larry Mize,54,+.210
166,167,167,Mike Weir,71,+.212
167,T168,T168,Brendan Jones,81,+.214
168,T168,T168,Kevin Stadler,96,+.214
169,170,170,Ben Curtis,65,+.215
170,171,171,Steve Elkington,67,+.216
171,172,172,Paul Gow,78,+.217
172,173,173,Craig Perks,67,+.218
