,GIR_Percentage_from_Fairway_RANK THIS WEEK,GIR_Percentage_from_Fairway_RANK LAST WEEK,GIR_Percentage_from_Fairway_PLAYER NAME,GIR_Percentage_from_Fairway_ROUNDS,GIR_Percentage_from_Fairway_%,GIR_Percentage_from_Fairway_GREENS HIT,GIR_Percentage_from_Fairway_# OF HOLES
0,1,1,Tiger Woods,76,81.82,468,572
1,2,2,J.J. Henry,102,81.27,690,849
2,3,3,Brenden Pappas,51,81.16,293,361
3,4,4,Chris Smith,93,81.11,631,778
4,5,5,David Toms,87,80.87,575,711
5,6,6,Bo Van Pelt,112,80.71,795,985
6,7,7,Sergio Garcia,73,80.63,462,573
7,8,8,Chad Campbell,95,80.33,637,793
8,9,9,Jim Furyk,94,80.05,710,887
9,10,10,Davis Love III,80,80.03,485,606
10,11,11,Robert Allenby,95,79.85,622,779
11,12,12,Fred Couples,72,79.82,439,550
12,13,13,Scott Gutschewski,86,79.79,533,668
13,14,14,Scott Hend,75,79.74,370,464
14,T15,T15,Dan Forsman,52,79.65,321,403
15,T15,T15,Vijay Singh,111,79.65,736,924
16,17,17,Nick Watney,91,79.4,586,738
17,18,18,Brandt Jobe,96,79.32,583,735
18,19,19,Lucas Glover,88,79.26,577,728
19,20,20,Retief Goosen,71,79.22,404,510
20,21,21,Briny Baird,98,79.15,710,897
21,22,22,Brett Wetterich,76,78.94,461,584
22,23,23,Tim Petrovic,97,78.93,588,745
23,24,24,Charles Howell III,95,78.87,571,724
24,25,25,Bob Tway,87,78.84,585,742
25,26,26,Glen Hnatiuk,59,78.78,375,476
26,T27,T27,Stuart Appleby,84,78.77,527,669
27,T27,T27,Brendan Jones,81,78.77,486,617
28,29,29,Roland Thatcher,75,78.69,517,657
29,30,30,Hunter Mahan,103,78.65,678,862
30,31,31,Tommy Armour III,103,78.54,743,946
31,32,32,Adam Scott,72,78.4,432,551
32,33,33,Marco Dawson,82,78.35,561,716
33,34,34,Jeff Brehaut,71,78.19,509,651
34,35,35,Joe Durant,81,78.11,628,804
35,36,36,Shaun Micheel,81,78.1,535,685
36,37,37,Kenny Perry,82,78.09,556,712
37,38,38,Carlos Franco,78,77.87,475,610
38,39,39,Bart Bryant,91,77.81,726,933
39,T40,T40,Billy Mayfair,114,77.76,832,1070
40,T40,T40,Ryan Palmer,101,77.76,633,814
41,42,42,Richard Johnson,50,77.73,370,476
42,43,43,Geoff Ogilvy,97,77.68,616,793
43,44,44,José María Olazábal,55,77.65,344,443
44,45,45,Joey Sindelar,104,77.63,767,988
45,46,46,Charles Warren,89,77.61,603,777
46,47,47,Tom Lehman,69,77.52,469,605
47,48,48,Steve Elkington,67,77.49,475,613
48,49,49,Jeff Sluman,94,77.45,680,878
49,50,50,Craig Barlow,81,77.28,534,691
50,51,51,Will MacKenzie,75,77.22,488,632
51,52,52,Rod Pampling,89,77.2,552,715
52,T53,T53,Harrison Frazar,105,77.18,690,894
53,T53,T53,Dudley Hart,84,77.18,558,723
54,55,55,Jonathan Kaye,77,77.17,524,679
55,56,56,John Senden,101,77.14,702,910
56,57,57,John Daly,78,77.13,408,529
57,58,58,Arron Oberholser,65,77.09,451,585
58,59,59,Sean O'Hair,103,77.02,657,853
59,60,60,Freddie Jacobson,72,77.0,442,574
60,61,61,Zach Johnson,96,76.96,688,894
61,62,62,Arjun Atwal,65,76.85,425,553
62,63,63,Joey Snyder III,102,76.82,696,906
63,64,64,Brett Quigley,96,76.8,566,737
64,65,65,Jeff Maggert,79,76.79,559,728
65,66,66,Olin Browne,99,76.78,744,969
66,T67,T67,Tag Ridings,93,76.77,532,693
67,T67,T67,Steve Stricker,62,76.77,347,452
68,69,69,Steve Lowery,100,76.74,640,834
69,70,70,Stewart Cink,98,76.73,587,765
70,71,71,Luke Donald,67,76.7,418,545
71,72,72,Phil Mickelson,81,76.6,468,611
72,73,73,Vaughn Taylor,99,76.58,680,888
73,74,74,Kevin Sutherland,89,76.55,604,789
74,75,75,Thomas Levet,54,76.53,326,426
75,76,76,Frank Lickliter II,100,76.52,642,839
76,77,77,Carl Pettersson,109,76.46,679,888
77,78,78,John Rollins,97,76.33,645,845
78,79,79,Woody Austin,100,76.27,646,847
79,80,80,Jason Bohn,91,76.21,599,786
80,81,81,Justin Leonard,78,76.18,518,680
81,82,82,Lee Westwood,50,76.14,316,415
82,83,83,Craig Perks,67,76.07,372,489
83,84,84,K.J. Choi,78,76.05,508,668
84,85,85,Heath Slocum,103,76.02,748,984
85,86,86,Andrew Magee,82,76.01,469,617
86,87,87,David Hearn,68,75.96,493,649
87,88,88,Mark Wilson,74,75.84,496,654
88,T89,T89,Justin Bolli,65,75.77,394,520
89,T89,T89,J.L. Lewis,98,75.77,660,871
90,91,91,Jonathan Byrd,103,75.72,627,828
91,T92,T92,Stephen Ames,82,75.59,511,676
92,T92,T92,Stephen Leaney,89,75.59,613,811
93,94,94,Chris DiMarco,83,75.54,491,650
94,95,95,Lee Janzen,75,75.44,433,574
95,96,96,Rich Beem,66,75.4,380,504
96,97,97,Jerry Kelly,101,75.37,707,938
97,98,98,Tim Herron,100,75.35,642,852
98,99,99,Cameron Beckman,96,75.3,631,838
99,100,100,Greg Owen,84,75.29,521,692
100,101,101,Brian Davis,75,75.23,565,751
101,102,102,Michael Allen,90,75.18,512,681
102,103,103,D.J. Trahan,81,75.15,499,664
103,T104,T104,Steve Allan,102,75.09,600,799
104,T104,T104,Bob Heintz,67,75.09,404,538
105,T104,T104,Justin Rose,99,75.09,633,843
106,T107,T107,D.A. Points,94,75.06,599,798
107,T107,T107,Scott Verplank,87,75.06,647,862
108,109,109,Paul Azinger,66,75.0,420,560
109,110,110,Brian Bateman,98,74.97,608,811
110,111,111,Loren Roberts,54,74.95,377,503
111,112,112,Bob Estes,92,74.94,616,822
112,T113,T113,Kent Jones,99,74.92,663,885
113,T113,T113,Rocco Mediate,73,74.92,499,666
114,115,115,Hidemichi Tanaka,106,74.9,728,972
115,116,116,Phillip Price,77,74.85,500,668
116,117,117,Alex Cejka,84,74.84,568,759
117,118,118,Kevin Stadler,96,74.81,579,774
118,119,119,Daniel Chopra,108,74.78,602,805
119,120,120,Tim Clark,92,74.72,600,803
120,121,121,Doug Barron,70,74.59,502,673
121,122,122,Duffy Waldorf,86,74.56,595,798
122,T123,T123,Paul Claxton,79,74.49,584,784
123,T123,T123,Bernhard Langer,67,74.49,403,541
