,GIR_Percentage_from_Other_than_Fairway_RANK THIS WEEK,GIR_Percentage_from_Other_than_Fairway_RANK LAST WEEK,GIR_Percentage_from_Other_than_Fairway_PLAYER NAME,GIR_Percentage_from_Other_than_Fairway_ROUNDS,GIR_Percentage_from_Other_than_Fairway_%,GIR_Percentage_from_Other_than_Fairway_GREENS HIT,GIR_Percentage_from_Other_than_Fairway_# OF HOLES
0,1,1,Sergio Garcia,73,63.17,247,391
1,2,2,Vijay Singh,111,61.54,376,611
2,3,3,Kenny Perry,82,60.34,248,411
3,4,4,Brett Wetterich,76,58.84,263,447
4,5,5,Joe Durant,81,57.27,189,330
5,6,6,Fred Couples,72,57.25,233,407
6,7,7,Mario Tiziani,67,57.19,179,313
7,8,8,Tiger Woods,76,56.93,271,476
8,9,9,Olin Browne,99,56.86,199,350
9,10,10,Justin Rose,99,56.76,273,481
10,11,11,Adam Scott,72,56.72,232,409
11,12,12,Greg Owen,84,56.5,239,423
12,13,13,Charles Warren,89,56.45,245,434
13,14,14,Joey Snyder III,102,56.18,259,461
14,15,15,Scott Gutschewski,86,56.08,272,485
15,16,16,David Hearn,68,56.04,167,298
16,17,17,Daniel Chopra,108,55.97,361,645
17,18,18,Bernhard Langer,67,55.89,223,399
18,19,19,D.J. Trahan,81,55.47,228,411
19,20,20,Billy Mayfair,114,55.39,257,464
20,21,21,Doug Barron,70,55.26,168,304
21,T22,T22,Neal Lancaster,95,54.88,298,543
22,T22,T22,Phil Mickelson,81,54.88,236,430
23,24,24,Dan Forsman,52,54.86,158,288
24,25,25,J.J. Henry,102,54.61,296,542
25,26,26,Sean O'Hair,103,54.48,292,536
26,27,27,D.J. Brigman,76,54.45,202,371
27,28,28,Geoff Ogilvy,97,54.39,279,513
28,29,29,Marco Dawson,82,54.25,230,424
29,30,30,Robert Allenby,95,54.24,256,472
30,31,31,Brendan Jones,81,54.1,264,488
31,32,32,Stuart Appleby,84,53.81,247,459
32,33,33,Tom Gillis,77,53.64,199,371
33,34,34,Ryuji Imada,78,53.46,247,462
34,35,35,Tom Lehman,69,53.27,179,336
35,36,36,Joey Sindelar,104,53.25,246,462
36,37,37,Jeff Brehaut,71,53.21,149,280
37,38,38,Jason Allred,75,53.16,286,538
38,39,39,James Driscoll,73,53.13,246,463
39,40,40,Darron Stiles,78,53.07,173,326
40,41,41,Roland Thatcher,75,53.06,191,360
41,42,42,Luke Donald,67,52.98,160,302
42,43,43,Charles Howell III,95,52.9,283,535
43,44,44,Retief Goosen,71,52.84,186,352
44,45,45,Hank Kuehne,84,52.68,295,560
45,46,46,Bo Van Pelt,112,52.67,306,581
46,47,47,Lucas Glover,88,52.65,248,471
47,48,48,Briny Baird,98,52.62,231,439
48,49,49,Chris Anderson,66,52.55,165,314
49,50,50,Nick Watney,91,52.48,265,505
50,51,51,Tag Ridings,93,52.43,302,576
51,52,52,Dean Wilson,86,52.4,218,416
52,53,53,Shigeki Maruyama,99,52.28,275,526
53,54,54,John Senden,101,52.24,245,469
54,55,55,Heath Slocum,103,52.14,207,397
55,56,56,Mathias Grönberg,60,51.85,154,297
56,57,57,Ted Purdy,122,51.83,325,627
57,58,58,Hidemichi Tanaka,106,51.79,232,448
58,T59,T59,Carl Pettersson,109,51.75,296,572
59,T59,T59,Chris Smith,93,51.75,266,514
60,T61,T61,Glen Day,80,51.71,212,410
61,T61,T61,Tjaart van der Walt,56,51.71,136,263
62,63,63,Kevin Stadler,96,51.68,262,507
63,T64,T64,John Daly,78,51.57,280,543
64,T64,T64,Hunter Mahan,103,51.57,280,543
65,66,66,Glen Hnatiuk,59,51.56,149,289
66,67,67,Carlos Franco,78,51.55,233,452
67,68,68,Scott Hend,75,51.52,288,559
68,69,69,Arron Oberholser,65,51.37,150,292
69,70,70,Hunter Haas,83,51.33,232,452
70,71,71,Dennis Paulson,63,51.26,204,398
71,72,72,Danny Briggs,70,51.15,156,305
72,73,73,Omar Uresti,84,51.02,150,294
73,74,74,Dudley Hart,84,51.0,230,451
74,75,75,Vaughn Taylor,99,50.91,252,495
75,76,76,Peter Lonard,85,50.78,229,451
76,77,77,John Huston,90,50.67,228,450
77,78,78,Jonathan Byrd,103,50.63,282,557
78,T79,T79,Tommy Armour III,103,50.62,246,486
79,T79,T79,Jesper Parnevik,84,50.62,245,484
80,81,81,Jay Haas,54,50.61,124,245
81,82,82,Bob Tway,87,50.59,214,423
82,83,83,Woody Austin,100,50.55,278,550
83,84,84,Rod Pampling,89,50.53,238,471
84,85,85,Tim Herron,100,50.47,268,531
85,86,86,Zach Johnson,96,50.45,223,442
86,T87,T87,Steve Allan,102,50.35,284,564
87,T87,T87,Jeff Sluman,94,50.35,216,429
88,T89,T89,Jonathan Kaye,77,50.28,181,360
89,T89,T89,Brenden Pappas,51,50.28,177,352
90,91,91,Harrison Frazar,105,50.19,258,514
91,92,92,Davis Love III,80,50.11,221,441
92,T93,T93,Frank Lickliter II,100,50.1,249,497
93,T93,T93,Pat Perez,89,50.1,246,491
94,95,95,J.L. Lewis,98,49.9,245,491
95,96,96,Michael Allen,90,49.83,287,576
96,T97,T97,Lee Janzen,75,49.77,219,440
97,T97,T97,Richard Johnson,50,49.77,109,219
98,99,99,Mark Calcavecchia,92,49.76,210,422
99,100,100,Stephen Leaney,89,49.61,190,383
100,101,101,Mark O'Meara,66,49.58,179,361
101,102,102,Craig Barlow,81,49.47,188,380
102,103,103,Ryan Palmer,101,49.45,269,544
103,104,104,Jerry Kelly,101,49.43,218,441
104,105,105,Will MacKenzie,75,49.35,190,385
105,106,106,Brian Davis,75,49.32,146,296
106,107,107,Chad Campbell,95,49.29,244,495
107,108,108,Paul Gow,78,49.28,172,349
108,109,109,Mark Wilson,74,49.22,157,319
109,110,110,Steve Elkington,67,49.21,156,317
110,111,111,Alex Cejka,84,49.19,182,370
111,112,112,Arjun Atwal,65,49.15,173,352
112,T113,T113,Stewart Cink,98,49.09,244,497
113,T113,T113,Brandt Jobe,96,49.09,269,548
114,115,115,Todd Hamilton,94,49.08,239,487
115,116,116,Kevin Sutherland,89,49.06,209,426
116,117,117,John Elliott,58,49.05,180,367
117,118,118,Bart Bryant,91,48.99,169,345
118,119,119,Cameron Beckman,96,48.98,216,441
119,120,120,Joe Ogilvie,103,48.94,255,521
120,T121,T121,Kent Jones,99,48.92,227,464
121,T121,T121,Tim Petrovic,97,48.92,272,556
122,123,123,Skip Kendall,80,48.9,156,319
123,124,124,Jason Bohn,91,48.85,234,479
124,125,125,Scott Verplank,87,48.84,168,344
125,126,126,Brian Bateman,98,48.79,241,494
126,127,127,Ben Crane,78,48.76,217,445
127,128,128,Phillip Price,77,48.7,169,347
128,129,129,Justin Leonard,78,48.67,183,376
129,130,130,Jay Williamson,53,48.61,105,216
130,131,131,Steve Flesch,90,48.53,215,443
131,132,132,Billy Andrade,83,48.46,205,423
132,133,133,Paul Claxton,79,48.43,154,318
133,134,134,Scott McCarron,78,48.28,196,406
134,135,135,D.A. Points,94,48.14,220,457
135,136,136,Rocco Mediate,73,48.13,167,347
136,137,137,Freddie Jacobson,72,48.12,205,426
137,138,138,Bob Heintz,67,48.11,191,397
138,139,139,Matt Gogel,78,48.07,187,389
139,140,140,K.J. Choi,78,48.06,173,360
140,141,141,José María Olazábal,55,48.04,147,306
141,142,142,Brett Quigley,96,47.98,261,544
142,143,143,John Rollins,97,47.93,231,482
143,144,144,Ben Curtis,65,47.75,159,333
144,145,145,Robert Damron,89,47.74,169,354
145,146,146,Brent Geiberger,61,47.7,145,304
146,147,147,Tim Clark,92,47.61,199,418
147,148,148,Jim Furyk,94,47.6,198,416
148,149,149,Aaron Baddeley,84,47.57,254,534
149,150,150,Chris DiMarco,83,47.54,193,406
150,151,151,Steve Stricker,62,47.46,196,413
151,152,152,Franklin Langham,91,47.29,244,516
152,T153,T153,Padraig Harrington,50,47.21,144,305
153,T153,T153,Tom Pernice Jr.,111,47.21,262,555
