,Average_Distance_after_Going_for_it_Shot_RANK THIS WEEK,Average_Distance_after_Going_for_it_Shot_RANK LAST WEEK,Average_Distance_after_Going_for_it_Shot_PLAYER NAME,Average_Distance_after_Going_for_it_Shot_ROUNDS,Average_Distance_after_Going_for_it_Shot_AVG,Average_Distance_after_Going_for_it_Shot_TOTAL DIST AFTER GFG SHOT,Average_Distance_after_Going_for_it_Shot_TOTAL GFG SHOTS
0,1,1,Jay Haas,54,20.8,43383.0,58
1,2,2,Joey Snyder III,102,20.9,143142.0,190
2,3,3,Kevin Stadler,96,21.0,167826.0,222
3,4,4,Brenden Pappas,51,21.2,89267.0,117
4,5,5,Loren Roberts,54,21.9,23677.0,30
5,T6,T6,Briny Baird,98,22.0,124973.0,158
6,T6,T6,Kenny Perry,82,22.0,99751.0,126
7,8,8,Charles Howell III,95,22.1,125518.0,158
8,9,9,Brian Davis,75,22.3,103368.0,129
9,T10,T10,Brandt Jobe,96,22.4,146232.0,181
10,T10,T10,Davis Love III,80,22.4,95897.0,119
11,12,12,John Rollins,97,22.5,157916.0,195
12,T13,T13,Hideto Tanihara,50,22.6,70890.0,87
13,T13,T13,Bo Van Pelt,112,22.6,165163.0,203
14,T15,T15,Bradley Hughes,52,22.7,84850.0,104
15,T15,T15,Adam Scott,72,22.7,82569.0,101
16,T17,T17,Brian Bateman,98,22.8,134776.0,164
17,T17,T17,Scott McCarron,78,22.8,105651.0,129
18,T17,T17,Phillip Price,77,22.8,83768.0,102
19,T17,T17,Lee Westwood,50,22.8,61503.0,75
20,21,21,John Huston,90,22.9,143385.0,174
21,T22,T22,Olin Browne,99,23.0,78569.0,95
22,T22,T22,Carlos Franco,78,23.0,131866.0,159
23,T22,T22,Lucas Glover,88,23.0,177504.0,214
24,T22,T22,Scott Gutschewski,86,23.0,160692.0,194
25,T26,T26,Jason Bohn,91,23.1,131217.0,158
26,T26,T26,Tim Clark,92,23.1,91666.0,110
27,T26,T26,Fred Couples,72,23.1,72232.0,87
28,T26,T26,Mark Hensby,70,23.1,96512.0,116
29,T26,T26,Sean O'Hair,103,23.1,150685.0,181
30,T31,T31,Joe Durant,81,23.2,117786.0,141
31,T31,T31,Brendan Jones,81,23.2,133917.0,160
32,T31,T31,Carl Pettersson,109,23.2,147122.0,176
33,T31,T31,Jay Williamson,53,23.2,65021.0,78
34,35,35,Craig Barlow,81,23.3,110855.0,132
35,T36,T36,Jeff Brehaut,71,23.4,109717.0,130
36,T36,T36,Luke Donald,67,23.4,37897.0,45
37,T36,T36,Bob Heintz,67,23.4,87471.0,104
38,T36,T36,Nick Watney,91,23.4,167594.0,199
39,T40,T40,Bart Bryant,91,23.5,110593.0,131
40,T40,T40,Ben Curtis,65,23.5,60896.0,72
41,T40,T40,Dudley Hart,84,23.5,109189.0,129
42,T40,T40,Matt Kuchar,60,23.5,72014.0,85
43,T44,T44,Glen Day,80,23.6,102766.0,121
44,T44,T44,Sergio Garcia,73,23.6,110636.0,130
45,T44,T44,Justin Leonard,78,23.6,63835.0,75
46,T44,T44,Tag Ridings,93,23.6,180427.0,212
47,T44,T44,Steve Stricker,62,23.6,72080.0,85
48,T44,T44,D.J. Trahan,81,23.6,148487.0,175
49,T44,T44,Tiger Woods,76,23.6,139448.0,164
50,T51,T51,Omar Uresti,84,23.7,98051.0,115
51,T51,T51,Duffy Waldorf,86,23.7,110073.0,129
52,T53,T53,Stuart Appleby,84,23.8,106361.0,124
53,T53,T53,Thomas Levet,54,23.8,52242.0,61
54,T53,T53,Michael Long,72,23.8,121038.0,141
55,T53,T53,Hunter Mahan,103,23.8,178052.0,208
56,T53,T53,Justin Rose,99,23.8,168976.0,197
57,T58,T58,Jason Allred,75,23.9,111890.0,130
58,T58,T58,Mark Calcavecchia,92,23.9,138745.0,161
59,T58,T58,James Driscoll,73,23.9,134492.0,156
60,T58,T58,Rocco Mediate,73,23.9,100789.0,117
61,T58,T58,Chris Smith,93,23.9,175156.0,204
62,T58,T58,Brett Wetterich,76,23.9,164601.0,191
63,T64,T64,Stephen Ames,82,24.0,88107.0,102
64,T64,T64,John Daly,78,24.0,132816.0,154
65,T64,T64,Mathias Grönberg,60,24.0,131118.0,152
66,T67,T67,K.J. Choi,78,24.1,75531.0,87
67,T67,T67,J.J. Henry,102,24.1,170236.0,196
68,T67,T67,Richard Johnson,50,24.1,72811.0,84
69,T67,T67,Ted Purdy,122,24.1,182541.0,210
70,T67,T67,Darron Stiles,78,24.1,99945.0,115
71,T72,T72,Michael Allen,90,24.2,115927.0,133
72,T72,T72,Woody Austin,100,24.2,163796.0,188
73,T72,T72,Tim Herron,100,24.2,122150.0,140
74,T72,T72,Brett Quigley,96,24.2,146447.0,168
75,76,76,Dan Forsman,52,24.3,79463.0,91
76,77,77,David Hearn,68,24.4,111359.0,127
77,T78,T78,Harrison Frazar,105,24.5,205704.0,233
78,T78,T78,Ryuji Imada,78,24.5,116271.0,132
79,T78,T78,Tim Petrovic,97,24.5,135204.0,153
80,T81,T81,Robert Allenby,95,24.6,148888.0,168
81,T81,T81,Rich Beem,66,24.6,80652.0,91
82,T81,T81,D.J. Brigman,76,24.6,100888.0,114
83,T81,T81,Rory Sabbatini,81,24.6,100159.0,113
84,T85,T85,Billy Andrade,83,24.7,121000.0,136
85,T85,T85,Arjun Atwal,65,24.7,122599.0,138
86,T85,T85,Alex Cejka,84,24.7,111842.0,126
87,T88,T88,Tom Byrum,83,24.8,73315.0,82
88,T88,T88,Marco Dawson,82,24.8,130281.0,146
89,T88,T88,Paul Gow,78,24.8,117144.0,131
90,T88,T88,Craig Perks,67,24.8,91247.0,102
91,T88,T88,Tom Pernice Jr.,111,24.8,167548.0,188
92,T88,T88,Mario Tiziani,67,24.8,98233.0,110
93,T88,T88,Mike Weir,71,24.8,70583.0,79
94,T95,T95,Ryan Palmer,101,24.9,173062.0,193
95,T95,T95,John Senden,101,24.9,178640.0,199
96,T95,T95,Roland Thatcher,75,24.9,135397.0,151
97,T98,T98,Jim Furyk,94,25.0,99163.0,110
98,T98,T98,Greg Owen,84,25.0,148728.0,165
99,T98,T98,D.A. Points,94,25.0,160197.0,178
100,T98,T98,David Toms,87,25.0,97157.0,108
101,T102,T102,Chad Campbell,95,25.1,121184.0,134
102,T102,T102,John Elliott,58,25.1,108623.0,120
103,T102,T102,Jesper Parnevik,84,25.1,136179.0,151
104,T105,T105,Jonathan Byrd,103,25.2,201614.0,222
105,T105,T105,Matt Gogel,78,25.2,94269.0,104
106,T105,T105,Hank Kuehne,84,25.2,176097.0,194
107,T108,T108,Tommy Armour III,103,25.3,131365.0,144
108,T108,T108,Zach Johnson,96,25.3,140931.0,155
109,T108,T108,Will MacKenzie,75,25.3,125905.0,138
110,111,111,Charlie Wi,67,25.4,97825.0,107
111,T112,T112,Steve Allan,102,25.5,194046.0,211
112,T112,T112,Neal Lancaster,95,25.5,166161.0,181
113,T112,T112,Shigeki Maruyama,99,25.5,123773.0,135
114,T112,T112,Billy Mayfair,114,25.5,201317.0,219
115,T112,T112,Vijay Singh,111,25.5,228775.0,249
116,117,117,Patrick Sheehan,114,25.6,176093.0,191
117,T118,T118,Justin Bolli,65,25.8,104015.0,112
118,T118,T118,Franklin Langham,91,25.8,94719.0,102
119,T118,T118,Frank Lickliter II,100,25.8,185794.0,200
120,T118,T118,Joe Ogilvie,103,25.8,136489.0,147
121,T118,T118,Kevin Sutherland,89,25.8,132740.0,143
122,T118,T118,Mark Wilson,74,25.8,71582.0,77
123,T124,T124,Bob Estes,92,25.9,108974.0,117
124,T124,T124,Stephen Leaney,89,25.9,95095.0,102
125,T124,T124,Andrew Magee,82,25.9,126996.0,136
126,T124,T124,Geoff Ogilvy,97,25.9,123805.0,133
127,T124,T124,Rob Rashell,65,25.9,84961.0,91
128,T129,T129,Danny Briggs,70,26.0,93424.0,100
129,T129,T129,Arron Oberholser,65,26.0,84171.0,90
130,T131,T131,Ben Crane,78,26.1,96914.0,103
131,T131,T131,Scott Hend,75,26.1,185971.0,198
132,T131,T131,Steve Lowery,100,26.1,197458.0,210
133,T131,T131,Kevin Na,88,26.1,124767.0,133
134,T131,T131,Joey Sindelar,104,26.1,185120.0,197
135,T131,T131,Dean Wilson,86,26.1,125792.0,134
136,T137,T137,Cameron Beckman,96,26.2,141314.0,150
137,T137,T137,Hunter Haas,83,26.2,151179.0,160
138,T137,T137,Rod Pampling,89,26.2,148755.0,158
139,T140,T140,Jeff Maggert,79,26.3,107832.0,114
140,T140,T140,José María Olazábal,55,26.3,73964.0,78
141,T142,T142,Steve Flesch,90,26.4,116731.0,123
142,T142,T142,Todd Hamilton,94,26.4,116847.0,123
143,T142,T142,J.P. Hayes,63,26.4,71350.0,75
144,T142,T142,Shaun Micheel,81,26.4,113054.0,119
145,T142,T142,Charles Warren,89,26.4,187002.0,197
146,T147,T147,Tom Gillis,77,26.5,126063.0,132
147,T147,T147,Vaughn Taylor,99,26.5,179446.0,188
148,149,149,Paul Claxton,79,26.6,111956.0,117
149,T150,T150,Jim Carter,62,26.7,58556.0,61
150,T150,T150,Steve Elkington,67,26.7,97937.0,102
151,T150,T150,Brad Faxon,75,26.7,82564.0,86
152,T153,T153,Steve Jones,56,26.8,74204.0,77
153,T153,T153,Hidemichi Tanaka,106,26.8,166888.0,173
154,T155,T155,José Coceres,56,26.9,85244.0,88
155,T155,T155,Retief Goosen,71,26.9,94928.0,98
156,T155,T155,Freddie Jacobson,72,26.9,88018.0,91
157,T158,T158,Jonathan Kaye,77,27.0,122274.0,126
158,T158,T158,Jerry Kelly,101,27.0,131430.0,135
159,160,160,Bill Glasson,54,27.1,55548.0,57
160,T161,T161,Dennis Paulson,63,27.2,129452.0,132
161,T161,T161,Jeff Sluman,94,27.2,131033.0,134
162,163,163,Pat Perez,89,27.3,152096.0,155
163,T164,T164,Doug Barron,70,27.4,108332.0,110
164,T164,T164,Brian Gay,101,27.4,105455.0,107
165,T166,T166,Chris Anderson,66,27.5,81256.0,82
166,T166,T166,Aaron Baddeley,84,27.5,160408.0,162
167,T166,T166,Tom Lehman,69,27.5,85218.0,86
168,T166,T166,J.L. Lewis,98,27.5,152262.0,154
169,T170,T170,Peter Lonard,85,27.7,109730.0,110
170,T170,T170,Bob Tway,87,27.7,107885.0,108
171,172,172,Daniel Chopra,108,27.8,226051.0,226
172,173,173,Stewart Cink,98,28.0,119852.0,119
173,174,174,Paul Azinger,66,28.1,105047.0,104
174,175,175,Robert Gamez,91,28.2,134813.0,133
175,176,176,Phil Mickelson,81,28.3,135657.0,133
176,T177,T177,John Cook,72,28.4,79703.0,78
177,T177,T177,Matt Davidson,53,28.4,89872.0,88
178,T177,T177,Chris DiMarco,83,28.4,98210.0,96
179,T177,T177,Brent Geiberger,61,28.4,89086.0,87
180,T181,T181,Ian Poulter,62,28.5,62666.0,61
181,T181,T181,Kirk Triplett,55,28.5,53367.0,52
182,T183,T183,Gavin Coles,70,28.6,64867.0,63
183,T183,T183,Larry Mize,54,28.6,63770.0,62
184,185,185,Scott Verplank,87,28.7,119806.0,116
185,186,186,Padraig Harrington,50,28.8,81822.0,79
186,187,187,Bernhard Langer,67,28.9,77938.0,75
187,T188,T188,Robert Damron,89,29.1,136331.0,130
188,T188,T188,Lee Janzen,75,29.1,107728.0,103
189,190,190,Kent Jones,99,29.2,151228.0,144
190,191,191,Heath Slocum,103,29.4,149044.0,141
191,T192,T192,Todd Fischer,99,29.7,151942.0,142
192,T192,T192,Fred Funk,102,29.7,101478.0,95
193,194,194,Corey Pavin,77,30.0,75538.0,70
194,195,195,Skip Kendall,80,30.4,107410.0,98
195,196,196,Len Mattiace,86,30.8,109618.0,99
196,197,197,Mark Brooks,72,31.2,68445.0,61
197,198,198,Tjaart van der Walt,56,32.6,124295.0,106
198,199,199,Glen Hnatiuk,59,32.9,92280.0,78
199,200,200,Chris Riley,67,33.0,71301.0,60
200,201,201,Jeff Hart,63,34.0,62488.0,51
201,202,202,Mark O'Meara,66,35.5,58733.0,46
