,Approaches_from__275_yards_Rgh_RANK THIS WEEK,Approaches_from__275_yards_Rgh_RANK LAST WEEK,Approaches_from__275_yards_Rgh_PLAYER NAME,Approaches_from__275_yards_Rgh_ROUNDS,Approaches_from__275_yards_Rgh_AVG,Approaches_from__275_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from__275_yards_Rgh_# OF ATTEMPTS,Approaches_from__275_yards_Rgh_RELATIVE TO PAR
0,1,1,John Daly,78,"21' 1""",21.083000000000002,1,-1
1,2,2,David Hearn,68,"31' 2""",31.166999999999998,1,-1
2,3,3,Jeff Brehaut,71,"43' 3""",86.5,2,-1
3,4,4,Shigeki Maruyama,99,"46' 1""",46.083,1,-1
4,5,5,Brian Gay,101,"47' 7""",47.583,1,E
5,6,6,Tom Pernice Jr.,111,"47' 9""",47.75,1,-1
6,7,7,Jonathan Byrd,103,"49' 3""",147.75,3,-3
7,8,8,Matt Kuchar,60,"49' 7""",49.583,1,E
8,9,9,Kirk Triplett,55,"51' 11""",103.833,2,-1
9,10,10,Bart Bryant,91,"57' 5""",57.417,1,E
10,11,11,Charles Howell III,95,"59' 1""",118.083,2,-3
11,12,12,Bo Van Pelt,112,"60' 9""",182.333,3,-2
12,T13,T13,Cameron Beckman,96,"63' 0""",126.0,2,-2
13,T13,T13,Kevin Sutherland,89,"63' 0""",252.0,4,-2
14,15,15,Stephen Ames,82,"65' 5""",130.75,2,-1
15,16,16,Arron Oberholser,65,"65' 6""",196.5,3,-4
16,17,17,Steve Jones,56,"66' 9""",66.75,1,+1
17,18,18,Rocco Mediate,73,"68' 11""",206.75,3,E
18,19,19,Bob Heintz,67,"70' 8""",70.667,1,-1
19,20,20,Jim Carter,62,"71' 8""",143.25,2,-2
20,21,21,Justin Bolli,65,"74' 0""",74.0,1,E
21,22,22,Padraig Harrington,50,"74' 1""",148.167,2,E
22,23,23,Neal Lancaster,95,"74' 5""",297.58299999999997,4,E
23,24,24,Gavin Coles,70,"75' 2""",75.167,1,-1
24,25,25,Joey Sindelar,104,"75' 3""",225.667,3,-2
25,26,26,Olin Browne,99,"75' 10""",227.583,3,-2
26,27,27,Paul Azinger,66,"76' 1""",228.167,3,E
27,28,28,Brett Quigley,96,"77' 4""",77.333,1,-1
28,29,29,Ryuji Imada,78,"77' 5""",309.58299999999997,4,-1
29,30,30,Kevin Stadler,96,"78' 3""",391.25,5,E
30,31,31,Sergio Garcia,73,"78' 4""",313.33299999999997,4,-1
31,32,32,Todd Fischer,99,"78' 5""",156.833,2,-1
32,33,33,Brent Geiberger,61,"79' 0""",237.0,3,E
33,34,34,Mario Tiziani,67,"79' 2""",158.25,2,E
34,35,35,Rod Pampling,89,"79' 4""",555.5,7,-2
35,36,36,Joe Durant,81,"79' 11""",159.75,2,-2
36,37,37,Ted Purdy,122,"80' 2""",401.0,5,-3
37,38,38,Mike Weir,71,"81' 9""",81.75,1,E
38,39,39,Stuart Appleby,84,"82' 11""",165.833,2,-1
39,T40,T40,Franklin Langham,91,"83' 4""",166.667,2,-1
40,T40,T40,Nick Watney,91,"83' 4""",249.917,3,E
41,42,42,John Huston,90,"84' 2""",84.167,1,-1
42,43,43,Steve Flesch,90,"84' 6""",422.417,5,-1
43,44,44,Phil Mickelson,81,"84' 7""",676.4169999999999,8,-3
44,45,45,Tag Ridings,93,"84' 8""",762.0830000000001,9,-5
45,T46,T46,Carlos Franco,78,"84' 10""",254.583,3,E
46,T46,T46,Mark Wilson,74,"84' 10""",169.667,2,-1
47,48,48,Justin Leonard,78,"85' 2""",85.167,1,E
48,49,49,Tim Petrovic,97,"85' 4""",341.333,4,-2
49,50,50,Davis Love III,80,"85' 6""",341.917,4,-2
50,51,51,Tim Clark,92,"85' 11""",343.5,4,-1
51,52,52,Jeff Maggert,79,"86' 4""",172.667,2,-1
52,53,53,Billy Mayfair,114,"86' 7""",346.333,4,-1
53,54,54,Brad Faxon,75,"87' 2""",87.167,1,E
54,55,55,Ryan Palmer,101,"88' 1""",88.083,1,-1
55,56,56,Jim Furyk,94,"89' 1""",178.083,2,-1
56,57,57,Scott Gutschewski,86,"89' 5""",268.16700000000003,3,-2
57,58,58,John Rollins,97,"89' 7""",179.167,2,E
58,59,59,Stephen Leaney,89,"89' 8""",179.25,2,-1
59,60,60,Brett Wetterich,76,"90' 5""",451.917,5,-3
60,61,61,Harrison Frazar,105,"90' 10""",363.333,4,-2
61,62,62,John Elliott,58,"91' 2""",455.917,5,E
62,63,63,Bob Tway,87,"91' 3""",182.5,2,E
