,Approaches_from_inside_100_yards_Rgh_RANK THIS WEEK,Approaches_from_inside_100_yards_Rgh_RANK LAST WEEK,Approaches_from_inside_100_yards_Rgh_PLAYER NAME,Approaches_from_inside_100_yards_Rgh_ROUNDS,Approaches_from_inside_100_yards_Rgh_AVG,Approaches_from_inside_100_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_inside_100_yards_Rgh_# OF ATTEMPTS,Approaches_from_inside_100_yards_Rgh_RELATIVE TO PAR
0,1,1,Luke Donald,67,"16' 6""",313.16700000000003,19,E
1,2,2,Joe Durant,81,"17' 2""",412.25,24,+3
2,3,3,Dennis Paulson,63,"17' 11""",754.0,42,+11
3,T4,T4,Tim Clark,92,"18' 0""",700.6669999999999,39,-7
4,T4,T4,Phil Mickelson,81,"18' 0""",612.3330000000001,34,-6
5,6,6,Bill Glasson,54,"18' 2""",417.5,23,+7
6,7,7,Ian Poulter,62,"18' 3""",255.25,14,+6
7,8,8,Loren Roberts,54,"18' 4""",349.0,19,+2
8,9,9,Chad Campbell,95,"18' 6""",555.25,30,E
9,10,10,Phillip Price,77,"18' 10""",715.8330000000001,38,-7
10,11,11,Arron Oberholser,65,"18' 11""",453.917,24,+1
11,12,12,Darron Stiles,78,"19' 1""",897.25,47,+1
12,13,13,Ryan Palmer,101,"19' 2""",651.8330000000001,34,+10
13,14,14,Adam Scott,72,"19' 3""",635.0830000000001,33,+2
14,15,15,John Cook,72,"19' 4""",656.75,34,+12
15,16,16,Tommy Armour III,103,"19' 6""",1052.083,54,+8
16,17,17,Peter Lonard,85,"19' 10""",673.5830000000001,34,+6
17,18,18,Woody Austin,100,"19' 11""",777.9169999999999,39,+3
18,T19,T19,Fred Couples,72,"20' 0""",479.0,24,-2
19,T19,T19,Ryuji Imada,78,"20' 0""",639.9169999999999,32,+4
20,T21,T21,Briny Baird,98,"20' 1""",662.8330000000001,33,+6
21,T21,T21,Steve Elkington,67,"20' 1""",481.25,24,+3
22,T23,T23,Stephen Leaney,89,"20' 5""",632.4169999999999,31,-1
23,T23,T23,Rory Sabbatini,81,"20' 5""",1021.75,50,+8
24,T25,T25,Arjun Atwal,65,"20' 6""",409.333,20,+1
25,T25,T25,Jay Haas,54,"20' 6""",286.83299999999997,14,-1
26,T27,T27,Richard Johnson,50,"20' 7""",309.16700000000003,15,+2
27,T27,T27,Andrew Magee,82,"20' 7""",883.5,43,+11
28,T29,T29,Danny Briggs,70,"20' 9""",436.0,21,+9
29,T29,T29,Jeff Hart,63,"20' 9""",706.5,34,-1
30,31,31,Dan Forsman,52,"20' 11""",438.417,21,-1
