,Left_Rough_Proximity_RANK THIS WEEK,Left_Rough_Proximity_RANK LAST WEEK,Left_Rough_Proximity_PLAYER NAME,Left_Rough_Proximity_ROUNDS,Left_Rough_Proximity_AVG,Left_Rough_Proximity_ATTEMPTS,Left_Rough_Proximity_TOTAL DISTANCE (FEET),Left_Rough_Proximity_RELATIVE TO PAR
0,1,1,David Hearn,68,"35' 4""",65,2299.083,15.0
1,2,2,Fred Couples,72,"35' 7""",70,2493.5,10.0
2,3,3,Vijay Singh,111,"36' 4""",167,6061.0830000000005,-9.0
3,4,4,Jeff Hart,63,"36' 7""",49,1792.0829999999999,1.0
4,5,5,Marco Dawson,82,"36' 8""",125,4578.833,12.0
5,6,6,Tjaart van der Walt,56,"37' 1""",56,2076.083,2.0
6,7,7,Mario Tiziani,67,"37' 2""",94,3495.083,13.0
7,8,8,Darron Stiles,78,"37' 10""",83,3141.083,3.0
8,9,9,Loren Roberts,54,"37' 11""",53,2010.5,7.0
9,T10,T10,Doug Barron,70,"38' 0""",91,3459.5,16.0
10,T10,T10,Robert Damron,89,"38' 0""",95,3607.667,19.0
11,12,12,Fred Funk,102,"38' 1""",90,3424.833,14.0
12,13,13,Zach Johnson,96,"38' 5""",116,4458.75,25.0
13,T14,T14,Bernhard Langer,67,"38' 6""",78,3005.75,-5.0
14,T14,T14,Justin Rose,99,"38' 6""",170,6541.5,17.0
15,16,16,Jason Bohn,91,"38' 11""",138,5372.75,8.0
16,17,17,Briny Baird,98,"39' 3""",118,4632.083,6.0
17,18,18,Ian Poulter,62,"39' 4""",55,2164.583,8.0
18,T19,T19,Jonathan Byrd,103,"39' 7""",144,5704.5,9.0
19,T19,T19,Arron Oberholser,65,"39' 7""",81,3203.667,3.0
20,T21,T21,Glen Hnatiuk,59,"39' 9""",76,3022.083,-1.0
21,T21,T21,Bo Van Pelt,112,"39' 9""",169,6712.9169999999995,15.0
22,23,23,Rich Beem,66,"39' 11""",80,3192.333,16.0
23,T24,T24,John Cook,72,"40' 0""",82,3282.833,12.0
24,T24,T24,Neal Lancaster,95,"40' 0""",167,6674.25,25.0
25,T24,T24,Joey Snyder III,102,"40' 0""",134,5360.9169999999995,22.0
26,27,27,Jay Williamson,53,"40' 1""",64,2563.25,12.0
27,T28,T28,Brian Davis,75,"40' 4""",57,2301.0,12.0
