,Fairway_Proximity_RANK THIS WEEK,Fairway_Proximity_RANK LAST WEEK,Fairway_Proximity_PLAYER NAME,Fairway_Proximity_ROUNDS,Fairway_Proximity_AVG,Fairway_Proximity_ATTEMPTS,Fairway_Proximity_TOTAL DISTANCE (FEET),Fairway_Proximity_RELATIVE TO PAR
0,T1,T1,Jim Furyk,94,"28' 3""",1029,29040.833,-166.0
1,T1,T1,Adam Scott,72,"28' 3""",667,18820.667,-79.0
2,3,3,Kenny Perry,82,"28' 9""",813,23354.25,-104.0
3,4,4,Fred Couples,72,"28' 10""",553,15958.75,-43.0
4,5,5,Loren Roberts,54,"29' 0""",698,20256.75,-45.0
5,T6,T6,Olin Browne,99,"29' 4""",1229,36070.417,-109.0
6,T6,T6,Shigeki Maruyama,99,"29' 4""",1129,33102.25,-135.0
7,T8,T8,Robert Gamez,91,"29' 7""",1122,33151.0,-105.0
8,T8,T8,Tiger Woods,76,"29' 7""",653,19342.667,-120.0
9,T10,T10,Robert Allenby,95,"29' 8""",987,29310.583,-93.0
10,T10,T10,Tommy Armour III,103,"29' 8""",1269,37680.75,-90.0
11,T10,T10,Sergio Garcia,73,"29' 8""",647,19209.833,-76.0
12,T13,T13,Chad Campbell,95,"29' 10""",1033,30852.083,-98.0
13,T13,T13,Alex Cejka,84,"29' 10""",980,29266.417,-42.0
14,T13,T13,Luke Donald,67,"29' 10""",555,16550.0,-63.0
15,T16,T16,Bill Glasson,54,"29' 11""",606,18138.917,-20.0
16,T16,T16,J.P. Hayes,63,"29' 11""",726,21730.25,-60.0
17,18,18,David Toms,87,"30' 0""",878,26362.75,-111.0
18,T19,T19,Craig Barlow,81,"30' 1""",885,26639.25,-46.0
19,T19,T19,Chris DiMarco,83,"30' 1""",775,23308.083,-72.0
20,T19,T19,Brendan Jones,81,"30' 1""",904,27226.833,-37.0
21,22,22,Justin Leonard,78,"30' 3""",766,23186.5,-57.0
22,T23,T23,Retief Goosen,71,"30' 4""",553,16786.667,-57.0
23,T23,T23,Jeff Maggert,79,"30' 4""",868,26293.583,-49.0
24,T23,T23,Kirk Triplett,55,"30' 4""",617,18702.083,-33.0
25,26,26,John Huston,90,"30' 5""",1066,32457.917,-69.0
26,T27,T27,Bob Estes,92,"30' 7""",1120,34287.083,-92.0
27,T27,T27,Jerry Kelly,101,"30' 7""",1068,32658.083,-96.0
28,T27,T27,Rocco Mediate,73,"30' 7""",879,26883.583,-63.0
29,T27,T27,Joey Sindelar,104,"30' 7""",1376,42044.25,-106.0
30,T27,T27,Heath Slocum,103,"30' 7""",1291,39476.75,-81.0
31,T32,T32,Ben Crane,78,"30' 8""",829,25455.0,-95.0
32,T32,T32,Fred Funk,102,"30' 8""",1244,38146.417,-55.0
33,T32,T32,Peter Lonard,85,"30' 8""",906,27746.25,-48.0
34,T32,T32,Jeff Sluman,94,"30' 8""",1196,36628.417,-74.0
35,T32,T32,Darron Stiles,78,"30' 8""",972,29836.167,-67.0
36,37,37,Stewart Cink,98,"30' 9""",951,29230.917,-110.0
37,38,38,Justin Rose,99,"30' 10""",1175,36213.083,-92.0
38,T39,T39,Stephen Ames,82,"30' 11""",824,25499.583,-71.0
39,T39,T39,Padraig Harrington,50,"30' 11""",491,15197.583,-50.0
40,T39,T39,Geoff Ogilvy,97,"30' 11""",960,29688.833,-74.0
41,T39,T39,José María Olazábal,55,"30' 11""",532,16452.083,-59.0
42,T39,T39,Bo Van Pelt,112,"30' 11""",1239,38324.583,-119.0
43,T44,T44,Jason Bohn,91,"31' 0""",1091,33843.833,-106.0
44,T44,T44,Mark Calcavecchia,92,"31' 0""",1051,32551.417,-72.0
45,T44,T44,Carlos Franco,78,"31' 0""",868,26909.417,-83.0
46,T44,T44,Jonathan Kaye,77,"31' 0""",871,26975.167,-84.0
47,T44,T44,Franklin Langham,91,"31' 0""",987,30608.75,-31.0
48,T44,T44,Corey Pavin,77,"31' 0""",858,26606.333,-78.0
49,T44,T44,Phillip Price,77,"31' 0""",883,27388.917,-51.0
50,T44,T44,Steve Stricker,62,"31' 0""",724,22425.167,-74.0
51,T44,T44,Scott Verplank,87,"31' 0""",965,29895.75,-104.0
