,Rough_Proximity_RANK THIS WEEK,Rough_Proximity_RANK LAST WEEK,Rough_Proximity_PLAYER NAME,Rough_Proximity_ROUNDS,Rough_Proximity_AVG,Rough_Proximity_TOTAL DISTANCE (INCHES),Rough_Proximity_ATTEMPTS,Rough_Proximity_TOTAL DISTANCE (FEET),Rough_Proximity_RELATIVE TO PAR
0,1,1,Jeff Hart,63,"36' 0""",47944,111,3995.333,8.0
1,2,2,Mario Tiziani,67,"37' 0""",94537,213,7878.0830000000005,13.0
2,3,3,David Hearn,68,"38' 5""",77369,168,6447.4169999999995,31.0
3,4,4,Todd Hamilton,94,"38' 11""",123404,264,10283.667,55.0
4,5,5,Doug Barron,70,"39' 2""",89797,191,7483.0830000000005,22.0
5,T6,T6,Bill Glasson,54,"39' 5""",72791,154,6065.9169999999995,26.0
6,T6,T6,Justin Rose,99,"39' 5""",153337,324,12778.083,13.0
7,8,8,Glen Hnatiuk,59,"39' 7""",84520,178,7043.3330000000005,17.0
8,9,9,Hidemichi Tanaka,106,"39' 8""",127468,268,10622.333,24.0
9,10,10,Tjaart van der Walt,56,"39' 9""",83529,175,6960.75,21.0
10,11,11,Bo Van Pelt,112,"39' 10""",166459,348,13871.583,24.0
11,12,12,Darron Stiles,78,"39' 11""",96832,202,8069.3330000000005,19.0
12,13,13,Fred Couples,72,"40' 0""",84071,175,7005.9169999999995,13.0
13,14,14,Ted Purdy,122,"40' 1""",149053,310,12421.083,25.0
14,T15,T15,Daniel Chopra,108,"40' 3""",184925,383,15410.417,2.0
15,T15,T15,Arron Oberholser,65,"40' 3""",79190,164,6599.1669999999995,14.0
16,17,17,Tommy Armour III,103,"40' 4""",145099,300,12091.583,51.0
17,18,18,Olin Browne,99,"40' 5""",103790,214,8649.167,21.0
18,19,19,Glen Day,80,"40' 6""",126874,261,10572.833,28.0
19,T20,T20,Briny Baird,98,"40' 7""",124794,256,10399.5,13.0
20,T20,T20,Luke Donald,67,"40' 7""",66264,136,5522.0,10.0
21,T20,T20,Brenden Pappas,51,"40' 7""",96412,198,8034.3330000000005,22.0
22,23,23,Zach Johnson,96,"40' 8""",118090,242,9840.833,35.0
23,24,24,Brendan Jones,81,"40' 9""",143394,293,11949.5,45.0
24,25,25,Vijay Singh,111,"40' 10""",167709,342,13975.75,-7.0
25,T26,T26,Fred Funk,102,"40' 11""",92730,189,7727.5,29.0
26,T26,T26,Jay Williamson,53,"40' 11""",67270,137,5605.8330000000005,25.0
27,28,28,Ryan Palmer,101,"41' 0""",135769,276,11314.083,33.0
28,29,29,Adam Scott,72,"41' 1""",104976,213,8748.0,23.0
29,30,30,Joey Snyder III,102,"41' 2""",138441,280,11536.75,22.0
30,T31,T31,Michael Allen,90,"41' 3""",156441,316,13036.75,35.0
31,T31,T31,Geoff Ogilvy,97,"41' 3""",140950,285,11745.833,3.0
32,T31,T31,Ian Poulter,62,"41' 3""",67264,136,5605.3330000000005,24.0
33,T34,T34,Jason Bohn,91,"41' 4""",139871,282,11655.917,23.0
34,T34,T34,Rory Sabbatini,81,"41' 4""",124113,250,10342.75,42.0
35,T34,T34,Roland Thatcher,75,"41' 4""",111667,225,9305.583,32.0
36,T37,T37,Sergio Garcia,73,"41' 7""",109727,220,9143.917,9.0
37,T37,T37,Kenny Perry,82,"41' 7""",99270,199,8272.5,11.0
38,T39,T39,Jonathan Byrd,103,"41' 8""",172039,344,14336.583,34.0
