,Going_for_the_Green_-_Hit_Green_Pct._RANK THIS WEEK,Going_for_the_Green_-_Hit_Green_Pct._RANK LAST WEEK,Going_for_the_Green_-_Hit_Green_Pct._PLAYER NAME,Going_for_the_Green_-_Hit_Green_Pct._ROUNDS,Going_for_the_Green_-_Hit_Green_Pct._%,Going_for_the_Green_-_Hit_Green_Pct._SUCCESSES,Going_for_the_Green_-_Hit_Green_Pct._ATTEMPTS,Going_for_the_Green_-_Hit_Green_Pct._RTP-SUCCESSES,Going_for_the_Green_-_Hit_Green_Pct._RTP-NOT GOING FOR THE GRN
0,1,1,Brenden Pappas,51,36.75,43,117,-51,51 Under
1,2,2,Tiger Woods,76,33.54,55,164,-58,58 Under
2,3,3,Harrison Frazar,105,33.05,77,233,-83,83 Under
3,4,4,Sergio Garcia,73,31.54,41,130,-35,35 Under
4,5,5,John Senden,101,30.65,61,199,-58,58 Under
5,6,6,Bob Tway,87,30.56,33,108,-33,33 Under
6,7,7,Charles Howell III,95,30.38,48,158,-53,53 Under
7,8,8,Loren Roberts,54,30.0,9,30,-8,8 Under
8,9,9,Adam Scott,72,29.7,30,101,-31,31 Under
9,10,10,Mark Hensby,70,29.31,34,116,-40,40 Under
10,11,11,Kevin Stadler,96,29.28,65,222,-68,68 Under
11,12,12,Woody Austin,100,29.26,55,188,-52,52 Under
12,13,13,Shigeki Maruyama,99,28.89,39,135,-41,41 Under
13,14,14,Jonathan Byrd,103,28.83,64,222,-69,69 Under
14,15,15,Brendan Jones,81,28.75,46,160,-45,45 Under
15,16,16,John Rollins,97,28.72,56,195,-52,52 Under
16,17,17,Robert Allenby,95,28.57,48,168,-48,48 Under
17,18,18,Ted Purdy,122,28.1,59,210,-56,56 Under
18,19,19,Andrew Magee,82,27.94,38,136,-40,40 Under
19,T20,T20,Briny Baird,98,27.85,44,158,-49,49 Under
20,T20,T20,Jason Bohn,91,27.85,44,158,-47,47 Under
21,22,22,Jeff Brehaut,71,27.69,36,130,-37,37 Under
22,23,23,Joey Snyder III,102,27.37,52,190,-57,57 Under
23,24,24,Craig Barlow,81,27.27,36,132,-39,39 Under
24,25,25,Mathias Grönberg,60,26.97,41,152,-44,44 Under
25,26,26,Chris Smith,93,26.96,55,204,-51,51 Under
26,27,27,Brian Bateman,98,26.83,44,164,-49,49 Under
27,28,28,Nick Watney,91,26.63,53,199,-57,57 Under
28,29,29,Stuart Appleby,84,26.61,33,124,-34,34 Under
29,30,30,Retief Goosen,71,26.53,26,98,-29,29 Under
30,31,31,Sean O'Hair,103,26.52,48,181,-48,48 Under
31,32,32,Jesper Parnevik,84,26.49,40,151,-38,38 Under
32,33,33,Tommy Armour III,103,26.39,38,144,-41,41 Under
33,34,34,Ben Crane,78,26.21,27,103,-31,31 Under
34,35,35,Alex Cejka,84,26.19,33,126,-28,28 Under
35,36,36,Jay Haas,54,25.86,15,58,-16,16 Under
36,37,37,Rory Sabbatini,81,25.66,29,113,-31,31 Under
37,38,38,Brandt Jobe,96,25.41,46,181,-47,47 Under
38,39,39,D.A. Points,94,25.28,45,178,-51,51 Under
39,40,40,Dan Forsman,52,25.27,23,91,-23,23 Under
40,41,41,Shaun Micheel,81,25.21,30,119,-33,33 Under
41,42,42,Bart Bryant,91,25.19,33,131,-38,38 Under
42,43,43,D.J. Trahan,81,25.14,44,175,-49,49 Under
43,T44,T44,Ben Curtis,65,25.0,18,72,-19,19 Under
44,T44,T44,Bob Heintz,67,25.0,26,104,-22,22 Under
45,T44,T44,Bradley Hughes,52,25.0,26,104,-20,20 Under
46,T44,T44,Richard Johnson,50,25.0,21,84,-18,18 Under
47,T44,T44,Tag Ridings,93,25.0,53,212,-53,53 Under
48,T44,T44,David Toms,87,25.0,27,108,-33,33 Under
49,50,50,Neal Lancaster,95,24.86,45,181,-40,40 Under
50,51,51,Duffy Waldorf,86,24.81,32,129,-32,32 Under
51,52,52,Carlos Franco,78,24.53,39,159,-40,40 Under
52,53,53,Phillip Price,77,24.51,25,102,-26,26 Under
53,54,54,Davis Love III,80,24.37,29,119,-31,31 Under
54,55,55,Scott Gutschewski,86,24.23,47,194,-49,49 Under
55,56,56,Vijay Singh,111,24.1,60,249,-59,59 Under
56,57,57,Aaron Baddeley,84,24.07,39,162,-40,40 Under
57,58,58,Phil Mickelson,81,24.06,32,133,-28,28 Under
58,59,59,Padraig Harrington,50,24.05,19,79,-22,22 Under
59,60,60,Brian Davis,75,24.03,31,129,-38,38 Under
60,T61,T61,J.P. Hayes,63,24.0,18,75,-20,20 Under
61,T61,T61,Lee Westwood,50,24.0,18,75,-19,19 Under
62,63,63,Kevin Sutherland,89,23.78,34,143,-30,30 Under
63,64,64,Billy Mayfair,114,23.74,52,219,-57,57 Under
64,65,65,Jeff Maggert,79,23.68,27,114,-23,23 Under
65,T66,T66,Tim Clark,92,23.64,26,110,-27,27 Under
66,T66,T66,Greg Owen,84,23.64,39,165,-37,37 Under
67,68,68,David Hearn,68,23.62,30,127,-29,29 Under
68,T69,T69,Craig Perks,67,23.53,24,102,-25,25 Under
69,T69,T69,Steve Stricker,62,23.53,20,85,-20,20 Under
70,71,71,Omar Uresti,84,23.48,27,115,-28,28 Under
71,72,72,Daniel Chopra,108,23.45,53,226,-53,53 Under
72,73,73,Ryan Palmer,101,23.32,45,193,-46,46 Under
73,74,74,Carl Pettersson,109,23.3,41,176,-41,41 Under
74,75,75,Scott McCarron,78,23.26,30,129,-32,32 Under
75,76,76,Scott Hend,75,23.23,46,198,-45,45 Under
76,77,77,Will MacKenzie,75,23.19,32,138,-30,30 Under
77,78,78,Bo Van Pelt,112,23.15,47,203,-44,44 Under
78,T79,T79,Freddie Jacobson,72,23.08,21,91,-24,24 Under
79,T79,T79,Kirk Triplett,55,23.08,12,52,-12,12 Under
80,81,81,Frank Lickliter II,100,23.0,46,200,-42,42 Under
81,82,82,Brent Geiberger,61,22.99,20,87,-26,26 Under
82,83,83,Mark Calcavecchia,92,22.98,37,161,-39,39 Under
83,T84,T84,Tom Pernice Jr.,111,22.87,43,188,-45,45 Under
84,T84,T84,Vaughn Taylor,99,22.87,43,188,-43,43 Under
85,86,86,Justin Rose,99,22.84,45,197,-41,41 Under
86,87,87,Rod Pampling,89,22.78,36,158,-36,36 Under
87,88,88,Steve Flesch,90,22.76,28,123,-27,27 Under
88,89,89,John Daly,78,22.73,35,154,-34,34 Under
89,90,90,Brett Wetterich,76,22.51,43,191,-43,43 Under
90,91,91,Lucas Glover,88,22.43,48,214,-53,53 Under
91,92,92,Dean Wilson,86,22.39,30,134,-32,32 Under
92,93,93,Steve Lowery,100,22.38,47,210,-52,52 Under
93,94,94,Joey Sindelar,104,22.34,44,197,-34,34 Under
94,95,95,Jason Allred,75,22.31,29,130,-26,26 Under
95,96,96,Steve Allan,102,22.27,47,211,-46,46 Under
96,T97,T97,Jonathan Kaye,77,22.22,28,126,-24,24 Under
97,T97,T97,Arron Oberholser,65,22.22,20,90,-20,20 Under
98,99,99,Paul Azinger,66,22.12,23,104,-20,20 Under
99,100,100,Joe Durant,81,21.99,31,141,-28,28 Under
100,101,101,Ryuji Imada,78,21.97,29,132,-30,30 Under
101,102,102,Todd Hamilton,94,21.95,27,123,-26,26 Under
102,T103,T103,Fred Couples,72,21.84,19,87,-23,23 Under
103,T103,T103,John Huston,90,21.84,38,174,-37,37 Under
104,105,105,Charles Warren,89,21.83,43,197,-45,45 Under
105,106,106,Dudley Hart,84,21.71,28,129,-28,28 Under
106,107,107,Tjaart van der Walt,56,21.7,23,106,-22,22 Under
107,108,108,Hunter Mahan,103,21.63,45,208,-47,47 Under
108,109,109,J.J. Henry,102,21.43,42,196,-39,39 Under
109,110,110,Thomas Levet,54,21.31,13,61,-14,14 Under
110,111,111,Michael Long,72,21.28,30,141,-36,36 Under
111,112,112,Tom Gillis,77,21.21,28,132,-27,27 Under
112,113,113,Hank Kuehne,84,21.13,41,194,-42,42 Under
113,114,114,D.J. Brigman,76,21.05,24,114,-21,21 Under
114,115,115,Stewart Cink,98,21.01,25,119,-24,24 Under
115,116,116,Mario Tiziani,67,20.91,23,110,-25,25 Under
116,117,117,Rich Beem,66,20.88,19,91,-20,20 Under
117,118,118,Darron Stiles,78,20.87,24,115,-20,20 Under
118,119,119,Jerry Kelly,101,20.74,28,135,-31,31 Under
