,Average_Going_for_it_Shot_Distance_in_Yards_RANK THIS WEEK,Average_Going_for_it_Shot_Distance_in_Yards_RANK LAST WEEK,Average_Going_for_it_Shot_Distance_in_Yards_PLAYER NAME,Average_Going_for_it_Shot_Distance_in_Yards_EVENTS,Average_Going_for_it_Shot_Distance_in_Yards_AVG,Average_Going_for_it_Shot_Distance_in_Yards_DISTANCE (IN INCHES),Average_Going_for_it_Shot_Distance_in_Yards_ATTEMPTS
0,1,1,Loren Roberts,18,238.3,257339.0,30
1,2,2,Kirk Triplett,18,240.5,450307.0,52
2,3,3,K.J. Choi,24,246.2,771234.0,87
3,4,4,Luke Donald,18,246.3,398972.0,45
4,5,5,Adam Scott,19,246.9,897547.0,101
5,6,6,Geoff Ogilvy,26,247.7,1186102.0,133
6,7,7,Fred Couples,22,247.8,776231.0,87
7,8,8,Ian Poulter,20,248.3,545338.0,61
8,9,9,Justin Leonard,24,248.8,671875.0,75
9,10,10,Shigeki Maruyama,29,248.9,1209612.0,135
10,11,11,Ben Crane,21,249.0,923357.0,103
11,T12,T12,José María Olazábal,16,249.1,699450.0,78
12,T12,T12,Kenny Perry,23,249.1,1130097.0,126
13,14,14,Bob Tway,26,249.3,969262.0,108
14,15,15,Davis Love III,24,249.5,1069046.0,119
15,T16,T16,Ben Curtis,24,249.8,647452.0,72
16,T16,T16,Phillip Price,25,249.8,917449.0,102
17,T18,T18,Michael Allen,30,250.2,1197762.0,133
18,T18,T18,Charles Howell III,29,250.2,1423347.0,158
19,T18,T18,Jonathan Kaye,24,250.2,1134699.0,126
20,T21,T21,Stuart Appleby,25,250.4,1117864.0,124
21,T21,T21,Steve Stricker,21,250.4,766156.0,85
22,T23,T23,Tommy Armour III,29,250.5,1298374.0,144
23,T23,T23,Dan Forsman,17,250.5,820714.0,91
24,T23,T23,Joey Snyder III,31,250.5,1713311.0,190
25,T26,T26,Gavin Coles,22,250.7,568559.0,63
26,T26,T26,Jay Haas,16,250.7,523463.0,58
27,28,28,Stephen Ames,24,250.8,921036.0,102
28,29,29,Brett Wetterich,28,250.9,1725340.0,191
29,30,30,Briny Baird,33,251.0,1427922.0,158
30,31,31,Craig Perks,27,251.2,922529.0,102
31,32,32,Brian Bateman,32,251.3,1483524.0,164
32,T33,T33,Woody Austin,30,251.6,1702856.0,188
33,T33,T33,Brian Gay,33,251.6,969009.0,107
34,T33,T33,Chris Riley,25,251.6,543398.0,60
35,T33,T33,Jay Williamson,16,251.6,706482.0,78
36,37,37,Mike Weir,23,251.7,715854.0,79
37,38,38,Robert Allenby,31,251.8,1522914.0,168
38,T39,T39,Bart Bryant,26,252.0,1188620.0,131
39,T39,T39,David Toms,25,252.0,979735.0,108
40,T41,T41,Thomas Levet,20,252.1,553514.0,61
41,T41,T41,Peter Lonard,27,252.1,998303.0,110
42,T43,T43,Todd Hamilton,31,252.6,1118632.0,123
43,T43,T43,J.P. Hayes,22,252.6,682152.0,75
44,T43,T43,Bob Heintz,24,252.6,945887.0,104
45,T43,T43,Shaun Micheel,29,252.6,1082274.0,119
46,47,47,Olin Browne,29,252.7,864250.0,95
47,T48,T48,Dudley Hart,29,252.8,1173972.0,129
48,T48,T48,Brenden Pappas,15,252.8,1064929.0,117
49,T48,T48,Rob Rashell,25,252.8,828189.0,91
50,T51,T51,Brian Davis,23,253.0,1174801.0,129
51,T51,T51,Bernhard Langer,19,253.0,683128.0,75
