,Longest_Hole_Outs_in_yards_RANK THIS WEEK,Longest_Hole_Outs_in_yards_RANK LAST WEEK,Longest_Hole_Outs_in_yards_PLAYER NAME,Longest_Hole_Outs_in_yards_ROUNDS,Longest_Hole_Outs_in_yards_DISTANCE,Longest_Hole_Outs_in_yards_TOURNAMENT,Longest_Hole_Outs_in_yards_ROUND- COURSE,Longest_Hole_Outs_in_yards_HOLE
0,1,715,Chris Riley,67,418,Nissan Open,1,8
1,2,1,Marco Dawson,82,256,Michelin Championship at Las Vegas,3,9
2,3,2,Mathias Grönberg,60,247,U.S. Bank Championship in Milwaukee,4,6
3,4,3,Tim Petrovic,97,240,Bob Hope Chrysler Classic,1,11
4,5,4,Bill Glasson,54,217,Michelin Championship at Las Vegas,4,16
5,6,5,Dean Wilson,86,216,Barclays Classic,2,9
6,7,6,Jason Allred,75,208,Shell Houston Open,4,3
7,8,7,Peter Lonard,85,206,Buick Invitational,1,3
8,T9,8,Shigeki Maruyama,99,202,Sony Open in Hawaii,3,4
9,T9,9,Darron Stiles,78,202,Buick Invitational,4,15
10,11,10,David Toms,87,201,the Memorial Tournament,3,4
11,T12,11,Phil Mickelson,81,200,84 LUMBER Classic,3,7
12,T12,12,Stephen Leaney,89,200,Shell Houston Open,3,3
13,14,13,Jay Delsing,37,196,John Deere Classic,1,7
14,T15,14,Vijay Singh,111,195,EDS Byron Nelson Championship,4,17
15,T15,4,Bill Glasson,54,195,AT&T Pebble Beach National Pro-Am,3,5
16,17,16,Richard Green,37,194,World Golf Championships-American Express Championship,1,11
17,18,17,Hidemichi Tanaka,106,192,Valero Texas Open,1,17
18,19,18,Matt Kuchar,60,189,John Deere Classic,4,7
19,20,19,Tom Lehman,69,188,World Golf Championships-American Express Championship,3,11
20,21,20,Kevin Stadler,96,186,Deutsche Bank Championship,2,3
21,22,21,Michael Long,72,184,Reno-Tahoe Open,2,12
22,23,22,Andrew Magee,82,182,Bay Hill Invitational Presented by MasterCard,2,2
23,T24,23,Robert Allenby,95,180,Buick Open,4,11
24,T24,24,Loren Roberts,54,180,Shell Houston Open,2,16
25,26,25,Joey Sindelar,104,179,Deutsche Bank Championship,1,10
26,27,26,José Coceres,56,178,Shell Houston Open,2,17
27,28,27,Stewart Cink,98,177,Sony Open in Hawaii,4,5
28,29,28,Steve Lowery,100,176,Chrysler Classic of Greensboro,3,18
29,T30,8,Shigeki Maruyama,99,173,John Deere Classic,2,3
30,T30,27,Stewart Cink,98,173,Bay Hill Invitational Presented by MasterCard,1,15
31,T32,31,Esteban Toledo,19,172,Ford Championship at Doral,1,18
32,T32,32,Ben Curtis,65,172,Wachovia Championship,1,12
33,34,33,Hideto Tanihara,50,170,Reno-Tahoe Open,2,9
34,T35,34,Darren Clarke,41,167,Nissan Open,1,6
35,T35,35,Tag Ridings,93,167,Ford Championship at Doral,1,15
36,T37,36,D.J. Trahan,81,165,Chrysler Classic of Greensboro,3,16
