,Approach_125-150_yards_RTP_Score_RANK THIS WEEK,Approach_125-150_yards_RTP_Score_RANK LAST WEEK,Approach_125-150_yards_RTP_Score_PLAYER NAME,Approach_125-150_yards_RTP_Score_ROUNDS,Approach_125-150_yards_RTP_Score_AVG RTP
0,1,1,Luke Donald,67,-.233
1,2,2,Adam Scott,72,-.224
2,3,3,Aaron Baddeley,84,-.211
3,T4,T4,Brad Faxon,75,-.202
4,T4,T4,Jim Furyk,94,-.202
5,6,6,Bob Tway,87,-.193
6,7,7,Ian Poulter,62,-.192
7,8,8,David Toms,87,-.191
8,9,9,Phil Mickelson,81,-.188
9,10,10,Geoff Ogilvy,97,-.186
10,11,11,John Cook,72,-.178
11,T12,T12,Chris DiMarco,83,-.171
12,T12,T12,Todd Hamilton,94,-.171
13,14,14,Dan Forsman,52,-.170
14,15,15,Scott Verplank,87,-.168
15,16,16,Shigeki Maruyama,99,-.167
16,17,17,Ben Crane,78,-.165
17,T18,T18,Jay Haas,54,-.163
18,T18,T18,Tim Herron,100,-.163
19,20,20,Stewart Cink,98,-.162
20,21,21,Justin Leonard,78,-.158
21,22,22,Mark Wilson,74,-.153
22,T23,T23,Danny Briggs,70,-.150
23,T23,T23,Paul Gow,78,-.150
24,25,25,Richard Johnson,50,-.145
25,26,26,Robert Allenby,95,-.143
26,27,27,Steve Stricker,62,-.141
27,T28,T28,Tim Clark,92,-.138
28,T28,T28,José María Olazábal,55,-.138
29,30,30,Vaughn Taylor,99,-.134
30,T31,T31,Tommy Armour III,103,-.133
31,T31,T31,Gavin Coles,70,-.133
32,33,33,Matt Kuchar,60,-.132
33,34,34,Brett Quigley,96,-.130
34,35,35,Hidemichi Tanaka,106,-.127
35,36,36,Sean O'Hair,103,-.124
36,37,37,Kevin Sutherland,89,-.120
37,T38,T38,Paul Azinger,66,-.119
38,T38,T38,Steve Elkington,67,-.119
39,T38,T38,Tom Lehman,69,-.119
40,T38,T38,Tim Petrovic,97,-.119
41,T38,T38,Rory Sabbatini,81,-.119
42,T43,T43,K.J. Choi,78,-.118
43,T43,T43,Jerry Kelly,101,-.118
44,T45,T45,Billy Andrade,83,-.117
45,T45,T45,Franklin Langham,91,-.117
46,47,47,Pat Perez,89,-.115
47,48,48,Darron Stiles,78,-.114
48,T49,T49,Zach Johnson,96,-.112
49,T49,T49,Corey Pavin,77,-.112
50,T49,T49,Tom Pernice Jr.,111,-.112
51,52,52,Harrison Frazar,105,-.111
52,53,53,Vijay Singh,111,-.110
53,T54,T54,Mathias Grönberg,60,-.109
54,T54,T54,J.J. Henry,102,-.109
55,T54,T54,Brett Wetterich,76,-.109
56,T57,T57,Cameron Beckman,96,-.108
57,T57,T57,Justin Bolli,65,-.108
58,T57,T57,Ted Purdy,122,-.108
59,60,60,Scott Gutschewski,86,-.107
60,61,61,Duffy Waldorf,86,-.106
61,T62,T62,Robert Gamez,91,-.104
62,T62,T62,Chris Smith,93,-.104
63,64,64,Jim Carter,62,-.103
64,T65,T65,J.L. Lewis,98,-.102
65,T65,T65,Brenden Pappas,51,-.102
66,T65,T65,Tjaart van der Walt,56,-.102
67,T68,T68,Padraig Harrington,50,-.101
68,T68,T68,Charles Howell III,95,-.101
69,70,70,Mark Brooks,72,-.096
70,71,71,Jonathan Kaye,77,-.095
71,T72,T72,Glen Day,80,-.092
72,T72,T72,Kent Jones,99,-.092
73,74,74,Retief Goosen,71,-.091
74,T75,T75,Doug Barron,70,-.090
75,T75,T75,Kenny Perry,82,-.090
76,77,77,Jesper Parnevik,84,-.089
77,78,78,Tom Byrum,83,-.086
78,T79,T79,Brandt Jobe,96,-.083
79,T79,T79,Bernhard Langer,67,-.083
80,T79,T79,Frank Lickliter II,100,-.083
81,T82,T82,Dudley Hart,84,-.082
82,T82,T82,Larry Mize,54,-.082
83,84,84,Davis Love III,80,-.081
84,T85,T85,Fred Couples,72,-.080
85,T85,T85,Jeff Hart,63,-.080
86,T87,T87,Stephen Ames,82,-.079
87,T87,T87,Bo Van Pelt,112,-.079
88,T89,T89,Mario Tiziani,67,-.078
