,GIR_Percentage_-__75_yards_RANK THIS WEEK,GIR_Percentage_-__75_yards_RANK LAST WEEK,GIR_Percentage_-__75_yards_PLAYER NAME,GIR_Percentage_-__75_yards_ROUNDS,GIR_Percentage_-__75_yards_%,GIR_Percentage_-__75_yards_GREENS HIT,GIR_Percentage_-__75_yards_TOTAL HOLES,GIR_Percentage_-__75_yards_RELATIVE TO PAR
0,1,1,Glen Hnatiuk,59,94.0,94,100,-0.55
1,2,2,Loren Roberts,54,93.48,43,46,-0.72
2,3,3,Steve Elkington,67,93.08,121,130,-0.54
3,4,4,Hidemichi Tanaka,106,92.89,196,211,-0.53
4,5,5,Tommy Armour III,103,92.7,165,178,-0.59
5,6,6,José María Olazábal,55,92.39,85,92,-0.64
6,7,7,Dennis Paulson,63,92.36,145,157,-0.58
7,8,8,Stephen Ames,82,92.31,108,117,-0.64
8,T9,T9,Heath Slocum,103,92.06,174,189,-0.54
9,T9,T9,Bob Tway,87,92.06,116,126,-0.56
10,11,11,David Toms,87,91.78,134,146,-0.67
11,12,12,Joe Durant,81,91.67,154,168,-0.51
12,13,13,Sergio Garcia,73,91.62,153,167,-0.58
13,14,14,Jay Williamson,53,91.58,87,95,-0.59
14,15,15,Ian Poulter,62,91.04,61,67,-0.61
15,16,16,Robert Damron,89,91.03,142,156,-0.52
16,17,17,Geoff Ogilvy,97,91.02,152,167,-0.62
17,18,18,Nick Watney,91,90.95,201,221,-0.69
18,19,19,Daniel Chopra,108,90.91,230,253,-0.57
19,20,20,Brian Gay,101,90.78,128,141,-0.55
20,21,21,Vaughn Taylor,99,90.71,205,226,-0.6
21,22,22,Dan Forsman,52,90.68,107,118,-0.56
22,23,23,Dudley Hart,84,90.54,134,148,-0.61
23,24,24,Cameron Beckman,96,90.48,171,189,-0.58
24,25,25,Todd Fischer,99,90.43,170,188,-0.54
25,26,26,Lee Janzen,75,90.3,121,134,-0.54
26,27,27,Mark Wilson,74,90.27,102,113,-0.51
27,28,28,Stuart Appleby,84,90.24,148,164,-0.56
28,29,29,Steve Stricker,62,90.18,101,112,-0.67
29,30,30,Ryan Palmer,101,90.13,201,223,-0.6
30,31,31,Jim Furyk,94,90.08,118,131,-0.64
31,32,32,Bob Estes,92,90.06,145,161,-0.57
32,33,33,J.L. Lewis,98,90.05,172,191,-0.58
33,34,34,Hunter Mahan,103,90.04,226,251,-0.6
34,T35,T35,Stephen Leaney,89,90.0,126,140,-0.62
35,T35,T35,Billy Mayfair,114,90.0,234,260,-0.66
36,37,37,Marco Dawson,82,89.89,169,188,-0.59
37,38,38,Vijay Singh,111,89.88,293,326,-0.63
38,39,39,Billy Andrade,83,89.87,142,158,-0.68
39,40,40,Tiger Woods,76,89.85,177,197,-0.7
40,41,41,Tim Clark,92,89.8,132,147,-0.66
41,T42,T42,Jonathan Byrd,103,89.62,233,260,-0.65
42,T42,T42,James Driscoll,73,89.62,164,183,-0.65
43,T42,T42,Tom Lehman,69,89.62,95,106,-0.49
44,T45,T45,Jay Haas,54,89.61,69,77,-0.52
45,T45,T45,Chris Riley,67,89.61,69,77,-0.52
46,T47,T47,Briny Baird,98,89.58,172,192,-0.69
47,T47,T47,Shaun Micheel,81,89.58,129,144,-0.54
48,T49,T49,Justin Leonard,78,89.53,77,86,-0.65
49,T49,T49,Kevin Sutherland,89,89.53,154,172,-0.66
50,51,51,Hideto Tanihara,50,89.47,102,114,-0.48
51,T52,T52,Shigeki Maruyama,99,89.44,161,180,-0.67
52,T52,T52,Dean Wilson,86,89.44,144,161,-0.69
53,54,54,Paul Gow,78,89.41,152,170,-0.49
54,55,55,Steve Lowery,100,89.36,210,235,-0.6
55,56,56,Luke Donald,67,89.23,58,65,-0.53
56,T57,T57,Brett Quigley,96,89.22,182,204,-0.6
57,T57,T57,Roland Thatcher,75,89.22,182,204,-0.49
58,T59,T59,Matt Davidson,53,89.19,99,111,-0.59
59,T59,T59,Duffy Waldorf,86,89.19,132,148,-0.67
60,61,61,Tom Gillis,77,89.16,148,166,-0.51
61,62,62,Brian Davis,75,89.09,147,165,-0.65
62,63,63,Arjun Atwal,65,89.02,146,164,-0.62
63,64,64,Lee Westwood,50,89.01,81,91,-0.56
64,65,65,Woody Austin,100,88.94,201,226,-0.67
65,66,66,Brad Faxon,75,88.89,96,108,-0.54
66,67,67,Aaron Baddeley,84,88.83,159,179,-0.69
67,68,68,Fred Funk,102,88.75,142,160,-0.53
68,69,69,Tjaart van der Walt,56,88.72,118,133,-0.51
69,70,70,Arron Oberholser,65,88.7,102,115,-0.57
