,Going_for_the_Green_-_Birdie_or_Better_RANK THIS WEEK,Going_for_the_Green_-_Birdie_or_Better_RANK LAST WEEK,Going_for_the_Green_-_Birdie_or_Better_PLAYER NAME,Going_for_the_Green_-_Birdie_or_Better_ROUNDS,Going_for_the_Green_-_Birdie_or_Better_%,Going_for_the_Green_-_Birdie_or_Better_# OF BIRDIE OR BETTER,Going_for_the_Green_-_Birdie_or_Better_ATTEMPTS,Going_for_the_Green_-_Birdie_or_Better_RTP-SUCCESSES,Going_for_the_Green_-_Birdie_or_Better_RTP-NOT GOING FOR THE GRN
0,1,1,Loren Roberts,54,76.67,23,30,-23,-25.00
1,2,2,Ben Crane,78,68.93,71,103,-79,-3.00
2,3,3,Retief Goosen,71,68.37,67,98,-72,-3.00
3,4,4,Charles Howell III,95,67.09,106,158,-114,-10.00
4,5,5,David Toms,87,66.67,72,108,-80,-18.00
5,6,6,Briny Baird,98,65.82,104,158,-110,-17.00
6,7,7,Brenden Pappas,51,65.81,77,117,-88,+14.00
7,8,8,Dean Wilson,86,65.67,88,134,-92,-17.00
8,9,9,Tim Clark,92,65.45,72,110,-78,-19.00
9,10,10,Jason Bohn,91,64.56,102,158,-113,-3.00
10,11,11,Shigeki Maruyama,99,63.7,86,135,-92,-27.00
11,12,12,Nick Watney,91,62.81,125,199,-132,E
12,13,13,Tiger Woods,76,62.8,103,164,-113,-1.00
13,T14,T14,Stephen Ames,82,62.75,64,102,-67,E
14,T14,T14,Stephen Leaney,89,62.75,64,102,-67,-32.00
15,16,16,Omar Uresti,84,62.61,72,115,-75,-35.00
16,17,17,Billy Andrade,83,62.5,85,136,-88,-23.00
17,18,18,Phil Mickelson,81,62.41,83,133,-85,-4.00
18,19,19,Steve Stricker,62,62.35,53,85,-55,-25.00
19,20,20,Kevin Sutherland,89,62.24,89,143,-92,+2.00
20,21,21,Duffy Waldorf,86,62.02,80,129,-84,-1.00
21,22,22,Brandt Jobe,96,61.88,112,181,-118,+16.00
22,23,23,Adam Scott,72,61.39,62,101,-66,-22.00
23,24,24,Davis Love III,80,61.34,73,119,-81,+4.00
24,25,25,D.J. Trahan,81,61.14,107,175,-121,+1.00
25,26,26,Bo Van Pelt,112,61.08,124,203,-130,-15.00
26,27,27,K.J. Choi,78,60.92,53,87,-57,-9.00
27,28,28,Geoff Ogilvy,97,60.9,81,133,-84,-18.00
28,29,29,Phillip Price,77,60.78,62,102,-66,-23.00
29,30,30,Sergio Garcia,73,60.77,79,130,-82,-5.00
30,31,31,Brett Quigley,96,60.71,102,168,-103,-19.00
31,32,32,Woody Austin,100,60.64,114,188,-122,-20.00
32,33,33,James Driscoll,73,60.26,94,156,-102,-2.00
33,34,34,Rod Pampling,89,60.13,95,158,-98,+5.00
34,T35,T35,Greg Owen,84,60.0,99,165,-102,+3.00
35,T35,T35,John Rollins,97,60.0,117,195,-128,-4.00
36,37,37,Vijay Singh,111,59.84,149,249,-158,-3.00
37,38,38,Marco Dawson,82,59.59,87,146,-90,-16.00
38,39,39,Tim Petrovic,97,59.48,91,153,-97,+5.00
39,40,40,Michael Allen,90,59.4,79,133,-85,+4.00
40,41,41,Zach Johnson,96,59.35,92,155,-93,-18.00
41,42,42,Cameron Beckman,96,59.33,89,150,-93,E
42,T43,T43,Matt Davidson,53,59.09,52,88,-55,-2.00
43,T43,T43,Carl Pettersson,109,59.09,104,176,-108,-23.00
44,45,45,Frank Lickliter II,100,59.0,118,200,-123,-20.00
45,46,46,José María Olazábal,55,58.97,46,78,-47,-10.00
46,47,47,Jeff Sluman,94,58.96,79,134,-84,-24.00
47,48,48,Gavin Coles,70,58.73,37,63,-40,-21.00
48,T49,T49,J.P. Hayes,63,58.67,44,75,-48,-28.00
49,T49,T49,Justin Leonard,78,58.67,44,75,-46,-12.00
50,51,51,Bob Heintz,67,58.65,61,104,-67,-13.00
51,52,52,Mark Calcavecchia,92,58.39,94,161,-99,-9.00
52,53,53,Tommy Armour III,103,58.33,84,144,-90,-19.00
53,T54,T54,Padraig Harrington,50,58.23,46,79,-51,-5.00
54,T54,T54,Mike Weir,71,58.23,46,79,-47,-12.00
55,56,56,Brian Davis,75,58.14,75,129,-85,-15.00
56,57,57,Brendan Jones,81,58.13,93,160,-99,-12.00
57,T58,T58,Aaron Baddeley,84,58.02,94,162,-104,+3.00
58,T58,T58,Tag Ridings,93,58.02,123,212,-129,+1.00
59,60,60,Vaughn Taylor,99,57.98,109,188,-115,-16.00
60,61,61,Harrison Frazar,105,57.94,135,233,-147,E
61,62,62,Luke Donald,67,57.78,26,45,-26,-19.00
62,63,63,Kirk Triplett,55,57.69,30,52,-30,-11.00
63,64,64,Dudley Hart,84,57.36,74,129,-80,-12.00
64,65,65,Jonathan Byrd,103,57.21,127,222,-137,-3.00
65,T66,T66,Robert Gamez,91,57.14,76,133,-79,-20.00
66,T66,T66,Ted Purdy,122,57.14,120,210,-124,-4.00
67,68,68,Billy Mayfair,114,57.08,125,219,-139,-21.00
68,69,69,D.J. Brigman,76,57.02,65,114,-66,-12.00
69,70,70,Todd Hamilton,94,56.91,70,123,-74,-9.00
70,71,71,Scott Verplank,87,56.9,66,116,-68,-23.00
71,72,72,Olin Browne,99,56.84,54,95,-55,-36.00
72,73,73,Chad Campbell,95,56.72,76,134,-79,-14.00
73,T74,T74,Arjun Atwal,65,56.52,78,138,-85,-9.00
74,T74,T74,Darron Stiles,78,56.52,65,115,-66,-32.00
75,76,76,Jim Furyk,94,56.36,62,110,-68,-36.00
76,77,77,Justin Rose,99,56.35,111,197,-116,E
77,78,78,Kevin Stadler,96,56.31,125,222,-139,+11.00
78,T79,T79,Justin Bolli,65,56.25,63,112,-63,-8.00
79,T79,T79,Kent Jones,99,56.25,81,144,-83,-11.00
80,81,81,Brian Gay,101,56.07,60,107,-61,-37.00
81,82,82,Mark Hensby,70,56.03,65,116,-72,+5.00
