,Average_Approach_Distance_-_Bogey_or_Worse_RANK THIS WEEK,Average_Approach_Distance_-_Bogey_or_Worse_RANK LAST WEEK,Average_Approach_Distance_-_Bogey_or_Worse_PLAYER NAME,Average_Approach_Distance_-_Bogey_or_Worse_ROUNDS,Average_Approach_Distance_-_Bogey_or_Worse_AVG (YARDS),Average_Approach_Distance_-_Bogey_or_Worse_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Bogey_or_Worse_NUMBER OF APPROACH SHOTS
0,1,1,Brenden Pappas,51,145.8,829428.0,158
1,2,2,José María Olazábal,55,146.1,520633.0,99
2,3,3,Tag Ridings,93,148.7,1418302.0,265
3,4,4,John Elliott,58,149.1,1110838.0,207
4,5,5,Lee Westwood,50,149.3,602152.0,112
5,6,6,Bill Glasson,54,149.9,734108.0,136
6,7,7,Freddie Jacobson,72,150.4,968908.0,179
7,8,8,K.J. Choi,78,151.6,872980.0,160
8,9,9,Michael Allen,90,151.9,1279417.0,234
9,T10,T10,Daniel Chopra,108,152.3,1442393.0,263
10,T10,T10,Brendan Jones,81,152.3,1184189.0,216
11,12,12,Steve Flesch,90,152.5,1196630.0,218
12,13,13,Brent Geiberger,61,152.8,891193.0,162
13,14,14,Rory Sabbatini,81,152.9,1023999.0,186
14,15,15,John Daly,78,153.0,1117965.0,203
15,16,16,Mathias Grönberg,60,153.1,881618.0,160
16,17,17,Ian Poulter,62,153.2,744743.0,135
17,18,18,Stuart Appleby,84,153.5,933638.0,169
18,19,19,Glen Day,80,153.9,1290685.0,233
19,20,20,Charles Warren,89,154.0,1491481.0,269
20,T21,T21,Franklin Langham,91,154.1,1398217.0,252
21,T21,T21,Kenny Perry,82,154.1,876404.0,158
22,T21,T21,Phillip Price,77,154.1,931709.0,168
23,T21,T21,Brett Quigley,96,154.1,1304018.0,235
24,25,25,Harrison Frazar,105,154.3,1505442.0,271
25,26,26,Todd Fischer,99,154.4,1595345.0,287
26,T27,T27,Matt Davidson,53,154.5,1040340.0,187
27,T27,T27,Lucas Glover,88,154.5,1251265.0,225
28,T27,T27,Charlie Wi,67,154.5,1090231.0,196
29,T30,T30,Jonathan Byrd,103,154.6,1602709.0,288
30,T30,T30,Dudley Hart,84,154.6,1046405.0,188
