,GIR_Percentage_-__125_yards_RANK THIS WEEK,GIR_Percentage_-__125_yards_RANK LAST WEEK,GIR_Percentage_-__125_yards_PLAYER NAME,GIR_Percentage_-__125_yards_ROUNDS,GIR_Percentage_-__125_yards_%,GIR_Percentage_-__125_yards_GREENS HIT,GIR_Percentage_-__125_yards_TOTAL HOLES,GIR_Percentage_-__125_yards_RELATIVE TO PAR
0,1,1,Tom Lehman,69,87.85,217,247,-0.36
1,2,2,David Toms,87,86.4,305,353,-0.43
2,3,3,Joe Durant,81,86.11,341,396,-0.37
3,4,4,Luke Donald,67,86.03,154,179,-0.42
4,5,5,Paul Claxton,79,85.63,298,348,-0.36
5,6,6,Glen Hnatiuk,59,85.61,232,271,-0.4
6,7,7,Dan Forsman,52,85.31,244,286,-0.43
7,8,8,Heath Slocum,103,85.04,432,508,-0.38
8,9,9,Stuart Appleby,84,84.48,332,393,-0.41
9,T10,T10,Steve Elkington,67,84.47,261,309,-0.4
10,T10,T10,Charles Howell III,95,84.47,370,438,-0.49
11,12,12,Brian Davis,75,84.45,315,373,-0.46
12,13,13,Tommy Armour III,103,84.43,423,501,-0.37
13,14,14,Robert Allenby,95,84.35,361,428,-0.42
14,15,15,Olin Browne,99,84.34,377,447,-0.37
15,16,16,Scott Verplank,87,84.24,278,330,-0.47
16,17,17,Hidemichi Tanaka,106,84.08,449,534,-0.37
17,18,18,Stephen Leaney,89,84.03,321,382,-0.43
18,19,19,Craig Barlow,81,83.99,341,406,-0.37
19,20,20,Loren Roberts,54,83.98,173,206,-0.38
20,21,21,Chad Campbell,95,83.87,338,403,-0.44
21,22,22,Tjaart van der Walt,56,83.69,272,325,-0.36
22,23,23,Chris DiMarco,83,83.64,271,324,-0.43
23,24,24,Carl Pettersson,109,83.59,433,518,-0.42
24,25,25,John Cook,72,83.57,239,286,-0.37
25,T26,T26,Tim Clark,92,83.51,314,376,-0.44
26,T26,T26,Skip Kendall,80,83.51,309,370,-0.36
27,28,28,Vijay Singh,111,83.49,521,624,-0.48
28,29,29,Vaughn Taylor,99,83.39,462,554,-0.45
29,T30,T30,Jim Furyk,94,83.38,296,355,-0.43
30,T30,T30,Dudley Hart,84,83.38,306,367,-0.42
31,32,32,J.L. Lewis,98,83.37,396,475,-0.39
32,33,33,Billy Mayfair,114,83.33,430,516,-0.5
33,34,34,Tim Petrovic,97,83.18,356,428,-0.42
34,35,35,Sergio Garcia,73,83.09,290,349,-0.42
35,36,36,Corey Pavin,77,83.01,215,259,-0.41
36,37,37,Mike Weir,71,82.97,229,276,-0.38
37,38,38,Richard Johnson,50,82.95,219,264,-0.41
38,39,39,Mark Wilson,74,82.91,262,316,-0.39
39,T40,T40,Scott Gutschewski,86,82.88,397,479,-0.45
40,T40,T40,Frank Lickliter II,100,82.88,431,520,-0.46
41,42,42,Adam Scott,72,82.82,241,291,-0.44
42,43,43,Arjun Atwal,65,82.73,297,359,-0.48
43,44,44,Tiger Woods,76,82.68,315,381,-0.56
44,45,45,Bob Tway,87,82.62,290,351,-0.41
45,46,46,Joey Snyder III,102,82.56,407,493,-0.43
46,T47,T47,Briny Baird,98,82.52,406,492,-0.45
47,T47,T47,Tom Gillis,77,82.52,321,389,-0.38
48,49,49,Ryuji Imada,78,82.51,302,366,-0.44
49,50,50,Chris Smith,93,82.49,457,554,-0.4
50,51,51,Brett Quigley,96,82.46,395,479,-0.47
51,52,52,Tom Byrum,83,82.44,291,353,-0.37
52,53,53,Michael Long,72,82.4,323,392,-0.37
53,54,54,Peter Lonard,85,82.32,298,362,-0.38
54,55,55,Woody Austin,100,82.28,441,536,-0.45
55,T56,T56,Jonathan Byrd,103,82.21,453,551,-0.47
56,T56,T56,Jim Carter,62,82.21,208,253,-0.25
57,T56,T56,Geoff Ogilvy,97,82.21,365,444,-0.43
58,59,59,Andrew Magee,82,82.11,335,408,-0.43
59,60,60,Marco Dawson,82,82.02,397,484,-0.42
60,61,61,Justin Leonard,78,82.01,228,278,-0.43
61,62,62,Arron Oberholser,65,81.97,241,294,-0.39
62,63,63,Bernhard Langer,67,81.9,181,221,-0.42
63,T64,T64,Jay Haas,54,81.87,158,193,-0.39
64,T64,T64,J.J. Henry,102,81.87,402,491,-0.42
65,66,66,Will MacKenzie,75,81.86,343,419,-0.43
66,T67,T67,Matt Gogel,78,81.82,297,363,-0.35
67,T67,T67,Padraig Harrington,50,81.82,189,231,-0.49
68,69,69,K.J. Choi,78,81.79,238,291,-0.43
69,T70,T70,Doug Barron,70,81.77,314,384,-0.42
70,T70,T70,Jeff Brehaut,71,81.77,305,373,-0.47
71,T72,T72,Zach Johnson,96,81.75,412,504,-0.47
72,T72,T72,Dean Wilson,86,81.75,327,400,-0.48
73,74,74,John Huston,90,81.68,388,475,-0.44
74,75,75,Steve Lowery,100,81.67,410,502,-0.44
75,76,76,Ian Poulter,62,81.66,138,169,-0.42
76,77,77,Fred Funk,102,81.6,337,413,-0.4
77,78,78,Hunter Mahan,103,81.58,474,581,-0.42
78,79,79,Lee Janzen,75,81.56,261,320,-0.41
79,80,80,Jonathan Kaye,77,81.55,327,401,-0.41
80,81,81,Bart Bryant,91,81.53,331,406,-0.47
81,82,82,John Senden,101,81.44,430,528,-0.44
82,83,83,Fred Couples,72,81.43,228,280,-0.43
83,84,84,Ryan Palmer,101,81.36,406,499,-0.46
