,Right_Rough_Proximity_RANK THIS WEEK,Right_Rough_Proximity_RANK LAST WEEK,Right_Rough_Proximity_PLAYER NAME,Right_Rough_Proximity_ROUNDS,Right_Rough_Proximity_AVG,Right_Rough_Proximity_ATTEMPTS,Right_Rough_Proximity_TOTAL DISTANCE (FEET),Right_Rough_Proximity_RELATIVE TO PAR
0,1,1,Jeff Hart,63,"35' 6""",62,2203.25,+7.00
1,2,2,Olin Browne,99,"35' 9""",93,3322.167,+9.00
2,3,3,Mario Tiziani,67,"36' 10""",119,4383.0,E
3,4,4,Todd Hamilton,94,"37' 9""",149,5621.25,+31.00
4,5,5,Bill Glasson,54,"38' 5""",74,2842.333,+13.00
5,6,6,Hidemichi Tanaka,106,"38' 8""",119,4604.167,+2.00
6,T7,T7,Daniel Chopra,108,"39' 2""",197,7723.8330000000005,+4.00
7,T7,T7,Billy Mayfair,114,"39' 2""",164,6417.5,+10.00
8,T7,T7,Kenny Perry,82,"39' 2""",88,3448.5,+7.00
9,10,10,Brenden Pappas,51,"39' 4""",92,3622.333,+7.00
10,T11,T11,Tim Clark,92,"39' 5""",98,3861.333,+9.00
11,T11,T11,Glen Hnatiuk,59,"39' 5""",102,4021.25,+18.00
12,T13,T13,Tommy Armour III,103,"39' 6""",148,5841.5,+23.00
13,T13,T13,Mark Wilson,74,"39' 6""",93,3674.75,+9.00
14,15,15,Ted Purdy,122,"39' 7""",160,6333.1669999999995,+13.00
15,16,16,Bo Van Pelt,112,"40' 0""",179,7158.6669999999995,+9.00
16,T17,T17,Glen Day,80,"40' 1""",119,4770.833,+14.00
17,T17,T17,Shigeki Maruyama,99,"40' 1""",159,6379.0,+17.00
18,19,19,Freddie Jacobson,72,"40' 2""",114,4578.667,+12.00
19,T20,T20,Doug Barron,70,"40' 3""",100,4023.583,+6.00
20,T20,T20,David Hearn,68,"40' 3""",103,4148.333,+16.00
21,T22,T22,Luke Donald,67,"40' 4""",63,2542.833,+5.00
22,T22,T22,Scott Gutschewski,86,"40' 4""",145,5850.8330000000005,+13.00
23,24,24,Brett Wetterich,76,"40' 5""",145,5860.3330000000005,+6.00
24,T25,T25,Craig Perks,67,"40' 6""",110,4456.5,+24.00
25,T25,T25,Justin Rose,99,"40' 6""",154,6236.5830000000005,-4.00
26,T27,T27,Sergio Garcia,73,"40' 9""",99,4030.917,+3.00
27,T27,T27,Ryan Palmer,101,"40' 9""",140,5709.4169999999995,+17.00
28,T29,T29,Joe Ogilvie,103,"40' 10""",152,6208.5,+25.00
29,T29,T29,Adam Scott,72,"40' 10""",118,4815.667,+9.00
30,T29,T29,Roland Thatcher,75,"40' 10""",107,4365.583,+17.00
31,T32,T32,Michael Allen,90,"40' 11""",172,7037.8330000000005,+16.00
32,T32,T32,José Coceres,56,"40' 11""",92,3764.583,+15.00
33,T32,T32,Davis Love III,80,"40' 11""",114,4661.833,+11.00
34,T32,T32,Arron Oberholser,65,"40' 11""",83,3395.5,+11.00
35,T36,T36,Scott Hend,75,"41' 0""",172,7051.5,+32.00
36,T36,T36,Frank Lickliter II,100,"41' 0""",157,6434.0,+21.00
37,T36,T36,Geoff Ogilvy,97,"41' 0""",162,6643.75,-3.00
38,T36,T36,Tag Ridings,93,"41' 0""",158,6482.6669999999995,+7.00
39,40,40,Tjaart van der Walt,56,"41' 1""",119,4884.667,+19.00
40,T41,T41,Brendan Jones,81,"41' 2""",154,6333.4169999999995,+33.00
41,T41,T41,Hunter Mahan,103,"41' 2""",165,6790.4169999999995,+20.00
42,T41,T41,Tiger Woods,76,"41' 2""",151,6216.75,-5.00
43,T44,T44,Dan Forsman,52,"41' 4""",74,3055.583,-1.00
44,T44,T44,Charles Warren,89,"41' 4""",158,6524.8330000000005,+27.00
45,T46,T46,Jay Haas,54,"41' 5""",66,2735.583,+6.00
46,T46,T46,Darron Stiles,78,"41' 5""",119,4928.25,+16.00
47,T48,T48,Mark Calcavecchia,92,"41' 6""",130,5399.9169999999995,+16.00
48,T48,T48,Ben Curtis,65,"41' 6""",79,3278.833,+17.00
49,T50,T50,Phil Mickelson,81,"41' 8""",91,3790.5,-3.00
50,T50,T50,Jay Williamson,53,"41' 8""",73,3042.583,+13.00
51,52,52,Briny Baird,98,"41' 10""",138,5767.4169999999995,+7.00
52,T53,T53,Chad Campbell,95,"42' 0""",127,5335.9169999999995,+14.00
53,T53,T53,K.J. Choi,78,"42' 0""",94,3950.417,+15.00
54,T55,T55,Paul Azinger,66,"42' 1""",114,4801.167,+15.00
55,T55,T55,Rory Sabbatini,81,"42' 1""",123,5177.083,+20.00
56,57,57,Franklin Langham,91,"42' 3""",129,5450.9169999999995,+12.00
57,T58,T58,Woody Austin,100,"42' 4""",179,7579.5830000000005,+25.00
58,T58,T58,Bart Bryant,91,"42' 4""",113,4788.0,+22.00
59,T58,T58,Joey Snyder III,102,"42' 4""",146,6175.8330000000005,E
60,61,61,John Daly,78,"42' 5""",118,5009.667,+35.00
