,Approaches_from_inside_100_yards_RANK THIS WEEK,Approaches_from_inside_100_yards_RANK LAST WEEK,Approaches_from_inside_100_yards_PLAYER NAME,Approaches_from_inside_100_yards_ROUNDS,Approaches_from_inside_100_yards_AVG,Approaches_from_inside_100_yards_TOTAL DISTANCE (FEET),Approaches_from_inside_100_yards_# OF ATTEMPTS,Approaches_from_inside_100_yards_RELATIVE TO PAR
0,1,1,Steve Stricker,62,"13' 0""",1155.417,89,-0.26
1,2,2,Scott Verplank,87,"13' 8""",1259.333,92,-0.23
2,3,3,Jeff Brehaut,71,"13' 11""",1140.167,82,-0.29
3,4,4,Brian Davis,75,"14' 1""",1466.0829999999999,104,-0.19
4,5,5,Adam Scott,72,"14' 3""",984.3330000000001,69,-0.30
5,6,6,Stuart Appleby,84,"14' 4""",1494.75,104,-0.13
6,T7,T7,Jonathan Byrd,103,"14' 6""",1962.1670000000001,135,-0.11
7,T7,T7,Shigeki Maruyama,99,"14' 6""",1904.25,131,-0.13
8,T9,T9,Jim Furyk,94,"14' 7""",1357.25,93,-0.18
9,T9,T9,Padraig Harrington,50,"14' 7""",773.4169999999999,53,-0.11
10,T9,T9,Lee Janzen,75,"14' 7""",1076.917,74,-0.14
11,12,12,James Driscoll,73,"14' 10""",932.9169999999999,63,-0.03
12,T13,T13,Mark Brooks,72,"15' 1""",1584.3329999999999,105,-0.15
13,T13,T13,Bob Estes,92,"15' 1""",1657.4170000000001,110,-0.10
14,T13,T13,Tjaart van der Walt,56,"15' 1""",1130.25,75,-0.16
15,T16,T16,Will MacKenzie,75,"15' 3""",1680.5,110,-0.27
16,T16,T16,Craig Perks,67,"15' 3""",1037.667,68,-0.07
17,T18,T18,Fred Couples,72,"15' 4""",1073.75,70,-0.07
18,T18,T18,Hunter Haas,83,"15' 4""",1406.9170000000001,92,-0.05
19,20,20,Dan Forsman,52,"15' 5""",1199.583,78,-0.23
20,T21,T21,Tim Clark,92,"15' 6""",1718.0829999999999,111,-0.05
21,T21,T21,Chris DiMarco,83,"15' 6""",1532.25,99,-0.16
22,T21,T21,John Huston,90,"15' 6""",1659.3329999999999,107,-0.12
23,T21,T21,Vaughn Taylor,99,"15' 6""",2351.667,152,-0.18
24,T21,T21,David Toms,87,"15' 6""",1608.9170000000001,104,-0.10
25,T26,T26,Mark Calcavecchia,92,"15' 7""",1561.6670000000001,100,-0.14
26,T26,T26,J.P. Hayes,63,"15' 7""",1525.3329999999999,98,-0.22
27,T26,T26,Charles Howell III,95,"15' 7""",1310.8329999999999,84,-0.11
28,T26,T26,Tom Lehman,69,"15' 7""",1169.25,75,-0.13
29,30,30,Brett Wetterich,76,"15' 8""",1440.25,92,-0.11
30,T31,T31,Steve Elkington,67,"15' 9""",1182.667,75,-0.20
31,T31,T31,Peter Lonard,85,"15' 9""",1306.583,83,-0.20
32,T31,T31,Geoff Ogilvy,97,"15' 9""",1653.9170000000001,105,-0.10
33,T31,T31,Tim Petrovic,97,"15' 9""",1494.5,95,-0.12
34,T31,T31,Brett Quigley,96,"15' 9""",1954.75,124,-0.09
35,T31,T31,Charlie Wi,67,"15' 9""",1373.1670000000001,87,-0.02
36,37,37,Justin Leonard,78,"15' 10""",1219.25,77,-0.08
37,T38,T38,Joey Sindelar,104,"15' 11""",2583.0,162,-0.14
38,T38,T38,Heath Slocum,103,"15' 11""",2592.667,163,-0.13
39,40,40,Ryuji Imada,78,"16' 0""",1491.6670000000001,93,-0.13
40,T41,T41,Justin Rose,99,"16' 1""",1706.0,106,-0.08
41,T41,T41,Mark Wilson,74,"16' 1""",1690.3329999999999,105,-0.19
42,43,43,Retief Goosen,71,"16' 2""",872.25,54,+0.06
43,T44,T44,Alex Cejka,84,"16' 3""",1885.25,116,-0.14
44,T44,T44,Todd Fischer,99,"16' 3""",2432.25,150,-0.06
45,T44,T44,Fred Funk,102,"16' 3""",2416.917,149,-0.13
46,47,47,Brian Gay,101,"16' 4""",2745.25,168,-0.05
47,T48,T48,Bob Heintz,67,"16' 5""",1446.75,88,-0.10
48,T48,T48,Ian Poulter,62,"16' 5""",688.5,42,+0.10
49,T48,T48,John Rollins,97,"16' 5""",2001.3329999999999,122,-0.27
50,T51,T51,Chris Anderson,66,"16' 6""",1466.1670000000001,89,-0.12
51,T51,T51,Rocco Mediate,73,"16' 6""",1652.0829999999999,100,-0.11
52,T51,T51,John Senden,101,"16' 6""",1930.5,117,-0.18
53,T54,T54,John Daly,78,"16' 7""",1458.1670000000001,88,-0.14
54,T54,T54,Sergio Garcia,73,"16' 7""",1191.583,72,-0.21
55,T54,T54,Zach Johnson,96,"16' 7""",2289.5,138,-0.10
56,T54,T54,Brendan Jones,81,"16' 7""",1887.3329999999999,114,E
57,T54,T54,Billy Mayfair,114,"16' 7""",2101.833,127,-0.05
58,T59,T59,Stewart Cink,98,"16' 8""",1553.75,93,-0.16
59,T59,T59,Hunter Mahan,103,"16' 8""",2317.25,139,-0.17
60,T59,T59,Rod Pampling,89,"16' 8""",1749.5829999999999,105,-0.11
61,T62,T62,Jonathan Kaye,77,"16' 9""",1744.6670000000001,104,-0.16
62,T62,T62,Rob Rashell,65,"16' 9""",1320.0829999999999,79,-0.09
63,T62,T62,Tiger Woods,76,"16' 9""",1206.5,72,-0.26
64,T65,T65,Brian Bateman,98,"16' 10""",1714.9170000000001,102,-0.02
65,T65,T65,Andrew Magee,82,"16' 10""",1666.5829999999999,99,-0.06
66,T65,T65,Tom Pernice Jr.,111,"16' 10""",1764.0,105,-0.09
67,T65,T65,Mike Weir,71,"16' 10""",1280.0,76,-0.01
68,T69,T69,Neal Lancaster,95,"16' 11""",2068.167,122,-0.18
69,T69,T69,Scott McCarron,78,"16' 11""",1135.5,67,-0.07
70,T69,T69,Brenden Pappas,51,"16' 11""",1029.417,61,-0.07
71,T69,T69,Kirk Triplett,55,"16' 11""",1317.3329999999999,78,-0.17
72,T69,T69,Charles Warren,89,"16' 11""",1744.0,103,-0.11
73,T74,T74,Doug Barron,70,"17' 0""",1822.9170000000001,107,-0.26
74,T74,T74,Jim Carter,62,"17' 0""",1171.167,69,+0.03
75,T74,T74,Robert Gamez,91,"17' 0""",2052.167,121,-0.04
76,T74,T74,J.J. Henry,102,"17' 0""",1737.8329999999999,102,-0.06
77,T74,T74,Brandt Jobe,96,"17' 0""",1444.1670000000001,85,-0.01
78,T74,T74,Loren Roberts,54,"17' 0""",1599.25,94,-0.04
79,T80,T80,Todd Hamilton,94,"17' 1""",1981.1670000000001,116,-0.04
80,T80,T80,Steve Jones,56,"17' 1""",1078.833,63,+0.03
81,T80,T80,Frank Lickliter II,100,"17' 1""",2220.75,130,-0.02
82,T83,T83,Stephen Ames,82,"17' 2""",1444.3329999999999,84,E
83,T83,T83,Rich Beem,66,"17' 2""",1013.5,59,-0.22
84,T83,T83,Paul Claxton,79,"17' 2""",1802.8329999999999,105,-0.10
85,T83,T83,Luke Donald,67,"17' 2""",961.1669999999999,56,-0.13
86,T83,T83,Carlos Franco,78,"17' 2""",1289.167,75,-0.08
87,T83,T83,Kent Jones,99,"17' 2""",2056.5,120,-0.08
88,T83,T83,Phil Mickelson,81,"17' 2""",1236.833,72,-0.10
89,T83,T83,Arron Oberholser,65,"17' 2""",1221.417,71,-0.14
90,T83,T83,Vijay Singh,111,"17' 2""",2244.25,131,-0.18
91,T92,T92,Woody Austin,100,"17' 3""",2187.25,127,-0.12
92,T92,T92,Craig Barlow,81,"17' 3""",1934.3329999999999,112,+0.02
93,T92,T92,Jeff Hart,63,"17' 3""",2017.3329999999999,117,-0.11
94,T92,T92,Phillip Price,77,"17' 3""",1932.25,112,-0.14
95,T92,T92,Dean Wilson,86,"17' 3""",1464.9170000000001,85,E
96,T97,T97,Justin Bolli,65,"17' 4""",1423.5,82,-0.16
97,T97,T97,Brent Geiberger,61,"17' 4""",1650.5,95,-0.06
98,T97,T97,Paul Gow,78,"17' 4""",1556.8329999999999,90,+0.01
99,T97,T97,David Hearn,68,"17' 4""",1509.6670000000001,87,-0.08
100,T101,T101,Jason Bohn,91,"17' 5""",1728.0,99,-0.08
101,T101,T101,Skip Kendall,80,"17' 5""",2423.5,139,-0.07
102,T101,T101,J.L. Lewis,98,"17' 5""",2470.75,142,-0.01
103,T104,T104,Paul Azinger,66,"17' 6""",1543.5,88,-0.09
104,T104,T104,Bart Bryant,91,"17' 6""",1887.25,108,-0.22
105,T104,T104,Glen Hnatiuk,59,"17' 6""",1258.667,72,-0.10
106,T104,T104,Joe Ogilvie,103,"17' 6""",2454.333,140,-0.19
107,T104,T104,Darron Stiles,78,"17' 6""",2418.75,138,-0.13
