,Approach_50-75_yards_RTP_Score_RANK THIS WEEK,Approach_50-75_yards_RTP_Score_RANK LAST WEEK,Approach_50-75_yards_RTP_Score_PLAYER NAME,Approach_50-75_yards_RTP_Score_ROUNDS,Approach_50-75_yards_RTP_Score_AVG RTP
0,1,1,Richard Johnson,50,-.417
1,2,2,Tiger Woods,76,-.375
2,3,3,Adam Scott,72,-.368
3,4,4,Woody Austin,100,-.357
4,5,5,John Cook,72,-.333
5,T6,T6,D.A. Points,94,-.320
6,T6,T6,Jeff Sluman,94,-.320
7,8,8,Dan Forsman,52,-.316
8,T9,T9,Bill Glasson,54,-.308
9,T9,T9,Frank Lickliter II,100,-.308
10,T9,T9,Chris Riley,67,-.308
11,T12,T12,Fred Couples,72,-.294
12,T12,T12,Peter Lonard,85,-.294
13,T14,T14,Tommy Armour III,103,-.286
14,T14,T14,Steve Elkington,67,-.286
15,T16,T16,Glen Hnatiuk,59,-.278
16,T16,T16,John Rollins,97,-.278
17,18,18,Carl Pettersson,109,-.267
18,19,19,Jeff Hart,63,-.259
19,20,20,Fred Funk,102,-.254
20,T21,T21,Joe Durant,81,-.250
21,T21,T21,Lee Janzen,75,-.250
22,T21,T21,Vijay Singh,111,-.250
23,24,24,Will MacKenzie,75,-.233
24,25,25,Davis Love III,80,-.231
25,26,26,Tom Gillis,77,-.227
26,27,27,Brad Faxon,75,-.222
27,28,28,Scott Gutschewski,86,-.217
28,29,29,Brian Davis,75,-.214
29,T30,T30,Justin Bolli,65,-.211
30,T30,T30,Jeff Brehaut,71,-.211
31,T30,T30,Sergio Garcia,73,-.211
32,T33,T33,Robert Allenby,95,-.208
33,T33,T33,Mark Wilson,74,-.208
34,35,35,Darron Stiles,78,-.205
35,36,36,Stephen Leaney,89,-.200
36,37,37,Ted Purdy,122,-.195
37,38,38,Heath Slocum,103,-.189
38,T39,T39,Jeff Maggert,79,-.188
39,T39,T39,Craig Perks,67,-.188
40,41,41,Tim Herron,100,-.185
41,T42,T42,Shigeki Maruyama,99,-.182
42,T42,T42,Lee Westwood,50,-.182
43,T44,T44,Stewart Cink,98,-.176
44,T44,T44,Loren Roberts,54,-.176
45,46,46,Bart Bryant,91,-.174
46,47,47,Greg Owen,84,-.172
47,48,48,John Senden,101,-.171
48,49,49,Steve Stricker,62,-.167
49,T50,T50,Scott Hend,75,-.161
50,T50,T50,Sean O'Hair,103,-.161
51,52,52,Hank Kuehne,84,-.160
52,53,53,Jason Allred,75,-.158
53,T54,T54,Jay Haas,54,-.154
54,T54,T54,Kevin Sutherland,89,-.154
55,T54,T54,Kirk Triplett,55,-.154
56,T57,T57,Alex Cejka,84,-.152
57,T57,T57,Billy Mayfair,114,-.152
58,T57,T57,Tom Pernice Jr.,111,-.152
59,T60,T60,Jonathan Kaye,77,-.143
60,T60,T60,Jerry Kelly,101,-.143
61,T60,T60,Tom Lehman,69,-.143
62,T60,T60,Nick Watney,91,-.143
63,64,64,Rod Pampling,89,-.138
64,65,65,Chris Smith,93,-.136
65,T66,T66,Billy Andrade,83,-.133
66,T66,T66,Rich Beem,66,-.133
67,T66,T66,J.P. Hayes,63,-.133
68,T69,T69,Arjun Atwal,65,-.118
69,T69,T69,Bob Estes,92,-.118
70,71,71,Jason Bohn,91,-.115
71,T72,T72,Bob Heintz,67,-.111
72,T72,T72,Shaun Micheel,81,-.111
73,T72,T72,Phil Mickelson,81,-.111
74,75,75,Roland Thatcher,75,-.107
75,76,76,Omar Uresti,84,-.103
76,77,77,Mario Tiziani,67,-.095
77,78,78,Joe Ogilvie,103,-.094
78,79,79,Brett Wetterich,76,-.088
79,T80,T80,Paul Azinger,66,-.087
80,T80,T80,Mark O'Meara,66,-.087
81,T80,T80,Pat Perez,89,-.087
82,83,83,D.J. Brigman,76,-.083
83,84,84,Mark Calcavecchia,92,-.080
84,T85,T85,Luke Donald,67,-.077
85,T85,T85,Brian Gay,101,-.077
86,T87,T87,Steve Allan,102,-.074
87,T87,T87,Doug Barron,70,-.074
88,T87,T87,Chad Campbell,95,-.074
89,90,90,J.L. Lewis,98,-.073
90,91,91,Vaughn Taylor,99,-.071
91,92,92,Joey Sindelar,104,-.070
92,93,93,Kevin Stadler,96,-.065
93,94,94,Chris DiMarco,83,-.061
94,T95,T95,Stuart Appleby,84,-.059
95,T95,T95,Steve Jones,56,-.059
96,T95,T95,Matt Kuchar,60,-.059
97,98,98,Todd Hamilton,94,-.057
98,99,99,Jim Furyk,94,-.056
99,100,100,Paul Claxton,79,-.054
100,101,101,Phillip Price,77,-.053
101,102,102,Len Mattiace,86,-.051
102,103,103,Chris Anderson,66,-.050
103,T104,T104,Todd Fischer,99,-.048
104,T104,T104,Larry Mize,54,-.048
105,T104,T104,Rob Rashell,65,-.048
106,107,107,Rocco Mediate,73,-.047
107,T108,T108,Daniel Chopra,108,-.043
108,T108,T108,Carlos Franco,78,-.043
109,110,110,Tag Ridings,93,-.042
110,111,111,Geoff Ogilvy,97,-.040
111,112,112,Brian Bateman,98,-.038
112,T113,T113,Matt Gogel,78,-.037
113,T113,T113,David Toms,87,-.037
114,T115,T115,Cameron Beckman,96,-.036
115,T115,T115,Justin Rose,99,-.036
116,117,117,Mark Brooks,72,-.034
117,118,118,Jonathan Byrd,103,-.029
118,T119,T119,José Coceres,56,E
119,T119,T119,Gavin Coles,70,E
120,T119,T119,Ben Crane,78,E
121,T119,T119,Ben Curtis,65,E
122,T119,T119,Glen Day,80,E
123,T119,T119,Lucas Glover,88,E
124,T119,T119,Mathias Grönberg,60,E
125,T119,T119,Hunter Haas,83,E
126,T119,T119,Kent Jones,99,E
127,T119,T119,Brendan Jones,81,E
128,T119,T119,Bernhard Langer,67,E
129,T119,T119,Kevin Na,88,E
130,T119,T119,José María Olazábal,55,E
131,T119,T119,Tjaart van der Walt,56,E
132,T119,T119,Jay Williamson,53,E
133,134,134,John Daly,78,+.030
134,135,135,Zach Johnson,96,+.031
135,T136,T136,Olin Browne,99,+.037
136,T136,T136,Neal Lancaster,95,+.037
137,138,138,Rory Sabbatini,81,+.038
138,T139,T139,John Huston,90,+.040
139,T139,T139,Andrew Magee,82,+.040
140,T141,T141,Briny Baird,98,+.042
141,T141,T141,Charles Warren,89,+.042
142,143,143,Michael Allen,90,+.043
143,T144,T144,Tom Byrum,83,+.048
144,T144,T144,Brent Geiberger,61,+.048
145,T146,T146,Matt Davidson,53,+.050
146,T146,T146,Brenden Pappas,51,+.050
147,148,148,Mike Weir,71,+.053
148,149,149,David Hearn,68,+.056
149,150,150,Tim Clark,92,+.063
150,151,151,Michael Long,72,+.069
151,152,152,Brett Quigley,96,+.071
152,T153,T153,Steve Flesch,90,+.074
153,T153,T153,Harrison Frazar,105,+.074
154,T153,T153,Patrick Sheehan,114,+.074
155,T153,T153,Hidemichi Tanaka,106,+.074
156,157,157,Ryan Palmer,101,+.077
157,T158,T158,James Driscoll,73,+.083
158,T158,T158,Freddie Jacobson,72,+.083
159,160,160,Marco Dawson,82,+.094
160,161,161,Scott McCarron,78,+.095
161,T162,T162,Padraig Harrington,50,+.100
162,T162,T162,Arron Oberholser,65,+.100
163,T162,T162,Bo Van Pelt,112,+.100
164,165,165,Craig Barlow,81,+.103
165,T166,T166,Stephen Ames,82,+.105
166,T166,T166,Dudley Hart,84,+.105
167,168,168,Tim Petrovic,97,+.107
168,169,169,Charles Howell III,95,+.118
169,170,170,Hunter Mahan,103,+.125
170,T171,T171,K.J. Choi,78,+.143
171,T171,T171,Brandt Jobe,96,+.143
172,T171,T171,Dean Wilson,86,+.143
173,174,174,J.J. Henry,102,+.148
174,175,175,Skip Kendall,80,+.152
175,176,176,Franklin Langham,91,+.161
176,T177,T177,Kenny Perry,82,+.167
177,T177,T177,Hideto Tanihara,50,+.167
178,179,179,Paul Gow,78,+.172
179,T180,T180,Corey Pavin,77,+.176
180,T180,T180,Scott Verplank,87,+.176
181,T180,T180,Duffy Waldorf,86,+.176
182,183,183,Mark Hensby,70,+.182
183,T184,T184,Robert Gamez,91,+.200
184,T184,T184,Dennis Paulson,63,+.200
185,186,186,Robert Damron,89,+.208
186,187,187,Joey Snyder III,102,+.222
187,T188,T188,Jim Carter,62,+.250
188,T188,T188,Justin Leonard,78,+.250
189,T188,T188,Thomas Levet,54,+.250
190,T188,T188,Bob Tway,87,+.250
191,T192,T192,Ryuji Imada,78,+.261
192,T192,T192,Charlie Wi,67,+.261
193,194,194,John Elliott,58,+.267
194,195,195,Jesper Parnevik,84,+.296
195,196,196,Steve Lowery,100,+.304
196,197,197,Ian Poulter,62,+.308
197,198,198,Danny Briggs,70,+.320
198,199,199,Aaron Baddeley,84,+.357
199,200,200,D.J. Trahan,81,+.421
200,201,201,Bradley Hughes,52,+.438
201,202,202,Retief Goosen,71,+.667
