,Average_Approach_Shot_Distance_RANK THIS WEEK,Average_Approach_Shot_Distance_RANK LAST WEEK,Average_Approach_Shot_Distance_PLAYER NAME,Average_Approach_Shot_Distance_ROUNDS,Average_Approach_Shot_Distance_AVG,Average_Approach_Shot_Distance_TOTAL DIST OF APPR SHOT,Average_Approach_Shot_Distance_TOTAL HOLES
0,1,1,Bill Glasson,54,155.4,4402571.0,787
1,2,2,J.P. Hayes,63,156.1,5338307.0,950
2,3,3,Kirk Triplett,55,157.7,4469242.0,787
3,4,4,Bob Heintz,67,157.8,6271965.0,1104
4,T5,T5,Glen Day,80,158.4,7481115.0,1312
5,T5,T5,Jeff Hart,63,158.4,5869159.0,1029
6,T5,T5,Phillip Price,77,158.4,6484951.0,1137
7,8,8,Brendan Jones,81,158.5,7375945.0,1293
8,9,9,Loren Roberts,54,158.6,4926503.0,863
9,10,10,Len Mattiace,86,158.7,7763311.0,1359
10,T11,T11,Marco Dawson,82,159.1,8019159.0,1400
11,T11,T11,Brian Gay,101,159.1,9469867.0,1653
12,T13,T13,Will MacKenzie,75,159.2,6972812.0,1217
13,T13,T13,Mark O'Meara,66,159.2,5279048.0,921
14,T15,T15,Mark Brooks,72,159.3,6417442.0,1119
15,T15,T15,Olin Browne,99,159.3,8554950.0,1492
16,T15,T15,Jonathan Kaye,77,159.3,6589747.0,1149
17,T15,T15,Darron Stiles,78,159.3,7128736.0,1243
18,T19,T19,Michael Allen,90,159.5,7901303.0,1376
19,T19,T19,Stuart Appleby,84,159.5,6481871.0,1129
20,T19,T19,Rory Sabbatini,81,159.5,6179457.0,1076
21,T22,T22,Chris Anderson,66,159.6,5971383.0,1039
22,T22,T22,Fred Couples,72,159.6,4457752.0,776
23,T22,T22,Todd Hamilton,94,159.6,7664982.0,1334
24,25,25,Gavin Coles,70,159.8,6505588.0,1131
25,26,26,Larry Mize,54,160.0,4763421.0,827
26,T27,T27,Freddie Jacobson,72,160.1,5724326.0,993
27,T27,T27,Joe Ogilvie,103,160.1,8066988.0,1400
28,T29,T29,Geoff Ogilvy,97,160.2,7661115.0,1328
29,T29,T29,Mark Wilson,74,160.2,6545220.0,1135
30,31,31,Zach Johnson,96,160.3,8577727.0,1486
31,T32,T32,Dan Forsman,52,160.4,4872080.0,844
32,T32,T32,Franklin Langham,91,160.4,7891655.0,1367
33,T32,T32,Brenden Pappas,51,160.4,5047007.0,874
34,T32,T32,Steve Stricker,62,160.4,6091320.0,1055
35,36,36,Ben Curtis,65,160.5,5107869.0,884
36,T37,T37,Brent Geiberger,61,160.6,5370691.0,929
37,T37,T37,Glen Hnatiuk,59,160.6,5186235.0,897
38,T37,T37,Bob Tway,87,160.6,6832646.0,1182
39,40,40,K.J. Choi,78,160.7,5600941.0,968
40,T41,T41,Tommy Armour III,103,160.8,9469225.0,1636
41,T41,T41,David Hearn,68,160.8,6314402.0,1091
42,T41,T41,Matt Kuchar,60,160.8,5731885.0,990
43,T41,T41,Mike Weir,71,160.8,4885726.0,844
44,T45,T45,Jim Carter,62,160.9,5631328.0,972
45,T45,T45,Rocco Mediate,73,160.9,6749118.0,1165
46,47,47,Kenny Perry,82,161.0,6236584.0,1076
47,T48,T48,Justin Bolli,65,161.1,6131843.0,1057
48,T48,T48,Heath Slocum,103,161.1,9379517.0,1617
49,T48,T48,David Toms,87,161.1,6581445.0,1135
50,T48,T48,Jay Williamson,53,161.1,4818896.0,831
51,T52,T52,Craig Barlow,81,161.2,6571200.0,1132
52,T52,T52,Robert Gamez,91,161.2,8348921.0,1439
53,54,54,Skip Kendall,80,161.3,7304246.0,1258
54,T55,T55,Paul Azinger,66,161.4,6054145.0,1042
55,T55,T55,Adam Scott,72,161.4,5398718.0,929
56,T57,T57,Andrew Magee,82,161.5,7313839.0,1258
57,T57,T57,Shigeki Maruyama,99,161.5,8874426.0,1526
58,T59,T59,Brian Bateman,98,161.6,8884760.0,1527
59,T59,T59,Matt Davidson,53,161.6,5217199.0,897
60,T59,T59,Todd Fischer,99,161.6,9095157.0,1563
61,T59,T59,Kent Jones,99,161.6,9161797.0,1575
62,T63,T63,Doug Barron,70,161.7,6694127.0,1150
63,T63,T63,Justin Leonard,78,161.7,5682507.0,976
64,T65,T65,Fred Funk,102,161.8,8587756.0,1474
65,T65,T65,Peter Lonard,85,161.8,6895399.0,1184
66,T65,T65,Hunter Mahan,103,161.8,9670881.0,1660
67,T65,T65,Arron Oberholser,65,161.8,5311230.0,912
68,T69,T69,Luke Donald,67,161.9,4173519.0,716
69,T69,T69,J.L. Lewis,98,161.9,8495267.0,1458
70,T69,T69,Ian Poulter,62,161.9,3764665.0,646
71,T69,T69,Omar Uresti,84,161.9,7658207.0,1314
72,T73,T73,Tim Herron,100,162.0,8103004.0,1389
73,T73,T73,Mario Tiziani,67,162.0,6297628.0,1080
74,75,75,Matt Gogel,78,162.1,7037653.0,1206
75,T76,T76,Briny Baird,98,162.2,9327673.0,1597
76,T76,T76,Tom Byrum,83,162.2,7954305.0,1362
77,T76,T76,Stewart Cink,98,162.2,7407998.0,1269
78,T76,T76,John Elliott,58,162.2,5354594.0,917
79,T76,T76,Lee Janzen,75,162.2,6199417.0,1062
80,T76,T76,José María Olazábal,55,162.2,4280462.0,733
81,82,82,Lee Westwood,50,162.3,3463941.0,593
82,T83,T83,Rich Beem,66,162.4,5027260.0,860
83,T83,T83,Chris DiMarco,83,162.4,6190040.0,1059
84,T83,T83,Rod Pampling,89,162.4,7260323.0,1242
85,T83,T83,Vaughn Taylor,99,162.4,9357061.0,1600
86,T83,T83,Roland Thatcher,75,162.4,7061508.0,1208
87,T88,T88,Tim Clark,92,162.6,6753956.0,1154
88,T88,T88,Jeff Sluman,94,162.6,8863033.0,1514
89,T88,T88,Tjaart van der Walt,56,162.6,5672261.0,969
90,T91,T91,Richard Johnson,50,162.7,4813181.0,822
91,T91,T91,Brett Wetterich,76,162.7,7038889.0,1202
92,T91,T91,Charlie Wi,67,162.7,6333294.0,1081
93,T94,T94,Neal Lancaster,95,162.8,8961428.0,1529
94,T94,T94,Craig Perks,67,162.8,6131242.0,1046
95,T94,T94,Ted Purdy,122,162.8,10480382.0,1788
96,T97,T97,Steve Flesch,90,162.9,6622605.0,1129
97,T97,T97,Dudley Hart,84,162.9,7569240.0,1291
98,T99,T99,John Cook,72,163.1,6134942.0,1045
99,T99,T99,John Huston,90,163.1,8357781.0,1423
100,T99,T99,Hidemichi Tanaka,106,163.1,9943275.0,1693
101,T99,T99,Hideto Tanihara,50,163.1,4691052.0,799
102,T103,T103,Woody Austin,100,163.2,9482557.0,1614
103,T103,T103,John Daly,78,163.2,5881843.0,1001
104,T103,T103,Sean O'Hair,103,163.2,8995127.0,1531
105,T103,T103,Patrick Sheehan,114,163.2,10098606.0,1719
106,107,107,Michael Long,72,163.3,6743833.0,1147
107,T108,T108,Cameron Beckman,96,163.4,8887794.0,1511
108,T108,T108,Ben Crane,78,163.4,6816943.0,1159
109,T108,T108,Harrison Frazar,105,163.4,9833846.0,1672
110,T108,T108,Joey Sindelar,104,163.4,10379554.0,1765
111,T112,T112,José Coceres,56,163.5,5563671.0,945
112,T112,T112,Stephen Leaney,89,163.5,7968377.0,1354
113,T112,T112,Frank Lickliter II,100,163.5,9056246.0,1539
114,T112,T112,Brett Quigley,96,163.5,8909469.0,1514
115,T112,T112,Rob Rashell,65,163.5,5696755.0,968
116,T117,T117,Jason Bohn,91,163.6,8593445.0,1459
117,T117,T117,Tom Gillis,77,163.6,7190138.0,1221
118,T117,T117,Retief Goosen,71,163.6,4523690.0,768
119,T117,T117,Pat Perez,89,163.6,7726764.0,1312
120,T117,T117,Chris Smith,93,163.6,9005234.0,1529
121,T122,T122,Jason Allred,75,163.7,6671301.0,1132
122,T122,T122,Jonathan Byrd,103,163.7,9793046.0,1662
123,T122,T122,Jim Furyk,94,163.7,7550727.0,1281
124,T122,T122,Davis Love III,80,163.7,5953255.0,1010
125,T126,T126,Bart Bryant,91,163.8,8078327.0,1370
126,T126,T126,Jerry Kelly,101,163.8,8021498.0,1360
127,T126,T126,John Rollins,97,163.8,8708315.0,1477
128,T126,T126,Bo Van Pelt,112,163.8,9804717.0,1663
129,T126,T126,Charles Warren,89,163.8,8480707.0,1438
130,T131,T131,Danny Briggs,70,163.9,6477600.0,1098
131,T131,T131,Chad Campbell,95,163.9,7983634.0,1353
132,T131,T131,Paul Claxton,79,163.9,6978196.0,1183
133,T131,T131,Tim Petrovic,97,163.9,8388682.0,1422
134,T131,T131,Carl Pettersson,109,163.9,9880066.0,1674
135,T131,T131,Tag Ridings,93,163.9,8806693.0,1493
136,137,137,Bob Estes,92,164.0,8417115.0,1426
137,T138,T138,Jeff Brehaut,71,164.1,6695148.0,1133
138,T138,T138,D.J. Brigman,76,164.1,6496802.0,1100
139,T140,T140,Brian Davis,75,164.2,6737467.0,1140
140,T140,T140,Scott Gutschewski,86,164.2,7552231.0,1278
141,T140,T140,Hank Kuehne,84,164.2,7831086.0,1325
142,T140,T140,Bernhard Langer,67,164.2,4800018.0,812
143,T140,T140,Jeff Maggert,79,164.2,6343813.0,1073
144,T140,T140,Shaun Micheel,81,164.2,6739506.0,1140
145,T140,T140,Chris Riley,67,164.2,4456546.0,754
146,T147,T147,Mark Calcavecchia,92,164.3,8083411.0,1367
147,T147,T147,Jay Haas,54,164.3,4140935.0,700
148,T147,T147,Mark Hensby,70,164.3,5215716.0,882
149,T147,T147,Steve Jones,56,164.3,4885783.0,826
150,T147,T147,John Senden,101,164.3,9572009.0,1618
151,T152,T152,Stephen Ames,82,164.4,6492973.0,1097
152,T152,T152,Ryuji Imada,78,164.4,7011347.0,1185
153,T152,T152,Ryan Palmer,101,164.4,8524689.0,1440
154,T152,T152,Dean Wilson,86,164.4,8417858.0,1422
155,T156,T156,Billy Andrade,83,164.5,7776122.0,1313
156,T156,T156,Kevin Sutherland,89,164.5,7868375.0,1329
157,T158,T158,Robert Damron,89,164.6,8416363.0,1420
158,T158,T158,Sergio Garcia,73,164.6,5517023.0,931
159,T158,T158,Padraig Harrington,50,164.6,4283919.0,723
160,T161,T161,Steve Allan,102,164.9,9387536.0,1581
161,T161,T161,Steve Elkington,67,164.9,5848985.0,985
162,T161,T161,Scott Hend,75,164.9,6821889.0,1149
163,T161,T161,Bradley Hughes,52,164.9,5216728.0,879
164,165,165,Alex Cejka,84,165.0,7381373.0,1243
165,166,166,Brandt Jobe,96,165.1,8648833.0,1455
166,T167,T167,Robert Allenby,95,165.2,7726845.0,1299
167,T167,T167,Brad Faxon,75,165.2,6070364.0,1021
168,T167,T167,Tom Lehman,69,165.2,5339766.0,898
169,T167,T167,Kevin Na,88,165.2,8462106.0,1423
170,T167,T167,Kevin Stadler,96,165.2,8755797.0,1472
171,T172,T172,Paul Gow,78,165.3,7158314.0,1203
172,T172,T172,Mathias Grönberg,60,165.3,5957504.0,1001
173,T172,T172,Dennis Paulson,63,165.3,5980685.0,1005
174,T175,T175,Daniel Chopra,108,165.4,9821496.0,1649
175,T175,T175,D.A. Points,94,165.4,8765063.0,1472
176,T177,T177,Charles Howell III,95,165.5,7685095.0,1290
177,T177,T177,Greg Owen,84,165.5,7527203.0,1263
178,T177,T177,Joey Snyder III,102,165.5,9736313.0,1634
179,T180,T180,Jesper Parnevik,84,165.6,7189975.0,1206
180,T180,T180,Justin Rose,99,165.6,9443630.0,1584
181,T182,T182,Joe Durant,81,165.7,7291520.0,1222
182,T182,T182,Phil Mickelson,81,165.7,5346421.0,896
183,T182,T182,Nick Watney,91,165.7,8448802.0,1416
184,T185,T185,Arjun Atwal,65,165.9,6538881.0,1095
185,T185,T185,Lucas Glover,88,165.9,8384101.0,1404
186,T185,T185,Scott Verplank,87,165.9,7077151.0,1185
187,T185,T185,Duffy Waldorf,86,165.9,7591549.0,1271
188,189,189,J.J. Henry,102,166.0,9269172.0,1551
189,190,190,Hunter Haas,83,166.1,7760172.0,1298
190,T191,T191,Carlos Franco,78,166.2,7180922.0,1200
191,T191,T191,Tom Pernice Jr.,111,166.2,9460782.0,1581
192,T191,T191,Vijay Singh,111,166.2,9379243.0,1568
193,T191,T191,D.J. Trahan,81,166.2,7556929.0,1263
194,195,195,Billy Mayfair,114,166.4,10903825.0,1820
195,196,196,Steve Lowery,100,166.5,9251020.0,1543
196,197,197,Scott McCarron,78,166.9,6502234.0,1082
197,198,198,James Driscoll,73,167.0,6708338.0,1116
198,199,199,Aaron Baddeley,84,167.2,8107588.0,1347
199,200,200,Corey Pavin,77,167.6,6620087.0,1097
200,201,201,Tiger Woods,76,167.9,5954995.0,985
201,202,202,Thomas Levet,54,168.4,3921954.0,647
