,Approaches_150-175_yards-Rgh_RTP_RANK THIS WEEK,Approaches_150-175_yards-Rgh_RTP_RANK LAST WEEK,Approaches_150-175_yards-Rgh_RTP_PLAYER NAME,Approaches_150-175_yards-Rgh_RTP_ROUNDS,Approaches_150-175_yards-Rgh_RTP_AVG RTP
0,1,1,Omar Uresti,84,-.045
1,2,2,Vijay Singh,111,-.042
2,3,3,Hunter Haas,83,-.024
3,T4,T4,Bill Glasson,54,E
4,T4,T4,Loren Roberts,54,E
5,6,6,Ryan Palmer,101,+.019
6,7,7,Gavin Coles,70,+.069
7,8,8,Briny Baird,98,+.072
8,9,9,Jesper Parnevik,84,+.083
9,10,10,Phillip Price,77,+.085
10,T11,T11,Dan Forsman,52,+.089
11,T11,T11,Jim Furyk,94,+.089
12,13,13,Billy Mayfair,114,+.096
13,T14,T14,Michael Allen,90,+.098
14,T14,T14,Roland Thatcher,75,+.098
15,T16,T16,Doug Barron,70,+.103
16,T16,T16,John Cook,72,+.103
17,T16,T16,Arron Oberholser,65,+.103
18,19,19,Joey Sindelar,104,+.106
19,T20,T20,Stephen Ames,82,+.107
20,T20,T20,Retief Goosen,71,+.107
21,22,22,Franklin Langham,91,+.108
22,23,23,Sergio Garcia,73,+.109
23,24,24,D.A. Points,94,+.111
24,25,25,Brett Quigley,96,+.113
25,26,26,Jeff Brehaut,71,+.114
26,27,27,Rocco Mediate,73,+.120
27,T28,T28,Steve Lowery,100,+.121
28,T28,T28,John Senden,101,+.121
29,30,30,K.J. Choi,78,+.125
30,31,31,Stuart Appleby,84,+.127
31,T32,T32,Brad Faxon,75,+.128
32,T32,T32,J.J. Henry,102,+.128
33,T34,T34,Corey Pavin,77,+.135
34,T34,T34,Hidemichi Tanaka,106,+.135
35,T36,T36,Marco Dawson,82,+.136
36,T36,T36,Zach Johnson,96,+.136
37,38,38,D.J. Trahan,81,+.137
38,39,39,Stephen Leaney,89,+.138
39,T40,T40,Olin Browne,99,+.140
40,T40,T40,Greg Owen,84,+.140
41,T42,T42,Jay Haas,54,+.143
42,T42,T42,Adam Scott,72,+.143
43,T44,T44,Dudley Hart,84,+.146
44,T44,T44,Dennis Paulson,63,+.146
45,46,46,Bernhard Langer,67,+.148
46,T47,T47,Tim Herron,100,+.152
47,T47,T47,J.L. Lewis,98,+.152
48,49,49,Neal Lancaster,95,+.153
49,T50,T50,Mark Brooks,72,+.154
50,T50,T50,Bob Estes,92,+.154
51,T50,T50,Kevin Sutherland,89,+.154
52,T50,T50,Bob Tway,87,+.154
53,54,54,Phil Mickelson,81,+.156
54,55,55,Stewart Cink,98,+.157
55,T56,T56,Jeff Hart,63,+.158
56,T56,T56,Rod Pampling,89,+.158
57,58,58,Heath Slocum,103,+.159
58,59,59,Carlos Franco,78,+.161
59,T60,T60,Ryuji Imada,78,+.164
60,T60,T60,Tag Ridings,93,+.164
61,T62,T62,Steve Elkington,67,+.171
62,T62,T62,Charles Howell III,95,+.171
63,64,64,David Hearn,68,+.172
64,65,65,J.P. Hayes,63,+.174
65,T66,T66,Aaron Baddeley,84,+.175
66,T66,T66,Daniel Chopra,108,+.175
67,68,68,Tjaart van der Walt,56,+.176
68,T69,T69,Jonathan Byrd,103,+.179
69,T69,T69,Glen Hnatiuk,59,+.179
70,T69,T69,Brandt Jobe,96,+.179
71,72,72,Arjun Atwal,65,+.182
72,T73,T73,Duffy Waldorf,86,+.184
73,T73,T73,Charlie Wi,67,+.184
74,75,75,Luke Donald,67,+.185
75,76,76,José María Olazábal,55,+.188
76,T77,T77,Brian Bateman,98,+.190
77,T77,T77,Carl Pettersson,109,+.190
78,T77,T77,Charles Warren,89,+.190
79,80,80,Tiger Woods,76,+.193
80,T81,T81,Glen Day,80,+.194
81,T81,T81,Joey Snyder III,102,+.194
82,83,83,Frank Lickliter II,100,+.195
83,84,84,Jason Bohn,91,+.196
84,T85,T85,Scott Gutschewski,86,+.197
85,T85,T85,Hunter Mahan,103,+.197
86,T87,T87,Steve Flesch,90,+.200
87,T87,T87,Todd Hamilton,94,+.200
88,T87,T87,Justin Leonard,78,+.200
89,90,90,Tom Gillis,77,+.203
90,91,91,Joe Ogilvie,103,+.204
91,92,92,Skip Kendall,80,+.205
92,93,93,Geoff Ogilvy,97,+.206
93,T94,T94,Mark Calcavecchia,92,+.208
94,T94,T94,John Elliott,58,+.208
95,T94,T94,Tom Pernice Jr.,111,+.208
96,97,97,Dean Wilson,86,+.210
97,T98,T98,Chris Riley,67,+.211
98,T98,T98,Mike Weir,71,+.211
99,T100,T100,Robert Gamez,91,+.212
100,T100,T100,Mark O'Meara,66,+.212
101,102,102,Steve Stricker,62,+.215
102,103,103,Chris DiMarco,83,+.217
103,T104,T104,Chad Campbell,95,+.219
104,T104,T104,Justin Rose,99,+.219
105,T106,T106,Paul Claxton,79,+.220
106,T106,T106,Rob Rashell,65,+.220
107,108,108,Paul Azinger,66,+.224
108,109,109,Jeff Maggert,79,+.225
109,T110,T110,Billy Andrade,83,+.226
110,T110,T110,Scott McCarron,78,+.226
111,T112,T112,Tom Byrum,83,+.227
112,T112,T112,Jim Carter,62,+.227
113,T112,T112,Lee Janzen,75,+.227
114,T112,T112,Lee Westwood,50,+.227
115,116,116,Kevin Stadler,96,+.228
116,T117,T117,Ben Curtis,65,+.229
117,T117,T117,Freddie Jacobson,72,+.229
118,T117,T117,Kenny Perry,82,+.229
119,120,120,Harrison Frazar,105,+.231
120,T121,T121,Brian Gay,101,+.232
121,T121,T121,Shaun Micheel,81,+.232
122,123,123,Shigeki Maruyama,99,+.233
123,T124,T124,Matt Davidson,53,+.235
124,T124,T124,Matt Kuchar,60,+.235
125,T126,T126,Steve Allan,102,+.237
126,T126,T126,Kent Jones,99,+.237
127,T126,T126,Jerry Kelly,101,+.237
128,T126,T126,Davis Love III,80,+.237
129,130,130,Richard Johnson,50,+.238
130,131,131,Ted Purdy,122,+.240
131,132,132,Sean O'Hair,103,+.241
132,133,133,Ian Poulter,62,+.242
133,134,134,David Toms,87,+.244
134,135,135,Woody Austin,100,+.247
135,T136,T136,Jason Allred,75,+.250
136,T136,T136,Michael Long,72,+.250
137,T136,T136,Vaughn Taylor,99,+.250
138,139,139,Bo Van Pelt,112,+.254
139,T140,T140,Rich Beem,66,+.255
140,T140,T140,Matt Gogel,78,+.255
141,142,142,Jay Williamson,53,+.257
142,T143,T143,Fred Funk,102,+.259
143,T143,T143,Len Mattiace,86,+.259
144,T145,T145,Justin Bolli,65,+.262
145,T145,T145,Kevin Na,88,+.262
146,T147,T147,Danny Briggs,70,+.265
147,T147,T147,Lucas Glover,88,+.265
148,149,149,Nick Watney,91,+.266
149,150,150,Fred Couples,72,+.267
150,151,151,Bart Bryant,91,+.268
151,152,152,James Driscoll,73,+.270
152,153,153,Chris Anderson,66,+.275
153,T154,T154,D.J. Brigman,76,+.277
