,Bonus_Putting_RANK THIS WEEK,Bonus_Putting_RANK LAST WEEK,Bonus_Putting_PLAYER NAME,Bonus_Putting_ROUNDS,Bonus_Putting_VALUE,Bonus_Putting_ATTEMPTS(<= 5'),Bonus_Putting_TOT MADE (>=20'),Bonus_Putting_TOT MADE (<= 5')
0,1,,Michael Thompson,60,102.57,623,28,611
1,2,,Bryce Molder,74,102.14,886,35,870
2,3,,Sebastián Muñoz,51,102.06,535,25,521
3,4,,Jonas Blixt,74,101.77,792,30,776
4,5,,Rickie Fowler,78,101.62,803,35,781
5,6,,Peter Malnati,91,101.6,1002,44,974
6,7,,Graeme McDowell,56,101.39,647,28,628
7,8,,Louis Oosthuizen,69,101.38,651,25,635
8,T9,,Patrick Cantlay,52,101.37,657,27,639
9,T9,,Billy Horschel,88,101.37,1094,44,1065
10,11,,Brian Gay,82,101.14,969,31,949
11,T12,,Ricky Barnes,100,101.11,1085,35,1062
12,T12,,Xander Schauffele,96,101.11,989,40,960
13,T14,,Blayne Barber,77,101.09,918,37,891
14,T14,,Kevin Kisner,105,101.09,1006,35,982
15,16,,Steve Wheatcroft,51,101.08,553,21,538
16,17,,Marc Leishman,94,101.04,965,31,944
17,18,,David Lingmerth,79,101.01,887,31,865
18,19,,Brian Harman,104,100.97,1134,33,1112
19,20,,Spencer Levin,89,100.93,971,29,951
20,21,,Chez Reavie,98,100.91,1095,36,1069
21,T22,,Wesley Bryan,95,100.88,1028,35,1002
22,T22,,Jordan Spieth,85,100.88,912,40,880
23,24,,Zach Johnson,81,100.78,897,32,872
24,25,,Tim Wilkinson,64,100.75,666,20,651
25,26,,Brandt Snedeker,53,100.74,537,21,520
26,27,,Billy Hurley III,80,100.72,972,34,945
27,28,,Graham DeLaet,82,100.7,996,32,971
28,29,,Matt Kuchar,95,100.69,1014,31,990
29,30,,John Huh,92,100.67,1052,36,1023
30,31,,Patrick Reed,107,100.64,1089,31,1065
31,32,,Michael Kim,94,100.6,1167,28,1146
32,33,,Luke Donald,50,100.5,601,19,585
33,34,,Mackenzie Hughes,106,100.45,1342,48,1300
34,35,,Russell Henley,99,100.44,1136,45,1096
35,T36,,Harris English,84,100.43,935,29,910
36,T36,,Julián Etulain,68,100.43,704,17,690
37,38,,Brian Stuard,93,100.41,981,32,953
38,T39,,Vaughn Taylor,90,100.37,1071,38,1037
39,T39,,Johnson Wagner,71,100.37,813,29,787
40,41,,Jim Furyk,54,100.36,557,19,540
41,42,,Jon Rahm,90,100.34,891,31,863
42,43,,Gonzalo Fernandez-Castaño,63,100.33,605,18,589
43,44,,Adam Hadwin,98,100.28,1056,30,1029
44,T45,,Brooks Koepka,88,100.23,862,35,829
45,T45,,Kevin Na,86,100.23,866,37,831
46,T47,,Daniel Berger,91,100.21,945,31,916
47,T47,,Jim Herman,77,100.21,954,23,933
48,T47,,Troy Merritt,82,100.21,954,26,930
49,T47,,Patrick Rodgers,76,100.21,959,36,925
50,51,,Phil Mickelson,85,100.2,976,30,948
51,52,,Kevin Tway,96,100.19,1039,35,1006
52,53,,Andres Gonzales,73,100.12,827,27,801
53,54,,Nick Watney,75,100.11,915,32,884
54,T55,,Martin Flores,88,100.0,952,28,924
55,T55,,Fabián Gómez,61,100.0,729,23,706
56,T55,,James Hahn,96,100.0,1164,30,1134
57,T55,,Dustin Johnson,77,100.0,826,26,800
58,T55,,Daniel Summerhays,100,100.0,1115,29,1086
59,60,,Chad Campbell,97,99.92,1257,43,1213
60,61,,Stewart Cink,93,99.91,1106,44,1061
61,62,,Geoff Ogilvy,80,99.9,973,28,944
62,T63,,Greg Chalmers,75,99.89,938,24,913
63,T63,,Emiliano Grillo,90,99.89,906,28,877
64,T63,,Sean O'Hair,84,99.89,943,31,911
65,T66,,Whee Kim,74,99.88,807,26,780
66,T66,,Hunter Mahan,73,99.88,849,15,833
67,T66,,Shawn Stefani,72,99.88,856,25,830
68,69,,Carl Pettersson,63,99.86,726,20,705
69,70,,Steven Bowditch,59,99.84,632,23,608
70,71,,Tom Hoge,54,99.82,556,17,538
71,T72,,Martin Laird,83,99.79,959,31,926
72,T72,,Seamus Power,86,99.79,972,30,940
73,74,,Sam Saunders,76,99.77,863,31,830
74,T75,,Morgan Hoffmann,92,99.74,1150,41,1106
75,T75,,Sung Kang,104,99.74,1152,37,1112
76,T77,,Jason Day,71,99.73,741,27,712
77,T77,,Hudson Swafford,94,99.73,1097,23,1071
78,T79,,Matt Jones,64,99.72,717,18,697
79,T79,,Kyle Reifers,96,99.72,1082,37,1042
80,T81,,David Hearn,93,99.71,1020,28,989
81,T81,,Patton Kizzire,84,99.71,1022,35,984
82,T81,,Danny Lee,93,99.71,1049,30,1016
83,T84,,Paul Casey,94,99.69,959,27,929
84,T84,,Ben Martin,86,99.69,982,26,953
85,T86,,Mark Hubbard,81,99.67,900,27,870
86,T86,,Kelly Kraft,75,99.67,911,22,886
87,88,,Derek Fathauer,81,99.66,895,20,872
88,89,,Zac Blair,105,99.65,1148,53,1091
89,90,,Tony Finau,106,99.62,1310,44,1261
90,91,,Justin Rose,66,99.6,741,29,709
91,T92,,Lucas Glover,93,99.59,1206,33,1168
92,T92,,Cody Gribble,79,99.59,987,41,942
93,94,,Ryan Armour,63,99.57,694,23,668
94,95,,J.J. Spaun,92,99.52,1047,28,1014
95,T96,,K.J. Choi,72,99.48,769,20,745
96,T96,,Chad Collins,66,99.48,771,12,755
97,98,,Trey Mullinax,88,99.46,932,24,903
98,99,,Jimmy Walker,68,99.43,698,22,672
99,100,,Rory Sabbatini,71,99.36,780,25,750
100,101,,Nicholas Lindheim,58,99.35,617,19,594
101,102,,Pat Perez,93,99.31,1019,34,978
102,T103,,Bud Cauley,92,99.3,1137,18,1111
103,T103,,Tyrone Van Aswegen,105,99.3,1146,30,1108
104,T105,,Bill Haas,92,99.29,990,23,960
105,T105,,Brandon Hagy,85,99.29,982,24,951
106,107,,Aaron Baddeley,61,99.24,658,15,638
107,108,,Dominic Bozzelli,69,99.22,774,17,751
108,109,,Charles Howell III,86,99.19,990,27,955
109,110,,Grayson Murray,94,99.17,1209,34,1165
110,111,,Gary Woodland,94,99.14,930,21,901
111,112,,Brian Campbell,55,99.13,573,14,554
112,113,,Rafa Cabrera Bello,63,99.12,571,11,555
113,114,,Justin Thomas,86,99.08,870,25,837
114,115,,D.A. Points,68,99.07,863,31,824
115,116,,Seung-Yul Noh,91,99.06,1067,31,1026
116,117,,Miguel Angel Carballo,63,99.04,623,18,599
117,118,,Cameron Smith,86,99.02,1017,23,984
118,119,,Bryson DeChambeau,91,99.01,1014,25,979
119,T120,,Jason Bohn,75,99.0,899,27,863
120,T120,,Scott Brown,95,99.0,1099,30,1058
121,T122,,Mark Anderson,54,98.99,595,13,576
122,T122,,Jason Dufner,89,98.99,995,29,956
123,T122,,Ian Poulter,72,98.99,789,17,764
124,125,,Charley Hoffman,112,98.95,1238,27,1198
125,126,,J.T. Poston,95,98.94,1036,22,1003
126,T127,,Ryan Moore,82,98.93,933,19,904
127,T127,,Jonathan Randolph,68,98.93,654,15,632
128,129,,Ernie Els,52,98.92,463,11,447
129,130,,Keegan Bradley,104,98.89,1264,33,1217
130,T131,,Retief Goosen,52,98.81,587,7,573
131,T131,,Jamie Lovemark,98,98.81,1093,24,1056
132,T131,,C.T. Pan,88,98.81,1090,28,1049
133,T134,,William McGirt,89,98.79,988,19,957
134,T134,,Charl Schwartzel,63,98.79,662,10,644
135,T136,,Ryan Brehm,83,98.76,890,28,851
136,T136,,Nick Taylor,97,98.76,1209,29,1165
137,138,,Shane Lowry,52,98.75,480,15,459
138,139,,Ben Crane,86,98.71,1009,24,972
139,T140,,Brad Fritsch,56,98.68,608,13,587
140,T140,,Kevin Streelman,90,98.68,1139,31,1093
141,142,,Camilo Villegas,76,98.62,867,31,824
142,143,,Ryan Blaum,100,98.61,1153,30,1107
143,T144,,Ollie Schniederjans,92,98.6,1144,20,1108
144,T144,,Adam Scott,58,98.6,572,20,544
145,146,,Rory McIlroy,51,98.59,498,14,477
146,T147,,Kevin Chappell,95,98.58,989,21,954
147,T147,,J.J. Henry,92,98.58,1129,23,1090
148,T149,,Chris Stroud,67,98.55,691,16,665
149,T149,,Bubba Watson,71,98.55,757,20,726
150,151,,Richy Werenski,81,98.54,889,21,855
151,152,,Francesco Molinari,75,98.53,819,21,786
152,T153,,Søren Kjeldsen,58,98.52,474,10,457
153,T153,,Kyle Stanley,104,98.52,1351,32,1299
154,155,,Webb Simpson,102,98.51,1139,30,1092
155,156,,Cameron Percy,71,98.48,789,15,762
156,157,,J.B. Holmes,83,98.43,829,22,794
157,158,,Luke List,102,98.42,1264,39,1205
158,159,,Ken Duke,77,98.4,875,18,843
159,160,,Robert Streb,98,98.37,1225,29,1176
160,161,,Roberto Castro,70,98.31,770,18,739
161,162,,Alex Cejka,85,98.26,922,22,884
162,163,,Brendan Steele,89,98.25,972,29,926
163,164,,Harold Varner III,101,98.24,1250,29,1199
164,T165,,Matt Every,76,98.2,889,26,847
165,T165,,Cameron Tringale,89,98.2,943,20,906
166,167,,Rick Lamb,54,98.17,545,16,519
167,T168,,Brett Drewitt,57,98.09,627,16,599
168,T168,,Chris Kirk,89,98.09,997,25,953
169,170,,Rod Pampling,71,97.96,978,22,936
170,171,,Hideki Matsuyama,83,97.93,821,23,781
171,172,,Jhonattan Vegas,95,97.91,1006,20,965
172,173,,Russell Knox,75,97.87,751,18,717
173,174,,Robert Garrigus,78,97.83,877,22,836
174,175,,Brett Stegmaier,78,97.79,859,21,819
175,T176,,Andrew Loupe,55,97.76,671,12,644
176,T176,,Scott Stallings,81,97.76,983,23,938
177,178,,Scott Piercy,70,97.66,685,15,654
178,179,,Sergio Garcia,65,97.55,611,14,582
179,180,,Tag Ridings,67,97.54,731,21,692
180,181,,Steven Alker,69,97.49,756,16,721
181,182,,Si Woo Kim,80,97.43,818,19,778
182,183,,Ryo Ishikawa,56,97.4,615,10,589
183,184,,Smylie Kaufman,76,97.39,920,22,874
184,185,,Anirban Lahiri,72,97.37,876,22,831
185,186,,Byeong Hun An,77,97.29,812,19,771
186,187,,Boo Weekley,75,97.15,913,29,858
187,188,,Jason Kokrak,95,96.45,1184,30,1112
188,189,,Branden Grace,70,96.41,640,13,604
189,190,,Ryan Palmer,61,96.29,727,10,690
