,SG_Putting_RANK THIS WEEK,SG_Putting_RANK LAST WEEK,SG_Putting_PLAYER NAME,SG_Putting_ROUNDS,SG_Putting_AVERAGE,SG_Putting_TOTAL SG:PUTTING,SG_Putting_MEASURED ROUNDS
0,1,,Michael Thompson,60,0.84,36.94,44
1,2,,Rickie Fowler,78,0.812,47.934,59
2,3,,Luke Donald,50,0.7040000000000001,30.285,43
3,4,,Graeme McDowell,56,0.599,28.775,48
4,5,,Brian Harman,104,0.568,46.581,82
5,6,,Shane Lowry,52,0.545,18.544,34
6,T7,,Jonas Blixt,74,0.536,31.627,59
7,T7,,Patrick Reed,107,0.536,42.917,80
8,9,,Rafa Cabrera Bello,63,0.515,21.631999999999998,42
9,10,,Brooks Koepka,88,0.505,31.793000000000003,63
10,11,,Mackenzie Hughes,106,0.49200000000000005,47.265,96
11,12,,Gonzalo Fernandez-Castaño,63,0.489,21.522,44
12,13,,Steve Wheatcroft,51,0.479,19.148,40
13,14,,Søren Kjeldsen,58,0.473,16.081,34
14,15,,Adam Hadwin,98,0.47,35.245,75
15,16,,David Lingmerth,79,0.46799999999999997,30.410999999999998,65
16,17,,Cody Gribble,79,0.461,32.251,70
17,18,,Whee Kim,74,0.456,26.46,58
18,19,,Kevin Kisner,105,0.45399999999999996,33.132,73
19,T20,,Brian Gay,82,0.451,31.105999999999998,69
20,T20,,Peter Malnati,91,0.451,32.905,73
21,22,,Louis Oosthuizen,69,0.439,20.61,47
22,23,,Russell Henley,99,0.418,34.313,82
23,24,,Zach Johnson,81,0.415,26.551,64
24,25,,Blayne Barber,77,0.402,26.929000000000002,67
25,26,,Camilo Villegas,76,0.4,24.802,62
26,27,,Brandt Snedeker,53,0.39899999999999997,15.149000000000001,38
27,28,,Chez Reavie,98,0.391,30.87,79
28,29,,Brian Campbell,55,0.385,15.773,41
29,30,,Bryce Molder,74,0.38299999999999995,24.539,64
30,31,,Billy Hurley III,80,0.374,25.771,69
31,32,,Harris English,84,0.37200000000000005,25.324,68
32,33,,Sebastián Muñoz,51,0.358,13.952,39
33,34,,Marc Leishman,94,0.353,24.345,69
34,35,,Ernie Els,52,0.35,11.56,33
35,36,,Jason Day,71,0.345,18.279,53
36,T37,,Pat Perez,93,0.342,24.295,71
37,T37,,Xander Schauffele,96,0.342,23.947,70
38,39,,Jordan Spieth,85,0.33899999999999997,21.726999999999997,64
39,40,,Stewart Cink,93,0.33799999999999997,25.99,77
40,41,,Phil Mickelson,85,0.337,23.221999999999998,69
41,42,,Nicholas Lindheim,58,0.336,14.796,44
42,43,,Ryan Blaum,100,0.33399999999999996,27.369,82
43,44,,Greg Chalmers,75,0.316,21.515,68
44,45,,Justin Thomas,86,0.308,18.759,61
45,46,,Wesley Bryan,95,0.301,22.608,75
46,47,,Graham DeLaet,82,0.29100000000000004,20.639,71
47,48,,Jon Rahm,90,0.28300000000000003,18.11,64
48,49,,Scott Brown,95,0.276,21.561999999999998,78
49,50,,Hunter Mahan,73,0.268,15.83,59
50,51,,Matt Kuchar,95,0.264,19.262,73
51,52,,Kevin Tway,96,0.261,19.311,74
52,53,,Ricky Barnes,100,0.26,19.991,77
53,54,,Danny Lee,93,0.247,18.754,76
