,GIR_Putting_-_Inside_5_RANK THIS WEEK,GIR_Putting_-_Inside_5_RANK LAST WEEK,GIR_Putting_-_Inside_5_PLAYER NAME,GIR_Putting_-_Inside_5_ROUNDS,GIR_Putting_-_Inside_5_%,GIR_Putting_-_Inside_5_ATTEMPTS,GIR_Putting_-_Inside_5_PUTTS MADE
0,1,,Brett Drewitt,57,100.0,15,15
1,2,,Kevin Chappell,95,97.67,43,42
2,3,,Greg Chalmers,75,96.97,33,32
3,4,,Dominic Bozzelli,69,95.83,24,23
4,5,,Brian Campbell,55,95.24,21,20
5,6,,Chad Collins,66,94.44,18,17
6,7,,Zach Johnson,81,94.29,35,33
7,8,,Shane Lowry,52,94.12,17,16
8,9,,Harris English,84,93.33,30,28
9,10,,Peter Malnati,91,92.59,27,25
10,11,,Rory Sabbatini,71,92.5,40,37
11,T12,,Carl Pettersson,63,92.31,26,24
12,T12,,Johnson Wagner,71,92.31,26,24
13,T14,,Matt Every,76,92.0,25,23
14,T14,,Shawn Stefani,72,92.0,25,23
15,16,,Charley Hoffman,112,91.84,49,45
16,T17,,John Huh,92,91.67,24,22
17,T17,,Tim Wilkinson,64,91.67,24,22
18,T19,,Jim Herman,77,90.7,43,39
19,T19,,Michael Kim,94,90.7,43,39
20,T19,,Xander Schauffele,96,90.7,43,39
21,22,,Brandon Hagy,85,90.63,32,29
22,T23,,Rickie Fowler,78,90.48,42,38
23,T23,,Kelly Kraft,75,90.48,42,38
24,T23,,Bryce Molder,74,90.48,21,19
25,26,,Ricky Barnes,100,90.32,31,28
26,T27,,Russell Henley,99,90.0,30,27
27,T27,,Jon Rahm,90,90.0,60,54
28,T29,,Billy Horschel,88,89.47,38,34
29,T29,,Steve Wheatcroft,51,89.47,19,17
30,31,,Adam Hadwin,98,89.36,47,42
31,32,,Jonas Blixt,74,89.29,28,25
32,T33,,Billy Hurley III,80,89.19,37,33
33,T33,,Martin Laird,83,89.19,37,33
34,T33,,Spencer Levin,89,89.19,37,33
35,T36,,Sergio Garcia,65,88.89,18,16
36,T36,,Patton Kizzire,84,88.89,45,40
37,T36,,Kevin Tway,96,88.89,45,40
38,T39,,Hunter Mahan,73,88.57,35,31
39,T39,,Vaughn Taylor,90,88.57,35,31
40,T41,,Mackenzie Hughes,106,88.37,43,38
41,T41,,Troy Merritt,82,88.37,43,38
42,T43,,Ryan Brehm,83,88.24,34,30
43,T43,,Lucas Glover,93,88.24,51,45
44,T43,,Brian Harman,104,88.24,51,45
45,46,,Ryan Blaum,100,88.1,42,37
46,47,,Sebastián Muñoz,51,88.0,25,22
47,48,,Justin Thomas,86,87.93,58,51
48,T49,,J.J. Henry,92,87.8,41,36
49,T49,,J.J. Spaun,92,87.8,41,36
50,T51,,K.J. Choi,72,87.5,32,28
