,Putting_from_5-15_RANK THIS WEEK,Putting_from_5-15_RANK LAST WEEK,Putting_from_5-15_PLAYER NAME,Putting_from_5-15_ROUNDS,Putting_from_5-15_% MADE,Putting_from_5-15_ATTEMPTS,Putting_from_5-15_PUTTS MADE
0,1,,Rafa Cabrera Bello,63,53.51,299,160
1,2,,Rickie Fowler,78,52.2,410,214
2,3,,Ernie Els,52,51.95,231,120
3,4,,Patrick Reed,107,51.59,599,309
4,T5,,Gonzalo Fernandez-Castaño,63,51.3,308,158
5,T5,,Shane Lowry,52,51.3,230,118
6,7,,David Lingmerth,79,51.22,451,231
7,8,,Ryan Blaum,100,51.21,580,297
8,9,,Luke Donald,50,51.05,286,146
9,10,,Greg Chalmers,75,50.94,477,243
10,11,,Camilo Villegas,76,50.92,434,221
11,12,,Scott Brown,95,50.57,528,267
12,13,,Brian Harman,104,50.45,559,282
13,14,,Kevin Kisner,105,50.3,495,249
14,15,,Louis Oosthuizen,69,50.15,329,165
15,T16,,Michael Thompson,60,50.0,260,130
16,T16,,Kevin Tway,96,50.0,520,260
17,18,,Sean O'Hair,84,49.9,481,240
18,19,,Steve Wheatcroft,51,49.82,273,136
19,20,,Whee Kim,74,49.74,392,195
20,21,,Harris English,84,49.68,475,236
21,22,,Michael Kim,94,49.5,606,300
22,T23,,Russell Henley,99,49.37,553,273
23,T23,,Danny Lee,93,49.37,557,275
24,25,,Cody Gribble,79,49.34,452,223
25,26,,Brooks Koepka,88,49.15,468,230
26,27,,Matt Kuchar,95,49.02,512,251
27,28,,Graeme McDowell,56,49.0,351,172
28,29,,Jason Day,71,48.81,379,185
29,30,,Brian Campbell,55,48.8,291,142
30,31,,John Huh,92,48.63,547,266
31,32,,Søren Kjeldsen,58,48.55,241,117
32,33,,Jon Rahm,90,48.46,454,220
33,34,,Stewart Cink,93,48.45,485,235
34,T35,,Brandon Hagy,85,48.34,482,233
35,T35,,Cameron Tringale,89,48.34,422,204
36,37,,Xander Schauffele,96,48.32,476,230
37,38,,Jonas Blixt,74,48.23,452,218
38,39,,Charles Howell III,86,48.05,437,210
39,T40,,Wesley Bryan,95,47.98,544,261
40,T40,,Peter Malnati,91,47.98,519,249
41,42,,Andrew Loupe,55,47.94,340,163
42,43,,Zach Johnson,81,47.92,432,207
43,44,,Shawn Stefani,72,47.91,407,195
44,45,,Morgan Hoffmann,92,47.86,585,280
45,T46,,Charley Hoffman,112,47.83,669,320
46,T46,,Pat Perez,93,47.83,460,220
47,48,,Adam Hadwin,98,47.78,517,247
48,T49,,Branden Grace,70,47.72,285,136
49,T49,,Adam Scott,58,47.72,285,136
50,51,,Mackenzie Hughes,106,47.71,654,312
51,T52,,Marc Leishman,94,47.67,472,225
52,T52,,Brendan Steele,89,47.67,451,215
53,54,,Sung Kang,104,47.62,588,280
54,55,,Chris Kirk,89,47.52,505,240
55,56,,Bryce Molder,74,47.47,455,216
56,57,,Phil Mickelson,85,47.46,472,224
57,58,,Ollie Schniederjans,92,47.39,595,282
58,59,,Ian Poulter,72,47.34,376,178
59,60,,Brian Gay,82,47.25,472,223
60,T61,,K.J. Choi,72,47.17,371,175
61,T61,,Vaughn Taylor,90,47.17,547,258
62,63,,Geoff Ogilvy,80,47.03,421,198
63,64,,Seung-Yul Noh,91,46.92,520,244
64,65,,Hunter Mahan,73,46.91,388,182
65,66,,Webb Simpson,102,46.9,548,257
66,67,,Tom Hoge,54,46.89,273,128
67,68,,Nicholas Lindheim,58,46.88,320,150
68,69,,Richy Werenski,81,46.87,399,187
69,70,,Graham DeLaet,82,46.86,478,224
70,71,,Miguel Angel Carballo,63,46.84,301,141
71,72,,Martin Flores,88,46.79,468,219
72,73,,Derek Fathauer,81,46.78,466,218
73,74,,Patton Kizzire,84,46.77,526,246
74,75,,Martin Laird,83,46.75,477,223
75,76,,Jim Furyk,54,46.73,306,143
76,77,,Blayne Barber,77,46.72,503,235
77,T78,,Mark Anderson,54,46.62,296,138
78,T78,,William McGirt,89,46.62,474,221
79,80,,Jonathan Randolph,68,46.58,365,170
80,81,,Sebastián Muñoz,51,46.55,275,128
81,82,,Justin Thomas,86,46.54,419,195
82,83,,Tag Ridings,67,46.5,329,153
83,84,,Tyrone Van Aswegen,105,46.45,564,262
84,85,,Julián Etulain,68,46.41,390,181
85,86,,Billy Horschel,88,46.39,526,244
86,87,,Fabián Gómez,61,46.33,354,164
87,88,,Carl Pettersson,63,46.32,380,176
88,89,,Chez Reavie,98,46.29,553,256
89,T90,,Zac Blair,105,46.28,564,261
90,T90,,Troy Merritt,82,46.28,497,230
91,92,,Charl Schwartzel,63,46.23,318,147
