,Total_Putting_RANK THIS WEEK,Total_Putting_RANK LAST WEEK,Total_Putting_PLAYER NAME,Total_Putting_EVENTS,Total_Putting_TOTAL
0,1,,Brian Harman,30,62.1
1,2,,Luke Donald,18,62.3
2,3,,Wesley Bryan,28,76.8
3,4,,Ernie Els,20,77.8
4,T5,,Rickie Fowler,21,78.4
5,T5,,Brian Gay,25,78.4
6,7,,David Lingmerth,23,82.3
7,8,,Patrick Reed,29,85.2
8,9,,Brian Campbell,20,86.7
9,10,,Harris English,27,87.3
10,11,,Russell Henley,27,91.5
11,12,,Gonzalo Fernandez-Castaño,22,96.3
12,13,,Chez Reavie,28,97.8
13,14,,Jonas Blixt,25,99.3
14,T15,,Kevin Kisner,28,105.3
15,T15,,Brooks Koepka,24,105.3
16,17,,Michael Thompson,21,105.8
17,18,,Danny Lee,32,106.4
18,19,,Scott Brown,29,109.4
19,20,,Phil Mickelson,22,110.9
20,21,,Søren Kjeldsen,17,111.1
21,22,,Marc Leishman,25,111.2
22,23,,Graham DeLaet,25,111.3
23,24,,Peter Malnati,29,115.4
24,25,,Camilo Villegas,25,118.3
25,26,,Whee Kim,27,119.7
26,27,,Greg Chalmers,28,120.8
27,28,,Sean O'Hair,25,123.8
28,29,,Adam Hadwin,28,124.3
29,30,,Cody Gribble,28,125.1
30,31,,Shane Lowry,16,125.3
31,32,,Graeme McDowell,17,127.0
32,33,,Bryce Molder,26,127.8
33,T34,,Ryan Blaum,29,128.2
34,T34,,Rafa Cabrera Bello,19,128.2
35,36,,Zach Johnson,23,129.3
36,37,,Mackenzie Hughes,31,130.3
37,38,,Steve Wheatcroft,17,133.5
38,39,,Louis Oosthuizen,18,134.3
39,40,,Jim Furyk,18,135.6
40,41,,Michael Kim,28,135.7
41,42,,Carl Pettersson,27,135.8
42,43,,Blayne Barber,25,138.8
43,44,,Xander Schauffele,28,140.8
44,45,,John Huh,28,141.9
45,T46,,K.J. Choi,25,149.8
46,T46,,Charl Schwartzel,18,149.8
47,48,,Martin Laird,25,150.0
48,49,,Derek Fathauer,27,152.6
49,50,,Billy Hurley III,25,152.8
50,51,,Billy Horschel,28,153.0
51,52,,Cameron Tringale,28,153.5
52,53,,Ricky Barnes,31,157.0
53,54,,Stewart Cink,26,157.8
54,55,,Geoff Ogilvy,25,159.0
55,56,,Cameron Smith,26,159.4
56,57,,Daniel Berger,26,163.0
57,58,,Sung Kang,32,163.3
58,59,,Chris Kirk,28,164.8
59,60,,Matt Kuchar,26,164.9
60,61,,J.T. Poston,28,167.8
61,62,,Jordan Spieth,23,171.8
62,63,,Zac Blair,32,172.9
63,64,,Jim Herman,25,174.7
64,65,,Patrick Cantlay,13,175.2
65,66,,Pat Perez,26,175.3
66,67,,Richy Werenski,26,175.8
67,T68,,Martin Flores,27,176.8
68,T68,,Hudson Swafford,28,176.8
69,70,,Charles Howell III,23,176.9
70,71,,Kevin Tway,27,177.0
71,72,,Matt Jones,20,177.9
72,73,,Chad Collins,26,178.1
73,74,,Justin Thomas,25,180.4
74,75,,Sebastián Muñoz,17,180.9
75,76,,Daniel Summerhays,29,181.4
76,77,,Seung-Yul Noh,31,182.4
77,78,,Webb Simpson,28,183.8
78,79,,Brandon Hagy,26,183.9
79,80,,Fabián Gómez,21,189.3
80,81,,Hunter Mahan,26,189.9
81,82,,Shawn Stefani,26,190.1
82,83,,Johnson Wagner,26,191.7
83,84,,Morgan Hoffmann,29,195.7
84,85,,Jonathan Randolph,22,196.8
85,86,,Brandt Snedeker,15,198.2
86,87,,James Hahn,28,199.6
87,88,,Paul Casey,24,201.0
88,89,,Adam Scott,16,201.3
89,90,,Ian Poulter,20,202.2
90,91,,Vaughn Taylor,26,202.6
91,92,,Aaron Baddeley,20,202.8
