,Total_1_Putts_-_Inside_5_RANK THIS WEEK,Total_1_Putts_-_Inside_5_RANK LAST WEEK,Total_1_Putts_-_Inside_5_PLAYER NAME,Total_1_Putts_-_Inside_5_ROUNDS,Total_1_Putts_-_Inside_5_TOTAL,Total_1_Putts_-_Inside_5_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_Inside_5_PCT OF ALL 1-PUTTS
0,1,,Grayson Murray,94,322,617,52.2
1,2,,Mackenzie Hughes,106,321,680,47.2
2,3,,Brian Harman,104,319,632,50.5
3,4,,Adam Hadwin,98,314,587,53.5
4,5,,Patrick Reed,107,311,620,50.2
5,T6,,Tony Finau,106,309,627,49.3
6,T6,,Michael Kim,94,309,610,50.7
7,8,,Morgan Hoffmann,92,307,606,50.7
8,9,,Kyle Stanley,104,305,636,48.0
9,T10,,Keegan Bradley,104,304,601,50.6
10,T10,,Robert Streb,98,304,600,50.7
11,12,,Charley Hoffman,112,303,626,48.4
12,13,,Jamie Lovemark,98,302,558,54.1
13,14,,Webb Simpson,102,300,588,51.0
14,15,,Wesley Bryan,95,299,588,50.9
15,T16,,Ryan Blaum,100,297,597,49.7
16,T16,,Nick Taylor,97,297,562,52.8
17,18,,Cameron Smith,86,296,544,54.4
18,19,,J.T. Poston,95,293,516,56.8
19,20,,Chad Campbell,97,292,545,53.6
20,T21,,Peter Malnati,91,287,559,51.3
21,T21,,Seung-Yul Noh,91,287,560,51.3
22,23,,Harold Varner III,101,286,569,50.3
23,24,,Sung Kang,104,285,581,49.1
24,25,,James Hahn,96,284,554,51.3
25,26,,Phil Mickelson,85,282,516,54.7
26,T27,,Ricky Barnes,100,281,563,49.9
27,T27,,Luke List,102,281,566,49.6
28,T27,,Chez Reavie,98,281,566,49.6
29,T30,,Zac Blair,105,280,583,48.0
30,T30,,Scott Brown,95,280,567,49.4
31,T30,,Lucas Glover,93,280,561,49.9
32,T30,,Daniel Summerhays,100,280,550,50.9
33,T30,,Tyrone Van Aswegen,105,280,540,51.9
34,T35,,Brian Gay,82,277,527,52.6
35,T35,,Pat Perez,93,277,521,53.2
36,37,,Danny Lee,93,276,561,49.2
37,38,,Seamus Power,86,275,512,53.7
38,39,,Greg Chalmers,75,274,518,52.9
39,40,,Stewart Cink,93,273,555,49.2
40,T41,,Kevin Streelman,90,270,529,51.0
41,T41,,Kevin Tway,96,270,545,49.5
42,43,,Kevin Chappell,95,269,486,55.3
43,T44,,Kevin Kisner,105,265,535,49.5
44,T44,,Ollie Schniederjans,92,265,560,47.3
45,T46,,John Huh,92,264,539,49.0
46,T46,,Cameron Tringale,89,264,481,54.9
47,T48,,Bud Cauley,92,263,538,48.9
48,T48,,Jason Kokrak,95,263,511,51.5
49,T48,,Vaughn Taylor,90,263,547,48.1
50,T51,,David Hearn,93,261,503,51.9
51,T51,,C.T. Pan,88,261,503,51.9
52,53,,Brian Stuard,93,260,480,54.2
53,T54,,Brandon Hagy,85,258,494,52.2
54,T54,,Xander Schauffele,96,258,510,50.6
55,56,,Jordan Spieth,85,257,483,53.2
56,57,,Patton Kizzire,84,256,512,50.0
57,T58,,Russell Henley,99,255,574,44.4
58,T58,,Matt Kuchar,95,255,531,48.0
59,60,,Justin Thomas,86,253,485,52.2
60,61,,Troy Merritt,82,252,487,51.7
61,T62,,Bryson DeChambeau,91,251,495,50.7
62,T62,,Marc Leishman,94,251,491,51.1
63,T62,,J.J. Spaun,92,251,481,52.2
64,T65,,Anirban Lahiri,72,250,442,56.6
65,T65,,Spencer Levin,89,250,471,53.1
66,T65,,David Lingmerth,79,250,508,49.2
67,68,,Paul Casey,94,248,473,52.4
68,T69,,Daniel Berger,91,247,487,50.7
69,T69,,Zach Johnson,81,247,487,50.7
70,T71,,Jason Dufner,89,246,510,48.2
71,T71,,Cody Gribble,79,246,501,49.1
72,T73,,Bill Haas,92,245,461,53.1
73,T73,,Brooks Koepka,88,245,500,49.0
74,T73,,Geoff Ogilvy,80,245,454,54.0
75,T76,,Charles Howell III,86,244,469,52.0
76,T76,,Billy Hurley III,80,244,500,48.8
77,T76,,Hudson Swafford,94,244,492,49.6
78,T79,,Martin Laird,83,241,486,49.6
79,T79,,Ryan Moore,82,241,457,52.7
80,81,,Ben Crane,86,239,466,51.3
81,82,,Bryce Molder,74,238,469,50.7
82,83,,Sean O'Hair,84,236,480,49.2
83,84,,Sam Saunders,76,233,464,50.2
84,T85,,Matt Every,76,232,443,52.4
85,T85,,Jim Herman,77,232,427,54.3
86,T85,,Kyle Reifers,96,232,472,49.2
87,T88,,Alex Cejka,85,231,423,54.6
88,T88,,Harris English,84,231,480,48.1
89,T88,,Derek Fathauer,81,231,451,51.2
90,T91,,J.B. Holmes,83,230,426,54.0
91,T91,,Jhonattan Vegas,95,230,456,50.4
92,T93,,J.J. Henry,92,229,441,51.9
93,T93,,Chris Kirk,89,229,479,47.8
94,T95,,Smylie Kaufman,76,228,449,50.8
95,T95,,Kelly Kraft,75,228,448,50.9
96,T95,,Jon Rahm,90,228,466,48.9
97,T98,,Hunter Mahan,73,227,419,54.2
98,T98,,William McGirt,89,227,450,50.4
99,T98,,Trey Mullinax,88,227,456,49.8
100,T98,,Camilo Villegas,76,227,484,46.9
101,102,,Andres Gonzales,73,226,406,55.7
102,T103,,Jonas Blixt,74,225,462,48.7
103,T103,,Si Woo Kim,80,225,403,55.8
104,T105,,Brendan Steele,89,224,460,48.7
105,T105,,Gary Woodland,94,224,434,51.6
106,107,,Chad Collins,66,223,414,53.9
107,T108,,Ian Poulter,72,222,410,54.1
108,T108,,Patrick Rodgers,76,222,442,50.2
109,T110,,Graham DeLaet,82,221,457,48.4
110,T110,,Scott Stallings,81,221,444,49.8
111,112,,Ben Martin,86,220,473,46.5
112,T113,,Rickie Fowler,78,218,467,46.7
113,T113,,Whee Kim,74,218,439,49.7
114,T115,,Blayne Barber,77,216,482,44.8
115,T115,,Hideki Matsuyama,83,216,385,56.1
116,T115,,Richy Werenski,81,216,421,51.3
117,T118,,Mark Hubbard,81,214,401,53.4
118,T118,,Kevin Na,86,214,456,46.9
119,T120,,Dustin Johnson,77,212,407,52.1
120,T120,,Rod Pampling,71,212,425,49.9
121,T122,,Byeong Hun An,77,211,397,53.1
122,T122,,Roberto Castro,70,211,370,57.0
123,T122,,Ken Duke,77,211,410,51.5
124,T125,,Dominic Bozzelli,69,209,411,50.9
125,T125,,Jason Day,71,209,419,49.9
126,127,,Jason Bohn,75,208,410,50.7
127,128,,Billy Horschel,88,206,483,42.7
128,T129,,Ryan Brehm,83,204,407,50.1
129,T129,,Emiliano Grillo,90,204,430,47.4
130,T129,,Shawn Stefani,72,204,405,50.4
131,132,,D.A. Points,68,203,379,53.6
132,133,,Francesco Molinari,75,202,400,50.5
133,134,,Robert Garrigus,78,201,405,49.6
134,135,,K.J. Choi,72,200,392,51.0
135,T136,,Charl Schwartzel,63,195,356,54.8
136,T136,,Nick Watney,75,195,416,46.9
137,T138,,Steven Alker,69,193,357,54.1
138,T138,,Martin Flores,88,193,423,45.6
139,T138,,Carl Pettersson,63,193,378,51.1
140,T138,,Rory Sabbatini,71,193,365,52.9
141,T142,,Fabián Gómez,61,190,363,52.3
142,T142,,Matt Jones,64,190,374,50.8
143,T142,,Tim Wilkinson,64,190,337,56.4
144,145,,Bubba Watson,71,184,355,51.8
145,146,,Gonzalo Fernandez-Castaño,63,183,349,52.4
146,147,,Johnson Wagner,71,181,379,47.8
147,148,,Jimmy Walker,68,180,352,51.1
148,149,,Brett Stegmaier,78,179,366,48.9
149,T150,,Aaron Baddeley,61,178,333,53.5
150,T150,,Cameron Percy,71,178,360,49.4
151,152,,Tag Ridings,67,177,359,49.3
152,153,,Julián Etulain,68,176,363,48.5
153,T154,,Jonathan Randolph,68,175,335,52.2
154,T154,,Chris Stroud,67,175,346,50.6
155,156,,Boo Weekley,75,174,372,46.8
156,T157,,Graeme McDowell,56,173,373,46.4
157,T157,,Ryan Palmer,61,173,294,58.8
158,159,,Justin Rose,66,170,342,49.7
159,160,,Louis Oosthuizen,69,168,334,50.3
160,T161,,Steven Bowditch,59,167,324,51.5
161,T161,,Ryo Ishikawa,56,167,317,52.7
162,T161,,Russell Knox,75,167,350,47.7
163,T161,,Michael Thompson,60,167,327,51.1
164,T161,,Steve Wheatcroft,51,167,312,53.5
165,166,,Brett Drewitt,57,166,308,53.9
166,T167,,Luke Donald,50,163,322,50.6
167,T167,,Andrew Loupe,55,163,322,50.6
168,169,,Scott Piercy,70,162,313,51.8
169,T170,,Patrick Cantlay,52,158,317,49.8
170,T170,,Branden Grace,70,158,300,52.7
171,172,,Rafa Cabrera Bello,63,154,318,48.4
172,T173,,Mark Anderson,54,152,302,50.3
173,T173,,Tom Hoge,54,152,288,52.8
174,T175,,Sergio Garcia,65,150,300,50.0
175,T175,,Retief Goosen,52,150,281,53.4
176,177,,Brian Campbell,55,149,305,48.9
177,178,,Nicholas Lindheim,58,147,323,45.5
178,179,,Brandt Snedeker,53,146,284,51.4
179,180,,Brad Fritsch,56,145,279,52.0
180,181,,Miguel Angel Carballo,63,143,287,49.8
181,182,,Rory McIlroy,51,142,250,56.8
182,183,,Sebastián Muñoz,51,140,279,50.2
183,184,,Ernie Els,52,139,263,52.9
184,185,,Adam Scott,58,137,283,48.4
185,186,,Ryan Armour,63,136,311,43.7
186,187,,Jim Furyk,54,129,272,47.4
187,188,,Rick Lamb,54,127,261,48.7
188,189,,Søren Kjeldsen,58,125,253,49.4
189,190,,Shane Lowry,52,108,237,45.6
