,Total_3_Putts_-_Inside_5_RANK THIS WEEK,Total_3_Putts_-_Inside_5_RANK LAST WEEK,Total_3_Putts_-_Inside_5_PLAYER NAME,Total_3_Putts_-_Inside_5_ROUNDS,Total_3_Putts_-_Inside_5_TOTAL 3 PUTTS INSIDE 5',Total_3_Putts_-_Inside_5_TOTAL 3 PUTTS
0,T1,,Hudson Swafford,94,3,35
1,T1,,Harold Varner III,101,3,67
2,T3,,Zac Blair,105,2,45
3,T3,,Hideki Matsuyama,83,2,36
4,T3,,Carl Pettersson,63,2,22
5,T3,,Webb Simpson,102,2,45
6,T3,,Boo Weekley,75,2,59
7,T8,,Steven Alker,69,1,26
8,T8,,Steven Bowditch,59,1,24
9,T8,,Scott Brown,95,1,35
10,T8,,Rafa Cabrera Bello,63,1,24
11,T8,,Alex Cejka,85,1,36
12,T8,,Ben Crane,86,1,32
13,T8,,Jason Day,71,1,30
14,T8,,Matt Every,76,1,38
15,T8,,Martin Flores,88,1,32
16,T8,,Rickie Fowler,78,1,29
17,T8,,Branden Grace,70,1,24
18,T8,,David Hearn,93,1,36
19,T8,,Russell Henley,99,1,36
20,T8,,J.J. Henry,92,1,45
21,T8,,Jim Herman,77,1,34
22,T8,,Morgan Hoffmann,92,1,48
23,T8,,Billy Horschel,88,1,46
24,T8,,Mark Hubbard,81,1,29
25,T8,,Ryo Ishikawa,56,1,19
26,T8,,Dustin Johnson,77,1,24
27,T8,,Sung Kang,104,1,47
28,T8,,Chris Kirk,89,1,23
29,T8,,Kevin Kisner,105,1,32
30,T8,,Brooks Koepka,88,1,33
31,T8,,Jason Kokrak,95,1,67
32,T8,,Anirban Lahiri,72,1,33
33,T8,,David Lingmerth,79,1,30
34,T8,,Peter Malnati,91,1,34
35,T8,,Phil Mickelson,85,1,22
36,T8,,Seung-Yul Noh,91,1,39
37,T8,,C.T. Pan,88,1,43
38,T8,,Jon Rahm,90,1,45
39,T8,,Jonathan Randolph,68,1,25
40,T8,,Tag Ridings,67,1,25
41,T8,,Patrick Rodgers,76,1,48
42,T8,,Rory Sabbatini,71,1,31
43,T8,,Sam Saunders,76,1,38
44,T8,,Xander Schauffele,96,1,39
45,T8,,Charl Schwartzel,63,1,16
46,T8,,Adam Scott,58,1,20
47,T8,,Cameron Smith,86,1,34
48,T8,,Scott Stallings,81,1,42
49,T8,,Kevin Streelman,90,1,50
50,T8,,Chris Stroud,67,1,29
51,T8,,Vaughn Taylor,90,1,38
