,Average_Putting_Distance_-_GIR_2_Putts_RANK THIS WEEK,Average_Putting_Distance_-_GIR_2_Putts_RANK LAST WEEK,Average_Putting_Distance_-_GIR_2_Putts_PLAYER NAME,Average_Putting_Distance_-_GIR_2_Putts_ROUNDS,Average_Putting_Distance_-_GIR_2_Putts_AVG,Average_Putting_Distance_-_GIR_2_Putts_DISTANCE (FEET),Average_Putting_Distance_-_GIR_2_Putts_TOTAL PUTTS
0,1,,Hunter Mahan,73,"28' 3""",13412.75,475
1,2,,Michael Thompson,60,"27' 6""",9548.417,347
2,3,,Rafa Cabrera Bello,63,"27' 5""",8314.0,303
3,4,,Luke Donald,50,"27' 2""",9028.667,332
4,5,,J.J. Henry,92,"26' 10""",18711.083,697
5,T6,,Martin Flores,88,"26' 9""",16260.583,608
6,T6,,Louis Oosthuizen,69,"26' 9""",10561.75,395
7,T6,,Cameron Tringale,89,"26' 9""",13685.5,512
8,T9,,Graham DeLaet,82,"26' 8""",16894.5,633
9,T9,,Mackenzie Hughes,106,"26' 8""",20668.0,775
10,T11,,Pat Perez,93,"26' 6""",15433.917,582
11,T11,,Nick Taylor,97,"26' 6""",18337.417,693
12,T13,,Harris English,84,"26' 4""",14618.75,556
13,T13,,Jim Herman,77,"26' 4""",14921.333,567
14,T13,,Morgan Hoffmann,92,"26' 4""",16717.083,635
15,T13,,Billy Horschel,88,"26' 4""",18382.667,699
16,T13,,Andrew Loupe,55,"26' 4""",9515.25,361
17,T13,,Sebastián Muñoz,51,"26' 4""",7974.25,303
18,T13,,Geoff Ogilvy,80,"26' 4""",15181.667,577
19,T20,,Cody Gribble,79,"26' 3""",14143.5,538
20,T20,,Charles Howell III,86,"26' 3""",15313.583,584
21,T20,,Peter Malnati,91,"26' 3""",14353.083,547
22,T20,,Graeme McDowell,56,"26' 3""",8974.25,342
23,T20,,Camilo Villegas,76,"26' 3""",11644.5,443
24,T20,,Steve Wheatcroft,51,"26' 3""",7713.0830000000005,294
25,T26,,Stewart Cink,93,"26' 2""",16671.75,638
26,T26,,C.T. Pan,88,"26' 2""",16765.917,640
27,T26,,Patrick Rodgers,76,"26' 2""",14116.75,540
28,29,,Bryce Molder,74,"26' 1""",12693.667,487
29,T30,,Ernie Els,52,"26' 0""",5998.4169999999995,231
30,T30,,Brandon Hagy,85,"26' 0""",14139.25,543
31,T30,,Spencer Levin,89,"26' 0""",14479.917,557
32,T30,,Sean O'Hair,84,"26' 0""",14660.333,564
33,T30,,Carl Pettersson,63,"26' 0""",9779.917,376
34,T35,,Ryan Blaum,100,"25' 11""",17013.083,657
35,T35,,Ben Crane,86,"25' 11""",15040.833,580
36,T35,,Billy Hurley III,80,"25' 11""",14210.583,549
37,T35,,Jason Kokrak,95,"25' 11""",16884.25,652
38,T39,,Greg Chalmers,75,"25' 10""",12938.917,501
39,T39,,Bill Haas,92,"25' 10""",15251.833,591
40,T39,,Phil Mickelson,85,"25' 10""",14015.333,543
41,T39,,Tim Wilkinson,64,"25' 10""",9379.5,363
42,T43,,Jamie Lovemark,98,"25' 9""",15480.0,601
43,T43,,J.J. Spaun,92,"25' 9""",15724.75,611
44,T43,,Robert Streb,98,"25' 9""",17375.25,674
45,T46,,Rickie Fowler,78,"25' 8""",11927.5,465
46,T46,,Matt Jones,64,"25' 8""",10092.667,393
47,T46,,Sung Kang,104,"25' 8""",16990.333,662
48,T46,,Michael Kim,94,"25' 8""",17458.667,681
49,T46,,William McGirt,89,"25' 8""",15331.667,597
50,T46,,Xander Schauffele,96,"25' 8""",14933.583,581
51,T46,,Daniel Summerhays,100,"25' 8""",16179.917,630
52,T53,,Ryan Brehm,83,"25' 7""",13162.167,514
53,T53,,Scott Brown,95,"25' 7""",16146.083,632
54,T53,,Russell Henley,99,"25' 7""",17546.583,685
