,Putts_Per_Round_RANK THIS WEEK,Putts_Per_Round_RANK LAST WEEK,Putts_Per_Round_PLAYER NAME,Putts_Per_Round_ROUNDS,Putts_Per_Round_AVG,Putts_Per_Round_TOTAL PUTTS,Putts_Per_Round_TOTAL ROUNDS,Putts_Per_Round_LOW TOTAL PUTTS
0,T1,,Wesley Bryan,95,28.12,2503,89,22
1,T1,,Whee Kim,74,28.12,1912,68,23
2,3,,David Lingmerth,79,28.15,1999,71,23
3,4,,Jonas Blixt,74,28.16,1971,70,24
4,5,,Greg Chalmers,75,28.17,2000,71,22
5,6,,Graeme McDowell,56,28.2,1523,54,22
6,7,,Jason Day,71,28.22,1806,64,21
7,8,,Phil Mickelson,85,28.25,2260,80,22
8,9,,Justin Thomas,86,28.29,2122,75,23
9,10,,Brian Harman,104,28.3,2717,96,21
10,11,,Camilo Villegas,76,28.31,2038,72,22
11,T12,,Rickie Fowler,78,28.32,2039,72,23
12,T12,,Brian Gay,82,28.32,2209,78,22
13,T12,,Brooks Koepka,88,28.32,2152,76,21
14,15,,Patrick Reed,107,28.33,2720,96,21
15,T16,,Carl Pettersson,63,28.34,1672,59,22
16,T16,,Jordan Spieth,85,28.34,2097,74,23
17,18,,Peter Malnati,91,28.4,2414,85,21
18,19,,Gonzalo Fernandez-Castaño,63,28.41,1591,56,23
19,20,,Adam Hadwin,98,28.43,2672,94,21
20,21,,Ian Poulter,72,28.44,1934,68,25
21,22,,Charl Schwartzel,63,28.45,1650,58,23
22,23,,Seamus Power,86,28.46,2277,80,23
23,24,,Chad Collins,66,28.47,1765,62,23
24,25,,Aaron Baddeley,61,28.49,1624,57,23
25,26,,Brandt Snedeker,53,28.5,1311,46,21
26,27,,Steve Wheatcroft,51,28.51,1340,47,24
27,T28,,Ernie Els,52,28.52,1369,48,24
28,T28,,Zach Johnson,81,28.52,2082,73,22
29,T28,,Webb Simpson,102,28.52,2709,95,21
30,T28,,Cameron Smith,86,28.52,2339,82,22
31,32,,Cody Gribble,79,28.53,2197,77,23
32,33,,Luke Donald,50,28.56,1371,48,23
33,T34,,Dominic Bozzelli,69,28.6,1859,65,24
34,T34,,Anirban Lahiri,72,28.6,2059,72,21
35,36,,Ricky Barnes,100,28.62,2633,92,25
36,T37,,Brian Campbell,55,28.63,1460,51,24
37,T37,,Sam Saunders,76,28.63,2004,70,23
38,T39,,Derek Fathauer,81,28.64,2148,75,23
39,T39,,Chez Reavie,98,28.64,2606,91,21
40,41,,Rory McIlroy,51,28.65,1318,46,24
41,T42,,Bryce Molder,74,28.66,2121,74,22
42,T42,,Pat Perez,93,28.66,2522,88,22
43,44,,Tim Wilkinson,64,28.67,1663,58,23
44,45,,Grayson Murray,94,28.68,2581,90,23
45,46,,Scott Brown,95,28.69,2611,91,22
46,T47,,Matt Jones,64,28.7,1607,56,23
47,T47,,Matt Kuchar,95,28.7,2526,88,23
48,49,,Harris English,84,28.71,2067,72,22
49,50,,Tom Hoge,54,28.72,1321,46,22
