,GIR_Putting_-_5-10_RANK THIS WEEK,GIR_Putting_-_5-10_RANK LAST WEEK,GIR_Putting_-_5-10_PLAYER NAME,GIR_Putting_-_5-10_ROUNDS,GIR_Putting_-_5-10_%,GIR_Putting_-_5-10_ATTEMPTS,GIR_Putting_-_5-10_PUTTS MADE
0,1,,Rafa Cabrera Bello,63,67.21,61,41
1,2,,Cameron Smith,86,65.93,135,89
2,3,,Camilo Villegas,76,63.87,119,76
3,4,,Shane Lowry,52,62.5,56,35
4,5,,David Lingmerth,79,62.07,116,72
5,6,,Ryan Blaum,100,61.59,138,85
6,7,,Brooks Koepka,88,61.34,119,73
7,8,,Brian Harman,104,59.38,128,76
8,9,,Kevin Tway,96,58.62,145,85
9,10,,Luke Donald,50,58.33,60,35
10,11,,Blayne Barber,77,58.26,115,67
11,12,,Wesley Bryan,95,57.94,126,73
12,13,,Peter Malnati,91,57.89,133,77
13,14,,Jason Day,71,57.26,117,67
14,15,,Danny Lee,93,57.24,145,83
15,T16,,Hideki Matsuyama,83,57.14,112,64
16,T16,,Sam Saunders,76,57.14,119,68
17,T16,,Webb Simpson,102,57.14,154,88
18,19,,Cameron Tringale,89,57.02,114,65
19,20,,Byeong Hun An,77,56.86,102,58
20,21,,Patrick Reed,107,56.6,159,90
21,22,,Fabián Gómez,61,56.52,92,52
22,23,,Robert Streb,98,56.38,149,84
23,24,,Andrew Loupe,55,56.25,80,45
24,25,,Keegan Bradley,104,56.14,171,96
25,26,,Chris Stroud,67,56.12,98,55
26,27,,Jason Dufner,89,56.06,132,74
27,28,,Brian Campbell,55,55.81,86,48
28,29,,Richy Werenski,81,55.77,104,58
29,30,,Graeme McDowell,56,55.56,81,45
30,31,,Ryan Moore,82,55.46,119,66
31,T32,,Ryo Ishikawa,56,55.42,83,46
32,T32,,Charl Schwartzel,63,55.42,83,46
33,34,,Hudson Swafford,94,55.24,143,79
34,35,,Rickie Fowler,78,55.22,134,74
35,36,,Daniel Summerhays,100,55.07,138,76
