,Putting_from_-_10-15_RANK THIS WEEK,Putting_from_-_10-15_RANK LAST WEEK,Putting_from_-_10-15_PLAYER NAME,Putting_from_-_10-15_ROUNDS,Putting_from_-_10-15_% MADE,Putting_from_-_10-15_ATTEMPTS,Putting_from_-_10-15_PUTTS MADE
0,1,,Michael Thompson,60,42.73,110,47
1,2,,Rickie Fowler,78,41.29,155,64
2,3,,Luke Donald,50,39.17,120,47
3,4,,Whee Kim,74,39.02,164,64
4,5,,Ernie Els,52,37.36,91,34
5,6,,Stewart Cink,93,36.95,203,75
6,7,,Nicholas Lindheim,58,36.92,130,48
7,8,,Steve Wheatcroft,51,36.84,114,42
8,9,,Cody Gribble,79,36.81,182,67
9,10,,Michael Kim,94,36.73,226,83
10,11,,Camilo Villegas,76,36.53,167,61
11,12,,Ben Crane,86,36.36,165,60
12,13,,Jon Rahm,90,36.21,174,63
13,14,,Sebastián Muñoz,51,36.11,108,39
14,15,,Brian Harman,104,35.98,239,86
15,16,,Gonzalo Fernandez-Castaño,63,35.96,114,41
16,17,,Justin Thomas,86,35.91,181,65
17,18,,Martin Flores,88,35.68,199,71
18,19,,Francesco Molinari,75,35.67,157,56
19,T20,,Adam Hadwin,98,35.51,214,76
20,T20,,Adam Scott,58,35.51,107,38
21,22,,Brandon Hagy,85,35.24,210,74
22,23,,Tom Hoge,54,35.14,111,39
23,24,,Rafa Cabrera Bello,63,35.04,117,41
24,25,,Bryson DeChambeau,91,34.97,183,64
25,26,,Ollie Schniederjans,92,34.84,244,85
26,27,,Pat Perez,93,34.81,158,55
27,28,,Charl Schwartzel,63,34.62,130,45
28,29,,Sean O'Hair,84,34.59,185,64
29,30,,Nick Watney,75,34.57,188,65
30,31,,Matt Kuchar,95,34.41,186,64
31,T32,,Marc Leishman,94,34.38,192,66
32,T32,,Jimmy Walker,68,34.38,128,44
33,34,,Graeme McDowell,56,34.31,137,47
34,35,,Brian Stuard,93,34.22,187,64
35,36,,Kevin Kisner,105,34.2,193,66
36,37,,Brendan Steele,89,33.96,159,54
37,38,,Aaron Baddeley,61,33.94,109,37
38,39,,Jason Dufner,89,33.77,231,78
39,T40,,Ryan Blaum,100,33.73,255,86
40,T40,,Matt Every,76,33.73,166,56
41,42,,Morgan Hoffmann,92,33.65,211,71
42,43,,Danny Lee,93,33.63,223,75
43,44,,Graham DeLaet,82,33.51,185,62
44,45,,Xander Schauffele,96,33.5,203,68
45,T46,,Wesley Bryan,95,33.33,213,71
46,T46,,Vaughn Taylor,90,33.33,213,71
47,T46,,Cameron Tringale,89,33.33,159,53
48,49,,Patrick Reed,107,33.19,238,79
49,50,,Jason Day,71,33.09,139,46
50,51,,Russell Henley,99,33.03,218,72
51,52,,Søren Kjeldsen,58,32.99,97,32
52,53,,Justin Rose,66,32.86,140,46
53,54,,Brooks Koepka,88,32.8,189,62
54,55,,Geoff Ogilvy,80,32.76,174,57
55,56,,David Lingmerth,79,32.75,171,56
56,T57,,Zac Blair,105,32.69,208,68
57,T57,,Shawn Stefani,72,32.69,156,51
58,59,,Brian Gay,82,32.67,202,66
59,60,,Chris Kirk,89,32.66,199,65
60,61,,Tag Ridings,67,32.61,138,45
61,62,,Brett Stegmaier,78,32.56,172,56
62,63,,Chad Collins,66,32.48,157,51
63,64,,Phil Mickelson,85,32.46,191,62
64,65,,Shane Lowry,52,32.43,111,36
65,66,,Paul Casey,94,32.42,182,59
66,67,,Seung-Yul Noh,91,32.3,226,73
67,68,,Harris English,84,32.28,189,61
